date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2006-12-08,sz.002092,10.5300,15.5000,10.5300,13.5200,6.6000,61758253,696463449.0400,3,77.197816,1,104.848500,,26.151956,3.049743,-127.548886,0,
2006-12-11,sz.002092,12.1700,12.1700,12.1700,12.1700,13.5200,2249600,27377632.0000,3,2.812000,1,-9.985209,,23.540629,2.745220,-114.812865,0,-9.985207100591708
2006-12-12,sz.002092,11.5800,11.9600,11.0500,11.5600,12.1700,30310081,349485570.9700,3,37.887601,1,-5.012322,,22.360696,2.607620,-109.058071,0,-5.012325390304017
2006-12-13,sz.002092,11.3900,11.4800,10.8200,11.0800,11.5600,17791826,198150137.0800,3,22.239783,1,-4.152253,,21.432225,2.499346,-104.529708,0,-4.152249134948105
2006-12-14,sz.002092,11.1100,11.7100,11.1100,11.2500,11.0800,16567763,189299163.5200,3,20.709704,1,1.534297,,21.761058,2.537693,-106.133503,0,1.534296028880866
2006-12-15,sz.002092,11.2100,11.4800,11.1000,11.3700,11.2500,11293388,127490310.2700,3,14.116735,1,1.066666,,21.993176,2.564762,-107.265594,0,1.0666666666666602
2006-12-18,sz.002092,11.3200,11.4800,11.1000,11.3000,11.3700,10850964,122341826.5900,3,13.563705,1,-0.615653,,21.857774,2.548972,-106.605208,0,-0.6156552330694676
2006-12-19,sz.002092,11.2700,12.4300,11.1400,12.1300,11.3000,22091677,263847857.9800,3,27.614596,1,7.345132,,23.463257,2.736197,-114.435502,0,7.345132743362837
2006-12-20,sz.002092,11.7500,12.0800,11.7000,11.8500,12.1300,9306330,110173037.1000,3,11.632912,1,-2.308324,,22.921648,2.673037,-111.793957,0,-2.308326463314103
2006-12-21,sz.002092,11.8600,12.4500,11.7500,11.7900,11.8500,10571955,127764243.9400,3,13.214944,1,-0.506333,,22.805589,2.659502,-111.227911,0,-0.5063291139240533
2006-12-22,sz.002092,11.6500,11.9000,11.3100,11.4000,11.7900,8776045,100864582.1900,3,10.970056,1,-3.307891,,22.051206,2.571529,-107.548617,0,-3.307888040712459
2006-12-25,sz.002092,11.4000,11.7000,11.2600,11.6800,11.4000,8013349,91944929.3500,3,10.016686,1,2.456146,,22.592814,2.634689,-110.190162,0,2.4561403508771784
2006-12-26,sz.002092,11.6800,11.6800,11.2100,11.2400,11.6800,4608360,52387233.8300,3,5.760450,1,-3.767128,,21.741715,2.535437,-106.039162,0,-3.7671232876712257
2006-12-27,sz.002092,11.1900,11.3500,11.0600,11.1300,11.2400,4915309,54954803.9100,3,6.144136,1,-0.978645,,21.528940,2.510624,-105.001412,0,-0.9786476868327343
2006-12-28,sz.002092,11.1300,11.2400,10.5500,10.7000,11.1300,6199443,67093942.2900,3,7.749304,1,-3.863435,,20.697184,2.413628,-100.944754,0,-3.8634321653189696
