date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2007-04-18,sz.002128,26.0000,28.0000,25.5500,26.3000,9.8000,41429375,1099319619.2400,3,66.393229,1,168.367300,15.534716,33.490720,7.822933,418.284871,0,
2007-04-19,sz.002128,26.9000,28.9300,26.3900,28.9300,26.3000,23110184,632228469.6900,3,37.035551,1,10.000000,17.088188,36.839792,8.605226,460.113358,0,9.999999999999986
2007-04-20,sz.002128,29.1800,30.5000,28.0000,29.8200,28.9300,18440008,544921482.0100,3,29.551295,1,3.076389,17.613888,37.973128,8.869957,474.268245,0,3.076391289319047
2007-04-23,sz.002128,29.2900,29.7100,28.5800,29.2900,29.8200,10265950,298939656.1100,3,16.451843,1,-1.777326,17.300831,37.298220,8.712308,465.838930,0,-1.7773306505700859
2007-04-24,sz.002128,30.0100,31.6000,29.6000,30.5100,29.2900,10322730,317315331.1900,3,16.542837,1,4.165242,18.021452,38.851782,9.075197,485.242259,0,4.1652441106179605
2007-04-25,sz.002128,30.2200,30.4400,29.4500,30.0300,30.5100,6138623,182830903.7600,3,9.837537,1,-1.573253,17.737929,38.240545,8.932421,477.608163,0,-1.5732546705997996
2007-04-26,sz.002128,29.9400,29.9900,29.3700,29.8500,30.0300,3792355,112460686.6100,3,6.077492,1,-0.599402,17.631608,38.011331,8.878880,474.745376,0,-0.5994005994006013
2007-04-27,sz.002128,29.8600,30.8000,29.0000,29.4200,29.8500,3868977,115090006.7700,3,6.200284,1,-1.440537,17.377618,37.463764,8.750977,467.906498,0,-1.4405360134003287
2007-04-30,sz.002128,29.6700,29.7900,28.3600,28.9000,29.4200,4961503,143488449.4100,3,7.951127,1,-1.767507,17.070468,36.801590,8.596303,459.636227,0,-1.7675050985724083
2007-05-08,sz.002128,29.2800,30.2000,28.7500,30.0000,28.9000,6126021,180143115.6500,3,9.817341,1,3.806230,17.720209,38.202342,8.923498,477.131032,0,3.806228373702436
