date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2007-04-27,sz.002133,20.6100,21.4800,18.9600,19.0000,10.8000,24408297,481287962.8200,3,48.429161,1,75.925920,12.978488,141.274749,18.768944,26.731009,0,
2007-04-30,sz.002133,18.5900,18.5900,17.8500,18.0800,19.0000,9969305,180792703.9000,3,19.780367,1,-4.842105,12.350056,134.434077,17.860132,25.436666,0,-4.842105263157903
2007-05-08,sz.002133,18.4000,18.5000,17.9400,18.2800,18.0800,4767404,86880431.7100,3,9.459135,1,1.106199,12.486672,135.921179,18.057700,25.718045,0,1.106194690265494
2007-05-09,sz.002133,18.2300,18.2500,17.6100,18.1500,18.2800,4732070,85229698.4600,3,9.389028,1,-0.711166,12.397872,134.954563,17.929281,25.535148,0,-0.7111597374179546
2007-05-10,sz.002133,18.2900,18.7800,18.1100,18.3100,18.1500,4960439,91420834.6800,3,9.842141,1,0.881542,12.507164,136.144245,18.087335,25.760252,0,0.8815426997245135
2007-05-11,sz.002133,18.3000,18.3000,17.8300,18.0700,18.3100,3125622,56226026.5200,3,6.201631,1,-1.310758,12.343226,134.359722,17.850254,25.422597,0,-1.3107591480065461
2007-05-14,sz.002133,18.0000,18.7500,17.8200,18.3200,18.0700,4007981,73833255.3400,3,7.952343,1,1.383509,12.513995,136.218600,18.097214,25.774321,0,1.3835085777531786
2007-05-15,sz.002133,18.5500,18.5900,18.1100,18.2000,18.3200,3399234,62285891.7300,3,6.744512,1,-0.655016,12.432026,135.326338,17.978673,25.605493,0,-0.6550218340611424
2007-05-16,sz.002133,18.2000,18.7500,18.0200,18.7000,18.2000,3500811,64429202.6000,3,6.946054,1,2.747252,12.773565,139.044095,18.472593,26.308941,0,2.7472527472527375
2007-05-17,sz.002133,18.7400,19.1600,18.5500,19.1400,18.7000,5969729,112734540.6300,3,11.844700,1,2.352934,13.074119,142.315721,18.907242,26.927975,0,2.352941176470602
2007-05-18,sz.002133,19.0000,19.9800,18.8100,19.5000,19.1400,6626970,129955226.2500,3,13.148750,1,1.880881,13.320028,144.992505,19.262864,27.434457,0,1.880877742946696
2007-05-21,sz.002133,18.9000,19.8000,18.8000,19.3800,19.5000,3540134,68553881.5400,3,7.024075,1,-0.615389,13.238058,144.100244,19.144323,27.265630,0,-0.6153846153846176
2007-05-22,sz.002133,19.4000,19.9000,19.3400,19.6200,19.3800,4185288,82072265.0400,3,8.304143,1,1.238399,13.401997,145.884767,19.381405,27.603284,0,1.2383900928792713
2007-05-23,sz.002133,19.6500,20.3600,19.4300,20.2000,19.6200,4598729,91580220.4300,3,9.124462,1,2.956167,13.798182,150.197365,19.954351,28.419284,0,2.9561671763506547
2007-05-24,sz.002133,20.1500,20.7800,19.3800,19.7500,20.2000,4798688,96129021.9400,3,9.521206,1,-2.227726,13.490797,146.851384,19.509824,27.786181,0,-2.2277227722772297
2007-05-25,sz.002133,19.7000,20.1000,19.5000,19.8200,19.7500,3497026,69268707.0900,3,6.938544,1,0.354429,13.538613,147.371870,19.578972,27.884663,0,0.35443037974682845
2007-05-28,sz.002133,20.0800,20.3900,19.7800,20.0200,19.8200,3439351,69031639.0400,3,6.824109,1,1.009086,13.675228,148.858972,19.776540,28.166042,0,1.0090817356205761
2007-05-29,sz.002133,20.0200,20.5500,20.0000,20.3800,20.0200,3395483,69065063.3300,3,6.737069,1,1.798195,13.921136,151.535757,20.132162,28.672525,0,1.798201798201804
2007-05-30,sz.002133,19.3800,21.4400,19.3700,21.0900,20.3800,11943358,246915443.5900,3,23.697139,1,3.483813,14.406122,156.814971,20.833528,29.671420,0,3.483807654563309
2007-05-31,sz.002133,21.4500,22.0400,20.7000,21.0100,21.0900,9125922,194777039.6900,3,18.106988,1,-0.379326,14.351476,156.220130,20.754501,29.558869,0,-0.3793266951161556
2007-06-01,sz.002133,21.0100,21.0100,21.0100,21.0100,21.0100,0,0.0000,3,,0,0.000000,14.351476,156.220130,20.754501,29.558869,0,0.0
2007-06-04,sz.002133,19.5000,20.0000,18.9100,18.9100,21.0100,3020366,57697488.0600,3,5.992790,1,-9.995242,12.917011,140.605553,18.680039,26.604389,0,-9.995240361732517
