date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2007-05-30,sz.002135,21.6000,26.4800,21.6000,24.4500,9.6000,26501226,635277512.7500,3,66.253893,1,154.687500,11.895312,49.777050,2.974087,-66.694449,0,
2007-05-31,sz.002135,23.7900,26.2900,23.7900,25.6600,24.4500,13363005,335272361.6400,3,33.407930,1,4.948871,12.483996,52.240454,3.121271,-69.995074,0,4.94887525562373
2007-06-01,sz.002135,25.0000,25.2000,23.0900,23.0900,25.6600,9235839,219053076.4400,3,23.089886,1,-10.015590,11.233650,47.008265,2.808658,-62.984655,0,-10.01558846453624
2007-06-04,sz.002135,22.6800,23.6000,20.7800,20.7800,23.0900,5148853,112771864.7300,3,12.872293,1,-10.004330,10.109799,42.305403,2.527670,-56.683462,0,-10.004330879168466
2007-06-05,sz.002135,20.1600,22.0500,18.7900,21.7600,20.7800,5825314,118994131.5000,3,14.563467,1,4.716071,10.586584,44.300557,2.646877,-59.356695,0,4.716073147256972
2007-06-06,sz.002135,21.7000,22.5000,21.0200,21.8000,21.7600,3644802,79475193.6000,3,9.112119,1,0.183819,10.606045,44.381991,2.651743,-59.465807,0,0.18382352941175295
2007-06-07,sz.002135,22.1800,23.2000,21.8500,22.8200,21.8000,3622791,81985942.9000,3,9.057091,1,4.678901,11.102291,46.458580,2.775815,-62.248152,0,4.678899082568799
2007-06-08,sz.002135,22.8500,23.9000,22.5000,23.1500,22.8200,4019120,93047911.4300,3,10.047926,1,1.446100,11.262841,47.130417,2.815956,-63.148323,0,1.446099912357579
2007-06-11,sz.002135,23.0000,23.7900,22.8100,23.6100,23.1500,3179155,74633391.3900,3,7.947987,1,1.987045,11.486638,48.066918,2.871910,-64.403106,0,1.9870410367170743
2007-06-12,sz.002135,23.6300,24.6800,22.0000,23.9000,23.6100,4155610,98070282.5300,3,10.389155,1,1.228289,11.627728,48.657321,2.907186,-65.194165,0,1.228293096145694
2007-06-13,sz.002135,23.9000,24.4800,23.5600,24.1500,23.9000,4679728,112490229.0200,3,11.699466,1,1.046025,11.749357,49.166289,2.937596,-65.876112,0,1.0460251046025215
2007-06-14,sz.002135,23.9500,24.9800,23.3100,24.2700,24.1500,4284183,104299323.5500,3,10.710591,1,0.496898,11.807739,49.410593,2.952192,-66.203447,0,0.496894409937898
2007-06-15,sz.002135,24.0000,26.7000,23.8600,26.7000,24.2700,6975617,178321102.6800,3,17.439260,1,10.012360,12.989972,54.357760,3.247776,-72.831975,0,10.012360939431385
2007-06-18,sz.002135,27.5000,27.7000,26.7300,27.1500,26.7000,7136220,194197053.3200,3,17.840773,1,1.685389,13.208904,55.273902,3.302514,-74.059480,0,1.6853932584269593
2007-06-19,sz.002135,26.8800,28.9400,26.2800,27.7100,27.1500,5143107,141209810.5300,3,12.857928,1,2.062613,13.481353,56.413990,3.370632,-75.587042,0,2.0626151012891336
2007-06-20,sz.002135,27.0000,27.7800,26.3500,26.5000,27.7100,3503620,94447552.4800,3,8.759159,1,-4.366652,12.892669,53.950586,3.223448,-72.286417,0,-4.366654637315048
2007-06-21,sz.002135,26.2000,27.1000,25.5000,26.0400,26.5000,2277614,59812124.2200,3,5.694106,1,-1.735846,12.668872,53.014085,3.167494,-71.031634,0,-1.7358490566037776
2007-06-22,sz.002135,25.8800,26.3800,24.0100,24.4000,26.0400,2612687,65939352.8800,3,6.531799,1,-6.298008,11.870986,49.675256,2.968005,-66.558059,0,-6.298003072196623
2007-06-25,sz.002135,24.5000,24.7900,22.0000,22.6400,24.4000,2662563,63011032.1000,3,6.656491,1,-7.213116,11.014718,46.092123,2.753920,-61.757150,0,-7.213114754098349
2007-06-26,sz.002135,22.5100,24.6000,22.5000,24.6000,22.6400,2413261,56567454.6600,3,6.033228,1,8.657248,11.968289,50.082431,2.992333,-67.103617,0,8.657243816254411
2007-06-27,sz.002135,24.2000,25.3800,23.8100,24.9900,24.6000,2844613,70430017.7800,3,7.111621,1,1.585363,12.158030,50.876420,3.039773,-68.167455,0,1.5853658536585158
2007-06-28,sz.002135,24.9900,24.9900,22.8000,23.0000,24.9900,2431246,58031499.1300,3,6.078191,1,-7.963184,11.189864,46.825037,2.797710,-62.739154,0,-7.963185274109641
2007-06-29,sz.002135,22.4100,23.7900,21.8000,23.2400,23.0000,2232515,50957744.6200,3,5.581357,1,1.043477,11.306628,47.313646,2.826903,-63.393824,0,1.043478260869568
2007-07-02,sz.002135,23.3000,23.6100,22.2000,23.0500,23.2400,1038905,23747132.8900,3,2.597295,1,-0.817558,11.214190,46.926830,2.803792,-62.875544,0,-0.8175559380378505
2007-07-03,sz.002135,23.1800,23.4800,22.6900,23.2600,23.0500,818135,18954015.3000,3,2.045363,1,0.911067,11.316358,47.354363,2.829336,-63.448379,0,0.9110629067245135
2007-07-04,sz.002135,23.2600,23.2600,22.5000,22.6800,23.2600,584800,13350009.7000,3,1.462018,1,-2.493551,11.034179,46.173558,2.758785,-61.866262,0,-2.493551160791063
2007-07-05,sz.002135,22.2800,22.8000,20.9000,21.0000,22.6800,1152786,25326850.9400,3,2.882001,1,-7.407409,10.216832,42.753294,2.554431,-57.283576,0,-7.4074074074074066
2007-07-06,sz.002135,21.0600,22.2000,20.0100,22.0000,21.0000,1974103,41660480.1400,3,4.935319,1,4.761905,10.703348,44.789166,2.676070,-60.011365,0,4.761904761904767
2007-07-09,sz.002135,22.0800,22.7200,21.5500,22.3000,22.0000,1296219,28873671.9200,3,3.240588,1,1.363633,10.849303,45.399927,2.712562,-60.829702,0,1.3636363636363669
2007-07-10,sz.002135,22.3000,22.4000,21.3000,21.4200,22.3000,755612,16424433.8500,3,1.889054,1,-3.946185,10.421169,43.608360,2.605519,-58.429247,0,-3.9461883408071663
2007-07-11,sz.002135,21.4800,21.9300,21.1100,21.9000,21.4200,579899,12487379.1700,3,1.449766,1,2.240894,10.654696,44.585579,2.663906,-59.738586,0,2.2408963585434094
2007-07-12,sz.002135,21.9100,21.9500,21.3000,21.7100,21.9000,542151,11743893.1000,3,1.355394,1,-0.867582,10.562258,44.198763,2.640795,-59.220306,0,-0.8675799086757863
2007-07-13,sz.002135,21.7200,21.9700,21.2000,21.6200,21.7100,538559,11590355.9700,3,1.346414,1,-0.414547,10.518472,44.015535,2.629847,-58.974805,0,-0.41455550437585753
2007-07-16,sz.002135,21.6500,21.7900,21.0000,21.0300,21.6200,577798,12374187.7000,3,1.444513,1,-2.728955,10.231428,42.814371,2.558080,-57.365409,0,-2.72895467160037
2007-07-17,sz.002135,21.0100,21.6000,21.0100,21.3900,21.0300,490969,10486537.7200,3,1.227438,1,1.711834,10.406573,43.547284,2.601870,-58.347413,0,1.7118402282453538
2007-07-18,sz.002135,21.3100,22.3000,21.2100,21.8500,21.3900,993315,21751273.3500,3,2.483319,1,2.150542,10.630371,44.483785,2.657825,-59.602196,0,2.1505376344086002
2007-07-19,sz.002135,21.8000,22.3000,21.6500,21.9600,21.8500,495727,10902944.0300,3,1.239333,1,0.503427,10.683887,44.707731,2.671205,-59.902253,0,0.5034324942791768
2007-07-20,sz.002135,21.9700,22.7500,21.9700,22.6400,21.9600,912276,20517148.9900,3,2.280719,1,3.096541,11.014718,46.092123,2.753920,-61.757150,0,3.0965391621129212
