date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2007-08-17,sz.002159,32.5000,33.3000,27.0000,27.3100,5.6800,14884855,458852478.3000,3,55.129093,1,380.809800,10.050690,111.954913,12.129440,-86.805429,0,
2007-08-20,sz.002159,25.8000,26.9800,24.7700,26.3100,27.3100,5823683,150515136.5600,3,21.569196,1,-3.661662,9.682668,107.855502,11.685300,-83.626907,0,-3.6616623947272053
2007-08-21,sz.002159,26.5000,28.2900,26.5000,27.5000,26.3100,3786451,103606491.2400,3,14.023893,1,4.522997,10.120614,112.733801,12.213826,-87.409348,0,4.52299505891296
2007-08-22,sz.002159,26.5000,27.5500,26.1100,27.5500,27.5000,2732888,73408012.9900,3,10.121807,1,0.181815,10.139016,112.938772,12.236033,-87.568274,0,0.1818181818181941
2007-08-23,sz.002159,27.6800,28.2000,27.0200,27.3000,27.5500,2993099,82418998.8500,3,11.085552,1,-0.907441,10.047010,111.913919,12.124998,-86.773644,0,-0.907441016333943
2007-08-24,sz.002159,26.9900,27.0000,26.3600,26.7500,27.3000,2277084,60616535.7800,3,8.433644,1,-2.014649,9.844598,109.659243,11.880722,-85.025457,0,-2.0146520146520186
2007-08-27,sz.002159,27.1500,27.1800,25.2000,25.5000,26.7500,1965948,51188486.2900,3,7.281289,1,-4.672897,9.384570,104.534979,11.325548,-81.052305,0,-4.672897196261683
2007-08-28,sz.002159,25.3000,26.6600,23.4000,26.0900,25.5000,7263709,178364690.2300,3,26.902626,1,2.313726,9.601703,106.953632,11.587590,-82.927633,0,2.3137254901960835
2007-08-29,sz.002159,24.7900,25.3000,24.3000,24.4800,26.0900,3155495,78318461.4900,3,11.687019,1,-6.170949,9.009187,100.353580,10.872526,-77.810213,0,-6.170946722882331
2007-08-30,sz.002159,24.3100,25.4600,24.0100,24.7900,24.4800,2369907,58746972.6200,3,8.777433,1,1.266346,9.123274,101.624398,11.010209,-78.795554,0,1.2663398692810413
2007-08-31,sz.002159,24.8200,25.2900,24.6200,24.7500,24.7900,1202311,29936084.7000,3,4.453004,1,-0.161359,9.108553,101.460421,10.992443,-78.668413,0,-0.16135538523598392
2007-09-03,sz.002159,24.7500,25.0300,24.5400,24.8700,24.7500,1348846,33339860.1100,3,4.995726,1,0.484852,9.152716,101.952351,11.045740,-79.049836,0,0.48484848484848797
2007-09-04,sz.002159,24.9800,24.9800,24.3100,24.4400,24.8700,1186711,29162961.4500,3,4.395226,1,-1.728992,8.994466,100.189604,10.854760,-77.683072,0,-1.7289907519099312
2007-09-05,sz.002159,24.0800,24.5900,23.7000,24.0000,24.4400,1100732,26559334.2300,3,4.076785,1,-1.800329,8.832536,98.385863,10.659339,-76.284522,0,-1.8003273322422353
2007-09-06,sz.002159,23.6500,24.2000,23.6500,23.8500,24.0000,1253736,29914722.2500,3,4.643467,1,-0.624999,8.777333,97.770951,10.592718,-75.807744,0,-0.6249999999999978
2007-09-07,sz.002159,23.8000,25.1800,23.4900,24.5500,23.8500,2074348,50563952.0000,3,7.682770,1,2.935006,9.034949,100.640539,10.903616,-78.032709,0,2.9350104821803003
2007-09-10,sz.002159,24.5000,24.9700,24.0000,24.7800,24.5500,1055454,25946638.8900,3,3.909089,1,0.936869,9.119594,101.583404,11.005768,-78.763769,0,0.9368635437881911
