date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2007-08-23,sz.002163,28.5000,29.0000,23.3800,23.9400,8.1500,17410722,446549518.4600,3,64.010007,1,193.742300,14.270586,71.544988,3.502272,195.456283,0,
2007-08-24,sz.002163,23.0000,23.6900,22.0100,22.7500,23.9400,5741897,130100448.9700,3,21.109915,1,-4.970763,13.561229,67.988658,3.328183,185.740620,0,-4.970760233918137
2007-08-27,sz.002163,22.8100,22.9900,22.0200,22.2200,22.7500,3350333,74623604.4600,3,12.317401,1,-2.329674,13.245297,66.404746,3.250647,181.413476,0,-2.3296703296703303
2007-08-28,sz.002163,22.2500,23.1800,22.1100,22.9600,22.2200,2944251,66649649.2100,3,10.824452,1,3.330332,13.686410,68.616246,3.358905,187.455149,0,3.3303330333033454
2007-08-29,sz.002163,22.7000,22.8000,22.0500,22.1300,22.9600,1830139,40805146.7600,3,6.728452,1,-3.614982,13.191649,66.135780,3.237481,180.678678,0,-3.614982578397219
2007-08-30,sz.002163,22.1900,22.5500,22.1900,22.4000,22.1300,1110308,24829700.9900,3,4.082015,1,1.220065,13.352595,66.942679,3.276980,182.883072,0,1.2200632625395391
2007-08-31,sz.002163,22.4000,23.0900,22.4000,22.5600,22.4000,1142610,25940182.3900,3,4.200772,1,0.714285,13.447971,67.420841,3.300387,184.189380,0,0.7142857142857117
2007-09-03,sz.002163,23.0000,23.0000,22.3200,22.3900,22.5600,1747932,39362233.2000,3,6.426221,1,-0.753547,13.346634,66.912794,3.275517,182.801428,0,-0.7535460992907694
2007-09-04,sz.002163,22.3000,22.3700,22.0300,22.0400,22.3900,1459569,32287248.7700,3,5.366062,1,-1.563191,13.138000,65.866814,3.224314,179.943880,0,-1.563197856185805
2007-09-05,sz.002163,22.0100,22.2800,21.4800,21.6300,22.0400,1728221,37561799.5300,3,6.353754,1,-1.860262,12.893600,64.641524,3.164334,176.596466,0,-1.8602540834845693
2007-09-06,sz.002163,21.6300,21.9600,21.5000,21.7500,21.6300,1027067,22301597.3900,3,3.775982,1,0.554789,12.965131,65.000146,3.181889,177.576197,0,0.554785020804438
2007-09-07,sz.002163,21.7100,21.7100,21.2500,21.2500,21.7500,1102308,23577526.4400,3,4.052603,1,-2.298851,12.667082,63.505889,3.108742,173.493986,0,-2.298850574712641
2007-09-10,sz.002163,21.0500,21.0600,20.3000,20.6700,21.2500,1219744,25079073.6500,3,4.484353,1,-2.729411,12.321345,61.772552,3.023892,168.758620,0,-2.729411764705869
2007-09-11,sz.002163,20.6800,20.8800,19.4200,19.7000,20.6700,1182385,24198031.2300,3,4.347004,1,-4.692788,11.743130,58.873695,2.881987,160.839130,0,-4.69279148524433
2007-09-12,sz.002163,19.7000,19.7000,19.7000,19.7000,19.7000,0,0.0000,3,,0,0.000000,11.743130,58.873695,2.881987,160.839130,0,0.0
2007-09-13,sz.002163,20.4000,21.0000,20.0800,20.2500,19.7000,1190611,24319256.7100,3,4.377246,1,2.791874,12.070984,60.517377,2.962449,165.329563,0,2.7918781725888353
2007-09-14,sz.002163,20.1500,20.5700,20.0000,20.3500,20.2500,862417,17441811.8200,3,3.170651,1,0.493829,12.130594,60.816228,2.977078,166.146005,0,0.4938271604938427
2007-09-17,sz.002163,20.2600,20.3500,19.9000,19.9500,20.3500,1219240,24413282.1600,3,4.482500,1,-1.965600,11.892155,59.620823,2.918560,162.880236,0,-1.9656019656019708
2007-09-18,sz.002163,19.9400,19.9400,19.4600,19.7300,19.9500,1132951,22248602.2800,3,4.165261,1,-1.102763,11.761013,58.963350,2.886376,161.084063,0,-1.102756892230572
2007-09-19,sz.002163,19.7600,19.9800,19.4400,19.4500,19.7300,653681,12835844.7500,3,2.403239,1,-1.419152,11.594106,58.126567,2.845414,158.798025,0,-1.4191586416624435
2007-09-20,sz.002163,19.4700,19.7800,19.4400,19.5100,19.4500,594654,11597881.8700,3,2.186228,1,0.308480,11.629872,58.305878,2.854191,159.287890,0,0.30848329048844825
2007-09-21,sz.002163,19.5000,19.7000,18.5000,18.8800,19.5100,1023381,19368470.3000,3,3.762430,1,-3.229119,11.254330,56.423115,2.762026,154.144304,0,-3.229113275243478
2007-09-24,sz.002163,18.9300,18.9700,17.9200,17.9700,18.8800,1039795,18790863.5900,3,3.822776,1,-4.819915,10.711881,53.703569,2.628899,146.714679,0,-4.819915254237284
2007-09-25,sz.002163,18.0100,18.3700,17.9800,18.1200,17.9700,735063,13319478.8200,3,2.702437,1,0.834733,10.801296,54.151845,2.650843,147.939342,0,0.8347245409015214
2007-09-26,sz.002163,18.1200,18.3200,17.9600,17.9800,18.1200,525671,9543322.1400,3,1.932614,1,-0.772634,10.717842,53.733454,2.630362,146.796323,0,-0.7726269315673329
2007-09-27,sz.002163,18.1000,18.5700,17.7000,18.3800,17.9800,768093,14003508.4200,3,2.823871,1,2.224692,10.956281,54.928859,2.688879,150.062092,0,2.2246941045606095
2007-09-28,sz.002163,18.4000,18.6500,18.2800,18.4700,18.3800,654846,12080712.8400,3,2.407522,1,0.489663,11.009930,55.197825,2.702046,150.796890,0,0.489662676822622
2007-10-08,sz.002163,18.7000,18.9900,18.3300,18.3600,18.4700,656317,12171030.9000,3,2.412930,1,-0.595553,10.944359,54.869088,2.685953,149.898804,0,-0.5955603681645827
2007-10-09,sz.002163,18.4500,19.2800,18.1100,19.0100,18.3600,1051875,19661413.2700,3,3.867188,1,3.540303,11.331823,56.811622,2.781044,155.205678,0,3.540305010893263
2007-10-10,sz.002163,19.1000,19.2000,18.5200,18.7200,19.0100,742329,13982208.3800,3,2.729151,1,-1.525518,11.158954,55.944953,2.738619,152.837996,0,-1.5255128879537172
2007-10-11,sz.002163,18.7200,19.0700,18.5500,19.0400,18.7200,837683,15674880.6500,3,3.079717,1,1.709410,11.349706,56.901277,2.785433,155.450611,0,1.7094017094017033
2007-10-12,sz.002163,18.9900,19.8800,18.1000,19.7400,19.0400,2306122,44484658.6800,3,8.478390,1,3.676464,11.766974,58.993236,2.887839,161.165707,0,3.676470588235281
2007-10-15,sz.002163,19.7800,20.9800,19.0900,20.6000,19.7400,2722779,55155547.9600,3,10.010217,1,4.356639,12.279619,61.563356,3.013651,168.187111,0,4.356636271529912
2007-10-16,sz.002163,20.5000,20.5400,19.8800,19.9500,20.6000,1036597,20758537.3500,3,3.811018,1,-3.155338,11.892155,59.620823,2.918560,162.880236,0,-3.1553398058252524
2007-10-17,sz.002163,19.7500,20.0800,19.5100,19.5200,19.9500,642359,12664368.5900,3,2.361614,1,-2.155390,11.635833,58.335763,2.855654,159.369534,0,-2.1553884711779436
2007-10-18,sz.002163,19.5200,19.6000,18.8000,18.8100,19.5200,696185,13254368.8200,3,2.559504,1,-3.637300,11.212603,56.213919,2.751786,153.572794,0,-3.637295081967218
2007-10-19,sz.002163,18.9900,19.1500,18.3000,18.4400,18.8100,481280,9007837.3200,3,1.769412,1,-1.967033,10.992047,55.108169,2.697657,150.551957,0,-1.9670388091440616
2007-10-22,sz.002163,18.4000,18.4300,17.8200,17.8400,18.4400,480739,8695317.3900,3,1.767423,1,-3.253798,10.634388,53.315062,2.609881,145.653304,0,-3.2537960954446943
2007-10-23,sz.002163,18.0000,18.1900,17.4500,17.9400,17.8400,578193,10286343.8900,3,2.125710,1,0.560540,4.940298,51.689378,2.480001,19.225032,0,0.5605381165919354
2007-10-24,sz.002163,18.0800,18.0800,17.6000,17.6300,17.9400,388118,6870056.1800,3,1.426904,1,-1.727990,4.854930,50.796195,2.437147,18.892827,0,-1.7279821627647851
2007-10-25,sz.002163,17.5500,17.6000,15.9500,16.0000,17.6300,1020599,17013838.7200,3,3.752202,1,-9.245600,4.406062,46.099780,2.211818,17.146071,0,-9.24560408394781
2007-10-26,sz.002163,15.8600,16.1900,15.0800,15.3800,16.0000,604276,9367237.9700,3,2.221603,1,-3.874999,4.235328,44.313413,2.126110,16.481661,0,-3.874999999999995
2007-10-29,sz.002163,15.5800,15.6500,14.8800,15.5100,15.3800,492383,7448835.3900,3,1.810232,1,0.845254,4.271127,44.687974,2.144081,16.620972,0,0.845253576072813
2007-10-30,sz.002163,15.5000,15.6800,15.0800,15.5300,15.5100,376361,5797292.4400,3,1.383680,1,0.128946,4.276634,44.745599,2.146846,16.642405,0,0.12894906511926596
2007-10-31,sz.002163,15.6000,17.0800,15.5800,16.9000,15.5300,1030389,16936275.2500,3,3.788195,1,8.821635,4.653903,48.692893,2.336232,18.110537,0,8.821635544108176
2007-11-01,sz.002163,16.8000,16.8000,16.1500,16.1500,16.9000,444045,7257472.8700,3,1.632518,1,-4.437870,4.447369,46.531965,2.232553,17.306815,0,-4.437869822485208
2007-11-02,sz.002163,16.1200,16.3100,15.5800,15.6000,16.1500,375080,5949702.5500,3,1.378971,1,-3.405568,4.295911,44.947285,2.156522,16.717419,0,-3.4055727554179516
2007-11-05,sz.002163,15.6000,16.0100,15.4100,16.0000,15.6000,297692,4673214.1800,3,1.094456,1,2.564100,4.406062,46.099780,2.211818,17.146071,0,2.564102564102577
