date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2007-11-01,sz.002177,61.0000,65.0000,60.0500,64.8800,13.7900,12346190,770751376.6200,3,81.224934,1,370.485800,36.478374,75.213687,22.902784,284.322808,0,
2007-11-02,sz.002177,65.0000,69.0000,62.4900,62.4900,64.8800,6904511,452787570.2400,3,45.424414,1,-3.683717,35.134611,72.443023,22.059109,273.849141,0,-3.6837237977805026
2007-11-05,sz.002177,61.5000,68.4000,61.1100,66.7700,62.4900,4186314,272192966.1300,3,27.541539,1,6.849088,37.541014,77.404715,23.569958,292.605331,0,6.84909585533684
2007-11-06,sz.002177,65.1000,70.5800,65.1000,68.3700,66.7700,2532094,172927956.0400,3,16.658513,1,2.396295,38.440604,79.259553,24.134762,299.616991,0,2.396285757076555
2007-11-07,sz.002177,68.3800,69.0000,61.5300,63.7800,68.3700,3299407,211402625.5800,3,21.706625,1,-6.713476,35.859905,73.938486,22.514482,279.502292,0,-6.713470820535328
2007-11-08,sz.002177,64.8000,68.2000,64.0800,66.1000,63.7800,1991045,131500702.3100,3,13.098980,1,3.637503,37.164311,76.628001,23.333447,289.669199,0,3.637503919724039
2007-11-09,sz.002177,65.0000,67.5000,62.0000,65.0000,66.1000,1470404,94618790.1700,3,9.673711,1,-1.664143,36.545843,75.352800,22.945144,284.848682,0,-1.6641452344931862
2007-11-12,sz.002177,63.9000,66.8400,63.0100,64.5800,65.0000,853271,55352916.8600,3,5.613625,1,-0.646151,36.309700,74.865905,22.796883,283.008122,0,-0.6461538461538519
2007-11-13,sz.002177,64.1500,65.0000,58.1200,58.1200,64.5800,1870778,114150287.4000,3,12.307750,1,-10.003100,32.677606,67.376996,20.516489,254.698545,0,-10.003096934035305
2007-11-14,sz.002177,55.6000,56.8700,52.3100,54.9100,58.1200,2329709,125599786.1700,3,15.327033,1,-5.523054,30.872804,63.655727,19.383352,240.631402,0,-5.523055746730899
2007-11-15,sz.002177,54.9100,57.7000,54.2000,54.9000,54.9100,1442075,81109569.4800,3,9.487336,1,-0.018209,30.867181,63.644134,19.379822,240.587579,0,-0.018211619012931113
2007-11-16,sz.002177,52.5800,53.9000,51.1900,52.2200,54.9000,1112800,58147754.8500,3,7.321053,1,-4.881603,29.360368,60.537280,18.433776,228.843049,0,-4.881602914389804
2007-11-19,sz.002177,52.8000,54.0800,51.5000,53.5000,52.2200,580981,30864319.2400,3,3.822243,1,2.451166,30.080040,62.021151,18.885619,234.452377,0,2.451168134814252
2007-11-20,sz.002177,53.5000,54.8800,52.2300,54.5900,53.5000,743429,39809895.1600,3,4.890980,1,2.037383,30.692886,63.284759,19.270391,239.229070,0,2.0373831775700957
2007-11-21,sz.002177,54.3500,55.9000,53.0000,55.9000,54.5900,824520,44659211.9100,3,5.424474,1,2.399709,31.429425,64.803408,19.732824,244.969867,0,2.399706906026733
2007-11-22,sz.002177,54.7000,57.9000,54.0200,54.8900,55.9000,1065622,59949333.0400,3,7.010671,1,-1.806802,30.861559,63.632541,19.376292,240.543757,0,-1.806797853309483
2007-11-23,sz.002177,53.7800,55.7900,53.0000,53.8000,54.8900,348865,18957955.1500,3,2.295164,1,-1.985790,30.248713,62.368933,18.991519,235.767063,0,-1.9857897613408726
2007-11-26,sz.002177,53.8000,55.5000,53.5200,54.2800,53.8000,449686,24573536.2300,3,2.958461,1,0.892193,30.518590,62.925384,19.160960,237.870561,0,0.8921933085501932
2007-11-27,sz.002177,53.8000,54.3000,52.0200,53.0000,54.2800,482990,25852346.8000,3,3.177566,1,-2.358141,29.798918,61.441514,18.709118,232.261233,0,-2.358142962417098
2007-11-28,sz.002177,52.5000,53.5000,51.5500,52.0100,53.0000,354989,18590856.2800,3,2.335454,1,-1.867928,29.242297,60.293833,18.359645,227.922769,0,-1.8679245283018897
2007-11-29,sz.002177,52.7700,57.0000,52.1400,56.1900,52.0100,666002,36850933.1700,3,4.381592,1,8.036917,31.592475,65.139597,19.835195,246.240730,0,8.036915977696601
2007-11-30,sz.002177,55.6000,59.9800,54.8600,58.0200,56.1900,1100331,63296167.8500,3,7.239020,1,3.256810,32.621382,67.261068,20.481189,254.260316,0,3.256807261078487
2007-12-03,sz.002177,57.0000,58.3000,56.9000,57.1400,58.0200,484544,27896926.6800,3,3.187789,1,-1.516720,32.126607,66.240907,20.170547,250.403903,0,-1.5167183729748457
2007-12-04,sz.002177,57.0100,58.9000,56.8500,58.4800,57.1400,217846,12646209.1500,3,1.433197,1,2.345118,32.880014,67.794334,20.643570,256.276168,0,2.345117255862794
2007-12-05,sz.002177,58.7000,63.0000,57.7000,60.6800,58.4800,635539,38839460.5300,3,4.181178,1,3.761971,34.116950,70.344737,21.420175,265.917201,0,3.7619699042407806
2007-12-06,sz.002177,60.5800,61.7800,59.8800,60.6500,60.6800,309549,18804633.2200,3,2.036507,1,-0.049438,34.100083,70.309959,21.409585,265.785732,0,-0.049439683586027794
2007-12-07,sz.002177,60.5500,61.4700,59.6000,60.8000,60.6500,319717,19269290.1400,3,2.103401,1,0.247317,34.184419,70.483850,21.462535,266.443075,0,0.2473206924979321
2007-12-10,sz.002177,59.8000,66.3300,59.8000,65.2000,60.8000,1017799,64505791.0900,3,6.696046,1,7.236838,36.658292,75.584655,23.015745,285.725140,0,7.236842105263164
2007-12-11,sz.002177,65.2000,65.3800,63.6000,64.6500,65.2000,517911,33341621.2900,3,3.407309,1,-0.843551,36.349057,74.947054,22.821593,283.314882,0,-0.8435582822085896
2007-12-12,sz.002177,63.5500,67.2300,63.5500,65.9900,64.6500,509323,33601498.5200,3,3.350809,1,2.072693,37.102464,76.500481,23.294616,289.187147,0,2.072699149265267
2007-12-13,sz.002177,66.1900,66.5800,62.0000,62.0000,65.9900,564177,36406553.5200,3,3.711691,1,-6.046368,34.859112,71.874978,21.886138,271.701820,0,-6.046370662221545
2007-12-14,sz.002177,61.0200,62.8800,60.0000,62.8600,62.0000,505034,30999730.4800,3,3.322592,1,1.387098,35.342641,72.871954,22.189719,275.470587,0,1.3870967741935525
2007-12-17,sz.002177,62.8600,62.8600,62.8600,62.8600,62.8600,0,0.0000,3,,0,0.000000,35.342641,72.871954,22.189719,275.470587,0,0.0
2007-12-18,sz.002177,62.5000,62.5000,59.6300,60.0800,62.8600,361766,21902142.2200,3,2.380039,1,-4.422524,33.779604,69.649173,21.208373,263.287828,0,-4.4225262488068795
2007-12-19,sz.002177,61.2500,63.6000,60.5000,62.0000,60.0800,374678,23292992.9000,3,2.464987,1,3.195736,34.859112,71.874978,21.886138,271.701820,0,3.1957390146471365
2007-12-20,sz.002177,62.3300,63.0000,61.8000,62.2500,62.0000,244711,15246633.1000,3,1.609941,1,0.403226,34.999673,72.164797,21.974388,272.797392,0,0.40322580645162365
2007-12-21,sz.002177,62.9800,66.5000,61.0700,65.4000,62.2500,525018,33041732.5400,3,3.454066,1,5.060243,36.770740,75.816509,23.086345,286.601597,0,5.060240963855422
2007-12-24,sz.002177,65.0000,67.9800,65.0000,66.9000,65.4000,564173,37655486.5900,3,3.711664,1,2.293578,37.614106,77.555420,23.615848,293.175028,0,2.2935779816513735
2007-12-25,sz.002177,67.4000,67.5500,65.4000,67.1000,66.9000,337432,22569818.6900,3,2.219947,1,0.298949,37.726555,77.787275,23.686449,294.051486,0,0.2989536621823552
2007-12-26,sz.002177,67.0000,67.5000,65.7000,67.1000,67.1000,445570,29662399.2400,3,2.931382,1,0.000000,37.726555,77.787275,23.686449,294.051486,0,0.0
2007-12-27,sz.002177,66.2000,69.8000,66.2000,67.1000,67.1000,404703,27388466.5700,3,2.662520,1,0.000000,37.726555,77.787275,23.686449,294.051486,0,0.0
2007-12-28,sz.002177,67.1000,69.0000,66.0000,68.0000,67.1000,409395,27700741.5600,3,2.693388,1,1.341284,38.232574,78.830621,24.004151,297.995545,0,1.3412816691505292
2008-01-02,sz.002177,68.5000,72.2000,67.2000,72.1200,68.0000,673653,47605551.0200,3,4.431928,1,6.058827,40.549018,83.606830,25.458520,316.050569,0,6.058823529411761
2008-01-03,sz.002177,71.0200,72.3000,70.6000,71.8500,72.1200,320264,22859018.8200,3,2.107000,1,-0.374382,40.397212,83.293826,25.363209,314.867351,0,-0.37437603993345503
2008-01-04,sz.002177,71.8500,72.3100,71.0200,71.9700,71.8500,279758,20055087.3500,3,1.840513,1,0.167018,40.464682,83.432939,25.405570,315.393226,0,0.1670146137787043
2008-01-07,sz.002177,71.4800,71.5000,68.6000,69.8500,71.9700,510896,35618658.9500,3,3.361158,1,-2.945676,39.272725,80.975278,24.657205,306.102776,0,-2.9456718076976585
