date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2008-02-28,sz.002218,54.0000,57.0000,48.8000,51.6200,10.7900,26811517,1379502206.8600,3,83.785991,1,378.405900,50.928912,121.985484,47.620775,1143.076309,0,
2008-02-29,sz.002218,48.4800,54.4500,47.9000,53.0000,51.6200,14118731,732349524.0400,3,44.121034,1,2.673385,52.290436,125.246623,48.893861,1173.635110,0,2.6733824099186343
2008-03-03,sz.002218,53.7100,57.6000,53.5000,55.0000,53.0000,9711723,539169766.2800,3,30.349134,1,3.773585,54.263660,129.972911,50.738912,1217.923227,0,3.7735849056603765
2008-03-04,sz.002218,55.4900,56.7000,53.0000,53.6200,55.0000,5372760,292326889.7300,3,16.789875,1,-2.509093,52.902136,126.711772,49.465827,1187.364426,0,-2.5090909090909164
2008-03-05,sz.002218,53.3000,53.9700,49.8000,50.0200,53.6200,6197633,317524749.5200,3,19.367603,1,-6.713910,49.350333,118.204454,46.144734,1107.645815,0,-6.71391271913464
2008-03-06,sz.002218,49.7000,50.7000,47.5000,47.7000,50.0200,5337367,260820473.9600,3,16.679272,1,-4.638144,47.061393,112.721961,44.004475,1056.271599,0,-4.638144742103156
2008-03-07,sz.002218,46.9900,47.6600,45.6800,45.7100,47.7000,3432902,158899108.3400,3,10.727819,1,-4.171911,45.098035,108.019304,42.168649,1012.204922,0,-4.17190775681342
2008-03-10,sz.002218,45.0600,47.2500,44.4500,46.2900,45.7100,2574350,118549678.9700,3,8.044844,1,1.268873,45.670270,109.389928,42.703714,1025.048476,0,1.268868956464675
2008-03-11,sz.002218,45.5000,46.3500,43.9100,45.7500,46.2900,1962008,88581785.0100,3,6.131275,1,-1.166561,45.137499,108.113830,42.205550,1013.090684,0,-1.166558651976668
2008-03-12,sz.002218,47.0000,48.4800,45.7800,46.0000,45.7500,3015113,142096682.1800,3,9.422228,1,0.546448,45.384152,108.704616,42.436181,1018.626699,0,0.5464480874316946
2008-03-13,sz.002218,44.8000,49.9600,44.3800,48.7600,46.0000,4938924,234098258.2600,3,15.434138,1,5.999997,48.107201,115.226893,44.982352,1079.744301,0,6.000000000000005
2008-03-14,sz.002218,48.0000,50.4500,47.0100,47.2500,48.7600,3173255,154723016.3200,3,9.916422,1,-3.096797,46.617417,111.658546,43.589338,1046.306773,0,-3.0968006562756334
2008-03-17,sz.002218,46.5200,46.7700,42.5300,42.5300,47.2500,3333637,144743947.1700,3,10.417616,1,-9.989420,41.960609,100.504507,39.235017,941.786816,0,-9.989417989417992
2008-03-18,sz.002218,40.0000,40.7000,38.2800,38.2800,42.5300,2838868,110021046.9200,3,8.871462,1,-9.992947,37.767508,90.461146,35.314283,847.674566,0,-9.992946155654836
2008-03-19,sz.002218,39.1000,39.8000,36.2100,37.4900,38.2800,3454441,131521674.5300,3,10.795128,1,-2.063733,36.988084,88.594262,34.585488,830.180760,0,-2.0637408568442983
2008-03-20,sz.002218,35.9900,39.5000,33.7400,38.0000,37.4900,3640520,131227308.9800,3,11.376625,1,1.360358,37.491256,89.799465,35.055976,841.474230,0,1.3603627634035664
2008-03-21,sz.002218,36.9000,39.4900,36.5100,38.2000,38.0000,2470061,94189996.3400,3,7.718941,1,0.526318,37.688579,90.272094,35.240481,845.903041,0,0.5263157894736858
2008-03-24,sz.002218,37.5800,39.5000,36.0000,36.0000,38.2000,1910425,72511447.4900,3,5.970078,1,-5.759164,35.518032,85.073178,33.210924,797.186112,0,-5.759162303664933
2008-03-25,sz.002218,35.0000,35.9800,33.0000,35.8000,36.0000,2805906,97005378.2500,3,8.768456,1,-0.555558,35.320710,84.600549,33.026419,792.757301,0,-0.5555555555555647
2008-03-26,sz.002218,36.2200,37.5900,36.0000,36.8000,35.8000,3017467,111224777.9900,3,9.429584,1,2.793296,36.307322,86.963693,33.948945,814.901359,0,2.7932960893854775
2008-03-27,sz.002218,35.0800,36.3600,33.6000,33.7000,36.8000,2435608,85431434.6700,3,7.611275,1,-8.423909,33.248825,79.637947,31.089115,746.254777,0,-8.423913043478247
2008-03-28,sz.002218,32.9500,33.9800,30.8400,33.5000,33.7000,3729187,121611479.1000,3,11.653709,1,-0.593474,33.051502,79.165318,30.904610,741.825966,0,-0.5934718100890302
2008-03-31,sz.002218,31.8900,32.6000,30.1500,30.2500,33.5000,2764484,86464206.7700,3,8.639012,1,-9.701492,29.845013,71.485101,27.906402,669.857775,0,-9.701492537313428
2008-04-01,sz.002218,29.5400,30.2500,27.2300,27.2300,30.2500,2976980,83361837.8300,3,9.303063,1,-9.983473,26.865445,64.348406,25.120374,602.982718,0,-9.983471074380168
2008-04-02,sz.002218,28.0000,28.3700,24.8000,25.6000,27.2300,3091687,82088948.1400,3,9.661522,1,-5.986042,25.257267,60.496482,23.616657,566.887902,0,-5.986044803525514
2008-04-03,sz.002218,25.4000,27.9900,25.4000,27.4200,25.6000,2226156,60390051.3800,3,6.956738,1,7.109374,27.052901,64.797404,25.295654,607.190089,0,7.109374999999996
2008-04-07,sz.002218,26.5000,29.4900,26.0700,29.3000,27.4200,3189689,90829732.1100,3,9.967778,1,6.856306,28.907732,69.240114,27.030002,648.820919,0,6.856309263311444
2008-04-08,sz.002218,29.2000,30.5100,28.5500,29.3100,29.3000,3137464,92561466.5900,3,9.804575,1,0.034130,28.917598,69.263746,27.039228,649.042360,0,0.03412969283276279
2008-04-09,sz.002218,28.5000,29.3000,26.5000,26.5800,29.3100,2263983,63373606.7900,3,7.074947,1,-9.314225,26.224147,62.812363,24.520733,588.589080,0,-9.314227226202664
2008-04-10,sz.002218,26.1000,27.8800,25.8000,27.5000,26.5800,1751435,46956403.1100,3,5.473234,1,3.461249,27.131830,64.986455,25.369456,608.961614,0,3.4612490594432055
2008-04-11,sz.002218,27.7800,29.3000,27.6000,28.7300,27.5000,1864874,53358512.2000,3,5.827731,1,4.472725,28.345363,67.893122,26.504163,636.198806,0,4.472727272727273
2008-04-14,sz.002218,27.7000,28.0000,25.8600,25.9200,28.7300,1638036,43730026.7100,3,5.118863,1,-9.780715,25.572983,61.252688,23.911866,573.974001,0,-9.780717020536024
2008-04-15,sz.002218,25.9100,28.5100,25.6300,28.5100,25.9200,2604823,71206770.7000,3,8.140072,1,9.992285,28.128308,67.373231,26.301207,631.327113,0,9.992283950617287
2008-04-16,sz.002218,28.9900,30.4900,28.5500,28.9000,28.5100,4395436,129815260.9600,3,13.735738,1,1.367939,28.513087,68.294857,26.660992,639.963296,0,1.3679410733075992
2008-04-17,sz.002218,29.8000,31.7900,29.3900,31.0000,28.9000,6069088,186001842.3700,3,18.965900,1,7.266437,30.584972,73.257459,28.598296,686.465819,0,7.26643598615917
2008-04-18,sz.002218,30.7800,30.7800,28.0000,28.2000,31.0000,3150032,93148861.2900,3,9.843850,1,-9.032255,27.822459,66.640656,26.015224,624.462455,0,-9.03225806451613
2008-04-21,sz.002218,31.0000,31.0200,28.2300,29.5100,28.2000,4079840,121680810.1900,3,12.749500,1,4.645388,29.114920,69.736374,27.223733,653.471172,0,4.645390070921995
2008-04-22,sz.002218,28.1600,29.0000,26.5600,27.1000,29.5100,2893639,79014898.3800,3,9.042622,1,-8.166722,22.260283,62.538707,21.172181,350.096302,0,-8.166723144696707
2008-04-23,sz.002218,26.3100,29.3800,26.3100,29.0000,27.1000,2837933,79985999.0100,3,8.868541,1,7.011069,23.820967,66.923340,22.656578,374.641799,0,7.011070110701101
2008-04-24,sz.002218,31.2500,31.9000,30.2000,31.9000,29.0000,6136714,193579220.2700,3,19.177231,1,9.999999,26.203064,73.615674,24.922236,412.105979,0,9.999999999999986
2008-04-25,sz.002218,31.4000,34.5000,30.7800,32.9000,31.9000,5496031,181948777.2500,3,17.175097,1,3.134802,8.463600,74.811359,25.531419,12.369135,0,3.1347962382445083
2008-04-28,sz.002218,32.0000,35.0900,31.7100,34.2000,32.9000,4056399,134937713.7700,3,12.676247,1,3.951365,8.798028,77.767431,26.540259,12.857885,0,3.951367781155035
2008-04-29,sz.002218,33.7000,35.0800,33.4700,34.0500,34.2000,3073975,105486188.8000,3,9.606172,1,-0.438601,8.759440,77.426346,26.423855,12.801491,0,-0.43859649122808264
2008-04-30,sz.002218,33.9000,35.4500,33.9000,34.9000,34.0500,3197652,111324441.9700,3,9.992662,1,2.496336,8.978104,79.359162,27.083481,13.121058,0,2.496328928046987
2008-05-05,sz.002218,35.0600,37.5000,34.0700,36.7000,34.9000,3988837,142488486.1700,3,12.465116,1,5.157591,9.441158,83.452185,28.480337,13.797789,0,5.157593123209181
2008-05-06,sz.002218,35.8800,37.4200,35.3500,35.3500,36.7000,3072776,110723573.6900,3,9.602425,1,-3.678480,9.093868,80.382418,27.432695,13.290241,0,-3.6784741144414212
2008-05-07,sz.002218,35.4500,36.0100,33.3300,33.4100,35.3500,3189342,109817615.8600,3,9.966694,1,-5.487974,8.594798,75.971049,25.927195,12.560876,0,-5.487977369165497
2008-05-08,sz.002218,33.0000,35.5000,32.8000,35.2600,33.4100,2687076,92800936.4600,3,8.397112,1,5.537260,9.070715,80.177767,27.362852,13.256404,0,5.537264292128108
2008-05-09,sz.002218,35.6800,37.0000,34.3000,35.6800,35.2600,2946717,105500080.4300,3,9.208491,1,1.191157,9.178761,81.132806,27.688785,13.414308,0,1.1911514463981865
2008-05-12,sz.002218,35.6800,35.6800,35.6800,35.6800,35.6800,0,0.0000,3,,0,0.000000,9.178761,81.132806,27.688785,13.414308,0,0.0
2008-05-13,sz.002218,34.7600,36.7800,34.4400,35.5600,35.6800,2797176,99921354.4800,3,8.741175,1,-0.336320,9.147891,80.859937,27.595662,13.369193,0,-0.33632286995515237
2008-05-14,sz.002218,35.0000,36.9200,34.7800,36.7600,35.5600,2477089,89892277.2900,3,7.740903,1,3.374569,9.456594,83.588619,28.526899,13.820347,0,3.3745781777277717
