date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2008-05-06,sz.002226,25.0000,31.2800,24.8000,26.2500,12.6000,9288752,252656898.0600,3,86.006963,1,108.333300,13.813257,56.370995,9.619162,-165.959114,0,
2008-05-07,sz.002226,24.4000,25.2500,23.6300,23.6400,26.2500,4374872,105259593.6900,3,40.508074,1,-9.942860,12.439825,50.766107,8.662743,-149.458036,0,-9.942857142857143
2008-05-08,sz.002226,22.4000,23.0000,21.7500,22.4100,23.6400,2767657,61586053.1000,3,25.626454,1,-5.203044,11.792575,48.124723,8.212016,-141.681666,0,-5.203045685279184
2008-05-09,sz.002226,22.4000,23.3000,22.1500,22.8900,22.4100,2289568,52018710.8400,3,21.199704,1,2.141899,12.045160,49.155507,8.387909,-144.716347,0,2.1419009370816644
2008-05-12,sz.002226,22.4900,23.4000,21.0100,22.3500,22.8900,2074584,45854732.5900,3,19.209111,1,-2.359105,11.761002,47.995875,8.190030,-141.302331,0,-2.3591087811271283
2008-05-13,sz.002226,21.1200,22.7800,21.0800,21.8200,22.3500,1396777,30650162.4800,3,12.933120,1,-2.371368,11.482105,46.857718,7.995814,-137.951538,0,-2.371364653243857
2008-05-14,sz.002226,21.4600,22.1500,21.4600,21.7900,21.8200,1305671,28492254.7900,3,12.089546,1,-0.137483,11.466319,46.793294,7.984821,-137.761870,0,-0.1374885426214556
2008-05-15,sz.002226,21.8100,22.9900,21.8100,22.1800,21.7900,1695086,37946297.6100,3,15.695241,1,1.789809,11.671544,47.630806,8.127734,-140.227548,0,1.7898118402937202
2008-05-16,sz.002226,22.0100,22.1700,21.0500,21.4300,22.1800,1128279,24346869.7000,3,10.447028,1,-3.381425,11.276880,46.020206,7.852901,-135.485859,0,-3.3814247069431924
2008-05-19,sz.002226,21.4000,22.0000,21.1800,21.6100,21.4300,752771,16305875.1300,3,6.970102,1,0.839945,11.371599,46.406750,7.918861,-136.623865,0,0.8399440037330841
2008-05-20,sz.002226,21.3000,21.8000,20.3200,20.3500,21.6100,1003129,21126257.7800,3,9.288231,1,-5.830635,10.708563,43.700942,7.457141,-128.657827,0,-5.830633965756582
2008-05-21,sz.002226,20.0100,20.3500,19.0100,20.2000,20.3500,1098614,21465354.9500,3,10.172352,1,-0.737099,10.629630,43.378822,7.402174,-127.709489,0,-0.7371007371007487
2008-05-22,sz.002226,19.6100,20.2000,19.2100,19.2100,20.2000,670285,13187237.9100,3,6.206343,1,-4.900998,10.108673,41.252831,7.039395,-121.450460,0,-4.900990099009894
2008-05-23,sz.002226,19.2200,19.6000,18.2400,18.7200,19.2100,755078,14194257.0900,3,6.991463,1,-2.550754,9.850825,40.200572,6.859837,-118.352557,0,-2.550754815200429
2008-05-26,sz.002226,18.8500,18.8500,17.8800,17.9500,18.7200,527603,9588737.6400,3,4.885213,1,-4.113240,9.445637,38.547023,6.577675,-113.484423,0,-4.11324786324786
2008-05-27,sz.002226,17.9500,18.3900,17.8700,18.2000,17.9500,279854,5073410.3900,3,2.591241,1,1.392758,9.577191,39.083890,6.669286,-115.064986,0,1.392757660167132
2008-05-28,sz.002226,18.2800,18.6700,18.0000,18.5000,18.2000,607047,11143610.8400,3,5.620806,1,1.648347,9.735057,39.728129,6.779219,-116.961661,0,1.6483516483516425
2008-05-29,sz.002226,18.5100,20.3500,18.3500,20.3500,18.5000,2584064,51607507.2100,3,23.926519,1,10.000000,10.708563,43.700942,7.457141,-128.657827,0,10.000000000000009
2008-05-30,sz.002226,20.6900,22.2000,20.2500,21.8700,20.3500,4075562,86722003.8700,3,37.736685,1,7.469290,11.508416,46.965091,8.014136,-138.267650,0,7.469287469287456
2008-06-02,sz.002226,21.2800,21.7700,20.2500,21.7200,21.8700,2265603,47964822.6700,3,20.977806,1,-0.685878,11.429483,46.642971,7.959170,-137.319312,0,-0.6858710562414383
2008-06-03,sz.002226,21.8000,21.8000,20.6600,20.9000,21.7200,1245547,26157588.3300,3,11.532843,1,-3.775321,10.997984,44.882049,7.658685,-132.135066,0,-3.7753222836095834
2008-06-04,sz.002226,20.5000,20.8600,19.7200,19.8800,20.9000,1382543,27735338.7400,3,12.801324,1,-4.880385,10.461240,42.691633,7.284912,-125.686369,0,-4.880382775119618
2008-06-05,sz.002226,19.5500,20.6000,19.5500,20.2300,19.8800,930031,18866811.8900,3,8.611398,1,1.760565,10.645417,43.443246,7.413168,-127.899157,0,1.760563380281699
2008-06-06,sz.002226,20.0000,20.8900,19.6500,20.5200,20.2300,1087564,22023108.6500,3,10.070037,1,1.433519,10.798020,44.066012,7.519437,-129.732610,0,1.4335145823034967
2008-06-10,sz.002226,19.3800,19.8000,18.4700,18.4700,20.5200,612877,11564674.4100,3,5.674787,1,-9.990258,9.719271,39.663706,6.768226,-116.771994,0,-9.99025341130605
2008-06-11,sz.002226,17.9000,18.1100,16.7000,17.2000,18.4700,1089916,18720714.0800,3,10.091815,1,-6.876008,9.050972,36.936423,6.302842,-108.742734,0,-6.876015159718463
2008-06-12,sz.002226,16.8300,17.2100,16.6300,17.1200,17.2000,672903,11420587.1500,3,6.230583,1,-0.465116,9.008875,36.764626,6.273526,-108.236953,0,-0.46511627906975495
2008-06-13,sz.002226,17.1200,17.6500,16.2100,16.5100,17.1200,612804,10378868.4800,3,5.674111,1,-3.563087,8.687881,35.454671,6.049995,-104.380380,0,-3.5630841121495282
2008-06-16,sz.002226,16.5300,16.9000,15.8100,16.5400,16.5100,505911,8218969.0500,3,4.684361,1,0.181712,8.703667,35.519095,6.060988,-104.570047,0,0.1817080557237949
2008-06-17,sz.002226,16.6000,17.3900,16.1000,17.2800,16.5400,976840,16590823.3700,3,9.044815,1,4.474000,9.093070,37.108220,6.332157,-109.248514,0,4.474002418379697
2008-06-18,sz.002226,17.1800,17.8800,16.3100,17.7600,17.2800,1026128,17830817.6300,3,9.501185,1,2.777775,9.345655,38.139004,6.508050,-112.283195,0,2.77777777777779
2008-06-19,sz.002226,17.4400,17.6700,15.9800,15.9800,17.7600,671501,11230903.0100,3,6.217602,1,-10.022530,8.408985,34.316514,5.855780,-101.029586,0,-10.022522522522525
2008-06-20,sz.002226,15.5300,16.5000,14.4000,15.5700,15.9800,1036018,16061554.7600,3,9.592759,1,-2.565706,8.193235,33.436053,5.705537,-98.437463,0,-2.5657071339173942
2008-06-23,sz.002226,15.2600,15.4800,14.0100,14.1000,15.5700,660289,9623501.6200,3,6.113787,1,-9.441229,7.419692,30.279277,5.166864,-89.143753,0,-9.441233140655115
2008-06-24,sz.002226,14.1100,14.8200,13.8000,14.5800,14.1000,450840,6485927.9200,3,4.174444,1,3.404252,7.672278,31.310061,5.342758,-92.178433,0,3.404255319148941
2008-06-25,sz.002226,14.5100,15.2900,14.4500,15.1800,14.5800,498875,7497769.6600,3,4.619213,1,4.115229,7.988009,32.598541,5.562624,-95.971785,0,4.115226337448563
2008-06-26,sz.002226,15.2000,15.6500,14.9500,15.2100,15.1800,631471,9615669.3700,3,5.846954,1,0.197627,8.003796,32.662965,5.573617,-96.161452,0,0.19762845849802257
2008-06-27,sz.002226,14.9400,14.9400,13.8800,14.1000,15.2100,622031,8957988.3100,3,5.759546,1,-7.297828,7.419692,30.279277,5.166864,-89.143753,0,-7.297830374753456
2008-06-30,sz.002226,14.2000,14.5000,14.0100,14.4500,14.1000,473289,6766789.0800,3,4.382306,1,2.482265,7.603869,31.030890,5.295120,-91.356541,0,2.482269503546086
2008-07-01,sz.002226,14.5600,15.7300,14.3800,14.9900,14.4500,818804,12259780.5200,3,7.581519,1,3.737024,7.888027,32.190522,5.493000,-94.770557,0,3.7370242214533
2008-07-02,sz.002226,15.0100,15.3400,14.7700,14.9200,14.9900,626175,9395228.6000,3,5.797917,1,-0.466976,7.851192,32.040200,5.467349,-94.327999,0,-0.46697798532354673
2008-07-03,sz.002226,14.9000,15.6000,14.5000,15.3200,14.9200,771308,11747056.6500,3,7.141741,1,2.680963,8.061680,32.899186,5.613926,-96.856900,0,2.680965147453085
2008-07-04,sz.002226,15.3300,15.4300,14.7600,14.9300,15.3200,456146,6871166.4400,3,4.223574,1,-2.545688,7.856454,32.061674,5.471013,-94.391222,0,-2.5456919060052208
2008-07-07,sz.002226,14.9300,15.6800,14.9300,15.5500,14.9300,705678,10889207.5800,3,6.534056,1,4.152712,8.182710,33.393103,5.698208,-98.311018,0,4.152712659075686
2008-07-08,sz.002226,15.4200,16.2000,15.4100,15.9600,15.5500,819399,12953061.9000,3,7.587028,1,2.636655,8.398460,34.273565,5.848451,-100.903141,0,2.636655948553046
2008-07-09,sz.002226,15.7300,16.4700,15.7200,16.3600,15.9600,958753,15523964.6600,3,8.877343,1,2.506269,8.608948,35.132551,5.995028,-103.432042,0,2.5062656641603898
2008-07-10,sz.002226,16.1800,16.4700,15.8100,15.8200,16.3600,705734,11349995.2100,3,6.534574,1,-3.300739,8.324789,33.972919,5.797148,-100.018026,0,-3.3007334963325086
2008-07-11,sz.002226,15.7500,15.9600,15.3000,15.6200,15.8200,484653,7556962.2200,3,4.487528,1,-1.264221,8.219546,33.543426,5.723860,-98.753575,0,-1.2642225031605614
2008-07-14,sz.002226,15.5600,17.1800,15.5100,17.1800,15.6200,1183430,19761037.7700,3,10.957685,1,9.987199,9.040448,36.893474,6.295513,-108.616289,0,9.98719590268886
2008-07-15,sz.002226,17.8600,18.1500,17.1000,17.1800,17.1800,2294695,40118396.5900,3,21.247176,1,0.000000,9.040448,36.893474,6.295513,-108.616289,0,0.0
2008-07-16,sz.002226,17.2000,18.1800,16.7100,17.4900,17.1800,2170521,38049359.1400,3,20.097417,1,1.804421,9.203576,37.559188,6.409110,-110.576187,0,1.8044237485448145
2008-07-17,sz.002226,17.5000,17.9000,16.7200,17.0000,17.4900,1113512,19220570.9800,3,10.310296,1,-2.801600,8.945728,36.506930,6.229553,-107.478283,0,-2.8016009148084553
2008-07-18,sz.002226,17.0500,17.2900,15.6500,16.9800,17.0000,1231647,20103446.0900,3,11.404139,1,-0.117650,8.935204,36.463980,6.222224,-107.351838,0,-0.11764705882352233
2008-07-21,sz.002226,16.4000,17.7700,16.4000,17.6400,16.9800,1716367,29708972.2400,3,15.892287,1,3.886925,9.282509,37.881308,6.464077,-111.524524,0,3.886925795053009
2008-07-22,sz.002226,17.6000,19.3700,17.2500,18.3900,17.6400,2306388,42304783.0600,3,21.355444,1,4.251701,9.677173,39.491908,6.738910,-116.266213,0,4.251700680272119
2008-07-23,sz.002226,18.3500,19.3000,18.0500,18.3500,18.3900,2017595,37665112.9200,3,18.681435,1,-0.217504,9.656124,39.406010,6.724252,-116.013323,0,-0.2175095160413254
2008-07-24,sz.002226,18.4300,19.2300,18.3100,19.2200,18.3500,1588805,29731627.7200,3,14.711157,1,4.741138,10.113935,41.274305,7.043059,-121.513683,0,4.74114441416893
2008-07-25,sz.002226,19.1600,19.8000,18.6500,19.5600,19.2200,1821239,35190136.1600,3,16.863324,1,1.768992,10.292850,42.004444,7.167650,-123.663248,0,1.768990634755463
2008-07-28,sz.002226,19.5700,19.7700,19.0400,19.5400,19.5600,1710796,33196537.4400,3,15.840704,1,-0.102242,10.282325,41.961495,7.160321,-123.536803,0,-0.10224948875255935
2008-07-29,sz.002226,19.5700,19.5700,18.4200,18.8800,19.5400,1033726,19501458.6400,3,9.571537,1,-3.377696,9.935021,40.544167,6.918468,-119.364117,0,-3.377686796315249
2008-07-30,sz.002226,18.6100,19.6000,18.2100,18.4100,18.8800,851422,16105870.0000,3,7.883537,1,-2.489403,9.687698,39.534858,6.746239,-116.392658,0,-2.4894067796610075
2008-07-31,sz.002226,18.3800,18.4200,17.6100,17.6500,18.4100,565468,10105993.5400,3,5.235815,1,-4.128192,9.287771,37.902783,6.467741,-111.587747,0,-4.12819120043455
2008-08-01,sz.002226,17.3800,17.9000,17.0200,17.7200,17.6500,560766,9791338.2600,3,5.192278,1,0.396600,9.324606,38.053106,6.493393,-112.030305,0,0.3966005665722472
2008-08-04,sz.002226,17.5500,17.5600,16.7500,16.7500,17.7200,380095,6464224.9700,3,3.519398,1,-5.474000,8.814173,35.970063,6.137942,-105.897720,0,-5.474040632054167
2008-08-05,sz.002226,16.7500,16.8800,15.5700,15.6500,16.7500,426632,6912718.8600,3,3.950296,1,-6.567200,8.235332,33.607850,5.734853,-98.943243,0,-6.567164179104479
2008-08-06,sz.002226,15.1900,15.4400,14.5100,14.7000,15.6500,2227292,33125161.9600,3,16.498459,1,-6.070300,7.735424,31.567757,5.386731,-92.937104,0,-6.070287539936103
2008-08-07,sz.002226,14.7000,15.4300,14.7000,15.2400,14.7000,1787747,26928429.3900,3,13.242570,1,3.673500,8.019582,32.727389,5.584611,-96.351120,0,3.6734693877551017
2008-08-08,sz.002226,15.3000,15.3000,13.8500,13.8500,15.2400,1230647,17820260.3100,3,9.115904,1,-9.120700,7.288137,29.742410,5.075253,-87.563190,0,-9.120734908136486
2008-08-11,sz.002226,13.6300,13.7500,12.4900,12.6400,13.8500,992419,13011111.0100,3,7.351252,1,-8.736500,6.651412,27.143976,4.631856,-79.913265,0,-8.736462093862807
2008-08-12,sz.002226,12.5600,12.9900,12.3100,12.7000,12.6400,755403,9490994.8100,3,5.595578,1,0.474700,6.682985,27.272824,4.653842,-80.292600,0,0.4746835443037778
2008-08-13,sz.002226,12.6700,13.2400,12.4100,12.9000,12.7000,630176,8042553.0100,3,4.667970,1,1.574800,6.788229,27.702317,4.727131,-81.557050,0,1.5748031496063186
2008-08-14,sz.002226,12.8800,13.3800,12.7000,13.0100,12.9000,686316,8968898.1700,3,5.083822,1,0.852700,6.846113,27.938539,4.767440,-82.252498,0,0.8527131782945618
2008-08-15,sz.002226,12.9000,14.3100,12.8900,14.1000,13.0100,1876066,26137113.2500,3,13.896785,1,8.378200,7.419692,30.279277,5.166864,-89.143753,0,8.378170637970793
2008-08-18,sz.002226,14.0300,14.1800,12.6900,12.6900,14.1000,1361181,18141491.5000,3,10.082822,1,-10.000000,2.620294,26.297282,4.148313,6.314127,0,-9.999999999999998
2008-08-19,sz.002226,12.1400,12.9200,12.0000,12.6600,12.6900,791025,9852804.2200,3,5.859444,1,-0.236400,2.614099,26.235114,4.138506,6.299200,0,-0.23640661938534313
2008-08-20,sz.002226,12.6000,13.8700,12.2000,13.8200,12.6600,1295935,17254551.1500,3,9.599519,1,9.162700,2.853622,28.638963,4.517706,6.876377,0,9.162717219589256
2008-08-21,sz.002226,13.4500,13.8500,12.9100,12.9900,13.8200,897972,11964654.3800,3,6.651644,1,-6.005800,2.682240,26.918967,4.246382,6.463397,0,-6.005788712011572
2008-08-22,sz.002226,12.7100,12.9700,12.3400,12.5900,12.9900,470305,5920929.5400,3,3.483741,1,-3.079300,2.599646,26.090054,4.115624,6.264370,0,-3.0792917628945315
2008-08-25,sz.002226,12.6000,13.4700,12.5000,13.1800,12.5900,680546,8869384.2900,3,5.041081,1,4.686300,2.721472,27.312701,4.308492,6.557935,0,4.6862589356632345
2008-08-26,sz.002226,12.7400,12.9500,11.8600,12.1000,13.1800,576683,7153424.3500,3,4.271726,1,-8.194200,2.498468,25.074635,3.955445,6.020562,0,-8.194233687405161
2008-08-27,sz.002226,11.9900,12.3300,11.2600,11.7400,12.1000,508696,5964516.0200,3,3.768119,1,-2.975200,2.424133,24.328612,3.837762,5.841438,0,-2.975206611570247
2008-08-28,sz.002226,11.8000,11.9000,11.5400,11.7000,11.7400,256994,3020112.6700,3,1.903659,1,-0.340700,2.415874,24.245721,3.824686,5.821535,0,-0.34071550255537764
2008-08-29,sz.002226,11.7900,12.2200,11.6100,12.0500,11.7000,432382,5154919.9600,3,3.202830,1,2.991500,2.488144,24.971020,3.939100,5.995684,0,2.991452991453003
2008-09-01,sz.002226,12.0300,12.0300,11.4100,11.5000,12.0500,342240,3968883.5100,3,2.535111,1,-4.564300,2.374577,23.831264,3.759307,5.722022,0,-4.564315352697101
2008-09-02,sz.002226,11.3000,11.7700,11.2000,11.5100,11.5000,286148,3287232.7000,3,2.119615,1,0.087000,2.376642,23.851987,3.762576,5.726997,0,0.08695652173913437
