date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2009-08-28,sz.002284,25.6300,27.8000,25.6200,25.9000,18.8000,14417068,384694651.8800,3,75.088896,1,37.765960,6.200216,50.904239,2.720075,-47.175083,0,
2009-08-31,sz.002284,25.0000,25.0100,23.4100,23.7500,25.9000,6394470,154740267.5100,3,33.304531,1,-8.301200,5.685526,46.678597,2.494277,-43.259005,0,-8.301158301158296
2009-09-01,sz.002284,24.1000,24.5000,23.6100,23.7200,23.7500,3914843,94062130.0500,3,20.389807,1,-0.126300,5.678345,46.619635,2.491127,-43.204362,0,-0.1263157894736855
2009-09-02,sz.002284,23.4300,25.3800,23.1000,24.6300,23.7200,5015167,122653222.8800,3,26.120661,1,3.836400,5.896190,48.408162,2.586697,-44.861865,0,3.836424957841489
2009-09-03,sz.002284,23.6000,25.3500,23.5900,25.0900,24.6300,4724488,116500391.1800,3,24.606708,1,1.867600,6.006310,49.312253,2.635007,-45.699723,0,1.867641088103933
2009-09-04,sz.002284,24.9900,26.2000,24.7000,25.3800,25.0900,4149345,105646695.4900,3,21.611172,1,1.155800,6.075733,49.882223,2.665463,-46.227938,0,1.1558389796731738
2009-09-07,sz.002284,25.5000,27.3800,25.3400,25.9900,25.3800,5448105,143806483.9700,3,28.375547,1,2.403500,6.221761,51.081126,2.729527,-47.339012,0,2.4034672970843163
2009-09-08,sz.002284,25.7100,27.4700,25.7100,27.1600,25.9900,4804481,128858395.9100,3,25.023339,1,4.501700,6.501848,53.380661,2.852403,-49.470087,0,4.501731435167389
2009-09-09,sz.002284,27.2500,29.8800,26.6000,29.8800,27.1600,6454603,182607449.1600,3,33.617724,1,10.014700,7.152991,58.726589,3.138063,-54.424381,0,10.014727540500722
2009-09-10,sz.002284,29.4700,30.9500,28.6100,28.6600,29.8800,6950007,206648734.5700,3,36.197953,1,-4.083000,6.860934,56.328783,3.009936,-52.202235,0,-4.08299866131191
2009-09-11,sz.002284,28.2100,30.1400,28.2100,28.9500,28.6600,4087691,118929387.1700,3,21.290057,1,1.011900,6.930357,56.898753,3.040393,-52.730450,0,1.0118632240055714
2009-09-14,sz.002284,29.0100,30.1800,28.9500,29.5000,28.9500,3944676,116440554.3800,3,20.545188,1,1.899800,7.062022,57.979731,3.098155,-53.732237,0,1.899827288428324
2009-09-15,sz.002284,29.5000,29.6900,28.0100,28.1800,29.5000,4679596,134849894.3700,3,24.372896,1,-4.474600,6.746027,55.385384,2.959525,-51.327947,0,-4.474576271186437
2009-09-16,sz.002284,28.0000,28.7800,27.7100,28.3800,28.1800,2760646,78258719.7900,3,14.378365,1,0.709700,6.793905,55.778467,2.980530,-51.692234,0,0.7097232079488869
2009-09-17,sz.002284,28.3500,29.4800,28.1900,29.3000,28.3800,3071198,88668244.9100,3,15.995823,1,3.241700,7.014144,57.586648,3.077150,-53.367951,0,3.241719520789288
2009-09-18,sz.002284,29.3000,30.5600,28.6100,28.7000,29.3000,3442203,102218430.1900,3,17.928141,1,-2.047800,6.870510,56.407400,3.014137,-52.275092,0,-2.0477815699658786
2009-09-21,sz.002284,28.5000,28.9500,26.0000,28.1500,28.7000,2872844,79986190.2100,3,14.962729,1,-1.916400,6.738845,55.326422,2.956375,-51.273304,0,-1.9163763066202155
2009-09-22,sz.002284,27.8000,28.3600,26.8300,26.9200,28.1500,1667842,45924873.0400,3,8.686677,1,-4.369400,6.444395,52.908962,2.827198,-49.032943,0,-4.3694493783303585
2009-09-23,sz.002284,26.7100,27.7000,26.4000,26.9000,26.9200,1598356,43143706.1800,3,8.324771,1,-0.074300,6.439607,52.869653,2.825097,-48.996515,0,-0.07429420505201678
2009-09-24,sz.002284,26.9900,28.0600,26.6600,27.5600,26.9000,2108623,57839423.0800,3,10.982411,1,2.453500,6.597605,54.166827,2.894412,-50.198660,0,2.4535315985130035
2009-09-25,sz.002284,27.3500,28.4800,26.9700,27.8800,27.5600,1617891,45061636.0500,3,8.426516,1,1.161100,6.674210,54.795760,2.928019,-50.781518,0,1.1611030478954953
2009-09-28,sz.002284,27.9200,28.6900,26.3100,26.7900,27.8800,1507581,41885125.5100,3,7.851984,1,-3.909600,6.413274,52.653458,2.813545,-48.796157,0,-3.909612625538017
2009-09-29,sz.002284,26.7700,26.9000,25.2500,25.9000,26.7900,1423151,36887539.2600,3,7.412245,1,-3.322100,6.200216,50.904239,2.720075,-47.175083,0,-3.3221351250466657
2009-09-30,sz.002284,26.1000,26.9800,26.0000,26.1500,25.9000,1010514,26682292.3000,3,5.263094,1,0.965300,6.260064,51.395592,2.746330,-47.630441,0,0.9652509652509744
2009-10-09,sz.002284,26.6000,27.2800,26.4000,27.2000,26.1500,1372606,36968096.8700,3,7.148990,1,4.015300,6.511424,53.459278,2.856604,-49.542944,0,4.0152963671128195
2009-10-12,sz.002284,27.2000,27.2000,27.2000,27.2000,27.2000,0,0.0000,3,,0,0.000000,6.511424,53.459278,2.856604,-49.542944,0,0.0
2009-10-13,sz.002284,28.0000,29.9200,28.0000,29.9200,27.2000,3806302,110327787.0200,3,19.824490,1,10.000000,7.162566,58.805205,3.142264,-54.497239,0,10.000000000000009
2009-10-14,sz.002284,30.2000,31.8800,29.6400,30.1800,29.9200,5196240,159184137.0500,3,27.063750,1,0.869000,7.224808,59.316213,3.169570,-54.970811,0,0.8689839572192382
2009-10-15,sz.002284,30.1100,31.4700,30.1000,30.9000,30.1800,2976909,91735231.7700,3,15.504734,1,2.385700,7.397169,60.731312,3.245186,-56.282242,0,2.385685884691835
2009-10-16,sz.002284,30.8500,31.2000,30.1800,31.1600,30.9000,2194963,67364799.4300,3,11.432099,1,0.841400,7.459411,61.242320,3.272492,-56.755814,0,0.8414239482200658
2009-10-19,sz.002284,31.5000,33.9900,31.1900,33.2200,31.1600,3128563,103183003.5700,3,16.294599,1,6.611000,7.952555,65.291074,3.488837,-60.507964,0,6.611039794608464
2009-10-20,sz.002284,33.2000,34.2000,32.6600,33.9800,33.2200,2726082,90660147.2300,3,14.198344,1,2.287800,8.134492,66.784789,3.568654,-61.892252,0,2.2877784467188356
2009-10-21,sz.002284,33.6400,33.9800,32.6000,32.6000,33.9800,2415736,80397031.4900,3,12.581958,1,-4.061200,7.804133,64.072517,3.423724,-59.378676,0,-4.061212477928178
2009-10-22,sz.002284,32.5000,34.8800,32.1100,34.3900,32.6000,3052740,103581589.1300,3,15.899688,1,5.490800,8.232642,67.590609,3.611713,-62.639039,0,5.4907975460122715
2009-10-23,sz.002284,35.3100,35.7800,34.0100,34.8300,34.3900,2971428,103472310.2300,3,15.476187,1,1.279400,8.337974,68.455391,3.657923,-63.440469,0,1.2794416981680712
2009-10-26,sz.002284,34.8000,35.2800,34.0100,34.3000,34.8300,2041909,70405175.4800,3,10.634943,1,-1.521700,3.859391,43.979711,2.968417,7.545183,0,-1.5216767154751731
2009-10-27,sz.002284,34.2000,34.2100,32.7900,32.8000,34.3000,2323426,77164818.5700,3,12.101177,1,-4.373200,3.690613,42.056400,2.838603,7.215219,0,-4.373177842565601
2009-10-28,sz.002284,32.6100,36.0800,32.6000,36.0800,32.8000,2537207,86570677.5200,3,13.214620,1,10.000010,4.059674,46.262040,3.122463,7.936741,0,10.000000000000009
2009-10-29,sz.002284,35.5100,38.5000,35.1600,36.2300,36.0800,5070159,186082358.6900,3,26.407078,1,0.415700,4.076552,46.454371,3.135444,7.969737,0,0.41574279379157364
2009-10-30,sz.002284,37.1000,39.1100,36.0200,36.3500,36.2300,5242809,195759686.1500,3,27.306297,1,0.331200,4.090054,46.608236,3.145830,7.996134,0,0.3312172232956323
2009-11-02,sz.002284,34.9000,38.3500,34.5600,37.6000,36.3500,3424338,126965720.5200,3,17.835094,1,3.438800,4.230702,48.210995,3.254008,8.271105,0,3.43878954607979
2009-11-03,sz.002284,37.5000,39.0000,37.1800,37.9000,37.6000,2657048,100768658.2300,3,13.838792,1,0.797900,4.264458,48.595657,3.279971,8.337098,0,0.7978723404255206
2009-11-04,sz.002284,37.3500,38.3000,37.0000,37.2200,37.9000,2067695,77704564.0900,3,10.769245,1,-1.794200,4.187945,47.723756,3.221122,8.187514,0,-1.7941952506596248
2009-11-05,sz.002284,37.0800,38.0000,37.0800,37.4600,37.2200,1538213,57766740.8600,3,8.011526,1,0.644800,4.214950,48.031486,3.241892,8.240308,0,0.6448146157979728
2009-11-06,sz.002284,37.8000,38.3600,36.8000,38.1800,37.4600,2471207,92683136.9700,3,12.870870,1,1.922100,4.295963,48.954675,3.304203,8.398691,0,1.9220501868659978
2009-11-09,sz.002284,38.0400,39.3000,37.5500,38.9700,38.1800,1782756,68667685.1800,3,9.285187,1,2.069100,4.384853,49.967619,3.372572,8.572472,0,2.0691461498166586
2009-11-10,sz.002284,38.6000,39.6800,38.3400,38.3800,38.9700,1648056,64192785.7900,3,8.583625,1,-1.514000,4.318467,49.211116,3.321511,8.442686,0,-1.5139851167564666
2009-11-11,sz.002284,38.1800,38.5000,37.4000,37.7000,38.3800,1597559,60432172.6400,3,8.320620,1,-1.771800,4.241954,48.339215,3.262662,8.293102,0,-1.7717561229807166
2009-11-12,sz.002284,37.5500,38.5900,37.0500,37.2000,37.7000,1407790,53232543.2100,3,7.332240,1,-1.326300,4.185695,47.698112,3.219391,8.183114,0,-1.326259946949604
2009-11-13,sz.002284,37.0000,38.4600,36.8800,38.3300,37.2000,1538451,58074294.6300,3,8.012766,1,3.037600,4.312841,49.147006,3.317184,8.431687,0,3.037634408602141
2009-11-16,sz.002284,38.4000,39.3800,38.1600,38.4000,38.3300,1608964,62351285.0100,3,8.380021,1,0.182600,4.320717,49.236761,3.323242,8.447086,0,0.1826245760500944
2009-11-17,sz.002284,38.4500,38.7800,38.0000,38.5000,38.4000,1083691,41605303.2700,3,5.644224,1,0.260400,4.331969,49.364981,3.331897,8.469083,0,0.26041666666667407
2009-11-18,sz.002284,38.2800,39.4900,38.2800,39.4000,38.5000,1789551,69956159.0200,3,9.320578,1,2.337700,4.433236,50.518968,3.409785,8.667062,0,2.3376623376623273
2009-11-19,sz.002284,39.5000,41.0000,38.9300,40.6000,39.4000,2096137,83683747.5400,3,10.917380,1,3.045700,4.568258,52.057617,3.513636,8.931033,0,3.0456852791878264
