date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2009-09-03,sz.002291,21.5000,24.0800,21.1100,22.1800,18.0000,33446938,732749501.1300,3,76.015768,1,23.222230,12.494453,46.325834,6.202049,1440.207199,0,
2009-09-04,sz.002291,21.4400,22.7000,20.9000,22.1000,22.1800,20313324,441061222.7100,3,46.166645,1,-0.360700,12.449388,46.158743,6.179679,1435.012584,0,-0.36068530207393756
2009-09-07,sz.002291,22.3100,23.6500,22.1600,22.7300,22.1000,17220729,393894592.8600,3,39.138020,1,2.850700,12.804280,47.474581,6.355842,1475.920182,0,2.850678733031664
2009-09-08,sz.002291,22.4000,23.1000,22.1200,22.7500,22.7300,9103497,206056920.7400,3,20.689766,1,0.088000,12.815546,47.516354,6.361435,1477.218836,0,0.08798944126704455
2009-09-09,sz.002291,22.7500,25.0300,22.2500,25.0300,22.7500,15332864,361493000.6200,3,34.847418,1,10.022000,14.099917,52.278432,6.998976,1625.265383,0,10.021978021978018
2009-09-10,sz.002291,25.0000,26.9000,24.5100,24.9000,25.0300,20341748,517739308.8100,3,46.231245,1,-0.519400,14.026686,52.006910,6.962625,1616.824133,0,-0.5193767479025224
2009-09-11,sz.002291,24.4100,25.7500,24.4100,24.9000,24.9000,12674694,315795288.7900,3,28.806123,1,0.000000,14.026686,52.006910,6.962625,1616.824133,0,0.0
2009-09-14,sz.002291,24.9000,25.4800,24.5000,24.9400,24.9000,9259319,231257712.3800,3,21.043907,1,0.160600,14.049218,52.090455,6.973810,1619.421441,0,0.16064257028114426
2009-09-15,sz.002291,24.8300,24.8500,23.7600,23.7800,24.9400,11881556,287237633.5800,3,27.003536,1,-4.651200,13.395766,49.667643,6.649447,1544.099513,0,-4.651162790697672
2009-09-16,sz.002291,23.5000,24.1800,23.3500,23.6900,23.7800,6381509,151974395.3100,3,14.503430,1,-0.378500,13.345068,49.479667,6.624281,1538.255571,0,-0.3784693019344032
2009-09-17,sz.002291,23.7500,24.6000,23.7000,24.1200,23.6900,7088891,170710346.7100,3,16.111116,1,1.815100,13.587295,50.377778,6.744519,1566.176630,0,1.815111861544949
2009-09-18,sz.002291,24.1500,24.7900,23.5000,23.6300,24.1200,8199569,198693049.3200,3,18.635384,1,-2.031500,13.311268,49.354349,6.607503,1534.359609,0,-2.03150912106137
2009-09-21,sz.002291,23.3000,23.3900,21.8200,22.7100,23.6300,6507319,146510604.4400,3,14.789361,1,-3.893400,12.793013,47.432808,6.350250,1474.621528,0,-3.8933559035124743
2009-09-22,sz.002291,22.5500,23.0700,21.9200,22.0800,22.7100,3726293,83710762.3100,3,8.468848,1,-2.774100,12.438121,46.116971,6.174087,1433.713930,0,-2.774108322324975
2009-09-23,sz.002291,21.9500,22.5200,21.8100,22.1800,22.0800,3316993,73594737.1200,3,7.538620,1,0.452900,12.494453,46.325834,6.202049,1440.207199,0,0.45289855072463414
2009-09-24,sz.002291,22.0900,22.5200,21.6500,22.0800,22.1800,3407348,75456945.2000,3,7.743973,1,-0.450900,12.438121,46.116971,6.174087,1433.713930,0,-0.45085662759243306
2009-09-25,sz.002291,22.1000,23.0000,21.9000,22.5800,22.0800,4880751,110080388.2700,3,11.092616,1,2.264500,12.719782,47.161286,6.313899,1466.180278,0,2.264492753623193
2009-09-28,sz.002291,22.6600,23.2800,21.7000,21.7100,22.5800,3877335,87430232.8300,3,8.812125,1,-3.853000,12.229693,45.344177,6.070626,1409.688832,0,-3.8529672276350624
2009-09-29,sz.002291,21.4100,21.6700,20.2800,20.7400,21.7100,3603774,75092549.8500,3,8.190395,1,-4.468000,11.683271,43.318205,5.799391,1346.704117,0,-4.467987102717652
