date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2009-09-10,sz.002293,34.0000,38.1800,33.3400,34.8100,27.1600,20847895,718776852.9100,3,74.244640,1,28.166430,14.902471,44.138961,5.261278,97.473952,0,
2009-09-11,sz.002293,34.1600,37.4900,34.0300,35.8000,34.8100,13384037,478653358.0500,3,47.663949,1,2.844000,15.326299,45.394278,5.410909,100.246121,0,2.844010341855774
2009-09-14,sz.002293,36.0000,36.7300,35.1100,35.9100,35.8000,9841449,352782434.5600,3,35.047895,1,0.307300,15.373391,45.533757,5.427535,100.554140,0,0.3072625698324005
2009-09-15,sz.002293,35.5000,35.7200,34.5100,34.6500,35.9100,7110734,248855771.9000,3,25.323127,1,-3.508800,14.833974,43.936082,5.237095,97.025925,0,-3.508771929824561
2009-09-16,sz.002293,34.4000,35.3400,34.2200,34.7200,34.6500,3951386,137576358.0000,3,14.071887,1,0.202000,14.863941,44.024841,5.247675,97.221937,0,0.20202020202020332
2009-09-17,sz.002293,34.7400,35.1300,34.3600,34.9000,34.7200,3903881,135547510.7100,3,13.902710,1,0.518400,14.941001,44.253081,5.274880,97.725968,0,0.5184331797235098
2009-09-18,sz.002293,35.0000,36.2000,34.4100,34.6000,34.9000,5371424,189614256.6800,3,19.129003,1,-0.859600,14.812568,43.872682,5.229538,96.885916,0,-0.859598853868182
2009-09-21,sz.002293,34.1500,34.2000,32.0000,33.0400,34.6000,3856173,127099071.4000,3,13.732810,1,-4.508700,14.144718,41.894607,4.993755,92.517650,0,-4.508670520231217
2009-09-22,sz.002293,33.0000,33.4500,32.0000,32.0900,33.0400,2503270,81644369.2400,3,8.914779,1,-2.875300,13.738015,40.690010,4.850169,89.857487,0,-2.8753026634382395
2009-09-23,sz.002293,32.0200,32.5000,31.4200,31.5800,32.0900,2839056,90604384.1400,3,10.110598,1,-1.589300,13.519679,40.043332,4.773087,88.429400,0,-1.5892801495793196
2009-09-24,sz.002293,31.4000,31.8700,30.5000,31.0300,31.5800,2193050,68411009.8800,3,7.810007,1,-1.741600,13.284219,39.345934,4.689958,86.889306,0,-1.7416086130462194
2009-09-25,sz.002293,31.1200,31.6400,30.6000,31.2100,31.0300,1929817,60279524.6300,3,6.872568,1,0.580100,13.361279,39.574173,4.717164,87.393337,0,0.5800837898807698
2009-09-28,sz.002293,31.2200,31.9600,30.2100,30.5000,31.2100,1745474,54627766.1500,3,6.216075,1,-2.274900,13.057322,38.673896,4.609853,85.405215,0,-2.274911887215636
2009-09-29,sz.002293,30.2300,30.5300,28.6800,28.9100,30.5000,2552135,74942427.5500,3,9.088800,1,-5.213100,12.376628,36.657781,4.369536,80.952943,0,-5.213114754098358
2009-09-30,sz.002293,29.1900,29.6000,28.8000,29.0800,28.9100,1735824,50520342.1300,3,6.181709,1,0.588000,12.449407,36.873341,4.395230,81.428972,0,0.5880318228986381
2009-10-09,sz.002293,29.4700,30.1200,29.2200,30.1000,29.0800,2058095,61315394.8300,3,7.329398,1,3.507600,12.886078,38.166697,4.549395,84.285147,0,3.5075653370013837
2009-10-12,sz.002293,30.2800,30.2900,29.5900,29.6600,30.1000,1405642,41835756.6100,3,5.005848,1,-1.461800,12.697710,37.608779,4.482893,83.053072,0,-1.46179401993356
2009-10-13,sz.002293,29.6100,30.1000,29.3000,30.0800,29.6600,1529028,45615354.3300,3,5.445256,1,1.416000,12.877516,38.141337,4.546373,84.229143,0,1.4160485502360043
2009-10-14,sz.002293,30.0800,30.8800,30.0100,30.2000,30.0800,2198523,66903690.3600,3,7.829498,1,0.398900,12.928889,38.293497,4.564510,84.565164,0,0.3989361702127603
2009-10-15,sz.002293,30.2900,30.4700,29.9000,29.9100,30.2000,1650215,49725814.3700,3,5.876834,1,-0.960300,12.804737,37.925778,4.520678,83.753114,0,-0.9602649006622443
2009-10-16,sz.002293,29.9500,30.1800,29.4800,29.6600,29.9100,1560107,46546136.3500,3,5.555937,1,-0.835800,12.697710,37.608779,4.482893,83.053072,0,-0.8358408559010377
2009-10-19,sz.002293,29.8600,31.2000,29.7000,31.0200,29.6600,2735541,84073805.6700,3,9.741955,1,4.585300,13.279938,39.333254,4.688447,86.861304,0,4.585300067430875
2009-10-20,sz.002293,31.1600,31.7000,30.6300,31.5600,31.0200,2511936,78143927.9800,3,8.945641,1,1.740800,13.511117,40.017972,4.770064,88.373396,0,1.740812379110257
2009-10-21,sz.002293,31.4800,31.5000,30.9100,30.9300,31.5600,2022778,63024392.5100,3,7.203625,1,-1.996200,13.241408,39.219134,4.674844,86.609289,0,-1.9961977186311763
2009-10-22,sz.002293,30.8000,32.3500,30.4000,32.1000,30.9300,3687665,116648826.8200,3,13.132710,1,3.782700,13.742296,40.702690,4.851681,89.885489,0,3.782735208535404
2009-10-23,sz.002293,34.0000,34.9900,33.2000,33.7800,32.1000,6788559,230819917.9400,3,24.175780,1,5.233600,3.689920,37.166411,4.771412,4.576592,0,5.23364485981308
2009-10-26,sz.002293,33.6400,35.5100,33.2000,35.1300,33.7800,5442082,188366640.6900,3,19.380634,1,3.996400,3.837385,38.651747,4.962099,4.759493,0,3.9964476021314477
2009-10-27,sz.002293,34.7000,34.8900,33.0400,33.0400,35.1300,3765839,127302990.4600,3,13.411108,1,-5.949300,3.609087,36.352227,4.666887,4.476335,0,-5.949331056077433
2009-10-28,sz.002293,33.0000,35.2000,32.7000,34.9200,33.0400,3532892,119220159.3200,3,12.581524,1,5.690064,3.814446,38.420695,4.932436,4.731042,0,5.6900726392251855
2009-10-29,sz.002293,34.0000,35.1900,33.6800,33.9900,34.9200,3290100,113144078.9800,3,11.716880,1,-2.663200,3.712859,37.397463,4.801074,4.605043,0,-2.66323024054983
2009-10-30,sz.002293,34.5000,34.9500,33.1200,33.3000,33.9900,3843134,131115869.1500,3,13.686375,1,-2.030000,3.637487,36.638292,4.703612,4.511560,0,-2.03000882612534
2009-11-02,sz.002293,32.2900,33.6500,32.1000,33.4200,33.3000,2177672,71610540.3700,3,7.755242,1,0.360400,3.650595,36.770321,4.720562,4.527818,0,0.3603603603603789
2009-11-03,sz.002293,33.4500,34.4000,33.3100,33.8000,33.4200,1952568,66258419.5900,3,6.953590,1,1.137000,3.692104,37.188416,4.774237,4.579301,0,1.1370436864152955
2009-11-04,sz.002293,34.0100,34.3600,33.2900,33.4000,33.8000,2048519,69129071.0700,3,7.295296,1,-1.183400,3.648411,36.748317,4.717737,4.525109,0,-1.1834319526627168
2009-11-05,sz.002293,33.7500,33.9800,33.2100,33.7900,33.4000,1424331,47919694.8700,3,5.072404,1,1.167700,3.691012,37.177414,4.772824,4.577947,0,1.1676646706586746
2009-11-06,sz.002293,33.8500,34.6800,33.7900,34.6800,33.7900,2890024,98853933.9800,3,10.292108,1,2.633900,3.788230,38.156635,4.898537,4.698526,0,2.6339153595738463
2009-11-09,sz.002293,34.9000,35.5800,34.6900,35.1500,34.6800,3099643,109015904.6900,3,11.038615,1,1.355200,3.839570,38.673752,4.964924,4.762203,0,1.3552479815455598
2009-11-10,sz.002293,35.2900,35.4900,34.7200,34.7600,35.1500,1840022,64363794.4800,3,6.552785,1,-1.109500,3.796969,38.244655,4.909837,4.709365,0,-1.1095305832147906
2009-11-11,sz.002293,34.6000,34.8000,34.1800,34.5500,34.7600,1337745,46134890.2600,3,4.764049,1,-0.604100,3.774030,38.013603,4.880174,4.680913,0,-0.6041426927502869
2009-11-12,sz.002293,34.3500,34.9900,34.3300,34.3900,34.5500,1419174,49167220.6500,3,5.054038,1,-0.463100,3.756552,37.837563,4.857574,4.659236,0,-0.46309696092617925
2009-11-13,sz.002293,34.3900,34.3900,34.3900,34.3900,34.3900,0,0.0000,3,,0,0.000000,3.756552,37.837563,4.857574,4.659236,0,0.0
2009-11-16,sz.002293,35.0600,36.7600,35.0100,35.9900,34.3900,3426252,123110652.3500,3,12.201752,1,4.652500,3.931326,39.597961,5.083574,4.876008,0,4.652515266065715
2009-11-17,sz.002293,35.7200,38.5800,35.7200,37.7600,35.9900,4588541,172328060.3900,3,16.340958,1,4.918000,4.124670,41.545402,5.333585,5.115811,0,4.918032786885229
2009-11-18,sz.002293,37.8000,39.3000,37.3100,38.4900,37.7600,3456716,132184607.8500,3,12.310242,1,1.933300,4.204411,42.348584,5.436698,5.214713,0,1.9332627118644252
2009-11-19,sz.002293,39.3500,40.2500,38.5000,39.2100,38.4900,4392286,173231230.8500,3,15.642044,1,1.870600,4.283060,43.140763,5.538397,5.312261,0,1.8706157443491689
2009-11-20,sz.002293,39.0000,40.1500,38.5800,39.2700,39.2100,2498260,98681264.3300,3,8.896937,1,0.153000,4.289614,43.206778,5.546872,5.320390,0,0.15302218821728886
