date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2009-12-03,sz.002312,56.0000,67.0000,56.0000,66.0000,28.6000,10080392,599943619.2600,3,84.003267,1,130.769200,22.808997,105.371262,15.143961,90.180907,0,
2009-12-04,sz.002312,60.1000,65.2000,59.4000,59.4000,66.0000,5523871,337065948.5700,3,46.032258,1,-10.000000,20.528097,94.834136,13.629565,81.162816,0,-9.999999999999998
2009-12-07,sz.002312,57.4000,61.9500,57.3000,59.6700,59.4000,3167758,190331659.8600,3,26.397983,1,0.454500,20.621406,95.265200,13.691518,81.531738,0,0.454545454545463
2009-12-08,sz.002312,59.7000,59.9000,56.8000,57.7900,59.6700,2210559,128334425.7600,3,18.421325,1,-3.150700,19.971696,92.263716,13.260144,78.962949,0,-3.1506619741913933
2009-12-09,sz.002312,56.8200,58.5500,56.0100,57.1500,57.7900,1428673,81667423.9900,3,11.905608,1,-1.107500,19.750517,91.241934,13.113294,78.088467,0,-1.107458037722786
2009-12-10,sz.002312,57.5000,59.5800,57.5000,58.6000,57.1500,1564709,91724074.5300,3,13.039242,1,2.537200,20.251624,93.556909,13.446002,80.069714,0,2.5371828521434825
2009-12-11,sz.002312,58.9000,59.0000,56.7800,57.0000,58.6000,1517990,86844727.5900,3,12.649917,1,-2.730400,19.698679,91.002454,13.078876,77.883511,0,-2.7303754266211677
2009-12-14,sz.002312,56.5600,57.6500,56.0500,57.4000,57.0000,984481,55974543.1900,3,8.204008,1,0.701800,19.836915,91.641067,13.170657,78.430062,0,0.7017543859649145
2009-12-15,sz.002312,57.2700,57.8000,56.1000,56.2000,57.4000,883242,50095230.9300,3,7.360350,1,-2.090600,19.422206,89.725226,12.895312,76.790409,0,-2.0905923344947674
2009-12-16,sz.002312,56.1900,56.1900,50.6500,51.3300,56.2000,1939969,102009924.5000,3,16.166408,1,-8.665500,17.739179,81.950104,11.777872,70.136151,0,-8.665480427046269
2009-12-17,sz.002312,51.2400,52.3000,50.5000,50.8000,51.3300,815577,41852531.6300,3,6.796475,1,-1.032500,17.556016,81.103941,11.656261,69.411971,0,-1.0325345801675434
2009-12-18,sz.002312,50.0100,50.0100,45.9500,46.0200,50.8000,1110345,51838118.6500,3,9.252875,1,-9.409400,15.904091,73.472507,10.559471,62.880687,0,-9.409448818897626
2009-12-21,sz.002312,45.7000,46.8000,45.6500,46.6700,46.0200,627632,29108761.8800,3,5.230267,1,1.412400,16.128725,74.510255,10.708616,63.768832,0,1.412429378531077
2009-12-22,sz.002312,46.7700,46.9000,43.0100,43.2500,46.6700,1192931,53133054.0900,3,9.941092,1,-7.328000,14.946805,69.050107,9.923884,59.095822,0,-7.328047996571674
2009-12-23,sz.002312,43.3000,46.4600,43.1800,45.3100,43.2500,1206727,54284259.1100,3,10.056058,1,4.763000,15.658722,72.338968,10.396559,61.910559,0,4.7630057803468295
2009-12-24,sz.002312,44.8000,46.5000,44.8000,46.2100,45.3100,1150248,52854078.9300,3,9.585400,1,1.986300,15.969754,73.775849,10.603067,63.140299,0,1.9863164864268423
2009-12-25,sz.002312,46.2500,46.9000,45.5100,46.2300,46.2100,747293,34565894.1500,3,6.227442,1,0.043300,15.976665,73.807780,10.607656,63.167626,0,0.043280675178514194
2009-12-28,sz.002312,46.2400,47.2800,46.0300,46.7200,46.2300,722556,33711283.9400,3,6.021300,1,1.059900,16.146005,74.590081,10.720089,63.837151,0,1.0599178022928868
2009-12-29,sz.002312,46.9000,47.8000,46.5700,47.8000,46.7200,943763,44636569.9400,3,7.864692,1,2.311600,16.519243,76.314338,10.967899,65.312839,0,2.3116438356164393
2009-12-30,sz.002312,48.6000,48.6500,46.6200,47.1000,47.8000,1204840,57040636.7900,3,10.040333,1,-1.464400,16.277329,75.196764,10.807281,64.356375,0,-1.4644351464435101
2009-12-31,sz.002312,47.0100,47.2300,46.4600,47.0100,47.1000,578400,27112690.9100,3,4.820000,1,-0.191100,16.246226,75.053076,10.786631,64.233401,0,-0.19108280254778176
2010-01-04,sz.002312,46.4600,47.9800,46.4600,47.4000,47.0100,702703,33267122.6800,3,5.855858,1,0.829600,16.381007,75.675725,10.876118,64.766288,0,0.8296107211231751
2010-01-05,sz.002312,47.4300,47.7200,46.6000,47.3900,47.4000,756557,35591704.0800,3,6.304642,1,-0.021100,16.377551,75.659759,10.873823,64.752624,0,-0.02109704641349852
2010-01-06,sz.002312,47.4200,48.2000,47.0000,47.4600,47.3900,938083,44610452.4400,3,7.817358,1,0.147700,16.401742,75.771517,10.889885,64.848270,0,0.1477104874446189
2010-01-07,sz.002312,47.3600,51.9000,47.0700,50.4000,47.4600,2205586,109543316.5700,3,18.379883,1,6.194700,17.417779,80.465327,11.564480,68.865420,0,6.194690265486713
2010-01-08,sz.002312,50.0000,51.7300,49.5500,51.6000,50.4000,1476693,75226498.0600,3,12.305775,1,2.381000,17.832488,82.381169,11.839824,70.505073,0,2.3809523809523947
2010-01-11,sz.002312,51.2000,53.3000,49.7800,52.6500,51.6000,1466400,76532653.7400,3,12.220000,1,2.034900,18.195359,84.057530,12.080751,71.939769,0,2.034883720930236
2010-01-12,sz.002312,52.6000,53.5000,51.5200,51.9700,52.6500,1479762,77542913.6700,3,12.331350,1,-1.291500,17.960357,82.971886,11.924722,71.010632,0,-1.2915479582146228
2010-01-13,sz.002312,50.8000,51.9700,50.0200,50.2500,51.9700,1244289,63127164.4900,3,10.369075,1,-3.309600,17.365941,80.225847,11.530061,68.660463,0,-3.3096016932845806
2010-01-14,sz.002312,50.1000,52.5900,50.0100,52.2800,50.2500,1192152,61506287.0400,3,9.934600,1,4.039800,18.067490,83.466812,11.995853,71.434209,0,4.039800995024878
2010-01-15,sz.002312,52.9800,54.0000,52.0100,52.6400,52.2800,1273206,67675931.9000,3,10.610050,1,0.688600,18.191903,84.041564,12.078456,71.926105,0,0.6885998469777999
2010-01-18,sz.002312,53.0000,53.0800,51.2800,51.4200,52.6400,846951,43872444.9500,3,7.057925,1,-2.317600,17.770282,82.093792,11.798523,70.259125,0,-2.317629179331304
2010-01-19,sz.002312,51.4100,52.0000,50.0100,50.8600,51.4200,710773,36054907.2800,3,5.923108,1,-1.089100,17.576751,81.199733,11.670028,69.493954,0,-1.0890704006223273
