date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2009-12-30,sz.002328,25.5000,26.4900,25.0000,26.1600,19.3800,44509731,1141952827.7700,3,74.182885,1,34.984530,13.060113,57.872930,6.506521,50.984315,0,
2009-12-31,sz.002328,25.6000,27.8600,25.2800,26.5500,26.1600,27532918,732813579.6900,3,45.888197,1,1.490800,13.254816,58.735714,6.603522,51.744403,0,1.4908256880733939
2010-01-04,sz.002328,26.2100,26.9800,25.8100,26.3800,26.5500,16792770,443040649.5900,3,27.987950,1,-0.640300,13.169946,58.359629,6.561240,51.413083,0,-0.6403013182674222
2010-01-05,sz.002328,26.4000,26.4400,25.5000,25.6300,26.3800,14180656,367112810.0500,3,23.634427,1,-2.843100,12.795516,56.700428,6.374699,49.951376,0,-2.8430629264594387
2010-01-06,sz.002328,25.5300,26.8600,25.1200,26.1300,25.6300,15584951,407706786.2300,3,25.974918,1,1.950800,13.045136,57.806562,6.499060,50.925847,0,1.9508388607101024
2010-01-07,sz.002328,25.7800,26.2900,25.3000,25.5200,26.1300,10162189,260802372.4800,3,16.936982,1,-2.334500,12.740599,56.457078,6.347340,49.736993,0,-2.3344814389590463
2010-01-08,sz.002328,25.3000,25.4900,23.6800,24.1700,25.5200,11118887,272021363.9100,3,18.531478,1,-5.290000,12.066626,53.470517,6.011568,47.105921,0,-5.289968652037613
2010-01-11,sz.002328,24.0300,24.5000,23.7100,24.3700,24.1700,6215148,150078093.4800,3,10.358580,1,0.827500,12.166474,53.912970,6.061312,47.495710,0,0.8274720728175478
2010-01-12,sz.002328,24.1000,25.2700,24.0600,24.8500,24.3700,6279915,155753788.3100,3,10.466525,1,1.969600,12.406109,54.974859,6.180698,48.431202,0,1.9696347968814143
2010-01-13,sz.002328,24.3800,24.6700,24.0100,24.1600,24.8500,5171494,125670336.2700,3,8.619157,1,-2.776700,12.061633,53.448394,6.009081,47.086432,0,-2.776659959758554
2010-01-14,sz.002328,24.1600,25.0000,24.1600,24.8000,24.1600,5119615,126623144.8800,3,8.532692,1,2.649000,12.381147,54.864246,6.168262,48.333755,0,2.6490066225165476
2010-01-15,sz.002328,24.8000,25.1000,24.7000,24.9200,24.8000,4114917,102396160.8500,3,6.858195,1,0.483900,12.441055,55.129718,6.198108,48.567628,0,0.4838709677419395
2010-01-18,sz.002328,24.9200,25.1600,24.7200,24.9100,24.9200,4132750,103083186.0900,3,6.887917,1,-0.040100,12.436063,55.107595,6.195621,48.548138,0,-0.040128410914930246
2010-01-19,sz.002328,25.0200,25.0600,24.2100,24.4800,24.9100,4216811,103404587.6500,3,7.028018,1,-1.726200,12.221390,54.156320,6.088671,47.710093,0,-1.726214371738255
