date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-01-06,sz.002329,29.0000,29.7600,27.6800,28.7600,20.1000,15694261,446327166.3600,3,72.658616,1,43.084580,15.869222,68.632951,10.688365,129.840737,0,
2010-01-07,sz.002329,28.3000,30.8000,28.0500,30.1400,28.7600,12849664,382123837.2100,3,59.489185,1,4.798300,16.630679,71.926187,11.201229,136.070926,0,4.798331015299029
2010-01-08,sz.002329,29.7000,30.0000,27.6000,28.2700,30.1400,7883650,226266252.8700,3,36.498380,1,-6.204400,15.598849,67.463613,10.506262,127.628569,0,-6.204379562043794
2010-01-11,sz.002329,28.7800,30.5300,27.8300,29.9600,28.2700,7364188,215589216.2900,3,34.093463,1,5.978100,16.531359,71.496635,11.134333,135.258293,0,5.978068623983024
2010-01-12,sz.002329,29.6900,31.6100,29.5100,30.1300,29.9600,8725708,267181294.3300,3,40.396796,1,0.567400,16.625162,71.902323,11.197512,136.025780,0,0.5674232309746285
2010-01-13,sz.002329,30.0000,32.8600,29.8000,31.8800,30.1300,8256758,258457413.8400,3,38.225731,1,5.808200,17.590778,76.078528,11.847882,143.926381,0,5.808164619980083
2010-01-14,sz.002329,31.3000,32.3500,30.8000,32.0100,31.8800,5770470,182701433.2100,3,26.715139,1,0.407800,17.662510,76.388761,11.896195,144.513283,0,0.40777917189460666
2010-01-15,sz.002329,31.9800,32.2300,31.0100,31.4100,32.0100,3505577,110445725.9800,3,16.229523,1,-1.874400,17.331441,74.956919,11.673211,141.804505,0,-1.8744142455482615
2010-01-18,sz.002329,31.4300,31.8000,30.0200,30.4700,31.4100,4033452,123342946.3500,3,18.673389,1,-2.992700,16.812767,72.713700,11.323870,137.560754,0,-2.992677491244833
2010-01-19,sz.002329,30.5300,30.9900,30.0000,30.7100,30.4700,2886026,88377626.4600,3,13.361231,1,0.787700,16.945195,73.286437,11.413063,138.644265,0,0.7876599934361739
2010-01-20,sz.002329,30.6300,30.6400,27.8100,28.2800,30.7100,4983398,144140551.4500,3,23.071287,1,-7.912700,15.604367,67.487477,10.509978,127.673715,0,-7.912732009117551
2010-01-21,sz.002329,28.1100,28.8800,27.8800,28.7000,28.2800,2269318,64588701.6600,3,10.506102,1,1.485100,15.836115,68.489767,10.666067,129.569860,0,1.4851485148514865
2010-01-22,sz.002329,28.2600,28.3700,26.5800,27.0600,28.7000,2536631,69213416.1900,3,11.743662,1,-5.714300,14.931194,64.576066,10.056577,122.165868,0,-5.714285714285716
2010-01-25,sz.002329,26.8000,26.9900,25.9500,25.9700,27.0600,1537848,40569730.3700,3,7.119667,1,-4.028100,14.329753,61.974887,9.651490,117.244922,0,-4.028085735402809
2010-01-26,sz.002329,26.0500,26.3800,24.6000,24.8800,25.9700,1512739,38309829.3600,3,7.003421,1,-4.197200,13.728311,59.373707,9.246402,112.323976,0,-4.197150558336538
2010-01-27,sz.002329,24.9100,25.3800,24.5100,24.5400,24.8800,1557797,38752336.1400,3,7.212023,1,-1.366600,13.540706,58.562330,9.120045,110.789002,0,-1.3665594855305496
2010-01-28,sz.002329,24.4000,25.2000,24.3100,25.1800,24.5400,1496410,37203862.8900,3,6.927824,1,2.608000,13.893846,60.089628,9.357894,113.678365,0,2.6079869600652117
2010-01-29,sz.002329,24.9900,26.0000,24.8000,25.3100,25.1800,1980423,50409331.8500,3,9.168625,1,0.516300,13.965577,60.399861,9.406208,114.265267,0,0.5162827640984968
2010-02-01,sz.002329,25.0300,25.1900,23.7700,23.8700,25.3100,1451848,35257933.5800,3,6.721519,1,-5.689500,13.171012,56.963440,8.871046,107.764200,0,-5.689450809956531
2010-02-02,sz.002329,24.0000,24.5200,23.7100,23.8100,23.8700,1274465,30771789.8200,3,5.900301,1,-0.251400,13.137906,56.820256,8.848748,107.493323,0,-0.2513615416841364
2010-02-03,sz.002329,23.8600,24.4800,22.2100,24.1800,23.8100,1423310,33168835.8200,3,6.589398,1,1.554000,13.342065,57.703225,8.986254,109.163735,0,1.5539689206215845
2010-02-04,sz.002329,23.6600,24.7000,23.5100,23.9800,24.1800,1252778,30082110.8700,3,5.799898,1,-0.827100,13.231708,57.225944,8.911926,108.260810,0,-0.8271298593879206
2010-02-05,sz.002329,23.3000,24.7800,23.0100,23.9000,23.9800,1698047,41165898.4400,3,7.861329,1,-0.333600,13.187566,57.035032,8.882195,107.899639,0,-0.33361134278566684
2010-02-08,sz.002329,23.6000,24.7500,23.2100,24.6000,23.9000,1310751,31968378.9400,3,6.068292,1,2.928900,13.573813,58.705514,9.142343,111.059880,0,2.9288702928870425
2010-02-09,sz.002329,24.6400,24.8700,24.0000,24.2200,24.6000,927858,22623438.6800,3,4.295639,1,-1.544700,13.364136,57.798681,9.001120,109.344321,0,-1.5447154471544766
2010-02-10,sz.002329,24.2900,24.6800,24.0100,24.5200,24.2200,620999,15106522.4100,3,2.874995,1,1.238600,13.529670,58.514602,9.112612,110.698709,0,1.2386457473162693
2010-02-11,sz.002329,24.5000,24.5400,23.8000,24.2800,24.5200,1125488,27298407.9500,3,5.210593,1,-0.978800,13.397243,57.941865,9.023418,109.615198,0,-0.9787928221859588
2010-02-12,sz.002329,24.2900,24.4400,24.0800,24.2800,24.2800,841998,20372777.5400,3,3.898139,1,0.000000,13.397243,57.941865,9.023418,109.615198,0,0.0
2010-02-22,sz.002329,24.2400,24.2400,23.5100,23.5600,24.2800,881536,20937487.7200,3,4.081185,1,-2.965400,12.999960,56.223655,8.755838,106.364665,0,-2.9654036243822124
2010-02-23,sz.002329,23.5600,23.5800,22.6000,23.2300,23.5600,1162552,26689327.6400,3,5.382185,1,-1.400700,12.817873,55.436142,8.633196,104.874838,0,-1.4006791171476962
2010-02-24,sz.002329,23.1500,24.2000,22.9500,24.1500,23.2300,1473952,35080794.1200,3,6.823852,1,3.960400,13.325511,55.384073,8.480123,109.028297,0,3.9603960396039417
2010-02-25,sz.002329,24.3800,25.5800,24.1700,25.3600,24.1500,2611313,65245003.3400,3,12.089412,1,5.010400,13.993166,58.159010,8.905007,114.490998,0,5.010351966873716
2010-02-26,sz.002329,25.1000,26.1000,24.9200,25.5600,25.3600,2072328,53249279.8400,3,9.594111,1,0.788600,14.103522,58.617677,8.975236,115.393924,0,0.7886435331230235
2010-03-01,sz.002329,25.4500,26.3700,25.3000,26.1700,25.5600,1666587,43324346.1900,3,7.715681,1,2.386500,14.440109,60.016613,9.189434,118.147848,0,2.386541471048531
2010-03-02,sz.002329,26.1700,26.2800,25.9000,26.2000,26.1700,1455979,38007392.7700,3,6.740644,1,0.114600,14.456662,60.085413,9.199968,118.283287,0,0.11463507833395781
2010-03-03,sz.002329,26.2000,26.8200,26.0000,26.4600,26.2000,1119775,29542729.3800,3,5.184144,1,0.992400,14.600125,60.681680,9.291265,119.457090,0,0.992366412213741
2010-03-04,sz.002329,26.4600,26.9800,25.3500,25.4900,26.4600,1887855,49597066.2900,3,8.740069,1,-3.665900,14.064898,58.457144,8.950656,115.077900,0,-3.665910808767958
2010-03-05,sz.002329,25.6000,26.1500,25.4600,25.6000,25.4900,894701,23029708.3300,3,4.142134,1,0.431500,14.125594,58.709411,8.989282,115.574509,0,0.43154178109063857
2010-03-08,sz.002329,25.6900,26.6300,25.6900,26.2700,25.6000,1006586,26419486.0300,3,4.660120,1,2.617200,14.495287,60.245946,9.224548,118.599311,0,2.6171874999999956
2010-03-09,sz.002329,26.2500,26.5800,25.7900,25.9000,26.2700,1081308,28253620.6200,3,5.006056,1,-1.408500,14.291128,59.397412,9.094625,116.928898,0,-1.4084507042253613
2010-03-10,sz.002329,25.8000,25.8500,25.1200,25.3200,25.9000,771037,19674251.2700,3,3.569616,1,-2.239400,13.971095,58.067277,8.890961,114.310413,0,-2.239382239382237
2010-03-11,sz.002329,25.1500,26.3000,25.1500,26.0000,25.3200,973128,25011660.2200,3,4.505222,1,2.685600,14.346306,59.626745,9.129739,117.380361,0,2.6856240126382325
2010-03-12,sz.002329,26.0000,26.0000,26.0000,26.0000,26.0000,0,0.0000,3,,0,0.000000,14.346306,59.626745,9.129739,117.380361,0,0.0
2010-03-15,sz.002329,25.2600,25.8400,25.2600,25.5100,26.0000,578194,14767410.7400,3,2.676824,1,-1.884600,14.075933,58.503011,8.957679,115.168192,0,-1.8846153846153735
2010-03-16,sz.002329,25.3500,25.9700,25.3400,25.8100,25.5100,563390,14456619.1800,3,2.608287,1,1.176000,14.241468,59.191012,9.063022,116.522581,0,1.1760094080752515
2010-03-17,sz.002329,26.0000,26.6700,25.8100,26.6200,25.8100,1319137,34831294.9300,3,6.107116,1,3.138300,14.688410,61.048614,9.347448,120.179431,0,3.138318481208846
