date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-01-22,sz.002340,52.1800,58.5000,52.0200,56.7100,32.0000,16206597,892319989.1900,3,86.527480,1,77.218750,20.053965,110.402481,16.243402,-6505.438965,0,
2010-01-25,sz.002340,56.0000,61.4900,53.0100,54.3000,56.7100,7786642,444922046.3900,3,41.573102,1,-4.249700,19.201733,105.710716,15.553107,-6228.977884,0,-4.249691412449308
2010-01-26,sz.002340,55.1600,59.7300,53.4800,58.2000,54.3000,6731542,389656259.1400,3,35.939893,1,7.182300,20.580863,113.303199,16.670181,-6676.363036,0,7.182320441988965
2010-01-27,sz.002340,59.3100,62.4200,57.6600,60.5000,58.2000,4867204,290905796.4900,3,25.986140,1,3.951900,21.394196,117.780816,17.328969,-6940.205561,0,3.951890034364247
2010-01-28,sz.002340,58.9000,61.5900,56.1000,60.5000,60.5000,5226460,306314228.4000,3,27.904218,1,0.000000,21.394196,117.780816,17.328969,-6940.205561,0,0.0
2010-01-29,sz.002340,59.7000,65.0000,59.5500,63.4000,60.5000,3680783,231340667.1200,3,19.651805,1,4.793400,22.419703,123.426508,18.159613,-7272.876571,0,4.793388429752055
2010-02-01,sz.002340,62.5000,65.3900,61.1800,62.7000,63.4000,2983279,187945512.2600,3,15.927811,1,-1.104100,22.172167,122.063755,17.959113,-7192.576672,0,-1.1041009463722329
2010-02-02,sz.002340,62.7000,63.9900,61.0000,62.2000,62.7000,2230735,139127268.8900,3,11.909957,1,-0.797400,21.995355,121.090360,17.815898,-7135.219602,0,-0.797448165869219
2010-02-03,sz.002340,61.4600,61.8000,58.1200,59.3200,62.2000,3212936,192748096.1600,3,17.153956,1,-4.630200,20.976921,115.483604,16.990982,-6804.842874,0,-4.630225080385852
2010-02-04,sz.002340,58.9900,60.2700,57.6000,59.7700,59.3200,2038344,120247807.4500,3,10.882776,1,0.758600,21.136051,116.359659,17.119875,-6856.464238,0,0.7585974376264293
2010-02-05,sz.002340,58.2800,59.9900,57.6000,59.3100,59.7700,1295841,76267550.1600,3,6.918532,1,-0.769600,20.973385,115.464136,16.988118,-6803.695733,0,-0.7696168646478152
2010-02-08,sz.002340,59.3400,59.9000,55.3700,56.2000,59.3100,1790024,103123594.7800,3,9.556989,1,-5.243600,19.873617,109.409618,16.097323,-6446.934753,0,-5.243635137413594
2010-02-09,sz.002340,55.4000,57.1900,54.6000,56.2300,56.2000,1274667,70885065.0800,3,6.805483,1,0.053400,19.884226,109.468022,16.105916,-6450.376177,0,0.0533807829181443
2010-02-10,sz.002340,56.5100,57.5000,56.0200,56.8800,56.2300,586752,33393721.0300,3,3.132686,1,1.156000,20.114081,110.733435,16.292095,-6524.940369,0,1.1559665658900986
2010-02-11,sz.002340,56.7000,57.4500,55.1500,56.8100,56.8800,907176,51018215.2300,3,4.843438,1,-0.123100,20.089327,110.597160,16.272045,-6516.910379,0,-0.12306610407876173
2010-02-12,sz.002340,56.8100,57.9500,56.1900,57.4000,56.8100,1066686,61257027.2400,3,5.695067,1,1.038500,20.297965,111.745766,16.441038,-6584.591722,0,1.0385495511353593
2010-02-22,sz.002340,57.0100,58.4500,55.9800,57.2000,57.4000,1041660,59760252.2500,3,5.561452,1,-0.348400,20.227240,111.356408,16.383752,-6561.648894,0,-0.34843205574912606
2010-02-23,sz.002340,56.6000,59.9800,56.6000,59.7200,57.2000,1087432,64063727.9300,3,5.805830,1,4.405600,21.118370,116.262320,17.105554,-6850.728531,0,4.405594405594404
2010-02-24,sz.002340,59.2900,60.8800,59.2900,60.4000,59.7200,1131851,67982505.0100,3,6.042985,1,1.138600,21.358834,101.364294,15.328065,-6928.734147,0,1.1386470194239884
2010-02-25,sz.002340,60.2800,63.0500,60.0900,62.1000,60.4000,1330863,82259360.5400,3,7.105515,1,2.814600,21.959993,104.217262,15.759484,-7123.748187,0,2.81456953642385
2010-02-26,sz.002340,62.1000,62.1000,62.1000,62.1000,62.1000,0,0.0000,3,,0,0.000000,21.959993,104.217262,15.759484,-7123.748187,0,0.0
2010-03-01,sz.002340,62.2800,63.4700,61.2200,62.0900,62.1000,1048689,65170396.5100,3,5.598980,1,-0.016100,21.956457,104.200480,15.756946,-7122.601046,0,-0.016103059581318302
2010-03-02,sz.002340,62.0700,63.7700,61.6800,62.4000,62.0900,1200425,75195042.3400,3,6.409103,1,0.499300,22.066080,104.720727,15.835617,-7158.162430,0,0.49927524561119707
2010-03-03,sz.002340,62.0000,62.0000,60.0000,61.0800,62.4000,1440816,87880711.5300,3,7.692557,1,-2.115400,21.599298,102.505481,15.500632,-7006.739763,0,-2.115384615384619
2010-03-04,sz.002340,61.5500,62.7000,60.6200,61.7000,61.0800,1414759,86998173.3700,3,7.553438,1,1.015100,21.818544,103.545975,15.657974,-7077.862531,0,1.015062213490503
2010-03-05,sz.002340,61.3000,64.7400,61.1000,62.8300,61.7000,1712409,107751503.4800,3,9.142600,1,1.831400,22.218138,105.442360,15.944740,-7207.489511,0,1.8314424635332172
2010-03-08,sz.002340,63.0000,63.4500,61.8900,62.7700,62.8300,765394,47903964.3200,3,4.086460,1,-0.095500,22.196921,105.341667,15.929514,-7200.606662,0,-0.09549578226960564
2010-03-09,sz.002340,63.1500,63.8000,61.0100,62.7900,62.7700,714254,44450818.1500,3,3.813422,1,0.031900,22.203993,105.375232,15.934589,-7202.900945,0,0.03186235462799836
2010-03-10,sz.002340,62.5000,63.3200,60.2800,60.3900,62.7900,837474,51418325.1200,3,4.471297,1,-3.822300,21.355298,101.347511,15.325527,-6927.587005,0,-3.822264691829902
2010-03-11,sz.002340,60.0000,61.2500,59.3000,61.0500,60.3900,660511,40049323.9100,3,3.526487,1,1.092900,21.588689,102.455134,15.493019,-7003.298339,0,1.0928961748633892
2010-03-12,sz.002340,60.7500,62.9000,60.2200,61.4000,61.0500,1030993,63617431.2700,3,5.504501,1,0.573300,21.712457,103.042510,15.581841,-7043.448288,0,0.5733005733005836
