date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-01-22,sz.002341,30.0000,30.7000,28.8000,29.3400,23.0000,10259740,301479815.8100,3,67.498289,1,27.565220,14.279654,69.557530,7.436489,-65.070272,0,
2010-01-25,sz.002341,28.8200,28.8200,26.5800,26.6700,29.3400,4375384,120484615.7700,3,28.785421,1,-9.100200,12.980176,63.227653,6.759753,-59.148744,0,-9.100204498977504
2010-01-26,sz.002341,26.5000,27.4000,25.9900,26.2200,26.6700,2672104,71543169.7300,3,17.579632,1,-1.687300,12.761163,62.160820,6.645696,-58.150734,0,-1.687289088863908
2010-01-27,sz.002341,26.4000,26.9400,26.0500,26.9000,26.2200,1938403,51551399.0300,3,12.752651,1,2.593400,13.092116,63.772923,6.818049,-59.658839,0,2.5934401220442327
2010-01-28,sz.002341,26.5900,26.7900,25.0200,25.2500,26.9000,2346285,59822456.6800,3,15.436086,1,-6.133800,12.289068,59.861201,6.399841,-55.999468,0,-6.13382899628252
2010-01-29,sz.002341,24.9800,26.2000,24.7800,25.4600,25.2500,1855155,47595515.0800,3,12.204967,1,0.831700,12.391274,60.359057,6.453068,-56.465206,0,0.8316831683168324
2010-02-01,sz.002341,25.0000,25.0000,24.0600,24.2500,25.4600,1525321,37153165.5200,3,10.035007,1,-4.752600,11.802372,57.490461,6.146382,-53.781667,0,-4.752553024351924
2010-02-02,sz.002341,24.4500,24.7000,24.1400,24.1400,24.2500,932034,22782289.2300,3,6.131803,1,-0.453600,11.748836,57.229679,6.118502,-53.537709,0,-0.4536082474226766
2010-02-03,sz.002341,24.1300,24.4900,23.1100,24.3800,24.1400,1294426,30840649.7600,3,8.515961,1,0.994200,11.865643,57.798657,6.179332,-54.069981,0,0.9942004971002394
2010-02-04,sz.002341,24.2400,24.9900,23.6300,24.6800,24.3800,1175557,28670651.3800,3,7.733928,1,1.230500,12.011652,58.509879,6.255369,-54.735321,0,1.2305168170631653
2010-02-05,sz.002341,24.0500,25.1000,24.0000,24.9200,24.6800,1370873,33752965.0300,3,9.018901,1,0.972400,12.128459,59.078857,6.316200,-55.267593,0,0.9724473257698651
2010-02-08,sz.002341,24.9200,24.9700,24.3700,24.7200,24.9200,670861,16566596.8400,3,4.413559,1,-0.802600,12.031119,58.604709,6.265508,-54.824033,0,-0.8025682182985716
2010-02-09,sz.002341,24.6000,24.7800,24.2000,24.4300,24.7200,581572,14223548.8300,3,3.826132,1,-1.173100,11.889978,57.917194,6.192005,-54.180871,0,-1.173139158576053
2010-02-10,sz.002341,24.5600,24.8900,24.3100,24.7500,24.4300,665971,16360296.4400,3,4.381388,1,1.309900,12.045720,58.675831,6.273112,-54.890567,0,1.3098649201801038
2010-02-11,sz.002341,24.6500,25.0800,24.5100,24.9000,24.7500,769454,19165165.2300,3,5.062197,1,0.606100,12.118725,59.031442,6.311130,-55.223237,0,0.60606060606061
2010-02-12,sz.002341,24.9100,25.2800,24.8100,25.2600,24.9000,701811,17571785.9200,3,4.617178,1,1.445800,12.293935,59.884909,6.402376,-56.021646,0,1.445783132530143
2010-02-22,sz.002341,25.2300,25.7000,24.7700,25.3600,25.2600,1142912,28908163.9100,3,7.519158,1,0.395900,12.342605,60.121983,6.427722,-56.243426,0,0.39588281868565556
2010-02-23,sz.002341,25.5800,25.5800,24.8000,25.2200,25.3600,655346,16429291.8000,3,4.311487,1,-0.552100,12.274467,59.790079,6.392237,-55.932933,0,-0.5520504731861275
2010-02-24,sz.002341,25.1500,26.0700,24.9700,25.9600,25.2200,1201378,30873936.5300,3,7.903803,1,2.934200,12.634622,61.544427,6.579797,-57.574106,0,2.9341792228390284
2010-02-25,sz.002341,25.9900,26.9000,25.7500,26.3200,25.9600,1758583,46400690.3000,3,11.569625,1,1.386700,12.809833,62.397894,6.671042,-58.372514,0,1.3867488443759513
2010-02-26,sz.002341,26.3000,26.7500,26.2000,26.4500,26.3200,1235687,32717060.7000,3,8.129520,1,0.493900,12.873103,54.815473,5.779612,-58.660828,0,0.4939209726443794
2010-03-01,sz.002341,26.5000,27.7900,26.5000,27.6500,26.4500,1828793,50042378.8500,3,12.031533,1,4.536900,13.457138,57.302376,6.041825,-61.322189,0,4.536862003780717
2010-03-02,sz.002341,27.6700,28.5800,27.2600,27.5800,27.6500,2365400,65945318.5400,3,15.561842,1,-0.253200,13.423069,57.157306,6.026529,-61.166943,0,-0.25316455696202667
2010-03-03,sz.002341,27.5800,28.2900,27.1000,27.7200,27.5800,1438782,39838498.3400,3,9.465671,1,0.507600,13.491207,57.447445,6.057120,-61.477435,0,0.5076142131979822
2010-03-04,sz.002341,27.7200,27.7200,26.6800,27.0600,27.7200,1545595,41829687.9600,3,10.168388,1,-2.381000,13.169988,56.079649,5.912903,-60.013687,0,-2.3809523809523836
2010-03-05,sz.002341,27.0000,27.2900,26.7000,27.0900,27.0600,877111,23708332.9200,3,5.770467,1,0.110900,13.184588,56.141821,5.919458,-60.080221,0,0.11086474501109667
2010-03-08,sz.002341,27.2300,27.6500,26.9000,27.4100,27.0900,841055,22990577.7400,3,5.533257,1,1.181200,13.340331,56.804995,5.989382,-60.789917,0,1.1812476928755977
2010-03-09,sz.002341,27.5200,27.6000,27.0500,27.3400,27.4100,612400,16737061.3100,3,4.028947,1,-0.255400,13.306262,56.659926,5.974086,-60.634671,0,-0.2553812477198103
2010-03-10,sz.002341,27.3600,27.4200,26.7000,26.7800,27.3400,662980,17902526.9200,3,4.361711,1,-2.048300,13.033713,55.499371,5.851720,-59.392703,0,-2.048280907095823
2010-03-11,sz.002341,26.7800,27.1100,26.1900,27.1100,26.7800,728355,19491491.8100,3,4.791809,1,1.232300,13.194322,56.183270,5.923829,-60.124577,0,1.232262882748314
2010-03-12,sz.002341,27.0000,27.8000,26.8900,27.2500,27.1100,1034204,28415425.6800,3,6.803974,1,0.516400,13.262460,56.473408,5.954420,-60.435069,0,0.5164146071560349
2010-03-15,sz.002341,27.2500,27.2500,27.2500,27.2500,27.2500,0,0.0000,3,,0,0.000000,13.262460,56.473408,5.954420,-60.435069,0,0.0
2010-03-16,sz.002341,27.0000,27.1800,26.6200,27.1000,27.2500,444733,11978545.4900,3,2.925875,1,-0.550500,13.189455,56.162545,5.921644,-60.102399,0,-0.5504587155963248
2010-03-17,sz.002341,27.0800,27.7800,26.9600,27.6800,27.1000,695713,19154832.1200,3,4.577059,1,2.140200,13.471739,57.364548,6.048380,-61.388723,0,2.1402214022140154
2010-03-18,sz.002341,27.7600,28.0900,27.4300,27.7500,27.6800,945254,26263921.5300,3,6.218776,1,0.252900,13.505808,57.509618,6.063676,-61.543969,0,0.25289017341041387
2010-03-19,sz.002341,27.9800,27.9800,27.5000,27.6000,27.7500,641334,17743460.1500,3,4.219303,1,-0.540500,13.432803,57.198755,6.030899,-61.211299,0,-0.540540540540535
2010-03-22,sz.002341,27.5900,27.9900,27.5200,27.5600,27.6000,460152,12733140.2800,3,3.027316,1,-0.144900,13.413335,57.115858,6.022159,-61.122587,0,-0.14492753623189802
2010-03-23,sz.002341,27.5500,27.6700,26.9000,27.0900,27.5600,562389,15311470.3900,3,3.699928,1,-1.705400,13.184588,56.141821,5.919458,-60.080221,0,-1.705370101596515
