date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-01-26,sz.002344,23.0000,23.9700,21.9500,21.9600,20.0000,31938858,717815204.9300,3,57.033675,1,9.799995,12.208242,72.427175,10.219557,88.477303,0,
2010-01-27,sz.002344,21.6000,23.4700,21.0000,22.5900,21.9600,22283365,501964558.0700,3,39.791723,1,2.868900,12.558478,74.505004,10.512741,91.015586,0,2.86885245901638
2010-01-28,sz.002344,22.0000,22.2700,20.8100,21.2000,22.5900,13649745,291731004.1400,3,24.374545,1,-6.153200,11.785735,69.920588,9.865875,85.415247,0,-6.1531651173085455
2010-01-29,sz.002344,21.3900,22.2400,21.3500,21.6300,21.2000,11124053,242351441.4900,3,19.864380,1,2.028300,12.024785,71.338789,10.065985,87.147726,0,2.0283018867924607
2010-02-01,sz.002344,21.0500,21.2900,20.4000,20.7500,21.6300,6805864,141345388.0500,3,12.153329,1,-4.068400,11.535566,68.436424,9.656458,83.602188,0,-4.068423485899208
2010-02-02,sz.002344,20.8100,21.1900,20.1600,20.4000,20.7500,6743360,139123112.6100,3,12.041714,1,-1.686700,11.340990,67.282075,9.493578,82.192030,0,-1.6867469879518149
2010-02-03,sz.002344,20.3400,20.7300,19.6600,20.5800,20.4000,6055206,122567512.1400,3,10.812868,1,0.882400,11.441057,67.875741,9.577345,82.917254,0,0.8823529411764675
2010-02-04,sz.002344,20.2700,20.8100,20.0000,20.6700,20.5800,5824533,119231590.0800,3,10.400952,1,0.437300,11.491091,68.172573,9.619228,83.279866,0,0.4373177842565745
2010-02-05,sz.002344,20.3300,21.1800,20.0500,20.7300,20.6700,4486459,92261184.3400,3,8.011534,1,0.290300,11.524447,68.370462,9.647150,83.521607,0,0.2902757619738683
2010-02-08,sz.002344,20.7300,21.0000,20.4100,20.7000,20.7300,3348825,69595770.8800,3,5.980045,1,-0.144700,11.507769,68.271517,9.633189,83.400737,0,-0.14471780028944004
2010-02-09,sz.002344,20.5300,20.8500,20.1600,20.5100,20.7000,2416483,49582018.4600,3,4.315148,1,-0.917900,11.402142,67.644871,9.544769,82.635223,0,-0.9178743961352542
2010-02-10,sz.002344,20.5800,20.6800,20.3100,20.5800,20.5100,1595483,32704536.7700,3,2.849077,1,0.341300,11.441057,67.875741,9.577345,82.917254,0,0.3412969283276279
2010-02-11,sz.002344,20.5200,20.7000,20.2500,20.2500,20.5800,2090997,42849458.1700,3,3.733923,1,-1.603500,11.257600,66.787354,9.423772,81.587677,0,-1.60349854227404
2010-02-12,sz.002344,20.3900,20.6600,20.1500,20.5400,20.2500,2282940,46686597.9700,3,4.076679,1,1.432100,11.418820,67.743815,9.558730,82.756093,0,1.4320987654320882
2010-02-22,sz.002344,20.4500,20.7300,20.3800,20.5000,20.5400,1616138,33215524.2700,3,2.885961,1,-0.194700,11.396583,67.611889,9.540115,82.594932,0,-0.19474196689386325
2010-02-23,sz.002344,20.4000,20.7500,20.0100,20.7300,20.5000,3438402,69780725.5000,3,6.140004,1,1.122000,11.524447,68.370462,9.647150,83.521607,0,1.1219512195121961
2010-02-24,sz.002344,20.5500,21.7000,20.5100,21.4500,20.7300,6354761,134796203.0200,3,11.347788,1,3.473200,11.924717,70.745123,9.982218,86.422502,0,3.47322720694645
2010-02-25,sz.002344,21.4800,21.8800,21.3100,21.6700,21.4500,4711427,102175916.6700,3,8.413263,1,1.025600,12.047022,62.369129,10.841598,87.308887,0,1.0256410256410442
2010-02-26,sz.002344,21.6000,22.6000,21.5000,22.0000,21.6700,8826058,196184289.3600,3,15.760818,1,1.522800,12.230479,63.318913,11.006698,88.638464,0,1.522842639593902
2010-03-01,sz.002344,21.8500,22.2100,21.6800,21.7700,22.0000,4990420,109219411.8400,3,8.911464,1,-1.045500,12.102615,62.656942,10.891628,87.711789,0,-1.0454545454545494
2010-03-02,sz.002344,21.7700,21.9500,20.9700,21.2000,21.7700,5252141,112288225.0800,3,9.378823,1,-2.618300,11.785735,61.016407,10.606455,85.415247,0,-2.6182820395039053
2010-03-03,sz.002344,21.1900,21.4500,21.1200,21.4000,21.2000,2804986,59833754.1400,3,5.008904,1,0.943400,11.896921,61.592033,10.706516,86.221051,0,0.943396226415083
2010-03-04,sz.002344,21.4000,21.8500,20.9000,20.9900,21.4000,3574998,76586591.8700,3,6.383925,1,-1.915900,11.668989,60.411999,10.501391,84.569153,0,-1.9158878504672905
2010-03-05,sz.002344,21.0400,21.8500,21.0100,21.8000,20.9900,2927486,62665290.9200,3,5.227654,1,3.859000,12.119293,62.743286,10.906637,87.832660,0,3.858980466888995
2010-03-08,sz.002344,21.8000,22.3400,21.7000,21.9700,21.8000,3702892,81692083.1000,3,6.612307,1,0.779800,12.213801,63.232569,10.991689,88.517593,0,0.7798165137614665
2010-03-09,sz.002344,21.8300,22.2500,21.5900,22.0500,21.9700,2498447,54961293.4400,3,4.461512,1,0.364100,12.258276,63.462819,11.031714,88.839915,0,0.3641329085116052
2010-03-10,sz.002344,22.2500,22.2500,21.6200,21.6500,22.0500,2121446,46283513.1200,3,3.788296,1,-1.814100,12.035903,62.311566,10.831592,87.228307,0,-1.8140589569161092
2010-03-11,sz.002344,21.7500,21.9800,21.5500,21.7400,21.6500,1546250,33721946.9600,3,2.761161,1,0.415700,12.085937,62.570598,10.876619,87.590918,0,0.41570438799076737
2010-03-12,sz.002344,21.7000,22.2000,21.6200,21.7000,21.7400,3029613,66653735.8800,3,5.410023,1,-0.184000,12.063700,62.455473,10.856607,87.429758,0,-0.18399264029438367
2010-03-15,sz.002344,21.7500,22.2300,21.3300,22.1200,21.7000,2957479,64720677.9400,3,5.281213,1,1.935500,12.297191,63.664289,11.066735,89.121946,0,1.935483870967758
2010-03-16,sz.002344,22.1500,22.5500,21.9000,22.4800,22.1200,4373891,97738621.1100,3,7.810520,1,1.627500,12.497326,64.700416,11.246844,90.572394,0,1.6274864376130127
2010-03-17,sz.002344,22.4800,24.2500,22.4800,23.8400,22.4800,12648000,297170314.6400,3,22.585714,1,6.049800,13.253392,68.614676,11.927259,96.051863,0,6.049822064056931
2010-03-18,sz.002344,23.7000,24.3900,23.5500,23.7000,23.8400,6983066,167676017.9300,3,12.469761,1,-0.587200,13.175562,68.211738,11.857216,95.487800,0,-0.5872483221476488
2010-03-19,sz.002344,23.6000,24.3000,23.5000,24.1800,23.7000,4470171,106579613.4000,3,7.982448,1,2.025300,13.442409,69.593241,12.097362,97.421730,0,2.0253164556962133
2010-03-22,sz.002344,24.1800,24.1800,24.1800,24.1800,24.1800,0,0.0000,3,,0,0.000000,13.442409,69.593241,12.097362,97.421730,0,0.0
2010-03-23,sz.002344,24.3800,24.4800,23.5000,23.9500,24.1800,3873552,93119555.3200,3,6.917057,1,-0.951200,13.314544,68.931271,11.982292,96.495055,0,-0.9511993382961159
2010-03-24,sz.002344,23.9300,26.1400,23.7600,25.8100,23.9500,8971625,225758254.2400,3,16.020759,1,7.766200,14.348576,74.284597,12.912858,103.989034,0,7.766179540709817
2010-03-25,sz.002344,25.8500,27.4400,25.3100,26.3500,25.8100,7739315,206534238.2800,3,13.820205,1,2.092200,14.648779,75.838789,13.183023,106.164706,0,2.0922123208058974
2010-03-26,sz.002344,26.0000,27.4800,25.4600,27.2600,26.3500,5357508,142661242.5500,3,9.566979,1,3.453500,15.154676,78.457889,13.638300,109.831115,0,3.4535104364326275
2010-03-29,sz.002344,27.2600,29.2000,27.0000,28.4800,27.2600,6044496,171331448.3500,3,10.793743,1,4.475400,15.832911,81.969211,14.248671,114.746521,0,4.475421863536311
2010-03-30,sz.002344,28.5000,30.4100,28.1200,29.7600,28.4800,5307411,155450232.9600,3,9.477520,1,4.494400,16.544503,85.653220,14.889061,119.903668,0,4.494382022471921
2010-03-31,sz.002344,29.8000,30.8100,29.0900,29.6700,29.7600,5012947,149358009.7900,3,8.951691,1,-0.302400,16.494469,85.394188,14.844034,119.541056,0,-0.3024193548387122
2010-04-01,sz.002344,29.3300,30.0000,28.8900,29.0500,29.6700,5397839,158017051.9000,3,9.638998,1,-2.089700,16.149792,83.609746,14.533845,117.043063,0,-2.0896528479946053
2010-04-02,sz.002344,28.9000,28.9600,28.1000,28.7400,29.0500,5900238,168440455.6500,3,10.536139,1,-1.067100,15.977453,82.717525,14.378750,115.794066,0,-1.0671256454389044
2010-04-06,sz.002344,28.5800,29.3000,28.1100,29.1000,28.7400,4846688,139182457.7000,3,8.654800,1,1.252600,16.177589,83.753653,14.558860,117.244514,0,1.2526096033403045
2010-04-07,sz.002344,28.7000,29.8900,28.3800,29.6100,29.1000,4582290,133606654.8600,3,8.182661,1,1.752600,16.461113,85.221500,14.814015,119.299314,0,1.7525773195876226
2010-04-08,sz.002344,29.3800,31.5800,29.1300,30.5400,29.6100,6816344,208578700.5800,3,12.172043,1,3.140800,16.978129,87.898163,15.279298,123.046304,0,3.1408308004052587
2010-04-09,sz.002344,30.4600,31.3300,30.2000,30.7000,30.5400,2885152,88364996.9400,3,5.152057,1,0.523900,17.067078,88.358665,15.359347,123.690947,0,0.5239030779305764
2010-04-12,sz.002344,30.6500,31.2500,30.1500,30.5500,30.7000,3577223,109393324.9200,3,6.387898,1,-0.488600,16.983688,87.926945,15.284302,123.086594,0,-0.48859934853420217
2010-04-13,sz.002344,30.4800,30.9400,27.8500,29.6500,30.5500,6160712,180227417.3500,3,11.001271,1,-2.946000,16.483350,85.336626,14.834028,119.460475,0,-2.9459901800327426
2010-04-14,sz.002344,29.1200,31.0000,28.6000,30.3000,29.6500,3226905,96973042.9900,3,5.762330,1,2.192200,16.844706,87.207412,15.159225,122.079339,0,2.1922428330522825
2010-04-15,sz.002344,30.4500,31.5000,29.3500,30.1000,30.3000,2421803,73756265.9000,3,4.324648,1,-0.660100,16.733519,86.631785,15.059165,121.273535,0,-0.660066006600657
2010-04-16,sz.002344,29.2600,33.1100,29.2600,33.1100,30.1000,5994440,189890788.2500,3,10.704357,1,10.000000,17.068863,95.221915,16.565081,55.744310,0,9.999999999999986
2010-04-19,sz.002344,33.1100,34.8800,31.5000,32.2600,33.1100,5791451,194126337.8100,3,10.341877,1,-2.567200,16.630671,92.777378,16.139822,54.313242,0,-2.56720024161885
2010-04-20,sz.002344,32.2600,35.1000,31.8100,35.1000,32.2600,4770768,160133671.4600,3,8.519229,1,8.803500,18.094748,100.945008,17.560687,59.094693,0,8.80347179169252
2010-04-21,sz.002344,34.8000,35.4800,34.0000,35.2500,35.1000,3917793,136974603.9300,3,6.996059,1,0.427400,18.172076,101.376397,17.635733,59.347235,0,0.42735042735042583
2010-04-22,sz.002344,35.2700,36.9600,34.5600,35.8000,35.2500,4156017,149876394.6100,3,7.421459,1,1.560300,5.286185,95.179039,16.815251,10.260125,0,1.5602836879432536
2010-04-23,sz.002344,35.8000,35.8000,33.6000,33.8900,35.8000,3598698,124179260.8200,3,6.426246,1,-5.335200,5.004156,90.101052,15.918124,9.712728,0,-5.335195530726244
2010-04-26,sz.002344,33.0100,34.8000,32.4500,33.8600,33.8900,7531357,251432736.8500,3,10.759081,1,-0.088500,4.999726,90.021293,15.904033,9.704130,0,-0.08852168781351422
2010-04-27,sz.002344,33.8700,34.7500,33.0300,34.3100,33.8600,5717451,193597680.6400,3,8.167787,1,1.329000,5.066173,91.217677,16.115398,9.833098,0,1.3290017720023695
2010-04-28,sz.002344,34.0000,37.7400,33.7500,37.0000,34.3100,6323021,231707891.8100,3,9.032887,1,7.840300,5.463375,98.369398,17.378891,10.604040,0,7.840279801807037
2010-04-29,sz.002344,36.5100,37.4500,35.2000,35.2300,37.0000,4442792,159358455.3300,3,6.346846,1,-4.783800,5.202019,93.663619,16.547522,10.096766,0,-4.78378378378379
2010-04-30,sz.002344,34.3800,35.7700,33.0000,34.9000,35.2300,5871595,201522087.4300,3,8.387993,1,-0.936700,5.153292,92.786270,16.392521,10.002189,0,-0.9367016747090506
