date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-02-05,sz.002353,65.0000,68.6800,62.0800,67.1800,59.5000,17667198,1165910483.3700,3,76.151716,1,12.907560,27.802892,45.214356,11.335389,351.793358,0,
2010-02-08,sz.002353,69.5800,73.9000,69.0100,73.9000,67.1800,8398056,600285197.1300,3,36.198517,1,10.003000,30.584009,49.737138,12.469265,386.983167,0,10.002977076510856
2010-02-09,sz.002353,73.7000,74.9500,72.1100,74.1000,73.9000,4746396,349206571.2600,3,20.458603,1,0.270600,30.666781,49.871745,12.503011,388.030483,0,0.27063599458725385
2010-02-10,sz.002353,74.5000,76.7800,73.4000,74.2000,74.1000,3597326,268864284.9200,3,15.505716,1,0.135000,30.708166,49.939048,12.519885,388.554140,0,0.13495276653172628
2010-02-11,sz.002353,74.0000,77.6900,73.5100,76.3000,74.2000,2559268,193960525.6700,3,11.031328,1,2.830200,31.577265,51.352417,12.874221,399.550956,0,2.8301886792452713
2010-02-12,sz.002353,76.8800,77.9900,75.5000,76.3300,76.3000,1743061,133586972.1000,3,7.513194,1,0.039300,31.589681,51.372608,12.879283,399.708053,0,0.03931847968545732
2010-02-22,sz.002353,75.8200,77.0900,73.5000,75.6900,76.3300,2404269,180793463.1100,3,10.363228,1,-0.838500,31.324813,50.941867,12.771295,396.356643,0,-0.8384645617712572
2010-02-23,sz.002353,75.1800,78.5000,74.6000,78.2600,75.6900,2208695,169703966.1200,3,9.520237,1,3.395400,32.388424,52.671562,13.204935,409.814650,0,3.3954287224204016
2010-02-24,sz.002353,78.1300,80.8000,76.8100,79.7000,78.2600,2024050,159725921.7100,3,8.724353,1,1.840000,32.984378,53.640729,13.447908,417.355323,0,1.8400204446715973
2010-02-25,sz.002353,79.9000,87.6700,79.8000,87.6700,79.7000,3160862,270100684.5900,3,13.624405,1,10.000000,36.282816,59.004802,14.792699,459.090856,0,10.000000000000009
2010-02-26,sz.002353,87.3000,88.4900,84.6000,86.1800,87.6700,2215988,191746457.9400,3,9.551672,1,-1.699600,35.666169,58.001983,14.541289,451.288353,0,-1.6995551499942918
2010-03-01,sz.002353,85.9000,90.4500,85.6100,87.0000,86.1800,2179233,192206880.0400,3,9.393246,1,0.951500,36.005532,58.553870,14.679649,455.582348,0,0.9514968670224944
2010-03-02,sz.002353,86.5000,88.0000,84.6500,87.0500,87.0000,1681564,144664102.0400,3,7.248121,1,0.057500,36.026225,58.587522,14.688086,455.844177,0,0.057471264367814356
2010-03-03,sz.002353,86.2500,89.8900,85.5200,87.0100,87.0500,1505190,132027527.9500,3,6.487888,1,-0.046000,36.009670,58.560601,14.681336,455.634714,0,-0.04595060310165211
2010-03-04,sz.002353,86.4000,88.6000,84.1100,85.0000,87.0100,1640586,140730123.3800,3,7.071491,1,-2.310100,35.177818,57.207804,14.342186,445.109190,0,-2.3100793012297505
2010-03-05,sz.002353,85.0000,85.9400,80.5000,82.7000,85.0000,1780746,148401758.0500,3,7.675629,1,-2.705900,34.225948,55.659828,13.954103,433.065059,0,-2.705882352941169
2010-03-08,sz.002353,82.9900,85.3700,82.3800,84.0200,82.7000,1183769,99534157.8800,3,5.102453,1,1.596100,34.772239,56.548232,14.176829,439.977343,0,1.596130592503009
2010-03-09,sz.002353,83.9700,87.2000,83.6000,85.6400,84.0200,1011698,87039214.9900,3,4.360767,1,1.928100,35.442687,57.638545,14.450174,448.460601,0,1.9281123542013834
2010-03-10,sz.002353,85.1200,86.2000,83.0000,83.0000,85.6400,978821,82428238.4700,3,4.219056,1,-3.082700,34.350105,55.861738,14.004723,434.636033,0,-3.0826716487622585
2010-03-11,sz.002353,83.0000,85.4900,81.2300,85.0000,83.0000,1470778,122136368.9400,3,6.339560,1,2.409600,35.177818,57.207804,14.342186,445.109190,0,2.4096385542168752
2010-03-12,sz.002353,84.7100,88.9500,83.5600,85.3900,85.0000,1807892,156085224.1400,3,7.792638,1,0.458800,35.339223,57.470287,14.407991,447.151456,0,0.45882352941175597
2010-03-15,sz.002353,84.9000,89.9900,83.5000,88.5600,85.3900,1882487,163637043.9000,3,8.114168,1,3.712400,36.651148,59.603802,14.942870,463.751411,0,3.712378498653246
2010-03-16,sz.002353,89.1200,92.4000,88.6100,89.3300,88.5600,1594361,144490021.1000,3,6.872246,1,0.869500,36.969818,60.122037,15.072794,467.783576,0,0.8694670280036121
2010-03-17,sz.002353,89.0100,90.6700,88.1100,89.9000,89.3300,1192725,106730647.0500,3,5.141056,1,0.638100,37.205716,60.505666,15.168971,470.768426,0,0.6380835105787686
2010-03-18,sz.002353,89.9000,93.4500,89.1900,91.6000,89.9000,1453081,132974989.3200,3,6.263280,1,1.891000,37.909273,61.649822,15.455814,479.670610,0,1.8909899888765125
2010-03-19,sz.002353,91.6000,92.7900,87.9000,88.3000,91.6000,1741415,155581232.8500,3,7.506099,1,-3.602600,36.543546,59.428813,14.899000,462.389900,0,-3.602620087336239
2010-03-22,sz.002353,87.5200,88.1700,86.2800,87.6500,88.3000,1602993,139729423.0500,3,6.909453,1,-0.736100,36.274539,58.991342,14.789325,458.986124,0,-0.7361268403170862
2010-03-23,sz.002353,87.2800,88.4500,86.3000,86.8500,87.6500,1221681,106499685.8400,3,5.265866,1,-0.912700,35.943453,58.452915,14.654339,454.796861,0,-0.9127210496292171
2010-03-24,sz.002353,86.7300,90.5800,86.7300,90.2000,86.8500,2261159,200666929.8000,3,9.746375,1,3.857200,37.329873,60.707576,15.219590,472.339400,0,3.857225100748418
2010-03-25,sz.002353,91.3800,91.8800,88.0300,90.6100,90.2000,1906419,171122187.2800,3,8.217323,1,0.454500,37.499554,60.983519,15.288770,474.486397,0,0.4545454545454408
2010-03-26,sz.002353,89.0100,89.3100,87.2000,88.3300,90.6100,1394904,123097574.2200,3,6.012517,1,-2.516300,36.555961,59.449004,14.904062,462.546998,0,-2.516278556450724
2010-03-29,sz.002353,90.0000,90.1800,85.5100,88.2400,88.3300,1703265,149555080.4000,3,7.341659,1,-0.101900,36.518714,59.388431,14.888876,462.075706,0,-0.10189063738255122
2010-03-30,sz.002353,87.7700,94.9900,87.7700,93.9500,88.2400,2331555,215419098.5400,3,10.049806,1,6.471000,38.881836,63.231450,15.852334,491.976570,0,6.470988213961926
2010-03-31,sz.002353,93.7000,95.8400,93.2000,94.2200,93.9500,2039046,192447561.9800,3,8.788991,1,0.287400,38.993577,63.413169,15.897891,493.390446,0,0.2873869079297542
2010-04-01,sz.002353,94.0200,97.7500,92.1600,92.2000,94.2200,1853385,176769905.8500,3,7.988728,1,-2.143900,38.157587,62.053642,15.557053,482.812557,0,-2.1439184886435925
2010-04-02,sz.002353,91.5000,93.0000,91.2200,91.3800,92.2000,1391333,128009019.7800,3,5.997125,1,-0.889400,37.818224,61.501755,15.418693,478.518563,0,-0.8893709327548849
2010-04-06,sz.002353,91.5000,95.0000,91.5000,94.9800,91.3800,1494703,139299201.6400,3,6.442685,1,3.939600,39.308108,63.924674,16.026127,497.370246,0,3.939592908732781
2010-04-07,sz.002353,94.8000,99.5000,94.0300,97.4500,94.9800,1881534,182949665.1000,3,8.110060,1,2.600500,40.330334,65.587065,16.442894,510.304595,0,2.6005474836807707
2010-04-08,sz.002353,97.8900,99.8600,95.5600,97.0900,97.4500,1735956,169789622.5300,3,7.482569,1,-0.369400,40.181346,65.344773,16.382151,508.419427,0,-0.36942021549511983
2010-04-09,sz.002353,97.0000,102.8800,96.7000,101.5300,97.0900,1503853,151109828.7600,3,6.482125,1,4.573100,42.018870,68.333040,17.131319,531.669837,0,4.5730765269337725
2010-04-12,sz.002353,101.8000,104.6800,100.1100,103.9900,101.5300,1518967,155794023.6200,3,6.547272,1,2.422900,43.036957,69.988701,17.546399,544.551820,0,2.4229291834925615
2010-04-13,sz.002353,103.8900,103.8900,94.0000,96.3900,103.9900,3219367,315864169.6700,3,13.876582,1,-7.308400,39.891646,64.873650,16.264039,504.753822,0,-7.3083950379844165
