date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-03-05,sz.002365,45.0000,46.0000,43.0500,43.5500,31.0000,13764610,607346355.0600,3,73.216011,1,40.483870,12.561029,62.594204,13.122572,-91.408166,0,
2010-03-08,sz.002365,45.2100,45.9900,43.6800,43.9500,43.5500,7667706,343312219.4400,3,40.785670,1,0.918500,12.676400,63.169122,13.243101,-92.247736,0,0.9184845005740572
2010-03-09,sz.002365,42.8000,44.4900,41.1000,44.0600,43.9500,7179438,304698908.4200,3,38.188500,1,0.250300,12.708127,63.327224,13.276247,-92.478618,0,0.25028441410694935
2010-03-10,sz.002365,43.3000,43.7900,42.4000,42.6300,44.0600,3110275,134115375.9800,3,16.544016,1,-3.245600,12.295676,61.271892,12.845356,-89.477156,0,-3.245574216976854
2010-03-11,sz.002365,42.6000,43.5500,41.4400,42.8500,42.6300,4090346,174100826.5900,3,21.757160,1,0.516100,12.359130,61.588097,12.911647,-89.938919,0,0.5160684963640527
2010-03-12,sz.002365,42.3800,43.8800,41.6800,43.1200,42.8500,4328369,186173850.8200,3,23.023239,1,0.630100,12.437005,61.976167,12.993004,-90.505629,0,0.6301050175029133
2010-03-15,sz.002365,42.9000,43.0400,41.9200,42.1300,43.1200,1915656,81022942.6600,3,10.189660,1,-2.295900,12.151462,60.553245,12.694695,-88.427693,0,-2.2959183673469274
2010-03-16,sz.002365,41.8500,42.3000,39.8800,40.8000,42.1300,3272043,134218483.3400,3,17.404484,1,-3.156900,11.767853,58.641642,12.293937,-85.636124,0,-3.1568953239971664
2010-03-17,sz.002365,40.9000,41.7500,40.5000,41.3500,40.8000,2854906,117478500.5300,3,15.185670,1,1.348000,11.926488,59.432154,12.459664,-86.790532,0,1.348039215686292
2010-03-18,sz.002365,41.2900,41.3400,40.0000,40.5000,41.3500,2224604,90763702.9900,3,11.833000,1,-2.055600,11.681324,58.210453,12.203540,-85.006446,0,-2.055622732769047
2010-03-19,sz.002365,40.3800,40.9600,40.3200,40.6000,40.5000,1366745,55494895.8900,3,7.269920,1,0.246900,11.710167,58.354183,12.233673,-85.216339,0,0.24691358024691024
2010-03-22,sz.002365,40.5000,41.3400,40.4100,41.0700,40.6000,1643378,67317015.0200,3,8.741372,1,1.157600,11.845728,59.029712,12.375294,-86.202833,0,1.1576354679802892
2010-03-23,sz.002365,41.1000,41.1900,40.3300,40.5100,41.0700,1380783,56108881.1600,3,7.344590,1,-1.363500,11.684209,58.224826,12.206554,-85.027436,0,-1.3635256878500202
2010-03-24,sz.002365,40.5500,41.6000,40.0000,41.4500,40.5100,2721414,111831330.5900,3,14.475606,1,2.320400,11.955331,59.575884,12.489796,-87.000425,0,2.3204147124167074
2010-03-25,sz.002365,41.4000,42.3000,41.0500,42.0000,41.4500,2889264,121081611.3200,3,15.368426,1,1.326900,12.113966,60.366396,12.655523,-88.154833,0,1.3268998793727338
2010-03-26,sz.002365,41.5100,41.6900,40.7000,41.1400,42.0000,1691683,69714594.1000,3,8.998314,1,-2.047600,11.865918,59.130322,12.396387,-86.349758,0,-2.0476190476190426
2010-03-29,sz.002365,41.2400,41.5200,40.7100,41.4800,41.1400,1442258,59373746.7100,3,7.671585,1,0.826400,11.963984,59.619003,12.498836,-87.063392,0,0.8264462809917328
2010-03-30,sz.002365,41.3500,42.8000,41.3500,42.2900,41.4800,2442655,103014201.3200,3,12.992846,1,1.952700,12.197610,60.783212,12.742907,-88.763521,0,1.952748312439745
2010-03-31,sz.002365,42.2900,43.1200,42.1000,42.5400,42.2900,2583829,110312348.2100,3,13.743771,1,0.591200,12.269717,61.142536,12.818237,-89.288253,0,0.5911563017261701
2010-04-01,sz.002365,42.5000,43.4000,42.3300,42.6600,42.5400,2662306,114532886.9000,3,14.161202,1,0.282100,12.304328,61.315011,12.854396,-89.540124,0,0.28208744710860323
2010-04-02,sz.002365,42.3500,42.7700,42.0000,42.3300,42.6600,1512702,63852488.8000,3,8.046287,1,-0.773600,12.209147,60.840704,12.754960,-88.847478,0,-0.7735583684950753
2010-04-06,sz.002365,42.5000,43.3900,42.1000,43.3900,42.3300,1730553,73990925.6800,3,9.205069,1,2.504100,12.514881,62.364236,13.074361,-91.072338,0,2.5041341837940045
2010-04-07,sz.002365,43.9300,44.2500,43.1500,43.9200,43.3900,2143333,93750080.4300,3,11.400707,1,1.221500,12.667747,63.126003,13.234062,-92.184769,0,1.2214796035953102
2010-04-08,sz.002365,43.9300,43.9900,42.6200,42.7000,43.9200,2185852,95031819.5000,3,11.626872,1,-2.777800,12.315866,61.372503,12.866449,-89.624080,0,-2.777777777777779
2010-04-09,sz.002365,42.5300,42.9600,42.5000,42.7600,42.7000,1324640,56619379.8600,3,7.045957,1,0.140500,12.333171,61.458741,12.884528,-89.750016,0,0.140515222482418
2010-04-12,sz.002365,42.8100,42.9900,42.0900,42.4600,42.7600,2068984,87801759.4300,3,11.005234,1,-0.701600,12.246643,61.027552,12.794132,-89.120339,0,-0.7015902712815603
2010-04-13,sz.002365,42.5700,42.9700,39.8000,40.8600,42.4600,2642140,109432002.7000,3,14.053936,1,-3.768300,11.785158,58.727880,12.312016,-85.762059,0,-3.7682524729156897
