date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-03-18,sz.002372,23.2000,24.8800,23.2000,24.8500,17.9700,40130379,956147230.7300,3,79.121410,1,38.286040,20.717458,47.479420,6.765764,-156.637422,0,
2010-03-19,sz.002372,24.0000,25.8200,23.8100,25.2600,24.8500,28586085,711690727.7300,3,56.360578,1,1.649900,21.059275,48.262782,6.877393,-159.221782,0,1.6498993963782738
2010-03-22,sz.002372,26.8000,27.7600,26.0400,26.9500,25.2600,24056817,643054794.9000,3,47.430633,1,6.690400,22.468229,51.491765,7.337519,-169.874387,0,6.690419635787803
2010-03-23,sz.002372,26.5000,27.0600,26.3700,26.6500,26.9500,13247597,353816266.8500,3,26.119079,1,-1.113200,22.218119,50.918573,7.255840,-167.983392,0,-1.1131725417439675
2010-03-24,sz.002372,26.9300,28.4700,26.7600,27.4800,26.6500,17039367,467970445.6400,3,33.594966,1,3.114400,22.910090,52.504405,7.481819,-173.215145,0,3.1144465290806833
2010-03-25,sz.002372,27.1000,28.4000,26.7300,27.7000,27.4800,13877840,379419845.7300,3,27.361672,1,0.800600,23.093504,52.924746,7.541717,-174.601875,0,0.8005822416302655
2010-03-26,sz.002372,27.0000,27.2000,26.0200,26.6000,27.7000,9169962,244304710.3900,3,18.079578,1,-3.971100,22.176434,50.823041,7.242227,-167.668226,0,-3.971119133573997
2010-03-29,sz.002372,26.5800,27.2600,26.0800,26.8200,26.6000,6952933,185363506.3500,3,13.708464,1,0.827100,22.359848,51.243382,7.302125,-169.054956,0,0.8270676691729317
2010-03-30,sz.002372,26.7500,27.7100,26.4900,27.5400,26.8200,8980574,244465524.8100,3,17.706179,1,2.684600,22.960112,52.619043,7.498155,-173.593344,0,2.684563758389258
2010-03-31,sz.002372,27.3600,28.2500,27.2000,27.8900,27.5400,9232543,256217812.4800,3,18.202963,1,1.270900,23.251908,53.287767,7.593447,-175.799505,0,1.2708787218591144
2010-04-01,sz.002372,27.7000,29.9800,27.5000,28.3600,27.8900,14048373,403809827.7300,3,27.697896,1,1.685200,23.643747,54.185768,7.721412,-178.762064,0,1.6851918250268882
2010-04-02,sz.002372,27.9700,29.2000,27.7500,28.7800,28.3600,9427834,268673028.0100,3,18.588001,1,1.481000,23.993901,54.988238,7.835763,-181.409457,0,1.480959097320178
2010-04-06,sz.002372,28.8800,29.9600,28.7000,29.8500,28.7800,9131802,268760237.6400,3,18.004341,1,3.717900,24.885961,57.032623,8.127085,-188.154006,0,3.717859624739406
2010-04-07,sz.002372,29.8000,30.3000,29.2800,29.8500,29.8500,9350780,278577037.9500,3,18.436080,1,0.000000,24.885961,57.032623,8.127085,-188.154006,0,0.0
2010-04-08,sz.002372,29.7500,29.7500,28.1000,28.1200,29.8500,11807497,340330998.1400,3,23.279765,1,-5.795600,23.443659,53.727215,7.656068,-177.249268,0,-5.795644891122276
2010-04-09,sz.002372,28.0800,28.5000,27.6100,28.4600,28.1200,5874732,165208608.5500,3,11.582674,1,1.209100,23.727117,54.376833,7.748638,-179.392395,0,1.2091038406827792
2010-04-12,sz.002372,28.3900,28.3900,27.6300,27.9500,28.4600,6762879,189175954.9600,3,13.333752,1,-1.792000,23.301930,53.402406,7.609783,-176.177704,0,-1.7919887561489878
2010-04-13,sz.002372,27.7800,28.2500,25.1600,26.1100,27.9500,9754889,258709935.7100,3,19.232825,1,-6.583200,21.767921,49.886827,7.108817,-164.579601,0,-6.583184257602859
2010-04-14,sz.002372,25.7700,26.3800,25.5000,25.9900,26.1100,3614162,94045301.7200,3,7.125714,1,-0.459600,21.667877,49.657550,7.076146,-163.823203,0,-0.45959402527767645
2010-04-15,sz.002372,26.0100,26.3300,24.8500,25.1500,25.9900,4703731,120138867.1000,3,9.273918,1,-3.232000,20.967568,48.052612,6.847444,-158.528417,0,-3.2320123124278566
2010-04-16,sz.002372,25.1500,25.8300,25.0100,25.4100,25.1500,2639775,67264255.0800,3,5.204604,1,1.033800,21.184330,48.549379,6.918232,-160.167279,0,1.0337972166998055
2010-04-19,sz.002372,25.2000,26.0000,25.0800,25.5700,25.4100,5023827,128902013.6200,3,9.905022,1,0.629700,21.317722,48.855081,6.961795,-161.175810,0,0.6296733569460811
2010-04-20,sz.002372,25.4000,25.6600,24.4600,25.3400,25.5700,3029013,75523512.3100,3,5.972029,1,-0.899500,21.125971,48.415634,6.899174,-159.726047,0,-0.899491591709034
2010-04-21,sz.002372,25.2800,26.5900,25.1400,26.3100,25.3400,4704424,122012745.0500,3,9.275284,1,3.827900,21.934661,50.268955,7.163270,-165.840264,0,3.827940015785325
2010-04-22,sz.002372,26.1500,26.5800,25.8600,26.1000,26.3100,3680585,96362689.5000,3,7.256674,1,-0.798200,21.759584,49.867721,7.106095,-164.516568,0,-0.7981755986316896
2010-04-23,sz.002372,25.9000,26.2500,25.3800,25.5200,26.1000,2771429,71517981.8600,3,5.464174,1,-2.222200,21.276037,48.759549,6.948181,-160.860644,0,-2.2222222222222254
2010-04-26,sz.002372,25.3800,25.6500,25.0100,25.0300,25.5200,2296643,57836999.0200,3,4.528082,1,-1.920100,20.867524,47.823335,6.814772,-157.772019,0,-1.9200626959247624
2010-04-27,sz.002372,24.8900,24.8900,23.0100,23.4100,25.0300,3535664,84122079.1600,3,6.970946,1,-6.472200,19.516929,44.728097,6.373704,-147.560646,0,-6.472233320015985
2010-04-28,sz.002372,23.0000,23.3800,22.4000,22.9200,23.4100,2686892,61507975.5100,3,5.297500,1,-2.093100,4.097896,42.320331,5.967229,5.461462,0,-2.0931225971806855
2010-04-29,sz.002372,23.0500,23.1900,22.1100,22.1600,22.9200,2049070,46833178.1200,3,4.039965,1,-3.315900,3.962014,40.917039,5.769362,5.280366,0,-3.315881326352532
2010-04-30,sz.002372,22.2500,22.4800,20.4000,21.2000,22.1600,2206035,46881381.3300,3,4.349438,1,-4.332100,3.790375,39.144460,5.519426,5.051614,0,-4.3321299638989235
2010-05-04,sz.002372,20.7000,21.3100,20.5000,20.8000,21.2000,1734251,36279336.6600,3,3.419265,1,-1.886800,3.718858,38.405885,5.415286,4.956300,0,-1.8867924528301772
2010-05-05,sz.002372,20.3200,21.6500,20.3200,21.4000,20.8000,3218578,68006781.8700,3,6.345777,1,2.884600,3.826133,39.513747,5.571496,5.099270,0,2.8846153846153744
2010-05-06,sz.002372,21.2100,21.7000,20.5000,20.5800,21.4000,2377550,50533642.4600,3,4.687599,1,-3.831800,3.679524,37.999669,5.358009,4.903878,0,-3.831775700934581
2010-05-07,sz.002372,20.0000,20.5700,19.8700,20.0000,20.5800,2005171,40463438.9800,3,3.953413,1,-2.818300,3.575825,36.928735,5.207006,4.765673,0,-2.818270165208936
2010-05-10,sz.002372,20.0500,20.5000,19.0000,19.9300,20.0000,2017887,40205543.0500,3,3.978484,1,-0.350000,3.563310,36.799485,5.188781,4.748993,0,-0.35000000000000586
2010-05-11,sz.002372,20.3000,20.5000,19.2800,19.3800,19.9300,2129946,42512886.6100,3,4.199420,1,-2.759700,3.464975,35.783945,5.045589,4.617937,0,-2.7596588058203753
2010-05-12,sz.002372,19.0200,19.7000,18.8000,19.1000,19.3800,1639867,31497581.8500,3,3.233176,1,-1.444800,3.414913,35.266942,4.972690,4.551218,0,-1.4447884416924572
2010-05-13,sz.002372,19.2200,19.7800,18.7000,19.7400,19.1000,1907029,36783343.5900,3,3.759915,1,3.350800,3.529340,36.448662,5.139315,4.703720,0,3.350785340314122
2010-05-14,sz.002372,19.6000,19.9000,19.4000,19.7800,19.7400,2022496,39762240.6400,3,3.987571,1,0.202600,3.536491,36.522519,5.149729,4.713251,0,0.20263424518744966
2010-05-17,sz.002372,19.4200,19.5500,17.9600,18.0000,19.7800,2170879,40818241.6300,3,4.280124,1,-8.999000,3.218243,33.235862,4.686305,4.289106,0,-8.998988877654202
2010-05-18,sz.002372,17.6000,18.4000,17.3300,18.2200,18.0000,2369604,42327429.3200,3,4.671932,1,1.222200,3.257577,33.642078,4.743582,4.341528,0,1.2222222222222134
2010-05-19,sz.002372,18.0000,18.5800,17.6600,18.2100,18.2200,2138838,38934164.7600,3,4.216952,1,-0.054900,3.255789,33.623614,4.740979,4.339145,0,-0.05488474204170535
2010-05-20,sz.002372,17.9000,18.6100,17.9000,18.2900,18.2100,2870573,52809350.9300,3,5.659647,1,0.439300,3.270092,33.771329,4.761807,4.358208,0,0.43931905546401584
2010-05-21,sz.002372,17.3600,19.1900,17.3600,19.1100,18.2900,3496594,64831310.3400,3,6.893916,1,4.483300,3.416701,35.285407,4.975294,4.553601,0,4.483324220885732
2010-05-24,sz.002372,19.1200,20.1800,19.1200,19.8400,19.1100,3470008,68763360.3300,3,6.841498,1,3.820000,3.547219,36.633306,5.165350,4.727548,0,3.8199895342752477
2010-05-25,sz.002372,19.7000,20.1800,19.4500,19.8000,19.8400,2568808,50915396.6900,3,5.064685,1,-0.201600,3.540067,36.559448,5.154936,4.718017,0,-0.20161290322580072
2010-05-26,sz.002372,19.7500,19.9000,19.3000,19.4800,19.8000,2058916,40235135.7800,3,4.059377,1,-1.616200,3.482854,35.968588,5.071624,4.641766,0,-1.6161616161616155
2010-05-27,sz.002372,19.8500,21.0500,19.8500,20.8700,19.4800,5122255,104404285.3400,3,10.099083,1,7.135500,3.731374,38.535135,5.433510,4.972980,0,7.135523613963035
2010-05-28,sz.002372,20.8800,21.1500,20.6100,21.0000,20.8700,4159141,87028793.0700,3,8.200199,1,0.622900,3.754617,38.775172,5.467356,5.003957,0,0.6229036895064599
2010-05-31,sz.002372,20.8600,20.9200,19.8700,19.8700,21.0000,2488687,50905501.7000,3,4.906717,1,-5.381000,3.552582,36.688699,5.173160,4.734696,0,-5.380952380952375
2010-06-01,sz.002372,19.5100,19.5100,18.5000,18.9500,19.8700,2629525,49984910.4900,3,5.184395,1,-4.630100,3.388094,34.989977,4.933638,4.515475,0,-4.63009562154002
2010-06-02,sz.002372,18.8000,19.3700,18.6600,19.3500,18.9500,1544691,29436436.9500,3,3.045526,1,2.110800,3.459611,35.728551,5.037778,4.610789,0,2.110817941952514
2010-06-03,sz.002372,19.3700,19.6000,19.1000,19.1100,19.3500,1887502,36609144.3300,3,3.721416,1,-1.240300,3.416701,35.285407,4.975294,4.553601,0,-1.240310077519391
2010-06-04,sz.002372,18.9000,19.2000,18.6000,19.1600,19.1100,993163,18826925.4500,3,1.958129,1,0.261600,3.425641,35.377728,4.988311,4.565515,0,0.26164311878598134
2010-06-07,sz.002372,18.7200,19.8700,18.5900,19.7900,19.1600,1908935,36826032.6500,3,3.763673,1,3.288100,3.538279,36.540984,5.152332,4.715634,0,3.288100208768263
2010-06-08,sz.002372,19.6800,20.3000,19.6000,20.1100,19.7900,2498563,49943924.3200,3,4.926189,1,1.617000,3.595492,37.131843,5.235644,4.791884,0,1.6169782718544745
2010-06-09,sz.002372,20.1800,20.7500,20.1800,20.4000,20.1100,2570845,52594303.3500,3,5.068701,1,1.442064,3.647342,37.667310,5.311146,4.860987,0,1.4420686225758317
2010-06-10,sz.002372,20.4100,20.7800,20.3000,20.4600,20.4000,2294270,47148910.6700,3,4.523403,1,0.294100,3.658069,37.778096,5.326767,4.875284,0,0.2941176470588447
2010-06-11,sz.002372,20.5400,20.7000,20.1500,20.2900,20.4600,2013495,40910816.5100,3,3.969825,1,-0.830900,3.627675,37.464202,5.282507,4.834776,0,-0.8308895405669703
2010-06-17,sz.002372,20.4600,20.5000,19.6500,19.6500,20.2900,1322653,26578215.9900,3,2.607754,1,-3.154300,3.513248,36.282483,5.115883,4.682274,0,-3.154263183834405
2010-06-18,sz.002372,19.5500,19.5500,17.6900,17.8800,19.6500,8432555,152973539.1000,3,13.300560,1,-9.007600,3.196788,33.014289,4.655063,4.260512,0,-9.007633587786257
2010-06-21,sz.002372,17.8000,18.3100,17.5000,18.2000,17.8800,4277832,76831442.1900,3,6.747369,1,1.789700,3.254001,33.605149,4.738375,4.336763,0,1.7897091722595126
2010-06-22,sz.002372,18.1000,18.7200,18.0400,18.4100,18.2000,3251333,59900423.3800,3,5.128285,1,1.153800,3.291547,33.992901,4.793049,4.386802,0,1.1538461538461497
2010-06-23,sz.002372,18.2500,18.5400,18.0000,18.2800,18.4100,1901626,34700373.6800,3,2.999410,1,-0.706100,3.268304,33.752864,4.759203,4.355825,0,-0.7061379684953795
2010-06-24,sz.002372,18.3000,18.5100,18.2000,18.4800,18.2800,1716113,31537701.2200,3,2.706803,1,1.094100,3.304063,34.122151,4.811273,4.403482,0,1.0940919037199182
2010-06-25,sz.002372,18.3500,18.5000,17.8100,18.0500,18.4800,1954273,35345627.3500,3,3.082450,1,-2.326800,3.227182,33.328184,4.699323,4.301020,0,-2.3268398268398216
2010-06-28,sz.002372,17.9200,18.2800,17.8100,17.9900,18.0500,1679891,30283725.6500,3,2.649670,1,-0.332400,3.216455,33.217397,4.683702,4.286723,0,-0.3324099722991858
2010-06-29,sz.002372,17.9800,18.1000,16.6000,16.6500,17.9900,3184805,54529979.8400,3,5.023352,1,-7.448600,2.976875,30.743172,4.334832,3.967423,0,-7.448582545858806
2010-06-30,sz.002372,16.5700,16.5700,16.0000,16.3300,16.6500,1802077,29178130.8900,3,2.842393,1,-1.921900,2.919661,30.152312,4.251520,3.891172,0,-1.9219219219219208
2010-07-01,sz.002372,16.5000,16.5500,16.1300,16.1700,16.3300,1271817,20707414.4300,3,2.006021,1,-0.979800,2.891055,29.856883,4.209864,3.853047,0,-0.9797917942437007
2010-07-02,sz.002372,16.4200,16.6000,15.6200,16.5100,16.1700,2402508,38903367.4800,3,3.789445,1,2.102700,2.951844,30.484671,4.298383,3.934063,0,2.1026592455163806
2010-07-05,sz.002372,16.1900,16.8000,15.8500,16.7100,16.5100,2298910,37730824.7500,3,3.626041,1,1.211400,2.987602,30.853958,4.350453,3.981720,0,1.2113870381586844
