date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-07-16,sz.002414,25.0000,26.1000,24.5500,25.4700,26.0000,22873986,580795623.9500,3,38.123310,1,-2.038464,16.190270,54.397907,20.826350,-138.621349,0,
2010-07-19,sz.002414,26.2000,27.5000,26.0100,27.0200,25.4700,26022128,692319884.7700,3,43.370213,1,6.085600,17.175544,57.708341,22.093756,-147.057277,0,6.085590891244608
2010-07-20,sz.002414,26.8000,28.3500,26.7800,27.7400,27.0200,21884907,599833495.6700,3,36.474845,1,2.664700,17.633219,59.246091,22.682487,-150.975902,0,2.664692820133241
2010-07-21,sz.002414,27.7400,27.9500,27.3500,27.5600,27.7400,12646768,349080082.6900,3,21.077947,1,-0.648900,17.518800,58.861653,22.535304,-149.996246,0,-0.6488824801730297
2010-07-22,sz.002414,27.4000,27.8000,26.8000,27.4500,27.5600,11210697,305386620.8800,3,18.684495,1,-0.399100,17.448878,58.626719,22.445359,-149.397567,0,-0.39912917271407444
2010-07-23,sz.002414,27.4000,28.2500,27.2000,27.6300,27.4500,9515266,263945690.5100,3,15.858777,1,0.655700,17.563297,59.011157,22.592542,-150.377223,0,0.6557377049180246
2010-07-26,sz.002414,27.8100,28.1000,27.2800,27.9300,27.6300,8148859,226092284.8100,3,13.581432,1,1.085800,17.753995,59.651886,22.837846,-152.009983,0,1.0857763300760048
2010-07-27,sz.002414,27.7900,29.2000,27.6000,28.3000,27.9300,11877553,339047273.6700,3,19.795922,1,1.324700,17.989189,60.442119,23.140389,-154.023721,0,1.3247404224847825
2010-07-28,sz.002414,28.0100,29.1500,27.9700,28.8600,28.3000,9724090,278514382.6000,3,16.206817,1,1.978800,18.345159,61.638146,23.598290,-157.071540,0,1.978798586572439
2010-07-29,sz.002414,28.8000,30.1500,28.6000,29.8900,28.8600,10121412,297024978.2800,3,16.869020,1,3.569000,18.999889,63.837983,24.440502,-162.677351,0,3.56895356895357
2010-07-30,sz.002414,29.9000,30.1500,29.0100,29.3900,29.8900,7081559,208825287.9100,3,11.802598,1,-1.672800,18.682059,62.770101,24.031661,-159.956084,0,-1.6728002676480447
2010-08-02,sz.002414,29.3600,30.4500,29.2100,29.6300,29.3900,8353474,250394618.8000,3,13.922457,1,0.816600,18.834617,63.282685,24.227905,-161.262292,0,0.8166042871724954
2010-08-03,sz.002414,29.5200,29.8000,28.6500,28.7000,29.6300,8877057,258014469.3900,3,14.795095,1,-3.138700,18.243453,61.296424,23.467461,-156.200735,0,-3.1387107661154268
2010-08-04,sz.002414,28.7500,29.9100,28.6800,29.9100,28.7000,6587038,192788605.0400,3,10.978397,1,4.216000,19.012602,63.880699,24.456856,-162.786201,0,4.216027874564454
2010-08-05,sz.002414,30.0500,30.6600,29.5500,29.7500,29.9100,7058482,212493952.1700,3,11.764137,1,-0.534900,18.910897,63.538976,24.326027,-161.915396,0,-0.5349381477766646
2010-08-06,sz.002414,29.7000,30.4400,29.4300,30.3900,29.7500,6021606,180553479.1500,3,10.036010,1,2.151300,19.317719,64.905865,24.849343,-165.398618,0,2.151260504201691
2010-08-09,sz.002414,30.4000,30.7900,30.0100,30.2200,30.3900,5111885,155228331.1600,3,8.519808,1,-0.559400,19.209657,64.542785,24.710337,-164.473387,0,-0.5593945376768716
2010-08-10,sz.002414,30.2200,30.5700,28.9500,29.2500,30.2200,5738552,171717528.7600,3,9.564253,1,-3.209800,18.593067,62.471094,23.917186,-159.194129,0,-3.2097948378557173
2010-08-11,sz.002414,29.0100,29.5000,28.7500,29.2300,29.2500,3562290,103894112.2600,3,5.937150,1,-0.068400,18.580353,62.428379,23.900832,-159.085278,0,-0.06837606837606369
2010-08-12,sz.002414,28.9000,30.5000,28.8100,30.3000,29.2300,7297986,218282696.7700,3,12.163310,1,3.660600,19.260510,64.713646,24.775752,-164.908790,0,3.660622647964429
2010-08-13,sz.002414,30.2000,31.7000,30.0200,31.4500,30.3000,7019193,217302825.1600,3,11.698655,1,3.795400,19.991519,67.169775,25.716086,-171.167704,0,3.7953795379537913
2010-08-16,sz.002414,31.5000,31.6000,30.8000,31.5000,31.4500,6224321,194408480.3900,3,10.373868,1,0.159000,20.023302,67.276563,25.756970,-171.439831,0,0.15898251192369983
2010-08-17,sz.002414,31.4000,31.9000,31.1300,31.6200,31.5000,3730856,117966756.8200,3,6.218093,1,0.381000,20.099582,67.532855,25.855091,-172.092935,0,0.3809523809523929
2010-08-18,sz.002414,31.6000,31.8300,30.6800,30.7900,31.6200,4698210,145500522.6000,3,7.830350,1,-2.624900,19.571984,65.760171,25.176416,-167.575632,0,-2.6249209361163928
2010-08-19,sz.002414,30.6000,31.0000,30.1600,30.5800,30.7900,4157501,127073348.2000,3,6.929168,1,-0.682000,19.438495,65.311660,25.004703,-166.432699,0,-0.6820396232543047
2010-08-20,sz.002414,30.5300,30.8700,29.8800,29.9000,30.5800,2982112,90275295.9100,3,4.970187,1,-2.223700,19.006246,63.859341,24.448679,-162.731776,0,-2.2236756049705653
2010-08-23,sz.002414,29.8900,30.2900,29.6600,30.0600,29.9000,2186656,65464168.2200,3,3.644427,1,0.535100,19.107951,64.201063,24.579508,-163.602581,0,0.5351170568561825
2010-08-24,sz.002414,30.0800,30.5900,29.6800,30.5000,30.0600,2793954,84400793.9800,3,4.656590,1,1.463700,19.387642,65.140799,24.939288,-165.997297,0,1.4637391882900808
2010-08-25,sz.002414,30.3500,30.3500,29.4000,29.4000,30.5000,2538543,75560505.4000,3,4.230905,1,-3.606600,18.688416,62.791459,24.039838,-160.010509,0,-3.60655737704918
2010-08-26,sz.002414,29.4000,30.1400,29.2500,29.8200,29.4000,1985644,59175248.3300,3,3.309407,1,1.428600,18.955393,63.688480,24.383265,-162.296373,0,1.4285714285714235
2010-08-27,sz.002414,29.4300,30.3000,29.0000,30.0100,29.8200,4823182,143677358.0200,3,8.038637,1,0.637200,17.229106,64.107018,24.644301,-282.518248,0,0.6371562709590828
2010-08-30,sz.002414,30.1300,31.0600,29.9300,30.6300,30.0100,3715921,113667174.9700,3,6.193202,1,2.066000,17.585056,65.431455,25.153447,-288.355013,0,2.065978007330882
2010-08-31,sz.002414,30.3300,31.0500,30.1500,30.8600,30.6300,3361477,102922223.7500,3,5.602462,1,0.750900,17.717101,65.922778,25.342323,-290.520265,0,0.7508978126020249
2010-09-01,sz.002414,30.8600,31.1500,29.1000,29.6200,30.8600,5897717,176940047.2800,3,9.829528,1,-4.018100,17.005202,63.273904,24.324032,-278.846735,0,-4.018146467919637
2010-09-02,sz.002414,29.7800,30.1000,29.1100,29.8300,29.6200,3880279,114829065.7100,3,6.467132,1,0.709000,17.125766,63.722504,24.496484,-280.823704,0,0.7089804186360515
2010-09-03,sz.002414,29.9900,30.4200,29.5000,29.8000,29.8300,3050983,91232482.8600,3,5.084972,1,-0.100600,17.108542,63.658418,24.471848,-280.541280,0,-0.10056989607776234
2010-09-06,sz.002414,29.8600,30.1800,29.1600,29.4400,29.8000,2769843,81576925.1700,3,4.616405,1,-1.208100,16.901862,62.889390,24.176215,-277.152190,0,-1.2080536912751683
2010-09-07,sz.002414,29.6000,29.6000,28.9400,29.1900,29.4400,2191085,63799335.9500,3,3.651808,1,-0.849200,16.758334,62.355343,23.970914,-274.798656,0,-0.8491847826086918
2010-09-08,sz.002414,29.1500,29.6400,29.0100,29.6000,29.1900,2289771,67227009.5400,3,3.816285,1,1.404590,16.993720,63.231180,24.307608,-278.658452,0,1.4045906132237107
2010-09-09,sz.002414,29.6900,29.7800,28.8500,28.8500,29.6000,2368712,69389574.7300,3,3.947853,1,-2.533800,16.563136,61.629039,23.691705,-271.597850,0,-2.533783783783783
2010-09-10,sz.002414,28.7000,29.2000,28.5800,29.1000,28.8500,1789938,51832837.5900,3,2.983230,1,0.866600,16.706664,62.163086,23.897006,-273.951384,0,0.8665511265164572
2010-09-13,sz.002414,28.9900,30.0800,28.9900,29.9400,29.1000,3538445,105577223.3900,3,5.897408,1,2.886600,17.188918,63.957484,24.586817,-281.859259,0,2.8865979381443196
2010-09-14,sz.002414,29.9500,30.1600,29.6000,29.8800,29.9400,2047806,61043968.8900,3,3.413010,1,-0.200400,17.154471,63.829313,24.537544,-281.294411,0,-0.20040080160321772
