date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-07-20,sz.002452,28.7500,30.8900,28.6600,30.1000,25.8800,16292328,485490952.8200,3,81.461640,1,16.306030,9.121412,39.352370,7.640006,75.777159,0,
2010-07-21,sz.002452,29.5800,29.9800,28.6600,29.0100,30.1000,8569805,250245497.2900,3,42.849025,1,-3.621300,8.791102,37.927318,7.363341,73.033069,0,-3.6212624584717634
2010-07-22,sz.002452,28.7100,29.1400,28.0100,28.7700,29.0100,5710279,163400508.3500,3,28.551395,1,-0.827300,8.718373,37.613545,7.302424,72.428866,0,-0.8273009307135593
2010-07-23,sz.002452,28.5800,29.2800,28.4100,28.9900,28.7700,4158320,120061691.1400,3,20.791600,1,0.764700,8.785041,37.901170,7.358265,72.982719,0,0.764685436218282
2010-07-26,sz.002452,29.0000,29.5400,28.9300,29.3500,28.9900,3844097,112462710.5800,3,19.220485,1,1.241800,8.894134,38.371829,7.449640,73.889024,0,1.2418075198344258
2010-07-27,sz.002452,29.2000,29.2800,28.5800,28.5800,29.3500,2855620,82263955.2000,3,14.278100,1,-2.623500,8.660796,37.365141,7.254198,71.950538,0,-2.6235093696763356
2010-07-28,sz.002452,28.4300,29.1600,28.4300,29.1100,28.5800,3250396,94099075.4100,3,16.251980,1,1.854400,8.821405,38.058056,7.388723,73.284821,0,1.8544436668999298
2010-07-29,sz.002452,29.2200,29.7800,29.0200,29.5500,29.1100,4433328,130258644.4900,3,22.166640,1,1.511500,8.954742,38.633307,7.500405,74.392527,0,1.5115080728272057
2010-07-30,sz.002452,29.5600,29.7700,29.2000,29.5000,29.5500,2595409,76387993.8200,3,12.977045,1,-0.169200,8.939590,38.567938,7.487714,74.266651,0,-0.16920473773266442
2010-08-02,sz.002452,29.3000,30.5700,29.3000,30.3600,29.5000,3986533,119903534.6500,3,19.932665,1,2.915300,9.200202,39.692291,7.705999,76.431713,0,2.915254237288134
2010-08-03,sz.002452,30.3900,30.3900,29.5900,29.5900,30.3600,3249608,97461940.4400,3,16.248040,1,-2.536200,8.966863,38.685602,7.510557,74.493227,0,-2.536231884057971
2010-08-04,sz.002452,29.5700,29.6900,28.6000,29.4400,29.5900,2724970,79421622.9200,3,13.624850,1,-0.506900,8.921408,38.489494,7.472484,74.115600,0,-0.5069280162216971
2010-08-05,sz.002452,29.4300,29.6600,28.9900,29.0800,29.4400,2033763,59646120.5400,3,10.168815,1,-1.222800,8.812314,38.018835,7.381109,73.209295,0,-1.22282608695653
2010-08-06,sz.002452,29.1800,29.5600,29.0000,29.4500,29.0800,1814294,53204808.5400,3,9.071470,1,1.272400,8.924438,38.502568,7.475023,74.140775,0,1.2723521320495257
2010-08-09,sz.002452,29.5400,30.1000,29.3500,30.0700,29.4500,2431412,72652523.9900,3,12.157060,1,2.105300,9.112321,39.313149,7.632391,75.701634,0,2.1052631578947434
2010-08-10,sz.002452,30.1000,30.2000,28.7500,28.9000,30.0700,2726037,80283875.4000,3,13.630185,1,-3.890900,8.757768,37.783505,7.335421,72.756143,0,-3.890921183904228
2010-08-11,sz.002452,28.8000,29.2300,28.7000,29.0900,28.9000,1549170,44835839.3700,3,7.745850,1,0.657400,8.815345,38.031909,7.383647,73.234470,0,0.657439446366781
2010-08-12,sz.002452,28.8000,29.0400,28.5100,28.5500,29.0900,1486399,42711078.1000,3,7.431995,1,-1.856300,8.651705,37.325919,7.246584,71.875013,0,-1.856308009625296
2010-08-13,sz.002452,29.2000,30.5800,29.2000,30.1100,28.5500,5353564,161172764.7800,3,26.767820,1,5.464100,9.124442,39.365444,7.642544,75.802334,0,5.464098073555168
2010-08-16,sz.002452,30.2500,31.5500,30.0100,31.1000,30.1100,5301047,163258369.9100,3,26.505235,1,3.287900,9.424449,40.659758,7.893827,78.294673,0,3.287944204583204
2010-08-17,sz.002452,30.9000,31.3000,30.6100,31.0200,31.1000,2906436,89753487.2100,3,14.532180,1,-0.257200,9.400206,40.555167,7.873521,78.093272,0,-0.25723472668810476
2010-08-18,sz.002452,30.9800,31.0300,30.3900,30.7200,31.0200,2317302,71222326.4700,3,11.586510,1,-0.967100,9.309295,40.162951,7.797375,77.338017,0,-0.9671179883945835
2010-08-19,sz.002452,30.7700,31.2500,30.5000,30.5500,30.7200,2168842,66856065.9100,3,10.844210,1,-0.553400,9.257779,39.940695,7.754225,76.910040,0,-0.553385416666663
2010-08-20,sz.002452,30.2500,30.5700,29.8000,29.9700,30.5500,2243852,67522678.4900,3,11.219260,1,-1.898500,9.082017,39.182410,7.607009,75.449882,0,-1.898527004909989
2010-08-23,sz.002452,29.7800,30.5000,29.7800,30.0900,29.9700,1590191,47938057.9900,3,7.950955,1,0.400400,9.118382,39.339296,7.637468,75.751984,0,0.4004004004004136
2010-08-24,sz.002452,30.0900,30.3200,29.8100,30.1500,30.0900,1105558,33272039.9100,3,5.527790,1,0.199400,9.136564,39.417740,7.652697,75.903035,0,0.1994017946161497
2010-08-25,sz.002452,30.0000,30.2500,29.2500,29.2500,30.1500,1544150,45732468.5700,3,7.720750,1,-2.985100,8.863831,38.241091,7.424258,73.637272,0,-2.985074626865669
2010-08-26,sz.002452,29.4000,29.6300,29.0500,29.5200,29.2500,999742,29353233.8300,3,4.998710,1,0.923100,8.945650,38.594085,7.492790,74.317001,0,0.9230769230769154
2010-08-27,sz.002452,29.2200,29.7200,29.2200,29.7000,29.5200,804486,23761262.3700,3,4.022430,1,0.609800,9.000197,38.829415,7.538478,74.770154,0,0.6097560975609762
2010-08-30,sz.002452,29.8000,30.3000,29.5500,30.1400,29.7000,1339234,40208374.1700,3,6.696170,1,1.481500,9.133533,39.404666,7.650159,75.877860,0,1.4814814814814836
2010-08-31,sz.002452,30.1000,30.6100,29.7500,30.4200,30.1400,1952412,59020149.2700,3,9.762060,1,0.929000,9.218384,39.770734,7.721229,76.582763,0,0.928998009289983
2010-09-01,sz.002452,30.4400,30.6700,28.9800,29.3300,30.4200,1908905,57144564.6400,3,9.544525,1,-3.583200,8.888073,38.345682,7.444564,73.838674,0,-3.583168967784367
2010-09-02,sz.002452,29.6800,32.2600,29.3500,32.2600,29.3300,3770755,117832109.9400,3,18.853775,1,9.989800,9.775972,42.176328,8.188259,81.214988,0,9.989771564950555
2010-09-03,sz.002452,32.3900,32.3900,31.1200,31.6200,32.2600,3711805,118102524.0100,3,18.559025,1,-1.983900,9.582028,41.339599,8.025814,79.603780,0,-1.98388096714196
2010-09-06,sz.002452,31.8100,31.8800,30.2000,30.6800,31.6200,2399043,74101496.7400,3,11.995215,1,-2.972800,9.297173,40.110655,7.787222,77.237317,0,-2.972802024035426
2010-09-07,sz.002452,30.6500,30.8400,30.3000,30.7400,30.6800,1315139,40276866.3100,3,6.575695,1,0.195600,9.315356,40.189098,7.802451,77.388368,0,0.19556714471968828
2010-09-08,sz.002452,30.4800,31.2100,30.4800,31.0400,30.7400,1573232,48644236.1300,3,7.866160,1,0.975931,9.406267,40.581315,7.878598,78.143622,0,0.9759271307742345
2010-09-09,sz.002452,31.0500,31.1500,29.9000,30.0400,31.0400,1868631,56844623.5200,3,9.343155,1,-3.221600,9.103230,39.273927,7.624777,75.626108,0,-3.221649484536082
2010-09-10,sz.002452,29.8100,30.4800,29.8100,30.4700,30.0400,1129609,34143357.3800,3,5.648045,1,1.431400,9.233536,39.836104,7.733920,76.708639,0,1.4314247669773517
2010-09-13,sz.002452,30.4800,30.8600,30.3700,30.6600,30.4700,1031481,31629988.5300,3,5.157405,1,0.623600,9.291113,40.084507,7.782146,77.186967,0,0.6235641614703136
2010-09-14,sz.002452,30.7300,31.2800,30.3100,30.4500,30.6600,1243870,38345730.2200,3,6.219350,1,-0.684900,9.227475,39.809956,7.728843,76.658289,0,-0.6849315068493178
2010-09-15,sz.002452,30.3600,30.6300,30.0100,30.1000,30.4500,1073252,32540518.7700,3,5.366260,1,-1.149400,9.121412,39.352370,7.640006,75.777159,0,-1.1494252873563093
2010-09-16,sz.002452,30.1100,30.3300,29.0100,29.5000,30.1000,1160828,34306099.2400,3,5.804140,1,-1.993400,8.939590,38.567938,7.487714,74.266651,0,-1.9933554817275767
2010-09-17,sz.002452,29.5000,29.6800,29.2800,29.5500,29.5000,640571,18886911.6200,3,3.202855,1,0.169500,8.954742,38.633307,7.500405,74.392527,0,0.16949152542373724
2010-09-20,sz.002452,29.5800,29.8000,28.6500,28.6700,29.5500,835376,24265142.4600,3,4.176880,1,-2.978000,8.688069,37.482806,7.277042,72.177115,0,-2.9780033840947517
2010-09-21,sz.002452,28.6000,28.9400,28.4100,28.7400,28.6700,429699,12325920.0700,3,2.148495,1,0.244200,8.709282,37.574323,7.294810,72.353341,0,0.24415765608649664
2010-09-27,sz.002452,28.7700,29.0800,28.6800,29.0200,28.7400,496609,14360027.4900,3,2.483045,1,0.974300,8.794132,37.940391,7.365880,73.058244,0,0.9742519137091232
2010-09-28,sz.002452,29.0200,29.0200,27.7000,27.9000,29.0200,1495694,42183256.2400,3,7.478470,1,-3.859400,8.454731,36.476117,7.081600,70.238629,0,-3.8594073053066835
