date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-09-29,sz.002483,29.0000,29.1700,28.0000,28.1000,29.0000,13670856,389683544.2500,3,34.177140,1,-3.103447,16.339578,37.566700,5.056153,165.942693,0,
2010-09-30,sz.002483,27.1000,28.2200,27.0000,27.9000,28.1000,5920983,163629737.5300,3,14.802457,1,-0.711700,16.223282,37.299322,5.020166,164.761606,0,-0.7117437722420017
2010-10-08,sz.002483,27.9500,28.7400,27.5500,28.6200,27.9000,4953536,139709140.6500,3,12.383840,1,2.580600,16.641947,38.261885,5.149719,169.013518,0,2.580645161290329
2010-10-11,sz.002483,28.4500,28.5500,28.0000,28.4300,28.6200,3554714,100560286.9300,3,8.886785,1,-0.663900,16.531466,38.007875,5.115531,167.891486,0,-0.663871418588402
2010-10-12,sz.002483,28.4000,28.4200,28.0100,28.0600,28.4300,2619119,73857046.8700,3,6.547797,1,-1.301400,16.316318,37.513225,5.048956,165.706475,0,-1.3014421385860064
2010-10-13,sz.002483,28.0000,28.0000,27.5500,27.8000,28.0600,2741271,75999000.5700,3,6.853178,1,-0.926600,16.165134,37.165632,5.002173,164.171062,0,-0.9265858873841681
2010-10-14,sz.002483,27.8400,28.4500,27.8100,28.1700,27.8000,3784630,106701959.6700,3,9.461575,1,1.330900,16.380281,37.660283,5.068748,166.356073,0,1.3309352517985706
2010-10-15,sz.002483,27.8100,28.1100,27.6500,27.7200,28.1700,2445890,67977378.1300,3,6.114725,1,-1.597400,16.118615,37.058681,4.987778,163.698628,0,-1.5974440894568787
2010-10-18,sz.002483,27.6900,28.5400,27.5100,28.3300,27.7200,2938882,82532176.2900,3,7.347205,1,2.200600,16.473318,37.874186,5.097538,167.300942,0,2.200577200577203
2010-10-19,sz.002483,28.3100,29.1200,28.1000,28.9900,28.3300,4887091,140434434.7000,3,12.217728,1,2.329700,16.857094,38.756535,5.216295,171.198529,0,2.32968584539357
2010-10-20,sz.002483,28.4300,28.9000,28.2200,28.3200,28.9900,3820818,109150742.4800,3,9.552045,1,-2.311100,16.467503,37.860817,5.095739,167.241888,0,-2.3111417730251715
2010-10-21,sz.002483,28.2100,28.3600,27.7700,28.0600,28.3200,2262263,63440423.7400,3,5.655658,1,-0.918100,16.316318,37.513225,5.048956,165.706475,0,-0.918079096045199
2010-10-22,sz.002483,28.0900,28.4600,28.0100,28.3300,28.0600,1786928,50540439.0100,3,4.467320,1,0.962200,16.473318,37.874186,5.097538,167.300942,0,0.9622238061297139
2010-10-25,sz.002483,28.5600,29.0600,28.3000,28.9400,28.3300,3878145,111575025.6000,3,9.695362,1,2.153200,16.828020,38.689691,5.207298,170.903257,0,2.1531944934698233
2010-10-26,sz.002483,29.0000,29.1000,28.4500,28.7800,28.9400,2501832,71811214.3500,3,6.254580,1,-0.552900,16.734984,38.475788,5.178508,169.958388,0,-0.5528680027643396
2010-10-27,sz.002483,29.1900,31.6000,29.1900,30.4200,28.7800,9457037,286592375.7600,3,23.642592,1,5.698400,3.411232,38.298525,4.942639,5.384709,0,5.698401667824871
