date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-10-15,sz.002485,27.0000,29.9500,26.7100,27.0000,26.6000,25625453,708110997.2900,3,64.063632,1,1.503758,10.938547,48.645830,6.354273,51.962329,0,
2010-10-18,sz.002485,25.0000,28.8700,24.3000,27.7000,27.0000,19579749,517058271.5300,3,48.949372,1,2.592600,11.222138,49.907018,6.519014,53.309501,0,2.592592592592591
2010-10-19,sz.002485,26.6000,28.1100,26.3600,27.3600,27.7000,9462347,259714984.9600,3,23.655867,1,-1.227400,11.084394,49.294441,6.438997,52.655160,0,-1.2274368231046884
2010-10-20,sz.002485,26.8500,27.1100,25.9100,26.4200,27.3600,6399653,169824467.5600,3,15.999132,1,-3.435700,10.703570,47.600846,6.217774,50.846102,0,-3.4356725146198697
2010-10-21,sz.002485,26.1000,26.2100,25.2000,25.3400,26.4200,5190873,132910909.0900,3,12.977183,1,-4.087800,10.266028,45.655013,5.963603,48.767608,0,-4.087812263436796
2010-10-22,sz.002485,25.3000,25.9200,25.0600,25.5300,25.3400,2582688,66164134.3700,3,6.456720,1,0.749800,10.343003,45.997335,6.008318,49.133269,0,0.7498026835043525
2010-10-25,sz.002485,25.8100,26.1800,25.5700,25.8600,25.5300,2912889,75396721.7000,3,7.282223,1,1.292600,10.476697,46.591895,6.085982,49.768364,0,1.2925969447708408
2010-10-26,sz.002485,25.9100,25.9500,25.3700,25.5000,25.8600,2899337,73921823.6400,3,7.248343,1,-1.392100,10.330850,45.943284,6.001258,49.075533,0,-1.39211136890951
2010-10-27,sz.002485,25.5000,26.5000,25.1300,26.3100,25.5000,4797670,124458854.0900,3,11.994175,1,3.176500,2.959524,41.348126,5.337548,4.006186,0,3.1764705882352917
2010-10-28,sz.002485,26.0200,27.0800,26.0100,26.7600,26.3100,4086972,108568637.0700,3,10.217430,1,1.710400,3.010143,42.055335,5.428841,4.074706,0,1.7103762827822333
2010-10-29,sz.002485,26.7600,27.0900,26.5600,26.6100,26.7600,3059736,82012336.6800,3,7.649340,1,-0.560500,2.993270,41.819598,5.398410,4.051866,0,-0.5605381165919354
2010-11-01,sz.002485,26.7500,27.2100,26.2900,26.9000,26.6100,3938003,105682152.3500,3,9.845007,1,1.089800,3.025891,42.275355,5.457243,4.096024,0,1.0898158586997386
2010-11-02,sz.002485,26.8900,27.9800,26.7100,27.3800,26.9000,5096759,139990524.7700,3,12.741897,1,1.784400,3.079885,43.029711,5.554621,4.169113,0,1.7843866171003642
2010-11-03,sz.002485,27.1600,27.2900,26.1800,26.2200,27.3800,2776554,73770383.4400,3,6.941385,1,-4.236700,2.949400,41.206684,5.319290,3.992481,0,-4.236669101533963
2010-11-04,sz.002485,26.2200,27.7900,26.0000,27.4800,26.2200,5816038,155914428.1400,3,14.540095,1,4.805500,3.091133,43.186868,5.574908,4.184340,0,4.8054919908466776
2010-11-05,sz.002485,27.6300,27.7000,27.0800,27.3700,27.4800,4886216,133579052.9100,3,12.215540,1,-0.400300,3.078760,43.013995,5.552592,4.167590,0,-0.40029112081513274
2010-11-08,sz.002485,27.3500,29.6500,26.7000,28.8300,27.3700,11631207,320941721.2200,3,29.078017,1,5.334300,3.242990,45.308494,5.848785,4.389902,0,5.334307636097901
2010-11-09,sz.002485,28.1000,28.9200,27.9000,28.4500,28.8300,9421461,266661757.4600,3,23.553652,1,-1.318100,3.200246,44.711296,5.771693,4.332040,0,-1.3180714533472027
2010-11-10,sz.002485,28.0800,28.8300,27.9400,28.5100,28.4500,5166939,146607963.6600,3,12.917348,1,0.210900,3.206995,44.805590,5.783866,4.341176,0,0.2108963093145899
2010-11-11,sz.002485,28.5800,28.6000,27.5900,27.7700,28.5100,4881608,137594784.4800,3,12.204020,1,-2.595600,3.123755,43.642625,5.633741,4.228498,0,-2.5955804980708597
2010-11-12,sz.002485,27.7000,27.9600,26.5100,26.5300,27.7700,3717747,100683618.5300,3,9.294367,1,-4.465300,2.984271,41.693872,5.382180,4.039685,0,-4.465250270075616
2010-11-15,sz.002485,26.6500,28.5200,26.6500,28.3100,26.5300,5887073,163454749.2200,3,14.717683,1,6.709400,3.184497,44.491275,5.743291,4.310723,0,6.709385601206175
2010-11-16,sz.002485,28.7800,30.2000,28.4500,29.3400,28.3100,11585155,341480938.7300,3,28.962888,1,3.638300,3.300359,46.109997,5.952249,4.467559,0,3.6382903567643954
2010-11-17,sz.002485,29.5800,30.1300,28.8000,28.9800,29.3400,7941088,234128388.4500,3,19.852720,1,-1.227000,3.259863,45.544230,5.879215,4.412743,0,-1.2269938650306678
2010-11-18,sz.002485,28.8600,29.3500,27.6200,29.0000,28.9800,3861323,110366568.3800,3,9.653308,1,0.069000,3.262113,45.575662,5.883273,4.415788,0,0.06901311249136732
