date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-11-02,sz.002494,32.4700,34.4900,28.0000,28.3000,22.0000,15267165,457360817.9200,3,66.961250,1,28.636360,12.191503,65.322469,8.047790,-43.033307,0,
2010-11-03,sz.002494,27.7000,30.4300,27.5000,29.4300,28.3000,9843713,289548115.8500,3,43.174180,1,3.992900,12.678301,67.930752,8.369133,-44.751598,0,3.992932862190801
2010-11-04,sz.002494,29.0000,29.6300,28.3300,29.1800,29.4300,4747085,137916068.4800,3,20.820548,1,-0.849500,12.570603,67.353698,8.298039,-44.371445,0,-0.849473326537542
2010-11-05,sz.002494,29.2000,29.8700,28.6000,29.6000,29.1800,5182656,151083281.3200,3,22.730947,1,1.439300,12.751537,68.323148,8.417476,-45.010102,0,1.439342015078826
2010-11-08,sz.002494,29.4500,30.3600,29.4000,30.2000,29.6000,5196553,155867118.4500,3,22.791899,1,2.027000,13.010014,69.708077,8.588101,-45.922469,0,2.0270270270270174
2010-11-09,sz.002494,30.2800,33.1700,30.0100,31.9600,30.2000,6413896,204393721.8800,3,28.131123,1,5.827800,13.768213,73.770534,9.088599,-48.598745,0,5.827814569536427
2010-11-10,sz.002494,31.6700,32.9800,31.4000,32.1800,31.9600,3956941,127804647.8300,3,17.355004,1,0.688400,13.862988,74.278341,9.151162,-48.933280,0,0.6883604505631968
2010-11-11,sz.002494,32.0000,33.2500,31.9800,32.3500,32.1800,4286771,140038567.4500,3,18.801627,1,0.528300,13.936223,74.670738,9.199505,-49.191784,0,0.5282784338098256
2010-11-12,sz.002494,32.2100,33.9600,31.0000,31.8000,32.3500,5853917,191461109.5100,3,25.675075,1,-1.700200,13.699286,73.401220,9.043099,-48.355447,0,-1.7001545595054068
2010-11-15,sz.002494,31.3200,34.9000,31.3200,34.4500,31.8000,4822009,160293888.2300,3,21.149162,1,8.333300,14.840893,79.517988,9.796691,-52.385068,0,8.333333333333348
2010-11-16,sz.002494,34.4500,35.2900,33.2100,33.6500,34.4500,5299578,181917422.8900,3,23.243763,1,-2.322200,14.496257,77.671417,9.569192,-51.168579,0,-2.322206095791013
2010-11-17,sz.002494,33.1200,34.1800,30.2900,30.4400,33.6500,3752936,120336964.1000,3,16.460246,1,-9.539400,13.113404,70.262048,8.656350,-46.287415,0,-9.53937592867755
2010-11-18,sz.002494,30.4500,30.9600,29.5000,30.5500,30.4400,2331974,70356993.3100,3,10.227956,1,0.361400,13.160792,70.515952,8.687632,-46.454683,0,0.36136662286465615
2010-11-19,sz.002494,30.4900,31.5300,30.4000,31.4100,30.5500,2238647,69247456.7800,3,9.818627,1,2.815100,13.531276,72.501016,8.932193,-47.762409,0,2.815057283142397
2010-11-22,sz.002494,31.0600,33.2000,31.0600,32.9800,31.4100,3201775,103824757.0700,3,14.042873,1,4.998400,14.207624,76.124913,9.378661,-50.149769,0,4.998408150270595
2010-11-23,sz.002494,32.8000,33.3800,31.5000,33.2000,32.9800,2477626,80527524.8800,3,10.866781,1,0.667100,14.302399,76.632720,9.441223,-50.484303,0,0.6670709520921969
2010-11-24,sz.002494,32.7000,34.2600,32.6000,33.6900,33.2000,2324411,78330149.9300,3,10.194785,1,1.475900,14.513489,77.763745,9.580567,-51.229403,0,1.4759036144578186
2010-11-25,sz.002494,33.8900,33.9000,32.5200,32.8000,33.6900,1999230,66088857.3700,3,8.768553,1,-2.641700,14.130081,75.709434,9.327474,-49.876059,0,-2.641733452062933
2010-11-26,sz.002494,32.8400,33.8000,32.6000,33.2000,32.8000,1738291,57623949.1700,3,7.624083,1,1.219500,14.302399,76.632720,9.441223,-50.484303,0,1.2195121951219745
2010-11-29,sz.002494,33.5000,33.5000,32.2500,32.4500,33.2000,1537276,50242976.3700,3,6.742439,1,-2.259000,13.979303,74.901559,9.227943,-49.343845,0,-2.259036144578308
2010-11-30,sz.002494,32.4500,32.8600,30.5100,31.3200,32.4500,1785048,56075361.0900,3,7.829158,1,-3.482300,13.492504,72.293277,8.906600,-47.625554,0,-3.4822804314329825
2010-12-01,sz.002494,31.0100,31.7800,31.0100,31.4000,31.3200,939266,29516176.2800,3,4.119588,1,0.255400,13.526968,72.477934,8.929350,-47.747203,0,0.25542784163472554
2010-12-02,sz.002494,31.5900,31.8900,31.0500,31.2500,31.4000,1010660,31873242.0400,3,4.432719,1,-0.477700,13.462349,72.131702,8.886694,-47.519111,0,-0.4777070063694211
2010-12-03,sz.002494,31.0800,31.2500,30.3500,30.4800,31.2500,978246,29976345.0300,3,4.290553,1,-2.464000,13.130636,70.354377,8.667725,-46.348240,0,-2.4639999999999995
2010-12-06,sz.002494,30.7700,32.8200,30.3800,32.4300,30.4800,1855208,58659485.5000,3,8.136877,1,6.397600,13.970687,74.855395,9.222255,-49.313432,0,6.397637795275579
2010-12-07,sz.002494,31.9800,32.5500,31.1000,32.4600,32.4300,1321762,42257756.7000,3,5.797202,1,0.092500,13.983611,74.924642,9.230786,-49.359051,0,0.09250693802036469
2010-12-08,sz.002494,32.4600,33.4700,32.1800,32.2600,32.4600,1496761,49127838.9000,3,6.564741,1,-0.616100,13.897452,74.462999,9.173911,-49.054928,0,-0.6161429451632894
2010-12-09,sz.002494,31.7200,32.1800,30.7700,30.8100,32.2600,881023,27624643.3700,3,3.864136,1,-4.494700,13.272799,71.116088,8.761569,-46.850042,0,-4.494730316181029
2010-12-10,sz.002494,30.7100,31.8800,30.4800,31.5500,30.8100,796779,24990688.9300,3,3.494645,1,2.401800,13.591587,72.824166,8.972006,-47.975294,0,2.4018175916910245
2010-12-13,sz.002494,31.6700,32.6500,31.5600,32.4200,31.5500,1073606,34618296.3100,3,4.708798,1,2.757500,13.966379,74.832313,9.219411,-49.298226,0,2.757527733755949
2010-12-14,sz.002494,32.4200,32.8100,32.2200,32.5300,32.4200,841615,27377233.4100,3,3.691294,1,0.339300,14.013766,75.086217,9.250693,-49.465494,0,0.33929673041332986
2010-12-15,sz.002494,32.9200,33.8600,32.7500,32.9700,32.5300,1735749,57674659.0700,3,7.612934,1,1.352600,14.203316,76.101831,9.375817,-50.134563,0,1.3525976022133346
2010-12-16,sz.002494,34.0000,35.9900,33.7000,34.2300,32.9700,2795845,96663501.3300,3,12.262478,1,3.821700,14.746118,79.010181,9.734129,-52.050533,0,3.821656050955413
2010-12-17,sz.002494,33.7600,34.3200,33.2400,33.8300,34.2300,1297984,43625151.3800,3,5.692912,1,-1.168600,14.573800,78.086895,9.620379,-51.442289,0,-1.1685655857434973
2010-12-20,sz.002494,34.9700,36.0900,34.0100,35.5500,33.8300,3981915,138911333.4300,3,17.464539,1,5.084200,15.314768,82.057024,10.109503,-54.057740,0,5.084244753177658
2010-12-21,sz.002494,35.5600,36.0000,34.8000,34.8500,35.5500,2679916,94436976.0800,3,11.754018,1,-1.969100,15.013211,80.441274,9.910441,-52.993312,0,-1.9690576652601877
2010-12-22,sz.002494,34.8500,35.1000,33.9300,34.1600,34.8500,1790539,61618368.9600,3,7.853241,1,-1.979900,14.715962,78.848606,9.714222,-51.944090,0,-1.9799139167862356
2010-12-23,sz.002494,34.3000,34.5000,33.0000,33.2300,34.1600,1415148,47740101.3800,3,6.206789,1,-2.722500,14.315323,76.701967,9.449754,-50.529922,0,-2.7224824355971844
2010-12-24,sz.002494,33.0000,33.2300,31.1000,31.8500,33.2300,2192822,69835720.6800,3,9.617640,1,-4.152900,13.720826,73.516631,9.057318,-48.431478,0,-4.152873909118249
2010-12-27,sz.002494,31.8000,32.5300,30.8000,31.0000,31.8500,1504802,47667284.1700,3,6.600009,1,-2.668800,13.354650,71.554648,8.815600,-47.138958,0,-2.668759811616961
2010-12-28,sz.002494,31.0000,31.3000,30.6000,30.7000,31.0000,890564,27475229.6200,3,3.905982,1,-0.967700,13.225411,70.862184,8.730288,-46.682774,0,-0.9677419354838679
2010-12-29,sz.002494,30.7100,31.4900,30.6000,31.1800,30.7000,791411,24526152.1200,3,3.471101,1,1.563500,13.432193,71.970127,8.866787,-47.412668,0,1.5635179153094425
2010-12-30,sz.002494,31.1500,31.1800,30.3000,30.6600,31.1800,777324,23843969.0700,3,3.409316,1,-1.667700,13.208179,70.769855,8.718913,-46.621950,0,-1.6677357280307836
2010-12-31,sz.002494,30.6000,31.3900,30.6000,31.2900,30.6600,811518,25200543.9500,3,3.559289,1,2.054800,13.479580,72.224031,8.898069,-47.579935,0,2.054794520547931
2011-01-04,sz.002494,31.3100,31.8700,31.1800,31.8500,31.2900,1354994,42610912.2800,3,5.942956,1,1.789700,13.720826,73.516631,9.057318,-48.431478,0,1.7897091722595126
2011-01-05,sz.002494,31.4100,31.7800,30.9000,30.9000,31.8500,1193078,37251218.4000,3,5.232798,1,-2.982700,13.311570,71.323827,8.787163,-46.986897,0,-2.982731554160134
2011-01-06,sz.002494,30.6900,31.0700,29.7500,29.8600,30.9000,1570926,47382342.6900,3,6.890026,1,-3.365700,12.863543,68.923284,8.491413,-45.405461,0,-3.3656957928802522
