date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-11-23,sz.002509,40.0000,55.0000,35.5300,40.7000,20.1900,17664699,711390398.5300,3,88.323495,1,101.584900,26.124145,113.268985,15.658488,280.688733,0,
2010-11-24,sz.002509,36.8200,38.6000,36.6300,36.6300,40.7000,9782479,363248015.8200,3,48.912395,1,-10.000000,23.511731,101.942086,14.092639,252.619860,0,-9.999999999999998
2010-11-25,sz.002509,36.3800,39.6200,35.7800,38.2900,36.6300,9639941,360244498.2800,3,48.199705,1,4.531800,24.577236,106.561903,14.731290,264.068098,0,4.531804531804529
2010-11-26,sz.002509,37.0500,42.0000,37.0500,41.0700,38.2900,10550780,414282585.8900,3,52.753900,1,7.260400,26.361637,114.298703,15.800838,283.240449,0,7.260381300600671
2010-11-29,sz.002509,39.8000,42.3000,38.5300,39.8800,41.0700,8156203,328589208.2400,3,40.781015,1,-2.897500,25.597811,110.986907,15.343010,275.033580,0,-2.897492086681275
2010-11-30,sz.002509,39.2400,39.6800,37.5800,37.8000,39.8800,4895660,188545939.0500,3,24.478300,1,-5.215600,24.262720,105.198222,14.542773,260.688799,0,-5.215646940822483
2010-12-01,sz.002509,37.0900,38.8900,37.0000,37.6300,37.8000,3206450,121687150.6600,3,16.032250,1,-0.449700,24.153602,104.725108,14.477369,259.516389,0,-0.44973544973543333
2010-12-02,sz.002509,37.8000,38.3700,37.1200,37.1700,37.6300,2967071,110998384.5700,3,14.835355,1,-1.222400,23.858341,103.444918,14.300393,256.343986,0,-1.2224289131012478
2010-12-03,sz.002509,37.0000,37.0000,35.0000,35.1300,37.1700,3514951,125282323.4500,3,17.574755,1,-5.488300,22.548924,97.767554,13.515545,242.275066,0,-5.488297013720745
2010-12-06,sz.002509,35.5000,35.5000,33.1000,33.1700,35.1300,2656127,90061990.9200,3,13.280635,1,-5.579300,21.290857,92.312831,12.761475,228.757869,0,-5.579276971249647
2010-12-07,sz.002509,33.1600,33.5300,31.8800,33.3400,33.1700,1990214,64943756.4300,3,9.951070,1,0.512500,21.399975,92.785945,12.826879,229.930279,0,0.5125113053964458
2010-12-08,sz.002509,33.3800,33.5800,33.0200,33.2200,33.3400,1239026,41331969.5300,3,6.195130,1,-0.359900,21.322951,92.451982,12.780712,229.102696,0,-0.3599280143971373
2010-12-09,sz.002509,32.8500,32.8700,31.5100,31.5700,33.2200,1792399,57294575.8400,3,8.961995,1,-4.966900,20.263864,87.859996,12.145908,217.723423,0,-4.966887417218535
2010-12-10,sz.002509,31.4000,32.1500,31.3000,31.8900,31.5700,1034327,32893616.0800,3,5.171635,1,1.013600,20.469263,88.750563,12.269022,219.930312,0,1.0136205258156394
2010-12-13,sz.002509,32.1000,33.3000,32.1000,33.1500,31.8900,1679834,55157890.5400,3,8.399170,1,3.951100,21.278020,92.257171,12.753781,228.619939,0,3.951081843838189
2010-12-14,sz.002509,33.1500,36.4700,32.8100,36.4700,33.1500,4166436,145626185.7300,3,20.832180,1,10.015100,23.409031,101.496803,14.031083,251.516415,0,10.015082956259436
2010-12-15,sz.002509,35.9300,37.5600,35.0800,36.2900,36.4700,4447393,163167715.3700,3,22.236965,1,-0.493600,23.293495,100.995859,13.961831,250.275040,0,-0.4935563476830218
2010-12-16,sz.002509,36.2700,36.6000,35.4000,35.8200,36.2900,2037177,73191477.9300,3,10.185885,1,-1.295100,22.991815,99.687839,13.781008,247.033671,0,-1.295122623312206
2010-12-17,sz.002509,35.7500,36.4600,35.4100,36.0100,35.8200,1276532,45839168.3000,3,6.382660,1,0.530400,23.113771,100.216613,13.854107,248.344012,0,0.530429927414855
2010-12-20,sz.002509,36.0100,36.9000,34.4500,35.5500,36.0100,1920230,68323077.8900,3,9.601150,1,-1.277400,22.818510,98.936423,13.677132,245.171609,0,-1.2774229380727586
2010-12-21,sz.002509,35.8100,36.1000,35.0100,35.5200,35.5500,1112501,39397640.3400,3,5.562505,1,-0.084400,22.799254,98.852932,13.665590,244.964713,0,-0.08438818565399409
2010-12-22,sz.002509,35.5500,36.8800,35.3800,36.5200,35.5200,2731699,99214981.0900,3,13.658495,1,2.815300,23.441125,101.635954,14.050319,251.861242,0,2.8153153153153143
2010-12-23,sz.002509,36.5500,36.6200,34.5100,34.6900,36.5200,1586351,56438164.2700,3,7.931755,1,-5.011000,22.266501,96.543024,13.346264,239.240594,0,-5.0109529025191835
2010-12-24,sz.002509,34.1700,34.1700,32.3000,32.6000,34.6900,1681545,55614825.6900,3,8.407725,1,-6.024800,20.924991,90.726509,12.542180,224.826848,0,-6.02479100605361
2010-12-27,sz.002509,32.6000,32.6000,32.6000,32.6000,32.6000,0,0.0000,3,,0,0.000000,20.924991,90.726509,12.542180,224.826848,0,0.0
2010-12-28,sz.002509,31.3000,31.3100,30.3000,30.3000,32.6000,1373730,42237477.2500,3,6.868650,1,-7.055200,19.448688,84.325559,11.657302,208.964831,0,-7.055214723926384
2010-12-29,sz.002509,30.2000,31.0000,30.0700,30.9500,30.3000,718934,22064127.7300,3,3.594670,1,2.145200,19.865904,86.134523,11.907376,213.447575,0,2.1452145214521323
2010-12-30,sz.002509,30.9000,31.1200,30.3000,30.6100,30.9500,582118,17863095.4500,3,2.910590,1,-1.098500,19.647668,85.188296,11.776568,211.102755,0,-1.0985460420032345
2010-12-31,sz.002509,31.0500,31.2800,30.6000,31.2500,30.6100,807528,25049492.1400,3,4.037640,1,2.090800,20.058465,86.969429,12.022795,215.516534,0,2.0908199934661864
2011-01-04,sz.002509,31.2600,31.9700,31.0200,31.6600,31.2500,1082684,34029483.9000,3,5.413420,1,1.312000,20.321632,88.110468,12.180534,218.344111,0,1.312000000000002
2011-01-05,sz.002509,31.5800,31.8000,31.2300,31.5000,31.6600,719101,22669044.9000,3,3.595505,1,-0.505400,20.218933,87.665185,12.118977,217.240666,0,-0.5053695514845247
2011-01-06,sz.002509,31.5000,31.6600,30.7300,30.7300,31.5000,791646,24495428.0900,3,3.958230,1,-2.444400,19.724692,85.522258,11.822736,211.930338,0,-2.444444444444438
2011-01-07,sz.002509,30.7500,31.3800,30.7000,30.9300,30.7300,606940,18847625.1100,3,3.034700,1,0.650800,19.853067,86.078862,11.899682,213.309644,0,0.6508298080051933
2011-01-10,sz.002509,30.9300,31.1900,30.3200,30.4000,30.9300,674822,20735377.9600,3,3.374110,1,-1.713500,19.512875,84.603861,11.695775,209.654484,0,-1.713546718396386
2011-01-11,sz.002509,30.3500,30.3500,29.0200,29.2900,30.4000,792513,23327002.3700,3,3.962565,1,-3.651300,18.800398,81.514707,11.268725,201.999337,0,-3.651315789473686
