date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-12-24,sz.002527,23.0000,26.2000,23.0000,24.5100,16.0000,33530948,832056826.5500,3,83.827370,1,53.187500,13.058267,61.128425,10.543250,-247.837014,0,
2010-12-27,sz.002527,25.3000,26.9200,23.6500,26.5700,24.5100,22249437,560429509.6000,3,55.623592,1,8.404700,14.155780,66.266106,11.429382,-268.667053,0,8.40473276213789
2010-12-28,sz.002527,25.1300,25.7000,23.9100,23.9100,26.5700,10770662,266380201.3500,3,26.926655,1,-10.011300,12.738604,59.632013,10.285153,-241.770012,0,-10.011290929619875
2010-12-29,sz.002527,22.4500,24.2000,22.1500,24.1800,23.9100,10316581,240236078.4000,3,25.791453,1,1.129200,12.882452,60.305398,10.401297,-244.500163,0,1.129234629861986
2010-12-30,sz.002527,23.8900,26.6000,23.8400,26.6000,24.1800,16232912,420614087.3000,3,40.582280,1,10.008300,14.171763,66.340926,11.442287,-268.970403,0,10.008271298593897
2010-12-31,sz.002527,25.9900,26.9800,25.8000,26.6900,26.6000,10970373,289488000.7900,3,27.425932,1,0.338300,14.219713,66.565388,11.481001,-269.880453,0,0.33834586466165995
2011-01-04,sz.002527,27.6000,28.5500,26.6300,26.9900,26.6900,12505396,343177882.4600,3,31.263490,1,1.124000,14.379545,67.313594,11.610049,-272.913954,0,1.124016485575119
2011-01-05,sz.002527,27.3000,28.4900,27.1000,28.2000,26.9900,9893700,274902723.6500,3,24.734250,1,4.483100,15.024200,70.331358,12.130544,-285.149073,0,4.483141904409038
2011-01-06,sz.002527,27.8000,28.8900,27.4000,28.2000,28.2000,7683439,215863149.4000,3,19.208597,1,0.000000,15.024200,70.331358,12.130544,-285.149073,0,0.0
2011-01-07,sz.002527,28.0500,28.5000,25.9800,27.0500,28.2000,7566955,206918257.3900,3,18.917388,1,-4.078000,14.411511,67.463235,11.635859,-273.520654,0,-4.07801418439716
2011-01-10,sz.002527,26.8000,27.4900,26.1800,26.6100,27.0500,4183699,112395827.3800,3,10.459248,1,-1.626600,14.177091,66.365866,11.446588,-269.071519,0,-1.6266173752310542
2011-01-11,sz.002527,26.3000,27.2000,25.1300,25.7500,26.6100,4103770,107003452.8100,3,10.259425,1,-3.231900,13.718906,64.221009,11.076650,-260.375484,0,-3.23186771890267
2011-01-12,sz.002527,25.6100,26.2600,25.4000,26.1500,25.7500,2837650,73372640.9100,3,7.094125,1,1.553400,13.932015,65.218617,11.248714,-264.420151,0,1.553398058252431
2011-01-13,sz.002527,26.2000,26.2000,25.4000,26.0500,26.1500,2455534,63220654.1000,3,6.138835,1,-0.382400,13.878738,64.969215,11.205698,-263.408985,0,-0.3824091778202643
2011-01-14,sz.002527,25.8100,25.8200,23.4500,23.9500,26.0500,6485488,155493645.3300,3,16.213720,1,-8.061400,12.759915,59.731774,10.302360,-242.174479,0,-8.061420345489445
2011-01-17,sz.002527,23.5000,23.5000,22.2100,22.7500,23.9500,3351977,76321074.9900,3,8.379943,1,-5.010400,12.120587,56.738950,9.786166,-230.040476,0,-5.010438413361163
2011-01-18,sz.002527,22.6000,23.1700,22.3800,22.5900,22.7500,2432439,55531966.9300,3,6.081098,1,-0.703300,12.035343,56.339907,9.717340,-228.422609,0,-0.7032967032967075
2011-01-19,sz.002527,22.6100,23.1500,21.5000,22.9900,22.5900,3085660,69728144.2000,3,7.714150,1,1.770700,12.248452,57.337515,9.889405,-232.467277,0,1.7706949977866149
2011-01-20,sz.002527,22.7000,22.7700,20.8000,20.9300,22.9900,4201754,91197933.3500,3,10.504385,1,-8.960400,11.150940,52.199834,9.003273,-211.637238,0,-8.960417572857759
2011-01-21,sz.002527,20.7700,21.2800,20.2300,20.9200,20.9300,2875549,59832317.0800,3,7.188873,1,-0.047800,11.145612,52.174894,8.998971,-211.536121,0,-0.047778308647861145
2011-01-24,sz.002527,20.8200,20.8300,19.7200,19.7200,20.9200,2325587,46989004.3600,3,5.813968,1,-5.736100,10.506285,49.182070,8.482778,-199.402118,0,-5.736137667304031
2011-01-25,sz.002527,19.6800,20.9400,19.6000,20.6900,19.7200,2925769,59719352.7100,3,7.314422,1,4.918900,11.023074,51.601269,8.900034,-209.210437,0,4.918864097363085
2011-01-26,sz.002527,20.6100,21.5800,20.3100,21.3000,20.6900,2597779,54720574.0000,3,6.494447,1,2.948300,11.348066,53.122621,9.162432,-215.378555,0,2.9482841952634065
2011-01-27,sz.002527,21.2500,21.8000,20.6700,21.2200,21.3000,2738123,58227742.1900,3,6.845308,1,-0.375600,11.305444,52.923100,9.128020,-214.569622,0,-0.3755868544600971
2011-01-28,sz.002527,20.7200,21.9600,20.7200,21.8500,21.2200,2290809,49074462.3500,3,5.727023,1,2.968900,11.641091,54.494332,9.399021,-220.939974,0,2.968897266729509
2011-01-31,sz.002527,21.7000,22.3000,21.5200,22.2000,21.8500,2126417,46669845.1400,3,5.316043,1,1.601800,11.827562,55.367239,9.549577,-224.479058,0,1.6018306636155444
2011-02-01,sz.002527,22.1800,22.1800,21.5400,21.7300,22.2000,1411404,30723821.7700,3,3.528510,1,-2.117100,11.577158,54.195050,9.347402,-219.726573,0,-2.1171171171171066
2011-02-09,sz.002527,21.6700,22.9600,21.2800,22.8600,21.7300,2909215,65535009.0300,3,7.273038,1,5.200200,12.179192,57.013292,9.833484,-231.152760,0,5.200184077312464
2011-02-10,sz.002527,22.7600,24.3000,22.4600,24.0000,22.8600,3090449,72280238.8500,3,7.726123,1,4.986900,12.786553,59.856475,10.323868,-242.680063,0,4.986876640419946
2011-02-11,sz.002527,23.6200,25.2000,23.6200,25.2000,24.0000,3371240,82791710.2900,3,8.428100,1,5.000000,13.425881,62.849298,10.840061,-254.814066,0,5.000000000000004
2011-02-14,sz.002527,25.1700,25.6000,24.8300,25.3500,25.2000,2514945,63362137.1100,3,6.287363,1,0.595200,13.505797,63.223401,10.904585,-256.330816,0,0.5952380952380931
2011-02-15,sz.002527,25.1900,25.9900,24.7100,25.0000,25.3500,2557563,64302838.1400,3,6.393908,1,-1.380700,13.319326,62.350495,10.754029,-252.791732,0,-1.3806706114398493
2011-02-16,sz.002527,25.0000,25.3500,24.7400,25.1700,25.0000,2201800,55179849.7000,3,5.504500,1,0.680000,13.409898,62.774478,10.827156,-254.510716,0,0.6800000000000139
2011-02-17,sz.002527,25.1500,25.5500,24.8100,25.5500,25.1700,2279657,57572829.1900,3,5.699142,1,1.509700,13.612351,63.722205,10.990617,-258.353150,0,1.5097338100913849
2011-02-18,sz.002527,25.7500,25.7500,24.3000,25.6000,25.5500,3293808,82195410.1400,3,8.234520,1,0.195700,13.638990,63.764105,10.201956,-258.858733,0,0.1956947162426559
2011-02-21,sz.002527,25.6000,25.6000,25.6000,25.6000,25.6000,0,0.0000,3,,0,0.000000,13.638990,63.764105,10.201956,-258.858733,0,0.0
2011-02-22,sz.002527,25.6600,26.6700,25.3900,26.5800,25.6000,4554487,118744594.5600,3,11.386217,1,3.828100,14.161108,66.205074,10.592499,-268.768169,0,3.8281249999999822
2011-02-23,sz.002527,26.2000,26.9500,25.8200,26.4600,26.5800,2013940,53192415.1100,3,5.034850,1,-0.451500,14.097175,65.906180,10.544678,-267.554769,0,-0.4514672686230181
2011-02-24,sz.002527,26.4500,26.6200,25.6000,25.8500,26.4600,1796577,46499473.0900,3,4.491442,1,-2.305400,13.772183,64.386801,10.301584,-261.386651,0,-2.3053665910808707
2011-02-25,sz.002527,25.7900,25.7900,24.5500,25.3700,25.8500,1890318,47445604.0500,3,4.725795,1,-1.856900,13.516452,63.191224,10.110298,-256.533049,0,-1.8568665377176052
2011-02-28,sz.002527,24.9100,25.2600,24.3600,25.0000,25.3700,1617425,39992928.2700,3,4.043563,1,-1.458400,13.319326,62.269633,9.962847,-252.791732,0,-1.4584154513204606
2011-03-01,sz.002527,24.9000,25.8300,24.9000,25.2800,25.0000,1384624,35162296.7600,3,3.461560,1,1.120003,13.468503,62.967053,10.074431,-255.622999,0,1.1200000000000099
2011-03-02,sz.002527,25.0000,25.7800,24.7800,25.5600,25.2800,2073736,52605274.1900,3,5.184340,1,1.107600,13.617679,63.664473,10.186015,-258.454267,0,1.1075949367088445
2011-03-03,sz.002527,25.5600,27.1300,25.5600,26.7300,25.5600,3984255,106094805.4300,3,9.960637,1,4.577500,14.241024,66.578692,10.652276,-270.284920,0,4.577464788732399
2011-03-04,sz.002527,26.6500,26.9400,26.1000,26.9300,26.7300,1978422,52577141.3100,3,4.946055,1,0.748200,14.347578,67.076849,10.731979,-272.307253,0,0.7482229704451893
2011-03-07,sz.002527,26.9600,27.2500,26.5000,26.6600,26.9300,1267787,33992616.5700,3,3.169467,1,-1.002600,14.203730,66.404337,10.624381,-269.577103,0,-1.00259933160044
2011-03-08,sz.002527,26.5600,27.4300,26.0800,26.2100,26.6600,1788467,47524801.0900,3,4.471167,1,-1.687900,13.963982,65.283484,10.445049,-265.026852,0,-1.6879219804951218
2011-03-09,sz.002527,26.0400,26.3900,25.4000,25.4800,26.2100,1527573,39223648.2600,3,3.818933,1,-2.785200,13.575057,63.465210,10.154134,-257.645333,0,-2.785196489889352
2011-03-10,sz.002527,25.4900,26.1300,25.3000,25.5600,25.4800,1073358,27536173.7400,3,2.683395,1,0.314000,13.617679,63.664473,10.186015,-258.454267,0,0.31397174254317317
2011-03-11,sz.002527,25.5000,25.9900,25.0800,25.5100,25.5600,1165465,29916867.9200,3,2.913663,1,-0.195600,13.591041,63.539934,10.166090,-257.948683,0,-0.1956181533646184
2011-03-14,sz.002527,25.4600,27.9000,25.1200,27.9000,25.5100,4310771,114947585.8600,3,10.776927,1,9.368900,14.864368,69.492911,11.118538,-282.115573,0,9.368874950999606
2011-03-15,sz.002527,27.3900,27.9500,26.9000,27.6200,27.9000,2418209,66356950.6000,3,6.045523,1,-1.003600,14.715192,68.795491,11.006954,-279.284305,0,-1.003584229390675
2011-03-16,sz.002527,27.5800,27.8000,27.0600,27.3000,27.6200,1366478,37417014.9400,3,3.416195,1,-1.158600,14.544704,67.998440,10.879429,-276.048571,0,-1.1585807385952274
2011-03-17,sz.002527,27.1800,27.8000,26.6000,26.8000,27.3000,2853041,78007622.1200,3,7.132602,1,-1.831500,14.278318,66.753047,10.680172,-270.992736,0,-1.831501831501836
2011-03-18,sz.002527,26.9500,27.7500,26.6700,27.3100,26.8000,1619837,44047840.1100,3,4.049593,1,1.903000,14.550032,68.023347,10.883415,-276.149688,0,1.9029850746268506
2011-03-21,sz.002527,27.2000,27.2000,26.5200,26.8800,27.3100,1023213,27444607.6800,3,2.558032,1,-1.574500,14.320940,66.952310,10.712054,-271.801670,0,-1.5745148297326983
2011-03-22,sz.002527,26.8000,26.8600,25.0000,26.2400,26.8800,2713798,70468636.9200,3,6.784495,1,-2.381000,13.979965,65.358207,10.457005,-265.330202,0,-2.3809523809523836
2011-03-23,sz.002527,26.0700,26.7800,25.4100,26.0000,26.2400,2284338,59744030.7100,3,5.710845,1,-0.914600,13.852099,64.760419,10.361361,-262.903401,0,-0.9146341463414531
2011-03-24,sz.002527,25.9500,25.9500,25.2600,25.4500,26.0000,4200676,106993802.2100,3,8.401352,1,-2.115400,13.559074,63.390487,10.142179,-257.341983,0,-2.115384615384619
2011-03-25,sz.002527,25.4000,26.6500,25.3600,26.4000,25.4500,5906724,154255921.9300,3,11.813448,1,3.732800,14.065209,65.756733,10.520767,-266.948069,0,3.7328094302554016
2011-03-28,sz.002527,26.6800,28.9800,26.6800,27.4900,26.4000,5450705,151580966.3300,3,10.901410,1,4.128800,14.645931,68.471689,10.955147,-277.969788,0,4.128787878787876
2011-03-29,sz.002527,27.4000,28.0900,26.9200,27.2200,27.4900,2689026,74082924.9700,3,5.378052,1,-0.982200,14.502082,67.799177,10.847548,-275.239638,0,-0.9821753364859909
2011-03-30,sz.002527,27.0000,27.2200,25.2700,26.0900,27.2200,1983155,51797861.8000,3,3.966310,1,-4.151400,13.900049,64.984589,10.397228,-263.813451,0,-4.151359294636292
2011-03-31,sz.002527,26.0000,26.8600,25.4500,26.5900,26.0900,1946752,51105066.6000,3,3.893504,1,1.916400,14.166435,66.229982,10.596485,-268.869286,0,1.9164430816404732
2011-04-01,sz.002527,26.3900,27.3000,26.0500,27.2000,26.5900,2185689,58833054.9600,3,4.371378,1,2.294100,14.491427,67.749361,10.839578,-275.037404,0,2.2940955246333106
2011-04-06,sz.002527,26.9900,27.4300,26.3900,26.5800,27.2000,997168,26623823.1400,3,1.994336,1,-2.279400,14.161108,66.205074,10.592499,-268.768169,0,-2.2794117647058854
2011-04-07,sz.002527,26.7000,27.2800,25.5800,26.6900,26.5800,1985899,52743468.7900,3,3.971798,1,0.413800,14.219713,66.479061,10.636336,-269.880453,0,0.4138449962377777
