date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-02-18,sz.002548,27.1300,29.0000,27.1100,28.0500,24.0000,14392884,406458124.6000,3,74.962938,1,16.875000,13.628486,46.831609,2.293306,462.155432,0,
2011-02-21,sz.002548,28.2000,28.5800,27.5800,28.2800,28.0500,6489508,182430467.0100,3,33.799521,1,0.820000,13.740235,47.215611,2.312111,465.944942,0,0.8199643493761233
2011-02-22,sz.002548,28.0100,28.2000,26.1100,26.4400,28.2800,5304659,143839174.4000,3,27.628432,1,-6.506400,12.846245,44.143591,2.161676,435.628864,0,-6.506364922206509
2011-02-23,sz.002548,26.4500,27.1800,26.4500,26.6700,26.4400,2042898,54712837.4200,3,10.640094,1,0.869900,12.957993,44.527594,2.180480,439.418373,0,0.8698940998487226
2011-02-24,sz.002548,26.7600,27.1000,26.4500,26.8500,26.6700,1669522,44681370.8100,3,8.695427,1,0.674900,13.045449,44.828117,2.195197,442.384077,0,0.6749156355455588
2011-02-25,sz.002548,26.8000,26.8000,25.8400,26.2200,26.8500,2201207,57503592.6700,3,11.464620,1,-2.346400,12.739355,43.776284,2.143689,432.004115,0,-2.346368715083813
2011-02-28,sz.002548,26.2800,26.7800,26.0400,26.6800,26.2200,1770598,46883616.8400,3,9.221865,1,1.754400,12.962852,44.544289,2.181298,439.583135,0,1.7543859649122862
2011-03-01,sz.002548,26.6800,26.9800,26.4400,26.7400,26.6800,1824117,48756376.1500,3,9.500609,1,0.224886,12.992004,44.644464,2.186204,440.571703,0,0.2248875562218755
2011-03-02,sz.002548,26.7300,26.7300,26.0700,26.4500,26.7400,1418249,37350960.7800,3,7.386714,1,-1.084500,12.851103,44.160287,2.162494,435.793625,0,-1.084517576664168
2011-03-03,sz.002548,26.4300,26.7900,26.1800,26.2300,26.4500,1292416,34227022.7500,3,6.731333,1,-0.831800,12.744213,43.792980,2.144507,432.168877,0,-0.8317580340264641
2011-03-04,sz.002548,26.4200,26.7700,26.2700,26.7000,26.2300,1315662,35046924.6500,3,6.852406,1,1.791800,12.972569,44.577681,2.182933,439.912657,0,1.7918414029736818
2011-03-07,sz.002548,26.7800,26.8900,26.4500,26.6200,26.7000,1483817,39470053.4200,3,7.728214,1,-0.299600,12.933700,44.444115,2.176393,438.594567,0,-0.2996254681647881
2011-03-08,sz.002548,26.5700,26.5700,26.2700,26.4100,26.6200,1325925,34946677.7600,3,6.905859,1,-0.788900,12.831669,44.093504,2.159223,435.134580,0,-0.788880540946657
2011-03-09,sz.002548,26.5000,27.8900,26.2500,27.3900,26.4100,3655544,99002058.4600,3,19.039292,1,3.710700,13.307816,45.729688,2.239346,451.281187,0,3.7107156380159045
2011-03-10,sz.002548,27.1400,27.2800,26.8100,26.8600,27.3900,1687260,45558032.9100,3,8.787812,1,-1.935000,13.050308,44.844813,2.196014,442.548838,0,-1.9350127783862803
2011-03-11,sz.002548,26.7200,27.1100,26.6300,26.6500,26.8600,1266421,34031497.7200,3,6.595943,1,-0.781800,12.948276,44.494202,2.178845,439.088851,0,-0.7818317200297908
2011-03-14,sz.002548,26.4500,26.7000,26.3100,26.5600,26.6500,1107870,29328696.8300,3,5.770156,1,-0.337700,12.904548,44.343940,2.171487,437.605999,0,-0.33771106941838935
2011-03-15,sz.002548,26.5900,26.6000,26.0000,26.2700,26.5600,1282460,33668965.8100,3,6.679479,1,-1.091900,12.763648,43.859763,2.147777,432.827922,0,-1.091867469879515
2011-03-16,sz.002548,26.3000,26.8000,26.1000,26.7700,26.2700,1456182,38536820.6300,3,7.584281,1,1.903300,13.006580,44.694551,2.188656,441.065986,0,1.9033117624666973
2011-03-17,sz.002548,26.4800,26.5000,26.1000,26.5000,26.7700,923643,24315972.1600,3,4.810641,1,-1.008600,12.875397,44.243766,2.166582,436.617431,0,-1.0085917071348538
2011-03-18,sz.002548,26.5900,26.8100,26.5000,26.6500,26.5000,747662,19927054.8400,3,3.894073,1,0.566000,12.948276,44.494202,2.178845,439.088851,0,0.5660377358490454
2011-03-21,sz.002548,26.6200,26.6200,26.2600,26.4000,26.6500,584020,15391247.7700,3,3.041771,1,-0.938100,12.826810,44.076808,2.158406,434.969819,0,-0.9380863039399667
2011-03-22,sz.002548,26.6000,27.2800,26.3700,27.0800,26.4000,1991122,53561217.5100,3,10.370427,1,2.575800,13.157198,45.212120,2.214001,446.173587,0,2.5757575757575646
2011-03-23,sz.002548,26.9500,27.1600,26.6600,27.1100,27.0800,1609720,43435523.1700,3,8.383958,1,0.110800,13.171774,45.262207,2.216454,446.667870,0,0.11078286558345862
2011-03-24,sz.002548,27.0000,27.0500,26.6000,26.7000,27.1100,1256498,33601473.1200,3,6.544260,1,-1.512400,12.220806,44.577681,2.182933,-87.247128,0,-1.512357063814096
2011-03-25,sz.002548,26.5200,26.7000,26.3100,26.3500,26.7000,1484332,39293618.4200,3,7.730896,1,-1.310900,12.060609,43.993329,2.154318,-86.103439,0,-1.3108614232209659
2011-03-28,sz.002548,26.3500,26.5300,26.2000,26.4400,26.3500,886118,23282801.7300,3,4.615198,1,0.341600,12.101802,44.143591,2.161676,-86.397531,0,0.34155597722960174
2011-03-29,sz.002548,26.3300,26.3300,25.3900,25.4600,26.4400,1151530,29880480.6200,3,5.997552,1,-3.706500,11.653248,42.507407,2.081554,-83.195202,0,-3.706505295007567
2011-03-30,sz.002548,25.3200,25.5300,24.8100,25.3000,25.4600,949781,23926770.5200,3,4.946776,1,-0.628400,11.580015,42.240274,2.068472,-82.672372,0,-0.628436763550666
2011-03-31,sz.002548,25.2300,25.2700,24.6200,24.6900,25.3000,697656,17376413.0900,3,3.633625,1,-2.411100,11.300813,41.221833,2.018600,-80.679086,0,-2.4110671936758865
2011-04-01,sz.002548,24.7000,24.9900,24.7000,24.8500,24.6900,463821,11525069.7500,3,2.415734,1,0.648000,11.374046,41.488965,2.031681,-81.201915,0,0.6480356419602984
2011-04-06,sz.002548,24.8500,25.3500,24.8000,25.1800,24.8500,519010,13007875.3700,3,2.703177,1,1.328000,11.525090,42.039925,2.058661,-82.280251,0,1.327967806841035
2011-04-07,sz.002548,25.0500,25.2000,24.9100,25.1600,25.1800,332647,8328079.6800,3,1.732536,1,-0.079400,11.515936,42.006534,2.057026,-82.214897,0,-0.0794281175536149
2011-04-08,sz.002548,25.1600,25.2300,24.9300,25.1100,25.1600,332975,8355221.6800,3,1.734245,1,-0.198700,11.493051,41.923055,2.052938,-82.051513,0,-0.1987281399046137
2011-04-11,sz.002548,25.0800,25.1900,24.6700,24.7000,25.1100,624432,15533193.3200,3,3.252250,1,-1.632800,11.305390,41.238529,2.019418,-80.711763,0,-1.6328156113102343
2011-04-12,sz.002548,24.7000,24.7300,24.3000,24.4300,24.7000,677152,16580990.8800,3,3.526833,1,-1.093100,11.181809,40.787743,1.997343,-79.829489,0,-1.0931174089068851
2011-04-13,sz.002548,24.3300,25.5000,24.2400,25.1800,24.4300,889166,22000106.5900,3,4.631073,1,3.070000,11.525090,42.039925,2.058661,-82.280251,0,3.0699959066721183
2011-04-14,sz.002548,25.0000,25.2500,24.8500,25.0900,25.1800,582155,14570743.1000,3,3.032057,1,-0.357400,11.483896,41.889663,2.051303,-81.986159,0,-0.35742652899126703
2011-04-15,sz.002548,25.0900,25.0900,25.0900,25.0900,25.0900,0,0.0000,3,,0,0.000000,11.483896,41.889663,2.051303,-81.986159,0,0.0
2011-04-18,sz.002548,24.8000,24.8000,24.3500,24.5600,25.0900,413312,10150743.7000,3,2.152667,1,-2.112400,11.241311,41.004788,2.007972,-80.254287,0,-2.112395376644083
2011-04-19,sz.002548,24.4700,24.6400,24.3100,24.6400,24.5600,398384,9741271.3100,3,2.074917,1,0.325700,3.046864,40.536499,1.991544,4.693399,0,0.32573289902280145
2011-04-20,sz.002548,24.5400,24.6900,24.5300,24.6100,24.6400,284017,6984910.3500,3,1.479255,1,-0.121800,3.043154,40.487144,1.989119,4.687684,0,-0.12175324675325339
2011-04-21,sz.002548,24.6900,24.9900,24.5800,24.8600,24.6100,352201,8716022.4300,3,1.834380,1,1.015800,3.074068,40.898432,2.009325,4.735304,0,1.0158472165786359
2011-04-22,sz.002548,24.8600,25.0800,24.7600,25.0300,24.8600,613759,15328067.5600,3,3.196661,1,0.683800,3.095089,41.178107,2.023066,4.767686,0,0.683829444891404
2011-04-25,sz.002548,25.0300,25.0800,24.5100,24.5900,25.0300,443370,10992243.8100,3,2.309219,1,-1.757900,3.040681,40.454241,1.987502,4.683875,0,-1.7578905313623716
2011-04-26,sz.002548,24.4200,24.7000,24.0700,24.0700,24.5900,388949,9486661.5200,3,2.025776,1,-2.114700,2.976380,39.598763,1.945473,4.584826,0,-2.1146807645384236
2011-04-27,sz.002548,24.0000,24.3000,23.8400,24.0500,24.0700,251439,6054012.1300,3,1.309578,1,-0.083100,2.973907,39.565860,1.943856,4.581016,0,-0.08309098462816467
2011-04-28,sz.002548,23.9800,24.0000,21.9900,23.0000,23.7500,431214,9930558.5900,3,2.245906,1,-3.157900,2.844069,37.838453,1.858990,4.381013,0,-4.365904365904372
2011-04-29,sz.002548,22.7000,22.8900,22.6100,22.7600,23.0000,163235,3713199.2800,3,0.850182,1,-1.043500,2.814392,37.443617,1.839591,4.335299,0,-1.043478260869557
2011-05-03,sz.002548,22.7600,22.8600,22.6400,22.8400,22.7600,145498,3310024.2600,3,0.757802,1,0.351500,2.824284,37.575229,1.846057,4.350537,0,0.35149384885764245
2011-05-04,sz.002548,22.7500,22.7500,22.0500,22.0700,22.8400,234048,5206415.7500,3,1.219000,1,-3.371300,2.729070,36.308463,1.783822,4.203868,0,-3.371278458844129
2011-05-05,sz.002548,22.0500,22.0500,21.0000,21.3500,22.0700,674107,14314186.9500,3,3.510974,1,-3.262300,2.640038,35.123955,1.725627,4.066723,0,-3.262347077480743
2011-05-06,sz.002548,21.1700,21.6400,20.8100,21.4800,21.3500,433936,9233544.9800,3,2.260083,1,0.608900,2.656113,35.337825,1.736135,4.091486,0,0.6088992974238927
2011-05-09,sz.002548,21.3200,21.6200,21.3100,21.5100,21.4800,176329,3789336.8500,3,0.918380,1,0.139700,2.659823,35.387179,1.738559,4.097200,0,0.13966480446927498
2011-05-10,sz.002548,21.5100,21.5100,21.1900,21.2900,21.5100,309009,6572000.4200,3,1.609422,1,-1.022800,2.632619,35.025246,1.720778,4.055295,0,-1.0227801022780203
2011-05-11,sz.002548,21.3900,21.8100,21.3000,21.7400,21.2900,486689,10513636.8300,3,2.534839,1,2.113700,2.688264,35.765564,1.757149,4.141010,0,2.11366838891498
2011-05-12,sz.002548,21.7000,22.1500,21.4300,21.8100,21.7400,571865,12517231.9100,3,2.978464,1,0.322000,2.696919,35.880724,1.762807,4.154344,0,0.3219871205151881
2011-05-13,sz.002548,21.7800,21.9200,21.2000,21.6500,21.8100,224393,4847601.7200,3,1.168714,1,-0.733600,2.677135,35.617500,1.749875,4.123867,0,-0.7336084364970241
2011-05-16,sz.002548,21.5100,22.3000,21.5100,22.0100,21.6500,343748,7581484.6900,3,1.790354,1,1.662800,2.721651,36.209754,1.778972,4.192439,0,1.6628175519630695
