date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-02-25,sz.002552,26.0000,28.5800,24.3000,25.5500,20.0000,16037543,413297287.4400,3,80.187715,1,27.750000,10.636527,35.980645,6.315525,124.915168,0,
2011-02-28,sz.002552,24.6000,26.9600,24.5000,26.1000,25.5500,10030076,257849805.7200,3,50.150380,1,2.152600,10.865494,36.755180,6.451476,127.604144,0,2.1526418786692814
2011-03-01,sz.002552,25.5000,26.6000,25.2500,25.7300,26.1000,7070952,183324398.5200,3,35.354760,1,-1.417628,10.711462,36.234129,6.360018,125.795196,0,-1.4176245210728022
2011-03-02,sz.002552,25.3100,26.5000,24.9100,26.2400,25.7300,5223611,133156825.4100,3,26.118055,1,1.982100,10.923776,36.952334,6.486081,128.288610,0,1.9821220365332293
2011-03-03,sz.002552,26.1000,26.3800,25.4800,25.8600,26.2400,3485744,90216153.4900,3,17.428720,1,-1.448200,10.765581,36.417201,6.392152,126.430772,0,-1.44817073170731
2011-03-04,sz.002552,25.7900,28.0000,25.3100,27.1000,25.8600,4493693,117419679.4200,3,22.468465,1,4.795100,11.281796,38.163424,6.698659,132.493191,0,4.795050270688339
2011-03-07,sz.002552,26.8900,27.3500,26.6100,26.9000,27.1000,3988432,107528584.3800,3,19.942160,1,-0.738000,11.198536,37.881775,6.649222,131.515382,0,-0.738007380073813
2011-03-08,sz.002552,26.7000,27.4800,26.7000,27.0300,26.9000,3444918,93465225.1400,3,17.224590,1,0.483300,11.252655,38.064847,6.681356,132.150958,0,0.4832713754646889
2011-03-09,sz.002552,27.0800,28.4700,26.6600,27.8600,27.0300,5767370,159704587.2400,3,28.836850,1,3.070700,11.598186,39.233690,6.886518,136.208868,0,3.0706622271549966
2011-03-10,sz.002552,27.6500,28.2000,27.0500,27.3800,27.8600,3995348,110556512.8300,3,19.976740,1,-1.722900,11.398361,38.557732,6.767870,133.862125,0,-1.7229002153625328
2011-03-11,sz.002552,27.3800,27.7500,26.8200,26.8500,27.3800,3164245,86164701.7100,3,15.821225,1,-1.935700,11.177721,37.811363,6.636863,131.270929,0,-1.9357195032870589
2011-03-14,sz.002552,26.6300,27.3200,26.6300,27.1800,26.8500,2041106,55226124.2700,3,10.205530,1,1.229100,11.315100,38.276084,6.718433,132.884315,0,1.229050279329602
2011-03-15,sz.002552,27.1800,27.1800,25.9500,26.3200,27.1800,2470494,65149291.8800,3,12.352470,1,-3.164100,10.957080,37.064993,6.505856,128.679734,0,-3.16409124356144
2011-03-16,sz.002552,26.4000,26.8100,26.2000,26.6200,26.3200,1372115,36468425.1000,3,6.860575,1,1.139800,11.081971,37.487467,6.580011,130.146448,0,1.1398176291793405
2011-03-17,sz.002552,26.5000,26.5000,25.6800,25.8200,26.6200,1719714,44827367.1400,3,8.598570,1,-3.005300,10.748929,36.360871,6.382265,126.235210,0,-3.005259203606314
2011-03-18,sz.002552,26.0000,26.4500,25.8900,26.2000,25.8200,1119853,29333234.5500,3,5.599265,1,1.471700,10.907124,36.896004,6.476194,128.093048,0,1.4717273431448463
2011-03-21,sz.002552,26.1100,27.5200,26.0100,27.1300,26.2000,2628960,70629328.8500,3,13.144800,1,3.549600,11.294285,38.205671,6.706074,132.639863,0,3.5496183206106924
2011-03-22,sz.002552,27.0000,29.8400,26.6500,29.8400,27.1300,7678897,221772529.8700,3,38.394485,1,9.988900,12.422465,42.022014,7.375940,145.889182,0,9.988942130482869
2011-03-23,sz.002552,29.6500,29.6500,28.5800,29.0000,29.8400,5117959,148442486.6700,3,25.589795,1,-2.815000,12.072771,40.839088,7.168306,141.782382,0,-2.815013404825739
