date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-08-30,sz.002611,23.2000,23.5800,21.5600,21.6200,15.5000,21755881,492390095.3100,3,79.984857,1,39.483880,16.604486,68.628510,10.808238,933.744055,0,
2011-08-31,sz.002611,21.5500,22.4400,21.5500,22.0700,21.6200,10633046,233241176.1500,3,39.092081,1,2.081400,16.950093,70.056948,11.033202,953.179061,0,2.081406105457906
2011-09-01,sz.002611,21.8000,21.9700,20.3900,20.6600,22.0700,8196909,173067602.7300,3,30.135695,1,-6.388800,15.867192,65.581175,10.328317,892.282709,0,-6.388763026733124
2011-09-02,sz.002611,20.1200,20.5300,19.6200,20.2000,20.6600,5607425,112622686.7200,3,20.615533,1,-2.226500,15.513905,64.120994,10.098354,872.415815,0,-2.2265246853823806
2011-09-05,sz.002611,19.7200,19.9500,19.2300,19.2600,20.2000,4047936,79447364.9700,3,14.882118,1,-4.653500,14.791971,61.137146,9.628431,831.818247,0,-4.653465346534647
2011-09-06,sz.002611,18.7000,19.0600,18.0100,18.1600,19.2600,4563202,84047090.6600,3,16.776478,1,-5.711300,13.947154,57.645409,9.078520,784.310455,0,-5.711318795430953
2011-09-07,sz.002611,18.3600,19.1800,18.1600,19.0100,18.1600,4841489,91165679.9600,3,17.799592,1,4.680600,14.599967,60.343569,9.503451,821.021022,0,4.680616740088106
2011-09-08,sz.002611,18.8900,18.9200,18.1500,18.1600,19.0100,4267917,79019956.3600,3,15.690871,1,-4.471333,13.947154,57.645409,9.078520,784.310455,0,-4.471330878485014
2011-09-09,sz.002611,18.0000,18.4800,17.8100,18.3700,18.1600,3372353,61422216.7200,3,12.398357,1,1.156400,14.108437,58.312013,9.183503,793.380125,0,1.156387665198233
2011-09-13,sz.002611,17.9000,18.1400,17.3100,17.3900,18.3700,2893930,51001558.3000,3,10.639449,1,-5.334800,13.355783,55.201193,8.693583,751.055001,0,-5.334784975503537
2011-09-14,sz.002611,17.4700,17.8800,17.1700,17.7500,17.3900,2575414,45175143.9600,3,9.468434,1,2.070200,13.632268,56.343943,8.873554,766.603005,0,2.070155261644624
2011-09-15,sz.002611,17.6600,18.5800,17.5200,18.2500,17.7500,4828195,87856425.9200,3,17.750717,1,2.816900,14.016276,57.931096,9.123513,788.197456,0,2.8169014084507005
2011-09-16,sz.002611,18.0100,18.5300,17.7100,17.7100,18.2500,3339676,60723933.5300,3,12.278221,1,-2.958900,13.601547,56.216971,8.853557,764.875449,0,-2.9589041095890334
2011-09-19,sz.002611,17.3000,17.6800,16.5400,16.5500,17.7100,3052768,51466171.9000,3,11.223412,1,-6.550000,12.710650,52.534775,8.273651,714.776323,0,-6.549971767363072
2011-09-20,sz.002611,16.4000,16.8400,16.3300,16.7000,16.5500,1890961,31431526.9000,3,6.952063,1,0.906300,12.825852,53.010921,8.348639,721.254659,0,0.9063444108761143
2011-09-21,sz.002611,16.7000,17.3900,16.5800,17.3400,16.7000,3026239,51685295.2300,3,11.125879,1,3.832300,13.317382,55.042477,8.668587,748.895556,0,3.83233532934133
2011-09-22,sz.002611,17.1100,18.2600,17.0300,18.0000,17.3400,5967311,105184074.0400,3,21.938643,1,3.806200,13.824272,57.137520,8.998533,777.400231,0,3.806228373702414
