date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-10-13,sz.002623,39.0000,39.3000,37.7500,38.2100,38.0000,16562824,635230709.1800,3,51.758825,1,0.552629,14.989065,28.020418,10.271979,79.448666,0,
2011-10-14,sz.002623,37.0000,37.0800,35.2000,35.6900,38.2100,9350344,336995329.3500,3,29.219825,1,-6.595100,14.000516,26.172434,9.594529,74.208921,0,-6.595132164354888
2011-10-17,sz.002623,35.5000,37.8900,35.5000,37.3000,35.6900,8861357,328750357.0800,3,27.691741,1,4.511100,14.632089,27.353090,10.027345,77.556536,0,4.511067525917634
2011-10-18,sz.002623,36.5500,37.5000,35.8100,36.3800,37.3000,5367577,196868197.0100,3,16.773678,1,-2.466500,14.271190,26.678430,9.780021,75.643613,0,-2.466487935656825
2011-10-19,sz.002623,36.6500,36.8000,34.5500,34.8200,36.3800,5063127,180019943.1400,3,15.822272,1,-4.288100,13.659232,25.534440,9.360647,72.399962,0,-4.288070368334251
2011-10-20,sz.002623,34.3900,34.3900,32.0600,32.9000,34.8200,3975302,131634375.5200,3,12.422819,1,-5.514100,12.906052,24.126452,8.844494,68.407776,0,-5.514072372199886
2011-10-21,sz.002623,32.8000,33.4000,32.5000,32.8600,32.9000,2064751,68052374.7900,3,6.452347,1,-0.121600,12.890360,24.097119,8.833741,68.324605,0,-0.12158054711245425
2011-10-24,sz.002623,33.0000,33.0000,29.8000,32.4400,32.8600,3943030,124130212.8500,3,12.321969,1,-1.278100,12.725602,23.789122,8.720833,67.451314,0,-1.2781497261107777
2011-10-25,sz.002623,31.8800,33.9900,31.3500,33.3200,32.4400,3585094,117636260.5400,3,11.203419,1,2.712700,13.070810,24.434449,8.957403,69.281066,0,2.71270036991369
2011-10-26,sz.002623,33.4200,34.0000,32.6800,32.9000,33.3200,4081743,135796171.7700,3,12.755447,1,-1.260500,2.697624,23.965206,8.685772,3.608630,0,-1.260504201680679
2011-10-27,sz.002623,32.8000,34.2000,32.5600,33.9500,32.9000,4275262,143750762.0500,3,13.360194,1,3.191500,2.783718,24.730053,8.962977,3.723799,0,3.191489361702149
2011-10-28,sz.002623,34.3500,34.3600,33.6900,34.2800,33.9500,3261041,111072005.3900,3,10.190753,1,0.972000,2.810776,24.970434,9.050099,3.759995,0,0.9720176730485974
2011-10-31,sz.002623,34.2800,34.6500,33.7000,34.1700,34.2800,2635664,90060277.6700,3,8.236450,1,-0.320900,2.801757,24.890307,9.021058,3.747929,0,-0.3208868144690791
2011-11-01,sz.002623,33.8300,34.3800,33.5100,33.9300,34.1700,2484419,84250296.1200,3,7.763809,1,-0.702400,2.782078,24.715485,8.957697,3.721605,0,-0.7023705004389869
2011-11-02,sz.002623,33.4900,34.5600,32.7200,34.3700,33.9300,3418117,114612188.5600,3,10.681616,1,1.296800,2.818156,25.035992,9.073859,3.769866,0,1.2967875036840493
