date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-12-20,sz.002642,30.0000,30.4400,28.2200,28.9700,25.0000,17225080,503401560.9200,3,86.125400,1,15.880000,12.192901,40.812309,4.110625,171.146275,0,
2011-12-21,sz.002642,28.0000,28.9300,27.3800,28.0100,28.9700,8742047,245981415.6300,3,43.710235,1,-3.313800,11.788856,39.459882,3.974408,165.474876,0,-3.3137728684846324
2011-12-22,sz.002642,27.0200,27.5000,26.5100,26.7700,28.0100,5188815,140243574.2200,3,25.944075,1,-4.427000,11.266965,37.712996,3.798461,158.149319,0,-4.426990360585514
2011-12-23,sz.002642,26.6000,27.5600,26.3200,26.4100,26.7700,3742245,100934052.6300,3,18.711225,1,-1.344800,11.115448,37.205836,3.747380,156.022545,0,-1.3447889428464643
2011-12-26,sz.002642,26.8300,27.4400,25.8800,25.8800,26.4100,3504168,93783254.3000,3,17.520840,1,-2.006800,10.892381,36.459184,3.672177,152.891460,0,-2.006815600151457
2011-12-27,sz.002642,25.4000,25.4700,23.2900,23.2900,25.8800,4547118,109666520.6500,3,22.735590,1,-10.007700,9.802301,32.810448,3.304675,137.590499,0,-10.007727975270475
2011-12-28,sz.002642,22.0000,22.1500,21.1900,21.7400,23.2900,4178138,90416684.2900,3,20.890690,1,-6.655200,9.149937,30.626841,3.084742,128.433553,0,-6.655216831258048
2011-12-29,sz.002642,21.5000,21.9400,21.2900,21.4900,21.7400,2323064,50289425.9300,3,11.615320,1,-1.150000,9.044717,30.274647,3.049269,126.956626,0,-1.1499540018399257
2011-12-30,sz.002642,21.8800,22.4400,21.5500,21.8900,21.4900,2517380,55548233.9600,3,12.586900,1,1.861300,9.213069,30.838158,3.106026,129.319709,0,1.8613308515588844
2012-01-04,sz.002642,22.2000,22.4500,20.1100,20.1100,21.8900,2946853,63655241.1900,3,14.734265,1,-8.131600,8.463902,28.330533,2.853457,118.803990,0,-8.13156692553678
2012-01-05,sz.002642,19.8500,19.8900,18.6900,18.7800,20.1100,2654814,51197060.8800,3,13.274070,1,-6.613600,7.904131,26.456857,2.664740,110.946739,0,-6.613625062158124
2012-01-06,sz.002642,18.7600,19.5800,18.5300,19.5000,18.7800,1916933,36685579.7100,3,9.584665,1,3.833900,8.207165,27.471178,2.766903,115.200289,0,3.833865814696469
2012-01-09,sz.002642,19.2100,20.3400,19.0500,20.2300,19.5000,2256292,44602677.2200,3,11.281460,1,3.743600,8.514408,28.499586,2.870484,119.512915,0,3.743589743589748
2012-01-10,sz.002642,20.0200,20.8200,20.0100,20.7500,20.2300,2746763,56187491.5500,3,13.733815,1,2.570400,8.733265,29.232151,2.944269,122.584922,0,2.5704399406821565
2012-01-11,sz.002642,20.6100,22.2200,20.5000,21.1900,20.7500,3407373,73055437.3100,3,17.036865,1,2.120500,8.918453,29.852013,3.006701,125.184314,0,2.12048192771086
2012-01-12,sz.002642,21.0000,21.3200,20.2800,20.3100,21.1900,2510902,52020773.8500,3,12.554510,1,-4.152900,8.548078,28.612288,2.881836,119.985531,0,-4.152902312411522
2012-01-13,sz.002642,20.1600,20.3500,18.9400,19.2000,20.3100,1990190,38821354.8600,3,9.950950,1,-5.465300,8.080901,27.048544,2.724335,113.427976,0,-5.465288035450511
2012-01-16,sz.002642,18.9000,18.9300,18.3400,18.3500,19.2000,1354522,25177656.9500,3,6.772610,1,-4.427100,7.723153,25.851083,2.603727,108.406425,0,-4.427083333333326
2012-01-17,sz.002642,18.5000,19.5500,18.1100,19.4900,18.3500,1680057,31848463.8600,3,8.400285,1,6.212500,8.202956,27.457090,2.765484,115.141212,0,6.212534059945485
2012-01-18,sz.002642,19.3400,19.7000,18.1600,18.2500,19.4900,1746507,33273857.9700,3,8.732535,1,-6.362200,7.681065,25.710205,2.589537,107.815655,0,-6.362237044638263
