date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2012-05-25,sz.002675,26.0000,30.5000,25.7100,28.6000,26.0000,22641445,624727499.4000,3,83.857204,1,10.000000,10.092602,26.485090,4.341128,2310.784627,0,
2012-05-28,sz.002675,27.3400,27.8500,26.0100,27.0200,28.6000,11404171,307196200.4200,3,42.237670,1,-5.524500,9.535039,25.021927,4.101303,2183.125896,0,-5.524475524475536
2012-05-29,sz.002675,26.5800,27.4500,26.5100,27.1800,27.0200,8620501,232930523.2400,3,31.927781,1,0.592200,9.591501,25.170096,4.125589,2196.053363,0,0.5921539600296066
2012-05-30,sz.002675,27.0000,28.7000,26.8200,27.9900,27.1800,9535808,266892446.1600,3,35.317807,1,2.980100,9.877340,25.920198,4.248537,2261.498662,0,2.98013245033113
2012-05-31,sz.002675,27.8000,28.4800,27.6000,28.0300,27.9900,6159219,172539999.3100,3,22.811922,1,0.142900,9.891456,25.957240,4.254609,2264.730528,0,0.14290818149340634
2012-06-01,sz.002675,27.9900,28.1400,27.0000,27.2000,28.0300,5607954,153448832.5200,3,20.770200,1,-2.961100,9.598558,25.188617,4.128625,2197.669296,0,-2.9611130931145313
2012-06-04,sz.002675,26.7000,26.7400,26.0600,26.3700,27.2000,3891622,102901944.9900,3,14.413415,1,-3.051500,9.305661,24.419994,4.002641,2130.608064,0,-3.0514705882352833
2012-06-05,sz.002675,26.3100,27.2300,26.3100,26.6700,26.3700,3172878,84988479.8500,3,11.751400,1,1.137700,9.411528,24.697809,4.048177,2154.847063,0,1.1376564277588264
2012-06-06,sz.002675,26.6800,26.7800,25.9000,25.9000,26.6700,3713550,97531909.9200,3,13.753889,1,-2.887100,9.139804,23.984749,3.931301,2092.633631,0,-2.8871391076115582
2012-06-07,sz.002675,26.1100,26.3700,25.0300,25.2000,25.9000,3923988,101153969.5700,3,14.533289,1,-2.702700,8.892782,23.336513,3.825050,2036.075965,0,-2.7027027027026973
2012-06-08,sz.002675,25.4800,25.4800,24.5500,24.7000,25.2000,2694526,67204373.6400,3,9.979726,1,-1.984100,8.716338,22.873487,3.749156,1995.677633,0,-1.9841269841269882
2012-06-11,sz.002675,24.6200,25.4800,24.6200,25.3400,24.7000,2511804,63088950.7000,3,9.302978,1,2.591100,8.942186,23.466160,3.846300,2047.387499,0,2.5910931174089047
2012-06-12,sz.002675,25.1400,25.6500,24.6400,25.3900,25.3400,2572906,64722386.8900,3,9.529281,1,0.197300,8.959831,23.512463,3.853889,2051.427332,0,0.19731649565903897
2012-06-13,sz.002675,25.4100,25.8900,25.2200,25.7700,25.3900,2685696,68646306.7900,3,9.947022,1,1.496700,9.093928,23.864362,3.911569,2082.130065,0,1.496652225285544
2012-06-14,sz.002675,25.7000,27.3200,25.5600,26.7000,25.7700,5695780,151723133.1100,3,21.095481,1,3.608800,9.422114,24.725591,4.052731,2157.270963,0,3.608847497089629
2012-06-15,sz.002675,26.5500,27.1500,26.2700,27.0000,26.7000,4006132,107566222.7600,3,14.837526,1,1.123600,9.527981,25.003406,4.098267,2181.509963,0,1.1235955056179803
2012-06-18,sz.002675,26.9000,27.4400,26.8200,26.9200,27.0000,3750027,101726345.9100,3,13.888989,1,-0.296300,9.499750,24.929322,4.086124,2175.046230,0,-0.2962962962962945
2012-06-19,sz.002675,26.9300,28.4400,26.7100,27.5200,26.9200,5144149,142065253.0000,3,19.052404,1,2.228800,9.711483,25.484953,4.177197,2223.524229,0,2.2288261515601704
