date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2012-07-13,sz.002687,24.5000,26.6000,24.5000,25.3800,23.0000,19172471,489330036.6600,3,77.778787,1,10.347820,7.602919,25.845289,4.072935,-3542.854498,0,
2012-07-16,sz.002687,24.0500,24.1900,22.8400,22.8400,25.3800,4196544,98062370.8600,3,17.024519,1,-10.007900,6.842028,23.258723,3.665320,-3188.289864,0,-10.00788022064617
2012-07-17,sz.002687,20.7200,21.9900,20.5600,21.6400,22.8400,9201972,193733594.4100,3,37.330515,1,-5.253900,6.482552,22.036724,3.472747,-3020.779013,0,-5.2539404553415
2012-07-18,sz.002687,21.0000,21.5800,20.2200,20.7000,21.6400,5702366,118545068.3400,3,23.133331,1,-4.343800,6.200963,21.079491,3.321897,-2889.562179,0,-4.34380776340112
2012-07-19,sz.002687,20.5000,21.4300,20.3100,20.9000,20.7000,5056746,106123790.1500,3,20.514183,1,0.966200,6.260875,21.283157,3.353993,-2917.480655,0,0.9661835748792313
2012-07-20,sz.002687,20.6600,21.3500,20.2500,21.1900,20.9000,5902185,122683451.6600,3,23.943955,1,1.387600,6.347749,21.578474,3.400531,-2957.962444,0,1.3875598086124485
2012-07-23,sz.002687,20.9000,21.8200,20.3400,21.7200,21.1900,5186819,109864392.1600,3,21.041862,1,2.501200,6.506517,22.118190,3.485585,-3031.946403,0,2.5011798017932962
2012-07-24,sz.002687,21.3600,21.8700,21.3000,21.5300,21.7200,4109895,88577273.5500,3,16.673002,1,-0.874800,6.449600,21.924707,3.455094,-3005.423851,0,-0.8747697974217261
2012-07-25,sz.002687,21.5200,22.4500,20.9000,21.7000,21.5300,5431745,118375316.3100,3,22.035477,1,0.789600,6.500526,22.097824,3.482375,-3029.154555,0,0.7895959126799745
2012-07-26,sz.002687,21.6300,22.1000,21.2700,21.2700,21.7000,3867102,83652756.9000,3,15.688041,1,-1.981600,6.371714,21.659941,3.413370,-2969.129834,0,-1.9815668202764924
2012-07-27,sz.002687,21.2800,21.7800,20.9600,21.3700,21.2700,2699209,57800521.8400,3,10.950138,1,0.470100,6.401670,21.761774,3.429417,-2983.089071,0,0.4701457451810054
2012-07-30,sz.002687,21.4700,21.8600,20.9000,21.2800,21.3700,2220286,47230387.2200,3,9.007245,1,-0.421200,6.374709,21.670124,3.414974,-2970.525757,0,-0.4211511464670137
2012-07-31,sz.002687,21.3800,21.3800,19.1500,19.1500,21.2800,4693916,92113414.3200,3,19.042256,1,-10.009400,5.736639,18.453498,2.878545,-2673.193997,0,-10.009398496240618
2012-08-01,sz.002687,19.6000,20.8800,19.5900,20.1300,19.1500,3824428,76815894.5500,3,15.514921,1,5.117500,6.030211,19.397855,3.025855,-2809.994525,0,5.117493472584855
2012-08-02,sz.002687,19.6900,19.9400,19.4300,19.5000,20.1300,2542847,49863924.3900,3,10.315809,1,-3.129700,5.841487,18.790769,2.931156,-2722.051328,0,-3.129657228017879
2012-08-03,sz.002687,19.6000,19.9100,19.3000,19.9000,19.5000,2462239,48498176.4600,3,9.988799,1,2.051300,5.961312,19.176220,2.991282,-2777.888279,0,2.051282051282044
2012-08-06,sz.002687,19.5900,20.2500,19.5300,20.1800,19.9000,2454590,48927400.3000,3,9.957769,1,1.407000,6.045190,19.446036,3.033370,-2816.974144,0,1.407035175879412
2012-08-07,sz.002687,20.1800,20.6700,20.1200,20.2000,20.1800,2632158,53542650.4000,3,10.678126,1,0.099100,6.051181,19.465309,3.036377,-2819.765992,0,0.09910802775023875
2012-08-08,sz.002687,20.0800,20.2800,19.5900,19.8800,20.2000,2244036,44479035.3100,3,9.103594,1,-1.584200,5.955321,19.156948,2.988276,-2775.096431,0,-1.5841584158415856
2012-08-09,sz.002687,19.8000,20.6500,19.6300,20.4700,19.8800,3055636,62023509.1000,3,12.396089,1,2.967800,6.132063,19.725489,3.076962,-2857.455933,0,2.967806841046272
2012-08-10,sz.002687,20.3300,20.5500,19.9600,20.1100,20.4700,2027976,40918899.5500,3,8.227083,1,-1.758700,6.024220,19.378582,3.022848,-2807.202678,0,-1.7586712261846604
2012-08-13,sz.002687,20.0100,20.3700,19.8100,19.8500,20.1100,1500463,30154961.7900,3,6.087071,1,-1.292900,5.946334,19.128039,2.983766,-2770.908660,0,-1.2928891098955675
2012-08-14,sz.002687,19.7600,20.1000,19.5000,20.0100,19.8500,1421254,28113688.8600,3,5.765736,1,0.806000,5.994264,19.282220,3.007817,-2793.243440,0,0.8060453400503764
2012-08-15,sz.002687,19.9000,19.9900,19.3500,19.3800,20.0100,1643603,32207432.8200,3,6.667761,1,-3.148400,5.805539,18.675133,2.913118,-2705.300243,0,-3.148425787106457
2012-08-16,sz.002687,19.3800,19.4900,19.0100,19.0500,19.3800,1369928,26309482.2100,3,5.557517,1,-1.702800,5.706683,18.357136,2.863514,-2659.234759,0,-1.7027863777089647
2012-08-17,sz.002687,19.0600,19.2000,18.8000,19.0200,19.0500,681616,12954600.0400,3,2.765176,1,-0.157500,5.697696,18.328227,2.859004,-2655.046988,0,-0.15748031496063408
2012-08-20,sz.002687,18.8800,19.1500,18.6800,19.0800,19.0200,761059,14441653.1700,3,3.087460,1,0.315500,5.715670,18.386044,2.868023,-2663.422531,0,0.3154574132492094
2012-08-21,sz.002687,19.0000,19.6000,19.0000,19.3700,19.0800,1193833,23126660.1700,3,4.843136,1,1.519900,5.802543,18.665497,2.911615,-2703.904320,0,1.5199161425576646
2012-08-22,sz.002687,19.3700,19.4400,19.1000,19.2500,19.3700,1084783,20903458.8500,3,4.400742,1,-0.619500,5.766596,18.549861,2.893577,-2687.153234,0,-0.619514713474445
