date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2012-07-17,sz.002689,8.0000,8.2000,7.7700,7.8900,8.0000,37255022,299005592.4800,3,48.070996,1,-1.375002,4.518281,19.943576,1.643319,-452.407058,0,
2012-07-18,sz.002689,7.3800,7.4200,7.1000,7.3800,7.8900,22493041,162859423.5400,3,29.023279,1,-6.463900,4.226225,18.654448,1.537096,-423.164016,0,-6.4638783269961975
2012-07-19,sz.002689,7.2200,7.5800,7.1900,7.3900,7.3800,16766856,123959292.7000,3,21.634653,1,0.135500,4.231951,18.679725,1.539179,-423.737409,0,0.13550135501354532
2012-07-20,sz.002689,7.2900,7.3600,7.2000,7.2400,7.3900,8681913,63049786.3400,3,11.202468,1,-2.029800,4.146052,18.300569,1.507937,-415.136515,0,-2.0297699594045926
2012-07-23,sz.002689,7.1600,7.1900,7.0300,7.0800,7.2400,7819762,55446121.5700,3,10.090015,1,-2.209900,4.054427,17.896137,1.474613,-405.962227,0,-2.209944751381221
2012-07-24,sz.002689,7.0200,7.2100,7.0200,7.1900,7.0800,5660751,40395603.4300,3,7.304195,1,1.553700,4.117419,18.174184,1.497523,-412.269550,0,1.5536723163841915
2012-07-25,sz.002689,7.1300,7.4700,7.0800,7.3200,7.1900,11870960,87067218.7900,3,15.317368,1,1.808100,4.191865,18.502786,1.524600,-419.723659,0,1.8080667593880273
2012-07-26,sz.002689,7.2500,7.3600,7.1900,7.1900,7.3200,6536074,47485597.4800,3,8.433644,1,-1.776000,4.117419,18.174184,1.497523,-412.269550,0,-1.7759562841530019
2012-07-27,sz.002689,7.2500,7.2800,7.1600,7.2200,7.1900,4185864,30211002.2300,3,5.401115,1,0.417200,4.134599,18.250015,1.503772,-413.989729,0,0.4172461752433909
2012-07-30,sz.002689,7.2500,7.2700,6.9600,7.0200,7.2200,5221940,37053560.9600,3,6.737987,1,-2.770100,4.020067,17.744475,1.462116,-402.521869,0,-2.7700831024930817
2012-07-31,sz.002689,7.0400,7.0600,6.7500,6.7800,7.0200,4936593,33897089.8800,3,6.369797,1,-3.418800,3.882629,17.137826,1.412129,-388.760438,0,-3.4188034188034067
2012-08-01,sz.002689,6.7800,6.9500,6.7700,6.8600,6.7800,5634105,38629696.7400,3,7.269813,1,1.179900,3.928442,17.340042,1.428792,-393.347582,0,1.179941002949847
2012-08-02,sz.002689,6.8700,7.1100,6.8300,6.9000,6.8600,8514317,59261127.1100,3,10.986215,1,0.583100,3.951348,17.441150,1.437123,-395.641154,0,0.5830903790087438
2012-08-03,sz.002689,6.9300,7.2300,6.8400,7.2300,6.9000,10100202,71433324.0500,3,13.032519,1,4.782600,4.140326,18.275292,1.505855,-414.563122,0,4.7826086956521685
2012-08-06,sz.002689,7.1000,7.3800,7.0800,7.2900,7.2300,9435029,68473513.7300,3,12.174231,1,0.829900,4.174685,18.426955,1.518351,-418.003480,0,0.8298755186721962
2012-08-07,sz.002689,7.2900,7.3700,7.1900,7.3000,7.2900,7223966,52527549.3800,3,9.321246,1,0.137200,4.180412,18.452232,1.520434,-418.576873,0,0.137174211248281
2012-08-08,sz.002689,7.3000,7.3100,7.1900,7.2300,7.3000,5180680,37536497.6300,3,6.684748,1,-0.958900,4.140326,18.275292,1.505855,-414.563122,0,-0.9589041095890316
2012-08-09,sz.002689,7.1900,7.8800,7.1600,7.6600,7.2300,18614335,140671095.8900,3,24.018497,1,5.947400,4.386569,19.362205,1.595414,-439.219020,0,5.947441217150762
2012-08-10,sz.002689,7.6300,7.9600,7.5700,7.6300,7.6600,15526050,120640398.1800,3,20.033613,1,-0.391600,4.369389,19.286374,1.589166,-437.498841,0,-0.3916449086161955
2012-08-13,sz.002689,7.5800,8.3900,7.5700,8.1600,7.6300,33417147,272000547.0800,3,43.118899,1,6.946300,4.672899,20.626056,1.699554,-467.888669,0,6.946264744429875
2012-08-14,sz.002689,8.0000,8.1000,7.7400,8.0000,8.1600,17367457,137371592.2100,3,22.409622,1,-1.960800,4.581273,20.221624,1.666229,-458.714381,0,-1.9607843137254943
2012-08-15,sz.002689,7.9100,8.0300,7.6100,7.6600,8.0000,12500802,96995552.1700,3,16.130067,1,-4.250000,4.386569,19.362205,1.595414,-439.219020,0,-4.249999999999998
2012-08-16,sz.002689,7.5600,7.7400,7.3500,7.4900,7.6600,9997953,75357442.2200,3,12.900585,1,-2.219300,4.289217,18.932495,1.560007,-429.471339,0,-2.2193211488250597
2012-08-17,sz.002689,7.4400,7.5800,7.3800,7.5400,7.4900,5540821,41460565.1700,3,7.149446,1,0.667600,4.317850,19.058880,1.570421,-432.338304,0,0.6675567423231055
2012-08-20,sz.002689,7.4900,7.6700,7.4200,7.6100,7.5400,7274799,55228911.9000,3,9.386837,1,0.928400,4.007954,19.043536,1.575689,-25.630475,0,0.9283819628647327
2012-08-21,sz.002689,7.5600,7.6900,7.5200,7.6300,7.6100,9107000,69260243.5500,3,11.750968,1,0.262800,4.018487,19.093585,1.579830,-25.697835,0,0.26281208935610145
2012-08-22,sz.002689,7.6500,7.7400,7.5300,7.5400,7.6300,7898547,60240966.8800,3,10.191674,1,-1.179600,3.971087,18.868365,1.561195,-25.394715,0,-1.1795543905635641
2012-08-23,sz.002689,7.5100,7.7300,7.5000,7.6500,7.5400,8224390,62557480.7900,3,10.612116,1,1.458900,4.029021,19.143633,1.583971,-25.765195,0,1.458885941644561
2012-08-24,sz.002689,7.6200,7.6800,7.1800,7.1900,7.6500,8199096,60849997.9000,3,10.579479,1,-6.013100,3.786753,17.992513,1.488726,-24.215915,0,-6.013071895424837
2012-08-27,sz.002689,7.1600,7.1600,6.9500,6.9800,7.1900,4634840,32716600.3600,3,5.980439,1,-2.920700,3.676152,17.467001,1.445244,-23.508635,0,-2.9207232267037586
2012-08-28,sz.002689,6.9900,7.3000,6.9900,7.2600,6.9800,5750479,41185077.9100,3,7.419973,1,4.011500,3.823620,18.167683,1.503220,-24.451675,0,4.011461318051568
2012-08-29,sz.002689,7.2200,7.3000,7.1800,7.1800,7.2600,4077931,29500447.5700,3,5.261846,1,-1.101900,3.781486,17.967489,1.486655,-24.182235,0,-1.1019283746556474
2012-08-30,sz.002689,7.2200,7.3700,7.0300,7.2600,7.1800,6444941,46760068.6100,3,8.316053,1,1.114212,3.823620,18.167683,1.503220,-24.451675,0,1.1142061281337101
2012-08-31,sz.002689,7.2100,7.3000,7.2000,7.2600,7.2600,2982827,21628216.9500,3,3.848809,1,0.000000,3.823620,18.167683,1.503220,-24.451675,0,0.0
2012-09-03,sz.002689,7.2500,7.4100,7.1500,7.3600,7.2600,4710619,34468243.8400,3,6.078218,1,1.377400,3.876286,18.417927,1.523925,-24.788475,0,1.377410468319562
2012-09-04,sz.002689,7.3200,7.3700,7.1700,7.2300,7.3600,4815742,34890809.9200,3,6.213861,1,-1.766300,3.807819,18.092610,1.497008,-24.350635,0,-1.7663043478260865
2012-09-05,sz.002689,7.2500,7.3200,7.1700,7.2800,7.2300,3812083,27643126.2600,3,4.918817,1,0.691600,3.834153,18.217732,1.507361,-24.519035,0,0.6915629322268302
2012-09-06,sz.002689,7.3000,7.4300,7.2900,7.3700,7.2800,5153962,37868161.4400,3,6.650274,1,1.236300,3.881553,18.442951,1.525996,-24.822155,0,1.2362637362637319
2012-09-07,sz.002689,7.4200,7.7100,7.3700,7.6100,7.3700,11989926,90843431.6200,3,15.470872,1,3.256400,4.007954,19.043536,1.575689,-25.630475,0,3.256445047489831
2012-09-10,sz.002689,7.6300,7.7900,7.5500,7.7200,7.6100,9049810,69436723.9700,3,11.677174,1,1.445500,4.065887,19.318804,1.598465,-26.000955,0,1.4454664914586024
2012-09-11,sz.002689,7.7800,7.9300,7.6600,7.6800,7.7200,10478590,81470389.4700,3,13.520761,1,-0.518100,4.044821,19.218706,1.590183,-25.866235,0,-0.5181347150259086
2012-09-12,sz.002689,7.7000,7.7700,7.6200,7.7300,7.6800,5853930,44992577.6900,3,7.553458,1,0.651000,4.071154,19.343828,1.600535,-26.034635,0,0.6510416666666741
2012-09-13,sz.002689,7.7200,7.7200,7.4500,7.4500,7.7300,6153389,46597889.3900,3,7.939857,1,-3.622300,3.923687,18.643146,1.542560,-25.091595,0,-3.6222509702457995
2012-09-14,sz.002689,7.5200,7.5800,7.3500,7.4100,7.4500,5033955,37463629.5200,3,6.495426,1,-0.536900,3.902620,18.543049,1.534278,-24.956875,0,-0.5369127516778538
2012-09-17,sz.002689,7.4100,7.4600,7.2000,7.2100,7.4100,3314513,24152650.2600,3,4.276791,1,-2.699100,3.797286,18.042562,1.492867,-24.283275,0,-2.6990553306342813
2012-09-18,sz.002689,7.1900,7.2900,7.1700,7.2000,7.2100,2479562,17929272.1200,3,3.199435,1,-0.138700,3.792019,18.017537,1.490796,-24.249595,0,-0.1386962552011095
2012-09-19,sz.002689,7.2300,7.2800,7.2000,7.2600,7.2000,2017126,14609195.5900,3,2.602743,1,0.833300,3.823620,18.167683,1.503220,-24.451675,0,0.8333333333333304
