date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-04-24,sz.002751,13.8400,15.0900,13.8400,15.0900,10.4800,32400,488291.0000,3,0.184510,1,43.988560,4.173254,30.021141,2.375445,9.524675,0,
2015-04-27,sz.002751,16.6000,16.6000,16.6000,16.6000,15.0900,4500,74700.0000,3,0.025626,1,10.006600,4.590856,33.025245,2.613147,10.477774,0,10.006626905235262
2015-04-28,sz.002751,18.2600,18.2600,18.2600,18.2600,16.6000,7800,142428.0000,3,0.044419,1,10.000000,5.049941,36.327769,2.874462,11.525551,0,10.000000000000009
2015-04-29,sz.002751,20.0900,20.0900,20.0900,20.0900,18.2600,6100,122549.0000,3,0.034738,1,10.021900,5.556042,39.968504,3.162538,12.680631,0,10.021905805038323
2015-04-30,sz.002751,22.1000,22.1000,22.1000,22.1000,20.0900,15300,338130.0000,3,0.087130,1,10.005000,6.111923,43.967344,3.478949,13.949325,0,10.004977600796416
2015-05-04,sz.002751,24.3100,24.3100,24.3100,24.3100,22.1000,15900,386529.0000,3,0.090547,1,10.000000,6.723115,48.364079,3.826844,15.344258,0,9.999999999999986
2015-05-05,sz.002751,26.7400,26.7400,26.7400,26.7400,24.3100,28100,751394.0000,3,0.160023,1,9.995900,7.395150,53.198497,4.209371,16.878052,0,9.99588646647469
2015-05-06,sz.002751,29.4100,29.4100,29.4100,29.4100,26.7400,71500,2102815.0000,3,0.407175,1,9.985000,8.133558,58.510389,4.629678,18.563333,0,9.985041136873596
2015-05-07,sz.002751,32.3500,32.3500,32.3500,32.3500,29.4100,238611,7719065.0000,3,1.358833,1,9.996600,8.946638,64.359438,5.092488,20.419035,0,9.99659979598777
2015-05-08,sz.002751,35.5900,35.5900,35.5900,35.5900,32.3500,118900,4231651.0000,3,0.677107,1,10.015500,9.842684,70.805329,5.602524,22.464094,0,10.015455950540964
2015-05-11,sz.002751,39.1500,39.1500,39.1500,39.1500,35.5900,29900,1170585.0000,3,0.170273,1,10.002800,10.827229,77.887852,6.162934,24.711135,0,10.002809778027522
2015-05-12,sz.002751,43.0700,43.0700,43.0700,43.0700,39.1500,24500,1055215.0000,3,0.139522,1,10.012800,11.911335,85.686584,6.780015,27.185404,0,10.012771392081742
2015-05-13,sz.002751,47.3800,47.3800,47.3800,47.3800,43.0700,22400,1061312.0000,3,0.127563,1,10.007000,13.103298,94.261211,7.458488,29.905838,0,10.0069654051544
2015-05-14,sz.002751,52.1200,52.1200,52.1200,52.1200,47.3800,17200,896464.0000,3,0.097950,1,10.004200,14.414181,103.691311,8.204652,32.897685,0,10.004221190375674
2015-05-15,sz.002751,57.3300,57.3300,57.3300,57.3300,52.1200,38401,2201529.0000,3,0.218685,1,9.996200,15.855046,114.056463,9.024802,36.186191,0,9.996162701458179
2015-05-18,sz.002751,63.0600,63.0600,63.0600,63.0600,57.3300,26700,1683702.0000,3,0.152050,1,9.994800,17.439721,125.456141,9.926810,39.802916,0,9.994767137624283
2015-05-19,sz.002751,69.3700,69.3700,69.3700,69.3700,63.0600,19600,1359652.0000,3,0.111617,1,10.006300,19.184799,138.009713,10.920121,43.785733,0,10.00634316523945
2015-05-20,sz.002751,76.3100,76.3100,76.3100,76.3100,69.3700,20700,1579617.0000,3,0.117882,1,10.004300,21.104109,151.816653,12.012605,48.166199,0,10.004324636009798
2015-05-21,sz.002751,83.9400,83.9400,83.9400,83.9400,76.3100,28101,2358797.0000,3,0.160028,1,9.998700,23.214243,166.996329,13.213709,52.982188,0,9.998689555759398
2015-05-22,sz.002751,92.3300,92.3300,92.3300,92.3300,83.9400,46333,4277925.0000,3,0.263855,1,9.995200,25.534561,183.688004,14.534450,58.277882,0,9.995234691446274
2015-05-25,sz.002751,101.5600,101.5600,101.5600,101.5600,92.3300,100900,10247404.0000,3,0.574601,1,9.996700,28.087188,202.050836,15.987422,64.103777,0,9.996750785226904
2015-05-26,sz.002751,111.7200,111.7200,111.7200,111.7200,101.5600,31600,3530352.0000,3,0.179954,1,10.003900,30.897013,222.263877,17.586794,70.516679,0,10.00393855848758
