date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-06-12,sz.002767,17.8400,21.4100,17.8400,21.4100,14.8700,5800,122921.0000,3,0.023200,1,43.981170,7.326315,33.534817,6.886156,177.121266,0,
2015-06-15,sz.002767,23.5500,23.5500,23.5500,23.5500,21.4100,3696,87040.0000,3,0.014784,1,9.995300,8.058604,36.886732,7.574450,194.825120,0,9.995329285380672
2015-06-16,sz.002767,25.9100,25.9100,25.9100,25.9100,23.5500,4300,111413.0000,3,0.017200,1,10.021200,8.866175,40.583237,8.333503,214.348996,0,10.021231422505306
2015-06-17,sz.002767,28.5000,28.5000,28.5000,28.5000,25.9100,7057,201124.0000,3,0.028228,1,9.996100,9.752451,44.639994,9.166532,235.775622,0,9.996140486298732
2015-06-18,sz.002767,31.3500,31.3500,31.3500,31.3500,28.5000,9600,300960.0000,3,0.038400,1,10.000000,10.727696,49.103994,10.083185,259.353185,0,10.000000000000009
2015-06-19,sz.002767,34.4900,34.4900,34.4900,34.4900,31.3500,59825,2063364.0000,3,0.239300,1,10.016000,11.802176,54.022225,11.093111,285.329867,0,10.015948963317388
2015-06-23,sz.002767,37.9400,37.9400,37.9400,37.9400,34.4900,15400,584276.0000,3,0.061600,1,10.002900,12.982736,59.426013,12.202744,313.871127,0,10.00289939112784
2015-06-24,sz.002767,41.7300,41.7300,41.7300,41.7300,37.9400,9700,404781.0000,3,0.038800,1,9.989500,14.279641,65.362349,13.421732,345.225148,0,9.989457037427506
2015-06-25,sz.002767,45.9000,45.9000,45.9000,45.9000,41.7300,15700,720630.0000,3,0.062800,1,9.992800,15.706579,71.893885,14.762940,379.722844,0,9.992810927390373
2015-06-26,sz.002767,50.4900,50.4900,48.1200,50.4900,45.9000,5154417,259878714.0000,3,20.617668,1,10.000000,17.277237,79.083274,16.239234,417.695129,0,10.000000000000009
2015-06-29,sz.002767,47.9900,47.9900,45.4400,45.4400,50.4900,1337800,61725933.0000,3,5.351200,1,-10.002000,15.549171,71.173380,14.614989,375.917343,0,-10.001980590215897
2015-06-30,sz.002767,40.9000,48.5000,40.9000,43.4600,45.4400,9907672,423778128.0000,3,39.630688,1,-4.357400,14.871632,68.072075,13.978157,359.537142,0,-4.357394366197176
2015-07-01,sz.002767,40.9300,47.8100,39.2200,45.0000,43.4600,11734850,525724768.0000,3,46.939400,1,3.543500,15.398607,70.484201,14.473471,372.277298,0,3.5434882650713373
