date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-06-29,sz.002771,16.6100,18.4000,16.6100,18.4000,12.7800,8901,163711.0000,3,0.044505,1,43.974960,5.459425,31.506685,2.530175,44.873901,0,
2015-06-30,sz.002771,20.2400,20.2400,20.2400,20.2400,18.4000,3100,62744.0000,3,0.015500,1,10.000000,6.005368,34.657353,2.783192,49.361291,0,10.000000000000009
2015-07-01,sz.002771,22.2600,22.2600,22.2600,22.2600,20.2400,3000,66780.0000,3,0.015000,1,9.980200,6.604718,38.116239,3.060962,54.287665,0,9.980237154150217
2015-07-02,sz.002771,24.4900,24.4900,24.4900,24.4900,22.2600,8100,198369.0000,3,0.040500,1,10.018000,7.266376,41.934713,3.367608,59.726186,0,10.017969451931696
2015-07-03,sz.002771,26.9400,26.9400,26.9400,26.9400,24.4900,39600,1066824.0000,3,0.198000,1,10.004100,7.993311,46.129896,3.704506,65.701244,0,10.004083299305844
2015-07-06,sz.002771,29.6300,29.6300,29.6300,29.6300,26.9400,48351,1432640.0000,3,0.241755,1,9.985100,8.791455,50.736036,4.074407,72.261613,0,9.98515219005196
2015-07-07,sz.002771,32.5900,32.5900,32.5900,32.5900,29.6300,320850,10456501.0000,3,1.604250,1,9.989900,9.669710,55.804503,4.481435,79.480458,0,9.989875126560932
2015-07-08,sz.002771,35.0000,35.8500,29.3300,35.8500,32.5900,12416607,409977968.0000,3,62.083035,1,10.003100,10.636978,61.386666,4.929716,87.430942,0,10.00306842589751
2015-07-09,sz.002771,34.7000,39.4400,34.6000,39.4400,35.8500,2896477,108914549.0000,3,14.482385,1,10.013900,11.702159,67.533894,5.423375,96.186230,0,10.013947001394685
2015-07-10,sz.002771,43.3800,43.3800,43.3800,43.3800,39.4400,36800,1596384.0000,3,0.184000,1,9.989900,12.871188,74.280434,5.965162,105.795098,0,9.989858012170405
2015-07-13,sz.002771,47.7200,47.7200,47.7200,47.7200,43.3800,30360,1448779.0000,3,0.151800,1,10.004600,14.158901,81.711902,6.561954,116.379486,0,10.004610419548165
2015-07-14,sz.002771,52.4900,52.4900,52.4900,52.4900,47.7200,28300,1485467.0000,3,0.141500,1,9.995800,15.574197,89.879668,7.217874,128.012557,0,9.99580888516347
2015-07-15,sz.002771,57.7400,57.7400,57.6000,57.7400,52.4900,4562881,263453957.0000,3,22.814405,1,10.001900,17.131914,98.869347,7.939799,140.816251,0,10.00190512478567
2015-07-16,sz.002771,51.9700,63.5100,51.9700,63.5100,57.7400,10080733,590226576.0000,3,50.403665,1,9.993100,18.843918,108.749432,8.733229,154.888121,0,9.993072393488035
2015-07-17,sz.002771,63.0000,69.8600,59.0100,69.8600,63.5100,10569784,685569952.0000,3,52.848920,1,9.998400,20.728013,119.622663,9.606414,170.374494,0,9.998425444811843
2015-07-20,sz.002771,66.3600,71.5000,63.5000,64.2000,69.8600,8973787,605012400.0000,3,44.868935,1,-8.101900,19.048647,109.930933,8.828110,156.570892,0,-8.101918121958196
2015-07-21,sz.002771,61.0000,67.6000,59.5000,66.6600,64.2000,7392716,482190336.0000,3,36.963580,1,3.831800,19.778548,114.143240,9.166384,162.570338,0,3.8317757009345588
2015-07-22,sz.002771,64.7000,69.3000,64.0200,66.7000,66.6600,5915538,394335408.0000,3,29.577690,1,0.060000,19.790416,114.211732,9.171884,162.667890,0,0.06000600060007688
