date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-12-23,sz.002785,2.7500,3.3000,2.7500,3.3000,2.2900,21600,70694.0000,3,0.043200,1,44.104800,1.240451,29.532278,1.060549,-29.788350,0,
2015-12-24,sz.002785,3.6300,3.6300,3.6300,3.6300,3.3000,3500,12705.0000,3,0.007000,1,10.000000,1.364497,32.485506,1.166604,-32.767185,0,10.000000000000009
2015-12-25,sz.002785,3.9900,3.9900,3.9900,3.9900,3.6300,4000,15960.0000,3,0.008000,1,9.917400,1.499819,35.707209,1.282300,-36.016823,0,9.917355371900838
2015-12-28,sz.002785,4.3900,4.3900,4.3900,4.3900,3.9900,7900,34681.0000,3,0.015800,1,10.025100,1.650176,39.286879,1.410852,-39.627532,0,10.02506265664158
2015-12-29,sz.002785,4.8300,4.8300,4.8300,4.8300,4.3900,3700,17871.0000,3,0.007400,1,10.022800,1.815570,43.224516,1.552258,-43.599312,0,10.022779043280195
2015-12-30,sz.002785,5.3100,5.3100,5.3100,5.3100,4.8300,10700,56817.0000,3,0.021400,1,9.937900,1.995999,47.520120,1.706520,-47.932163,0,9.937888198757761
2015-12-31,sz.002785,5.8400,5.8400,5.8400,5.8400,5.3100,7800,45552.0000,3,0.015600,1,9.981200,2.195223,52.263183,1.876850,-52.716353,0,9.981167608286267
2016-01-04,sz.002785,6.4200,6.4200,6.4200,6.4200,5.8400,27800,178476.0000,3,0.055600,1,9.931500,2.413242,57.453705,2.063250,-57.951881,0,9.931506849315074
2016-01-05,sz.002785,7.0600,7.0600,7.0600,7.0600,6.4200,25100,177206.0000,3,0.050200,1,9.968800,2.653814,63.181177,2.268932,-63.729015,0,9.968847352024923
2016-01-06,sz.002785,7.7700,7.7700,7.7700,7.7700,7.0600,13960,108469.0000,3,0.027920,1,10.056700,2.920699,69.535091,2.497111,-70.138024,0,10.056657223796028
2016-01-07,sz.002785,8.5500,8.5500,8.5500,8.5500,7.7700,20053,171453.0000,3,0.040106,1,10.038600,3.213897,76.515448,2.747786,-77.178907,0,10.038610038610063
2016-01-08,sz.002785,9.4100,9.4100,9.4100,9.4100,8.5500,80267,755312.0000,3,0.160534,1,10.058500,3.537166,84.211739,3.024172,-84.941931,0,10.058479532163744
2016-01-11,sz.002785,10.3500,10.3500,10.3500,10.3500,9.4100,155784,1612364.0000,3,0.311568,1,9.989400,3.890507,92.623963,3.326267,-93.427098,0,9.989373007438896
