date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-12-23,sz.002786,13.4900,15.4400,13.4900,15.4400,10.7200,14601,225377.0000,3,0.045944,1,44.029800,3.118519,30.878949,0.899871,-205.737894,0,
2015-12-24,sz.002786,16.9800,16.9800,16.9800,16.9800,15.4400,3600,61128.0000,3,0.011328,1,9.974100,3.429563,33.958844,0.989624,-226.258384,0,9.974093264248719
2015-12-25,sz.002786,18.6800,18.6800,18.6800,18.6800,16.9800,2300,42964.0000,3,0.007237,1,10.011800,3.772923,37.358728,1.088703,-248.910872,0,10.011778563015316
2015-12-28,sz.002786,20.5500,20.5500,20.5500,20.5500,18.6800,3900,80145.0000,3,0.012272,1,10.010700,4.150620,41.098601,1.197690,-273.828609,0,10.010706638115629
2015-12-29,sz.002786,22.6100,22.6100,22.6100,22.6100,20.5500,3800,85918.0000,3,0.011957,1,10.024300,4.566692,45.218461,1.317751,-301.278095,0,10.024330900243307
2015-12-30,sz.002786,24.8700,24.8700,24.8700,24.8700,22.6100,5700,141759.0000,3,0.017936,1,9.995600,5.023159,49.738307,1.449468,-331.392580,0,9.995577178239735
2015-12-31,sz.002786,27.3600,27.3600,27.3600,27.3600,24.8700,8400,229824.0000,3,0.026432,1,10.012100,5.526081,54.718137,1.594589,-364.571813,0,10.012062726176119
2016-01-04,sz.002786,30.1000,30.1000,30.1000,30.1000,27.3600,40900,1231090.0000,3,0.128697,1,10.014600,6.079497,60.197951,1.754281,-401.082294,0,10.014619883040954
2016-01-05,sz.002786,33.1100,33.1100,33.1100,33.1100,30.1000,83900,2777929.0000,3,0.264003,1,10.000000,6.687446,66.217746,1.929709,-441.190523,0,9.999999999999986
2016-01-06,sz.002786,36.4200,36.4200,36.4200,36.4200,33.1100,36000,1311120.0000,3,0.113279,1,9.997000,7.355989,72.837520,2.122622,-485.296251,0,9.996979764421642
2016-01-07,sz.002786,40.0600,40.0600,40.0600,40.0600,36.4200,50550,2025033.0000,3,0.159062,1,9.994500,8.091184,80.117272,2.334768,-533.799226,0,9.9945085118067
2016-01-08,sz.002786,44.0700,44.0700,44.0700,44.0700,40.0600,114161,5031075.0000,3,0.359223,1,10.010000,8.901110,88.136999,2.568478,-587.232448,0,10.009985022466307
2016-01-11,sz.002786,48.4800,48.4800,48.4800,48.4800,44.0700,263310,12765268.0000,3,0.828540,1,10.006800,9.791827,96.956699,2.825500,-645.995668,0,10.006807351940083
2016-01-12,sz.002786,53.3300,53.3300,48.0000,48.0100,48.4800,19668706,1005593040.0000,3,61.890201,1,-0.969500,9.696898,96.016731,2.798108,-639.732921,0,-0.9694719471947222
2016-01-13,sz.002786,43.5000,46.3300,43.2100,43.2100,48.0100,11812725,516888544.0000,3,37.170312,1,-9.997900,8.727410,86.417058,2.518355,-575.772954,0,-9.997917100604036
2016-01-14,sz.002786,39.7000,47.5300,39.5900,47.5300,43.2100,17675435,811711664.0000,3,55.618109,1,9.997700,9.599949,95.056764,2.770132,-633.336925,0,9.997685720897941
2016-01-15,sz.002786,47.3300,47.9500,42.7800,42.7800,47.5300,9089294,398780544.0000,3,28.600673,1,-9.993700,8.640560,85.557087,2.493294,-570.043207,0,-9.993688196928252
2016-01-18,sz.002786,38.5000,40.9000,38.5000,38.5100,42.7800,14260973,555556256.0000,3,44.874050,1,-9.981300,7.778120,77.017378,2.244431,-513.145486,0,-9.981299672744282
2016-01-19,sz.002786,37.6000,40.4000,37.6000,39.5900,38.5100,10430416,408861040.0000,3,32.820692,1,2.804500,7.996255,79.177304,2.307375,-527.536479,0,2.8044663723708174
2016-01-20,sz.002786,39.2000,43.5500,39.2000,40.6000,39.5900,14567482,603242528.0000,3,45.838521,1,2.551100,8.200251,81.197236,2.366240,-540.994722,0,2.5511492801212343
2016-01-21,sz.002786,38.8000,39.3800,36.5400,36.5400,40.6000,10112041,379345584.0000,3,31.818883,1,-10.000000,7.380226,73.077512,2.129616,-486.895250,0,-10.000000000000009
2016-01-22,sz.002786,36.8000,38.3600,34.5100,37.1000,36.5400,8358765,307819248.0000,3,26.301967,1,1.532600,7.493333,74.197474,2.162254,-494.357246,0,1.532567049808442
2016-01-25,sz.002786,37.6000,37.8900,36.5200,37.3200,37.1000,6103863,227112138.0000,3,19.206617,1,0.593000,7.537768,74.637459,2.175076,-497.288745,0,0.5929919137466211
2016-01-26,sz.002786,36.5700,36.6000,33.5900,33.5900,37.3200,6620688,228690962.0000,3,20.832876,1,-9.994600,6.784395,67.177713,1.957685,-447.586520,0,-9.994640943193989
2016-01-27,sz.002786,33.3300,34.4200,31.0100,33.7000,33.5900,6791837,220944206.0000,3,21.371419,1,0.327500,6.806612,67.397705,1.964096,-449.052269,0,0.3274784161952926
2016-01-28,sz.002786,32.8800,33.2500,30.3300,30.3400,33.7000,5353927,170360825.0000,3,16.846844,1,-9.970300,6.127971,60.677934,1.768269,-404.280292,0,-9.970326409495556
2016-01-29,sz.002786,30.0600,32.9900,30.0100,32.1100,30.3400,6287264,200440457.0000,3,19.783713,1,5.833900,6.485470,64.217814,1.871428,-427.865530,0,5.833882663150947
2016-02-01,sz.002786,31.7800,34.9900,31.5100,32.6000,32.1100,6670538,220694276.0000,3,20.989736,1,1.526000,6.584438,65.197780,1.899986,-434.394777,0,1.5260043600124673
2016-02-02,sz.002786,32.1100,33.7200,31.7500,33.2600,32.6000,6142209,203560400.0000,3,19.327278,1,2.024500,6.717743,66.517735,1.938452,-443.189272,0,2.024539877300602
2016-02-03,sz.002786,32.5000,33.7500,31.5200,33.4500,33.2600,5205038,170059252.0000,3,16.378345,1,0.571300,6.756118,66.897722,1.949525,-445.721021,0,0.571256764882766
2016-02-04,sz.002786,33.4900,36.8000,33.4000,36.7200,33.4500,11493166,415454032.0000,3,36.164777,1,9.775800,7.416582,73.437500,2.140107,-489.293749,0,9.775784753363226
2016-02-05,sz.002786,36.5000,36.8500,34.3200,34.6000,36.7200,8332840,293958368.0000,3,26.220390,1,-5.773400,6.988391,69.197644,2.016549,-461.044763,0,-5.7734204793028265
2016-02-15,sz.002786,32.0300,34.4300,32.0300,33.7700,34.6000,4095164,135151492.0000,3,12.885979,1,-2.398800,6.820751,67.537701,1.968175,-449.985019,0,-2.39884393063583
2016-02-16,sz.002786,34.0500,35.8300,34.0000,35.2500,33.7700,5121628,180207767.0000,3,16.115884,1,4.382600,7.119676,70.497600,2.054432,-469.706009,0,4.382588095943141
2016-02-17,sz.002786,35.0100,36.6300,34.7800,35.5400,35.2500,6130812,218234221.0000,3,19.291416,1,0.822700,7.178249,71.077580,2.071334,-473.570257,0,0.8226950354609963
2016-02-18,sz.002786,36.1000,39.0900,35.6500,37.9600,35.5400,11272630,423979584.0000,3,35.470831,1,6.809200,7.667033,75.917415,2.212376,-505.816740,0,6.809229037704001
2016-02-19,sz.002786,36.8000,38.1800,36.3000,37.0000,37.9600,7004458,261000072.0000,3,22.040459,1,-2.529000,7.473135,73.997481,2.156425,-493.024747,0,-2.5289778714436273
2016-02-22,sz.002786,38.1800,39.1900,37.0100,38.8900,37.0000,7338766,279908352.0000,3,23.092404,1,5.108100,7.854871,77.777352,2.266578,-518.208984,0,5.1081081081081114
2016-02-23,sz.002786,38.7000,41.7800,38.1900,40.5800,38.8900,9158263,369121088.0000,3,28.817694,1,4.345600,8.196212,81.157237,2.365074,-540.728222,0,4.345590125996401
2016-02-24,sz.002786,39.8100,40.2700,37.5500,38.7500,40.5800,7388527,286866480.0000,3,23.248984,1,-4.509600,7.826594,77.497362,2.258419,-516.343485,0,-4.50961064563824
2016-02-25,sz.002786,38.3500,38.3500,34.8800,34.8800,38.7500,5906561,214290446.0000,3,18.585780,1,-9.987100,7.044945,69.757625,2.032868,-464.775761,0,-9.987096774193539
2016-02-26,sz.002786,35.4000,35.7900,32.5900,33.8400,34.8800,4390463,150992232.0000,3,13.815176,1,-2.981700,6.834889,67.677696,1.972255,-450.917768,0,-2.9816513761467878
2016-02-29,sz.002786,33.5600,33.8300,30.4600,30.5300,33.8400,4471270,139041078.0000,3,14.069446,1,-9.781300,6.166347,50.994973,1.614830,-406.812041,0,-9.781323877068559
2016-03-01,sz.002786,30.5500,31.9400,29.2100,31.4800,30.5300,4980393,152739350.0000,3,15.671469,1,3.111700,6.358224,52.581780,1.665079,-419.470784,0,3.1116934163118115
2016-03-02,sz.002786,31.0000,33.5600,30.8800,33.2500,31.4800,5042299,162413059.0000,3,15.866265,1,5.622600,6.715723,55.538252,1.758700,-443.056022,0,5.62261753494282
2016-03-03,sz.002786,33.2900,33.9800,32.4700,32.5000,33.2500,4467170,148779276.0000,3,14.056545,1,-2.255600,6.564240,54.285510,1.719030,-433.062278,0,-2.2556390977443663
2016-03-04,sz.002786,32.0000,32.9900,29.8000,30.1800,32.5000,4066824,127083778.0000,3,12.796803,1,-7.138500,6.095655,50.410360,1.596317,-402.148293,0,-7.138461538461538
2016-03-07,sz.002786,30.7600,31.7200,30.3100,30.7600,30.1800,3158603,97972725.0000,3,9.938965,1,1.921800,6.212801,51.379147,1.626996,-409.876789,0,1.9218025182240028
2016-03-08,sz.002786,30.6600,30.7000,28.5200,30.4800,30.7600,3467910,102927128.0000,3,10.912240,1,-0.910300,6.156248,50.911457,1.612185,-406.145791,0,-0.9102730819245841
2016-03-09,sz.002786,29.5000,31.2900,29.0200,30.1200,30.4800,3333560,100847964.0000,3,10.489490,1,-1.181100,6.083536,50.310140,1.593144,-401.348794,0,-1.1811023622047223
2016-03-10,sz.002786,30.1700,30.6700,29.5500,29.5900,30.1200,2084254,62666126.0000,3,6.558383,1,-1.759600,5.976489,49.424869,1.565110,-394.286547,0,-1.7596281540504632
2016-03-11,sz.002786,29.2000,30.1100,28.9000,29.8800,29.5900,2250336,66526526.0000,3,7.080982,1,0.980100,6.035062,49.909263,1.580449,-398.150795,0,0.9800608313619508
2016-03-14,sz.002786,30.4300,31.9000,30.4300,31.3800,29.8800,3775952,118359409.0000,3,11.881536,1,5.020100,6.338027,52.414748,1.659789,-418.138285,0,5.020080321285136
2016-03-15,sz.002786,31.3200,32.2500,31.2000,31.4600,31.3800,3352446,106307814.0000,3,10.548918,1,0.254900,6.354185,52.548373,1.664021,-419.204285,0,0.2549394518801762
2016-03-16,sz.002786,32.0100,32.5800,30.7000,30.8000,31.4600,3104731,97941173.0000,3,9.769449,1,-2.097900,6.220880,51.445960,1.629111,-410.409789,0,-2.0979020979020935
2016-03-17,sz.002786,30.7500,32.2000,30.6500,32.0000,30.8000,3707198,117020901.0000,3,11.665192,1,3.896100,6.463252,53.450348,1.692583,-426.399781,0,3.8961038961038863
2016-03-18,sz.002786,32.0900,34.2000,31.9300,34.0000,32.0000,5202531,172824513.0000,3,16.370456,1,6.250000,6.867205,56.790995,1.798370,-453.049767,0,6.25
2016-03-21,sz.002786,34.6300,34.9800,33.9100,34.7400,34.0000,5151883,177911342.0000,3,16.211086,1,2.176500,7.016668,58.027034,1.837511,-462.910262,0,2.176470588235291
2016-03-22,sz.002786,34.2600,36.3100,33.6200,35.7500,34.7400,5858259,205575998.0000,3,18.433792,1,2.907300,7.220665,59.714061,1.890933,-476.368505,0,2.907311456534245
2016-03-23,sz.002786,35.2900,37.2900,35.0300,36.5300,35.7500,5477167,197675727.0000,3,17.234635,1,2.181800,7.378206,61.016913,1.932189,-486.762000,0,2.181818181818196
