date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-06-29,sz.002802,11.4200,13.7100,11.4200,13.7100,9.5200,18422,251706.0000,3,0.068230,1,44.012600,5.044866,30.445513,5.034729,31.331503,0,
2016-06-30,sz.002802,15.0800,15.0800,15.0800,15.0800,13.7100,3800,57304.0000,3,0.014074,1,9.992700,5.548984,33.487843,5.537835,34.462368,0,9.992706053975198
2016-07-01,sz.002802,16.5900,16.5900,16.5900,16.5900,15.0800,6129,101680.0000,3,0.022700,1,10.013300,6.104619,36.841069,6.092353,37.913175,0,10.013262599469485
2016-07-04,sz.002802,18.2500,18.2500,18.2500,18.2500,16.5900,4329,79004.0000,3,0.016033,1,10.006000,6.715448,40.527397,6.701955,41.706778,0,10.006027727546707
2016-07-05,sz.002802,20.0800,20.0800,20.0800,20.0800,18.2500,5596,112367.0000,3,0.020726,1,10.027400,7.388833,44.591240,7.373987,45.888882,0,10.027397260273974
2016-07-06,sz.002802,22.0900,22.0900,22.0900,22.0900,20.0800,5700,125913.0000,3,0.021111,1,10.010000,8.128452,49.054805,8.112120,50.482341,0,10.009960159362553
2016-07-07,sz.002802,24.3000,24.3000,24.3000,24.3000,22.0900,4600,111780.0000,3,0.017037,1,10.004500,8.941666,53.962506,8.923699,55.532860,0,10.004526935264835
2016-07-08,sz.002802,26.7300,26.7300,26.7300,26.7300,24.3000,7572,202399.0000,3,0.028044,1,10.000000,9.835832,59.358757,9.816069,61.086146,0,10.000000000000009
2016-07-11,sz.002802,29.4000,29.4000,29.4000,29.4000,26.7300,28400,834960.0000,3,0.105185,1,9.988800,10.818312,65.287971,10.796574,67.187905,0,9.98877665544331
2016-07-12,sz.002802,32.3400,32.3400,32.3400,32.3400,29.4000,30531,987372.0000,3,0.113078,1,10.000000,11.900143,71.816768,11.876232,73.906696,0,10.000000000000009
2016-07-13,sz.002802,35.5700,35.5700,35.5700,35.5700,32.3400,19397,689951.0000,3,0.071841,1,9.987600,13.088685,78.989562,13.062386,81.288224,0,9.987631416202824
2016-07-14,sz.002802,39.1300,39.1300,39.1300,39.1300,35.5700,17800,696514.0000,3,0.065926,1,10.008400,14.398657,86.895180,14.369726,89.423902,0,10.00843407365759
2016-07-15,sz.002802,43.0400,43.0400,43.0400,43.0400,39.1300,19865,854989.0000,3,0.073574,1,9.992300,15.837419,95.578036,15.805597,98.359436,0,9.99233324814719
2016-07-18,sz.002802,47.3400,47.3400,47.3400,47.3400,43.0400,62410,2954489.0000,3,0.231148,1,9.990700,17.419689,105.126957,17.384688,108.186239,0,9.990706319702603
2016-07-19,sz.002802,52.0700,52.0700,52.0700,52.0700,47.3400,126859,6605548.0000,3,0.469848,1,9.991500,19.160186,115.630770,19.121688,118.995722,0,9.991550485847057
2016-07-20,sz.002802,57.2800,57.2800,57.2800,57.2800,52.0700,74358,4259226.0000,3,0.275400,1,10.005800,21.077309,127.200509,21.034959,130.902150,0,10.005761474937591
2016-07-21,sz.002802,63.0100,63.0100,63.0100,63.0100,57.2800,61338,3864907.0000,3,0.227178,1,10.003500,23.185776,139.925001,23.139189,143.996935,0,10.003491620111715
2016-07-22,sz.002802,69.3100,69.3100,62.1500,62.2800,63.0100,15295691,1004635312.0000,3,56.650707,1,-1.158500,22.917158,138.303905,22.871111,142.328664,0,-1.1585462624980059
2016-07-25,sz.002802,60.3300,60.3300,56.5100,58.2700,62.2800,9542207,556741040.0000,3,35.341507,1,-6.438700,21.441599,127.370941,21.366921,133.164600,0,-6.4386640976236365
2016-07-26,sz.002802,57.9800,63.9800,57.6300,61.9800,58.2700,9872984,607979776.0000,3,36.566607,1,6.366900,22.806767,135.480538,22.727335,141.643073,0,6.366912648017831
2016-07-27,sz.002802,61.0000,63.1000,57.4500,61.4900,61.9800,10636385,640300256.0000,3,39.394019,1,-0.790600,22.626462,134.409459,22.547657,140.523275,0,-0.7905776056792435
2016-07-28,sz.002802,59.2800,62.6000,58.0500,62.1200,61.4900,7452426,450335632.0000,3,27.601578,1,1.024600,22.858283,135.786560,22.778671,141.963016,0,1.0245568385103265
2016-07-29,sz.002802,63.8000,68.0000,63.1000,64.0000,62.1200,10314148,674148736.0000,3,38.200548,1,3.026400,23.550066,139.896006,23.468045,146.259385,0,3.0264005151320106
2016-08-01,sz.002802,61.9900,62.0000,57.6000,57.7500,64.0000,8398292,496640560.0000,3,31.104785,1,-9.765600,21.250255,126.234286,21.176243,131.976242,0,-9.765625
2016-08-02,sz.002802,57.7500,60.3000,57.7500,58.8100,57.7500,6293540,371678080.0000,3,23.309407,1,1.835500,21.640303,128.551314,21.564933,134.398663,0,1.8354978354978346
2016-08-03,sz.002802,58.8000,64.6900,58.1900,64.6900,58.8100,8004257,496191056.0000,3,29.645396,1,9.998300,23.803965,141.404259,23.721060,147.836244,0,9.998299608910033
2016-08-04,sz.002802,65.7200,68.6700,64.8100,66.1000,64.6900,12577139,837643664.0000,3,46.581996,1,2.179600,24.322802,144.486343,24.238090,151.058521,0,2.1796259081774627
2016-08-05,sz.002802,64.0000,68.5900,63.6600,68.1900,66.1000,10704684,709339472.0000,3,39.646978,1,3.161900,25.091859,149.054822,25.004468,155.834804,0,3.1618759455370737
2016-08-08,sz.002802,68.0000,68.0000,63.8200,67.0800,68.1900,7868070,521316656.0000,3,29.141000,1,-1.627800,24.683413,146.628501,24.597444,153.298118,0,-1.6278046634403909
2016-08-09,sz.002802,66.6600,73.7900,66.3700,73.7900,67.0800,10657025,755431568.0000,3,39.470463,1,10.003000,27.152490,161.295723,27.057922,168.632500,0,10.002981514609433
2016-08-10,sz.002802,74.2000,81.1700,74.2000,81.1700,73.7900,9590118,738531728.0000,3,35.518956,1,10.001400,29.868107,177.427481,29.764081,185.498036,0,10.001355197181173
2016-08-11,sz.002802,80.0000,83.9900,78.0000,80.9800,81.1700,12928956,1043289632.0000,3,47.885022,1,-0.234100,29.798193,177.012165,29.694410,185.063828,0,-0.23407662929653128
