date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-10-25,sz.002817,16.6600,19.9900,16.6600,19.9900,13.8800,12239,244093.0000,3,0.056479,1,44.020170,4.862774,31.563470,6.826617,246.785661,0,
2016-10-26,sz.002817,21.9900,21.9900,21.9900,21.9900,19.9900,1039,22847.0000,3,0.004795,1,10.005000,5.349295,34.721395,7.509620,271.476572,0,10.005002501250626
2016-10-27,sz.002817,24.1900,24.1900,24.1900,24.1900,21.9900,2200,53218.0000,3,0.010152,1,10.004550,5.884467,38.195114,8.260924,298.636575,0,10.004547521600738
2016-10-28,sz.002817,26.6100,26.6100,26.6100,26.6100,24.1900,3778,100532.0000,3,0.017434,1,10.004130,6.473157,42.016204,9.087358,328.512578,0,10.004133939644477
2016-10-31,sz.002817,29.2700,29.2700,29.2700,29.2700,26.6100,5200,152204.0000,3,0.023996,1,9.996242,7.120230,46.216246,9.995752,361.351490,0,9.996242014280355
2016-11-01,sz.002817,32.2000,32.2000,32.2000,32.2000,29.2700,2339,75315.0000,3,0.010794,1,10.010250,7.832983,50.842607,10.996352,397.523676,0,10.010249402118232
2016-11-02,sz.002817,35.4200,35.4200,35.4200,35.4200,32.2000,8802,311766.0000,3,0.040618,1,9.999992,8.616281,55.926868,12.095987,437.276043,0,9.999999999999986
2016-11-03,sz.002817,38.9600,38.9600,38.9600,38.9600,35.4200,15989,622931.0000,3,0.073784,1,9.994356,9.477422,61.516397,13.304903,480.978957,0,9.994353472614348
2016-11-04,sz.002817,42.8600,42.8600,42.8600,42.8600,38.9600,23117,990794.0000,3,0.106677,1,10.010270,10.426138,67.674352,14.636759,529.126234,0,10.01026694045175
2016-11-07,sz.002817,47.1500,47.1500,47.1500,47.1500,42.8600,10913,514547.0000,3,0.050360,1,10.009330,11.469724,74.448103,16.101801,582.088239,0,10.009332711152584
2016-11-08,sz.002817,51.8700,51.8700,51.8700,51.8700,47.1500,15300,793611.0000,3,0.070605,1,10.010600,12.617913,81.900809,17.713688,640.358791,0,10.01060445387063
2016-11-09,sz.002817,57.0600,57.0600,57.0600,57.0600,51.8700,36739,2096327.0000,3,0.169539,1,10.005790,13.880434,90.095626,19.486082,704.431706,0,10.00578368999423
2016-11-10,sz.002817,62.7700,62.7700,62.7700,62.7700,57.0600,49334,3096695.0000,3,0.227660,1,10.007010,15.269451,99.111505,21.436056,774.924258,0,10.007010164738883
