date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-10-13,sz.002903,15.3400,18.4000,15.3400,18.4000,12.7800,7900,144289.0000,3,0.031600,1,43.974960,5.976648,22.895323,7.077092,35.292019,0,
2017-10-16,sz.002903,20.2400,20.2400,20.2400,20.2400,18.4000,4406,89177.4400,3,0.017624,1,10.000000,6.574313,25.184856,7.784801,38.821220,0,10.000000000000009
2017-10-17,sz.002903,22.2600,22.2600,22.2600,22.2600,20.2400,3106,69139.5600,3,0.012424,1,9.980240,7.230445,27.698364,8.561743,42.695670,0,9.980237154150217
2017-10-18,sz.002903,24.4900,24.4900,24.4900,24.4900,22.2600,5006,122596.9400,3,0.020024,1,10.017970,7.954789,30.473177,9.419456,46.972909,0,10.017969451931696
2017-10-19,sz.002903,26.9400,26.9400,26.9400,26.9400,24.4900,3000,80820.0000,3,0.012000,1,10.004090,8.750593,33.521740,10.361786,51.672118,0,10.004083299305844
2017-10-20,sz.002903,29.6300,29.6300,29.6300,29.6300,26.9400,6300,186669.0000,3,0.025200,1,9.985147,9.624353,36.868936,11.396426,56.831658,0,9.98515219005196
2017-10-23,sz.002903,32.5900,32.5900,32.5900,32.5900,29.6300,16843,548913.3700,3,0.067372,1,9.989879,10.585813,40.552097,12.534915,62.509070,0,9.989875126560932
2017-10-24,sz.002903,35.8500,35.8500,35.8500,35.8500,32.5900,60762,2178317.7000,3,0.243048,1,10.003060,11.644720,44.608551,13.788791,68.761895,0,10.00306842589751
2017-10-25,sz.002903,35.8500,35.8500,35.8500,35.8500,35.8500,0,0.0000,3,,0,0.000000,11.644720,44.608551,13.788791,68.761895,0,0.0
2017-10-26,sz.002903,39.4400,39.4400,39.4400,39.4400,35.8500,122558,4833687.5200,3,0.490232,1,10.013950,12.810816,49.075628,15.169593,75.647675,0,10.013947001394685
2017-10-27,sz.002903,43.3800,43.3800,43.3800,43.3800,39.4400,114462,4965361.5600,3,0.457848,1,9.989864,14.090598,53.978213,16.685014,83.204770,0,9.989858012170405
2017-10-30,sz.002903,47.7200,47.7200,47.7200,47.7200,43.3800,118603,5659735.1600,3,0.474412,1,10.004610,14.534147,48.068870,15.484365,180.740902,0,10.004610419548165
2017-10-31,sz.002903,52.4900,52.4900,52.4900,52.4900,47.7200,214894,11279786.0600,3,0.859576,1,9.995810,15.986953,52.873742,17.032153,198.807417,0,9.99580888516347
2017-11-01,sz.002903,57.7400,57.7400,57.0000,57.7400,52.4900,5801115,334877752.0800,3,23.204460,1,10.001900,17.585953,58.162123,18.735692,218.691946,0,10.00190512478567
2017-11-02,sz.002903,59.9900,61.9500,55.9900,56.4800,57.7400,17096507,1014931709.9200,3,68.386028,1,-2.182200,17.202193,56.892912,18.326843,213.919659,0,-2.1821960512642957
2017-11-03,sz.002903,53.5000,58.8900,53.5000,56.5800,56.4800,11594491,651786327.8300,3,46.377964,1,0.177058,17.232650,56.993643,18.359291,214.298412,0,0.1770538243626163
2017-11-06,sz.002903,57.0200,58.9000,52.0200,52.1100,56.5800,12045798,669892732.8600,3,48.183192,1,-7.900320,15.871216,52.490964,16.908849,197.368156,0,-7.900318133616113
2017-11-07,sz.002903,50.5100,53.9000,50.5100,53.1200,52.1100,9663270,503392026.1900,3,38.653080,1,1.938205,16.178833,53.508348,17.236577,201.193561,0,1.938207637689504
2017-11-08,sz.002903,56.0000,58.4300,56.0000,58.4300,53.1200,3237895,187152448.0400,3,12.951580,1,9.996238,17.796107,58.857168,18.959586,221.305342,0,9.99623493975903
2017-11-09,sz.002903,61.8300,64.2700,60.5000,62.5900,58.4300,16730724,1047667711.0300,3,66.922896,1,7.119630,19.063124,63.047581,20.309439,237.061464,0,7.119630326886872
2017-11-10,sz.002903,61.0000,61.4900,58.0500,60.3700,62.5900,11824225,708968758.7400,3,47.296900,1,-3.546894,18.386975,60.811351,19.589085,228.653149,0,-3.5468924748362496
2017-11-13,sz.002903,59.5000,61.3300,58.8100,60.5000,60.3700,8291653,497114967.6200,3,33.166612,1,0.215340,18.426570,60.942301,19.631268,229.145528,0,0.21533874440948786
2017-11-14,sz.002903,61.4800,62.5500,58.8100,62.5100,60.5000,10578412,645366767.3700,3,42.313648,1,3.322311,19.038758,62.966996,20.283480,236.758462,0,3.322314049586783
2017-11-15,sz.002903,62.5500,62.5500,56.2600,56.2600,62.5100,7624157,442601863.2400,3,30.496628,1,-9.998401,17.135187,56.671304,18.255456,213.086403,0,-9.99840025595905
2017-11-16,sz.002903,53.5500,54.7500,50.6600,50.8500,56.2600,7371988,388733726.1600,3,29.487952,1,-9.616068,15.487456,51.221752,16.499999,192.595869,0,-9.616068254532518
2017-11-17,sz.002903,51.1000,51.8000,45.7900,46.4200,50.8500,6315206,308123040.3900,3,25.260824,1,-8.711899,14.138204,46.759366,15.062536,175.817114,0,-8.711897738446407
2017-11-20,sz.002903,46.1200,47.4700,45.0300,47.4000,46.4200,3933758,183770643.5600,3,15.735032,1,2.111166,14.436684,47.746530,15.380530,179.528893,0,2.1111589831968924
2017-11-21,sz.002903,46.9700,46.9800,43.0000,45.7600,47.4000,5506696,250097748.8500,3,22.026784,1,-3.459922,13.937187,46.094541,14.848377,173.317344,0,-3.459915611814346
2017-11-22,sz.002903,45.2000,46.3800,43.5800,45.3100,45.7600,4102280,185440272.5100,3,16.409120,1,-0.983385,13.800130,45.641251,14.702359,171.612956,0,-0.9833916083916039
2017-11-23,sz.002903,44.7000,45.1000,42.5000,42.7000,45.3100,3345406,147348493.1400,3,13.381624,1,-5.760319,13.005199,43.012170,13.855457,161.727505,0,-5.760317810637828
2017-11-24,sz.002903,41.8000,42.6800,40.6000,40.7500,42.7000,3545667,147462831.7500,3,14.182668,1,-4.566747,12.411285,41.047914,13.222713,154.341822,0,-4.5667447306791615
2017-11-27,sz.002903,40.2600,41.6900,39.6000,40.5000,40.7500,2269232,92284067.9800,3,9.076928,1,-0.613497,12.335142,40.796086,13.141592,153.394940,0,-0.6134969325153339
2017-11-28,sz.002903,40.9000,41.9700,40.6600,41.3000,40.5000,2785506,115083298.7700,3,11.142024,1,1.975307,12.578799,41.601935,13.401179,156.424963,0,1.975308641975304
2017-11-29,sz.002903,41.3000,42.3000,39.7100,42.1000,41.3000,5089335,209151879.6000,3,20.357340,1,1.937044,12.822456,42.407783,13.660766,159.454987,0,1.9370460048426352
2017-11-30,sz.002903,41.8000,43.2500,41.2800,41.4900,42.1000,3741664,157807654.9900,3,14.966656,1,-1.448924,12.636667,41.793324,13.462831,157.144594,0,-1.4489311163895513
2017-12-01,sz.002903,41.0000,41.3000,39.8000,40.6200,41.4900,2900273,117614791.5700,3,11.601092,1,-2.096897,12.371690,40.916963,13.180530,153.849443,0,-2.0968908170643674
2017-12-04,sz.002903,39.8000,39.8000,36.5600,36.5600,40.6200,4356499,163448760.8100,3,17.425996,1,-9.995070,11.135130,36.827282,11.863126,138.472074,0,-9.995076317085172
2017-12-05,sz.002903,36.4100,37.5000,36.0200,36.4000,36.5600,2552365,93464437.6700,3,10.209460,1,-0.437636,11.086399,36.666112,11.811209,137.866069,0,-0.4376367614879806
2017-12-06,sz.002903,36.8500,38.1800,36.4700,37.9100,36.4000,3427392,128575077.1500,3,13.709568,1,4.148347,11.546302,38.187151,12.301179,143.585239,0,4.148351648351634
2017-12-07,sz.002903,37.4000,38.4800,37.2300,37.4100,37.9100,2940313,111083913.4400,3,11.761252,1,-1.318913,11.394016,37.683496,12.138938,141.691474,0,-1.31891321551042
