date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-12-08,sz.002917,13.9700,16.7600,13.9700,16.7600,11.6400,13776,230328.7600,3,0.048730,1,43.986300,6.329672,28.840377,4.402264,330.165871,0,
2017-12-11,sz.002917,18.4400,18.4400,18.4400,18.4400,16.7600,5680,104739.2000,3,0.020092,1,10.023900,6.964150,31.731297,4.843541,363.261256,0,10.023866348448696
2017-12-12,sz.002917,20.2800,20.2800,20.2800,20.2800,18.4400,6904,140013.1200,3,0.024422,1,9.978300,7.659054,34.897544,5.326844,399.508583,0,9.97830802603037
2017-12-13,sz.002917,22.3100,22.3100,22.3100,22.3100,20.2800,13902,310153.6200,3,0.049176,1,10.009900,8.425715,38.390740,5.860054,439.498841,0,10.009861932938847
2017-12-14,sz.002917,24.5400,24.5400,24.5400,24.5400,22.3100,50919,1249552.2600,3,0.180117,1,9.995500,9.267909,42.228093,6.445797,483.429025,0,9.995517705064994
2017-12-15,sz.002917,26.9900,26.9900,26.9900,26.9900,24.5400,188240,5080597.6000,3,0.665865,1,9.983700,10.193189,46.444019,7.089326,531.693129,0,9.983700081499581
2017-12-18,sz.002917,27.5000,28.8800,25.0100,27.1000,26.9900,16308452,436661820.2200,3,57.688192,1,0.407600,10.234733,46.633306,7.118219,533.860089,0,0.40755835494628023
2017-12-19,sz.002917,26.1000,28.9800,25.8000,27.7700,27.1000,15874358,443322453.2500,3,56.152664,1,2.472300,10.487768,47.786233,7.294204,547.058844,0,2.4723247232472323
2017-12-20,sz.002917,27.2000,27.4400,25.0300,25.2600,27.7700,13663027,355902761.2200,3,48.330481,1,-9.038500,9.539828,43.467059,6.634915,497.612762,0,-9.038530788620802
2017-12-21,sz.002917,24.0200,24.9800,23.3100,24.2100,25.2600,10634955,256366638.0200,3,37.619225,1,-4.156800,9.143280,41.660234,6.359117,476.928146,0,-4.156769596199528
2017-12-22,sz.002917,24.2800,25.5700,24.0000,24.8000,24.2100,9570687,238711657.7500,3,33.854570,1,2.437000,9.366102,42.675498,6.514089,488.550930,0,2.437009500206533
2017-12-25,sz.002917,23.7600,25.4900,23.3000,25.1900,24.8000,8864562,215104367.8600,3,31.356781,1,1.572600,9.513392,43.346604,6.616529,496.233787,0,1.5725806451613034
2017-12-26,sz.002917,24.8000,27.7100,24.4100,27.7100,25.1900,10909817,293991676.7500,3,38.591500,1,10.004000,10.465108,47.682985,7.278444,545.876866,0,10.003969829297343
2017-12-27,sz.002917,29.2000,30.4800,29.2000,30.4800,27.7100,11477335,347365346.5000,3,40.598992,1,9.996400,11.511242,52.449563,8.006026,600.444853,0,9.996391194514608
2017-12-28,sz.002917,33.5300,33.5300,33.5300,33.5300,30.4800,3849938,129088421.1400,3,13.618458,1,10.006600,12.663121,57.697961,8.807154,660.528737,0,10.006561679790039
2017-12-29,sz.002917,34.9800,35.0000,30.2200,32.7000,33.5300,20240930,667599069.8700,3,71.598620,1,-2.475400,12.349659,56.269708,8.589142,644.178041,0,-2.4753951685058118
2018-01-02,sz.002917,33.6000,35.9700,33.6000,35.9700,32.7000,9852786,342283060.6200,3,34.852444,1,10.000000,13.584625,61.896679,9.448056,708.595845,0,9.999999999999986
2018-01-03,sz.002917,36.0000,36.0000,32.3700,32.9000,35.9700,17992950,600175622.6100,3,63.646799,1,-8.534889,12.425192,56.613866,8.641675,648.117968,0,-8.534890186266331
2018-01-04,sz.002917,30.9000,32.2000,30.3100,31.2500,32.9000,11195474,349324142.5400,3,39.601960,1,-5.015202,11.802044,53.774568,8.208278,615.613571,0,-5.015197568389052
2018-01-05,sz.002917,30.6700,32.5000,30.6700,31.6600,31.2500,10476610,334217394.2600,3,37.059109,1,1.311999,11.956887,54.480091,8.315971,623.690421,0,1.312000000000002
2018-01-08,sz.002917,31.0600,34.5900,30.1400,33.5900,31.6600,12942431,421298782.7200,3,45.781503,1,6.096021,12.685781,57.801208,8.822914,661.710715,0,6.096020214782061
2018-01-09,sz.002917,32.8800,36.6200,32.7000,34.1500,33.5900,15217615,527339768.0400,3,53.829554,1,1.667167,12.897274,58.764848,8.970006,672.742511,0,1.667162846085124
