date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2019-02-01,sz.002947,22.4600,26.9600,22.4600,26.9600,18.7200,52000,1400874.0000,3,0.171176,1,44.017090,6.439823,25.124992,6.511250,47.791366,0,
2019-02-11,sz.002947,29.6600,29.6600,29.6600,29.6600,26.9600,15457,458454.6200,3,0.050882,1,10.014840,7.084761,27.641219,7.163341,52.577593,0,10.014836795252213
2019-02-12,sz.002947,32.6300,32.6300,32.6300,32.6300,29.6600,23983,782565.2900,3,0.078949,1,10.013490,7.794192,30.409069,7.880641,57.842444,0,10.013486176668929
2019-02-13,sz.002947,35.8900,35.8900,35.8900,35.8900,32.6300,79533,2854439.3700,3,0.261811,1,9.990800,8.572895,33.447180,8.667981,63.621370,0,9.990806006742247
2019-02-14,sz.002947,39.4800,39.4800,39.4800,39.4800,35.8900,550748,21743531.0400,3,1.812983,1,10.002790,9.430423,36.792829,9.535020,69.985280,0,10.002786291446064
2019-02-15,sz.002947,43.4300,43.4300,43.4300,43.4300,39.4800,589549,25604113.0700,3,1.940710,1,10.005070,10.373943,40.473976,10.489005,76.987353,0,10.005065856129702
2019-02-18,sz.002947,46.0000,47.7700,45.1000,47.7700,43.4300,17907884,832150881.7100,3,58.950169,1,9.993093,11.410621,44.518578,11.537181,84.680770,0,9.993092332489063
2019-02-19,sz.002947,49.7600,52.5500,49.3200,52.5500,47.7700,17444934,895340432.7300,3,57.426204,1,10.006280,12.552400,48.973232,12.691624,93.154165,0,10.006280092108
2019-02-20,sz.002947,54.0000,55.5800,48.2000,48.8300,52.5500,19989935,1020111592.8700,3,65.803980,1,-7.078967,11.663819,45.506430,11.793188,86.559807,0,-7.07897240723121
2019-02-21,sz.002947,47.1700,53.7100,46.8000,53.7100,48.8300,17371196,869176019.2800,3,57.183469,1,9.993851,12.829484,50.054277,12.971782,95.210470,0,9.99385623592055
2019-02-22,sz.002947,54.0000,59.0000,51.1800,53.6000,53.7100,19194284,1052317888.4800,3,63.184812,1,-0.204805,12.803209,49.951764,12.945215,95.015476,0,-0.20480357475329836
2019-02-25,sz.002947,51.6200,56.7500,51.6200,54.9400,53.6000,16568081,903128020.8000,3,54.539731,1,2.500000,13.123289,51.200559,13.268845,97.390863,0,2.499999999999991
