date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-03-19,sz.300059,61.0000,62.2000,58.0300,58.3500,40.5800,19737326,1182393994.9500,3,70.490450,1,43.790040,32.614858,113.669253,49.471373,182.687093,0,
2010-03-22,sz.300059,61.1000,64.1900,60.2600,64.1900,58.3500,11010362,693595698.5400,3,39.322721,1,10.008600,35.879139,125.045919,54.422749,200.971456,0,10.008568980291344
2010-03-23,sz.300059,63.0000,65.6600,62.5200,65.1000,64.1900,8552214,547135876.4700,3,30.543621,1,1.417700,36.387785,126.818652,55.194282,203.820561,0,1.4176663031624903
2010-03-24,sz.300059,65.1800,71.4900,64.6400,68.6900,65.1000,7253024,491778563.2500,3,25.903657,1,5.514600,38.394424,133.812185,58.238022,215.060435,0,5.514592933947782
2010-03-25,sz.300059,68.6800,71.6000,68.0200,69.7800,68.6900,6022514,419010108.8500,3,21.508979,1,1.586800,39.003681,135.935569,59.162166,218.473099,0,1.5868394234968664
2010-03-26,sz.300059,68.9000,69.6000,67.0000,68.5000,69.7800,4315433,295658719.3800,3,15.412261,1,-1.834300,38.288223,133.442054,58.076933,214.465567,0,-1.834336486099175
2010-03-29,sz.300059,68.7100,74.4900,67.0100,73.5600,68.5000,6768558,476779869.5200,3,24.173421,1,7.386900,41.116521,143.299233,62.366995,230.307841,0,7.386861313868609
2010-03-30,sz.300059,73.0000,79.8000,72.5500,79.0000,73.5600,4833058,366877102.4500,3,17.260921,1,7.395300,44.157220,153.896675,66.979236,247.339851,0,7.395323545405108
2010-03-31,sz.300059,78.8800,86.9000,78.0000,86.7200,79.0000,5881164,493669145.5500,3,21.004157,1,9.772200,48.472331,168.935692,73.524549,271.510277,0,9.772151898734172
2010-04-01,sz.300059,87.1000,94.0000,85.3000,86.5900,86.7200,6147886,553713289.4200,3,21.956736,1,-0.149900,48.399667,168.682444,73.414330,271.103262,0,-0.1499077490774825
2010-04-02,sz.300059,85.2000,90.5800,85.1800,88.4900,86.5900,4970156,436542448.3400,3,17.750557,1,2.194200,49.461676,172.383757,75.025223,277.051942,0,2.1942487585171477
2010-04-06,sz.300059,89.5000,97.3400,88.5100,97.3400,88.4900,4851636,450479396.6900,3,17.327271,1,10.001100,54.408403,189.624080,82.528593,304.760267,0,10.001130071194497
2010-04-07,sz.300059,97.3200,101.9800,96.0000,101.9000,97.3400,4694537,464443838.8100,3,16.766204,1,4.684600,56.957225,198.507230,86.394737,319.037099,0,4.684610643106635
2010-04-08,sz.300059,100.0000,101.3000,91.7100,91.7100,101.9000,6201852,596345710.0900,3,22.149471,1,-10.000000,51.261502,178.656507,77.755263,287.133389,0,-10.000000000000009
2010-04-09,sz.300059,89.9800,97.8000,88.0000,96.9600,91.7100,5894276,543470804.6700,3,21.050986,1,5.724600,54.196001,188.883818,82.206415,303.570531,0,5.724566568531242
2010-04-12,sz.300059,95.0200,96.0000,87.9500,90.8500,96.9600,5608177,515284827.1100,3,20.029204,1,-6.301600,50.780803,176.981176,77.026122,284.440829,0,-6.3015676567656715
2010-04-13,sz.300059,89.6600,89.6600,81.7700,81.7700,90.8500,7863741,660275907.1300,3,28.084789,1,-9.994500,45.705518,159.292799,69.327749,256.012400,0,-9.994496422674736
2010-04-14,sz.300059,80.4100,83.1900,79.0100,81.6100,81.7700,4252674,345359339.8600,3,15.188121,1,-0.195700,45.616085,158.981109,69.192095,255.511459,0,-0.19567078390607673
2010-04-15,sz.300059,81.3000,81.3000,74.8100,78.2000,81.6100,5392971,419930743.2300,3,19.260611,1,-4.178400,43.710059,152.338228,66.300966,244.835144,0,-4.178409508638648
2010-04-16,sz.300059,76.7500,80.4500,76.7200,78.1800,78.2000,3939987,310581775.1200,3,14.071382,1,-0.025600,43.698879,152.299266,66.284009,244.772526,0,-0.02557544757032515
2010-04-19,sz.300059,77.4800,81.0700,76.0000,77.0000,78.1800,3357242,264804097.7400,3,11.990150,1,-1.509300,43.039316,150.000557,65.283560,241.078083,0,-1.5093374264517845
2010-04-20,sz.300059,77.6600,78.0000,70.7700,72.9500,77.0000,3617104,263841874.3300,3,12.918229,1,-5.259700,40.775560,142.110917,61.849814,228.398002,0,-5.259740259740253
2010-04-21,sz.300059,71.9000,75.7900,71.6000,75.3200,72.9500,3463982,257638303.9700,3,12.371364,1,3.248800,42.100276,146.727817,63.859191,235.818197,0,3.2488005483207516
2010-04-22,sz.300059,74.5000,79.7000,74.0000,78.1800,75.3200,4057484,314914396.7300,3,14.491014,1,3.797100,43.698879,152.299266,66.284009,244.772526,0,3.797132235793965
2010-04-23,sz.300059,77.6000,79.2200,74.5000,75.0000,78.1800,3069443,235719350.4300,3,10.962296,1,-4.067500,41.921412,146.104438,63.587883,234.816314,0,-4.067536454336151
2010-04-26,sz.300059,75.0000,75.0000,75.0000,75.0000,75.0000,0,0.0000,3,,0,0.000000,41.921412,146.104438,63.587883,234.816314,0,0.0
2010-04-27,sz.300059,70.0000,73.4700,69.6900,71.1200,75.0000,3350742,238193365.8000,3,11.966936,1,-5.173300,6.275400,129.932851,56.872964,7.186316,0,-5.17333333333333
2010-04-28,sz.300059,69.0000,70.8800,65.7100,67.5900,71.1200,3072591,210769144.2000,3,10.973539,1,-4.963400,5.963925,123.483710,54.050107,6.829628,0,-4.963442069741286
2010-04-29,sz.300059,68.4800,70.0900,66.5000,66.7000,67.5900,2079992,142795993.3800,3,7.428543,1,-1.316800,5.885394,121.857722,53.338396,6.739698,0,-1.3167628347388716
2010-04-30,sz.300059,67.0100,69.9700,63.0000,69.1200,66.7000,2672599,177296125.3200,3,9.544996,1,3.628200,6.098927,126.278947,55.273612,6.984227,0,3.6281859070464773
2010-05-04,sz.300059,67.5300,70.7700,67.0000,68.3100,69.1200,1910436,131906979.2400,3,6.822986,1,-1.171900,6.027455,124.799115,54.625874,6.902380,0,-1.171875
2010-05-05,sz.300059,67.4000,71.4700,67.0000,71.4000,68.3100,2323656,162598119.4500,3,8.298771,1,4.523500,6.300107,130.444398,57.096873,7.214609,0,4.52349582784366
2010-05-06,sz.300059,70.6600,71.3600,67.0100,67.0800,71.4000,2527632,174490780.6300,3,9.027257,1,-6.050400,5.918924,122.551964,53.642273,6.778095,0,-6.050420168067239
2010-05-07,sz.300059,64.0000,66.5000,63.8900,64.2000,67.0800,1811442,118088745.2500,3,6.469436,1,-4.293400,5.664802,117.290341,51.339206,6.487085,0,-4.2933810375670785
2010-05-10,sz.300059,63.5000,64.5000,59.2000,62.0000,64.2000,2253290,139243416.5800,3,8.047464,1,-3.426800,5.470681,113.271046,49.579918,6.264787,0,-3.4267912772585674
2010-05-11,sz.300059,63.6000,63.6000,59.0000,59.2000,62.0000,1731674,105984955.4900,3,6.184550,1,-4.516100,5.223618,108.155579,47.340825,5.981861,0,-4.516129032258065
2010-05-12,sz.300059,58.4800,61.0000,57.1800,60.3000,59.2000,2034523,121279196.3700,3,7.266154,1,1.858100,5.320678,110.165227,48.220469,6.093010,0,1.858108108108092
2010-05-13,sz.300059,60.6000,60.9000,57.2800,60.8000,60.3000,2055246,122642068.9500,3,7.340164,1,0.829200,5.364797,111.078703,48.620307,6.143533,0,0.8291873963515828
2010-05-14,sz.300059,60.4000,62.3000,59.0000,61.9000,60.8000,1800793,109597254.2100,3,6.431404,1,1.809200,5.461857,113.088351,49.499950,6.254682,0,1.8092105263157965
2010-05-17,sz.300059,60.5000,61.2900,57.0000,57.0200,61.9000,1840558,109859693.5300,3,6.573421,1,-7.883700,5.031262,104.172823,45.597531,5.761583,0,-7.883683360258475
2010-05-18,sz.300059,57.0200,57.0200,57.0200,57.0200,57.0200,0,0.0000,3,,0,0.000000,5.031262,104.172823,45.597531,5.761583,0,0.0
