date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-03-19,sz.300062,35.0000,35.3800,33.7000,35.2000,24.1800,12466563,428457934.8800,3,77.916019,1,45.574860,18.111347,66.296961,14.479235,74.793282,0,
2010-03-22,sz.300062,34.8800,35.7800,34.2000,35.0400,35.2000,6810610,237411284.9000,3,42.566312,1,-0.454500,18.029023,65.995612,14.413420,74.453313,0,-0.454545454545463
2010-03-23,sz.300062,34.5500,34.6200,33.7000,34.3700,35.0400,3907981,133841592.2100,3,24.424881,1,-1.912100,17.684290,64.733709,14.137821,73.029690,0,-1.9121004566210131
2010-03-24,sz.300062,34.2900,36.8700,34.2900,35.9100,34.3700,6052777,214793099.3400,3,37.829856,1,4.480700,18.476661,67.634201,14.771287,76.301897,0,4.480651731160901
2010-03-25,sz.300062,35.5100,37.2000,35.0200,36.2200,35.9100,5878689,212967920.6400,3,36.741806,1,0.863300,18.636164,68.218067,14.898803,76.960587,0,0.8632692843219214
2010-03-26,sz.300062,35.0000,35.4000,34.2200,35.0300,36.2200,3079358,107350681.8200,3,19.245988,1,-3.285500,18.023877,65.976777,14.409306,74.432064,0,-3.285477636664824
2010-03-29,sz.300062,35.2000,35.9000,34.3700,35.6500,35.0300,2784036,97905536.7000,3,17.400225,1,1.769900,18.342884,67.144508,14.664338,75.749446,0,1.7699115044247815
2010-03-30,sz.300062,35.4800,36.7500,35.0100,36.3900,35.6500,3298669,119159373.8800,3,20.616681,1,2.075700,18.723634,68.538251,14.968731,77.321805,0,2.075736325385691
2010-03-31,sz.300062,36.2000,37.2000,36.1600,36.2000,36.3900,3524822,129115288.2800,3,22.030137,1,-0.522100,18.625874,68.180398,14.890576,76.918091,0,-0.5221214619400838
2010-04-01,sz.300062,36.4100,39.3000,36.1500,37.2600,36.2000,4532981,170372345.7600,3,28.331131,1,2.928200,19.171272,70.176840,15.326599,79.170389,0,2.9281767955801064
2010-04-02,sz.300062,36.8000,37.4900,36.5000,36.8900,37.2600,2229577,82561843.0800,3,13.934856,1,-0.993000,18.980897,69.479969,15.174402,78.384209,0,-0.9930220075147544
2010-04-06,sz.300062,37.2300,38.3800,37.0100,38.2800,36.8900,2689140,101904789.5300,3,16.807125,1,3.768000,19.696090,72.097945,15.746168,81.337694,0,3.7679587964217998
2010-04-07,sz.300062,38.4800,39.1000,37.7300,38.8000,38.2800,2567139,98798941.2400,3,16.044619,1,1.358400,19.963644,73.077332,15.960065,82.442595,0,1.3584117032392706
2010-04-08,sz.300062,38.5900,38.7300,36.9000,36.9100,38.8000,2833836,106992592.2600,3,17.711475,1,-4.871100,18.991188,69.517638,15.182629,78.426706,0,-4.871134020618562
2010-04-09,sz.300062,37.0000,37.8000,36.9500,37.3900,36.9100,1604422,59968861.8500,3,10.027638,1,1.300500,19.238161,70.421687,15.380073,79.446614,0,1.300460579788676
2010-04-12,sz.300062,37.4600,37.7200,36.9800,37.4000,37.3900,2077390,77498971.4300,3,12.983687,1,0.026700,19.243306,70.440521,15.384187,79.467862,0,0.026745119015769703
2010-04-13,sz.300062,37.5000,37.8000,34.0200,34.9200,37.4000,3050277,108907706.1600,3,19.064231,1,-6.631000,17.967279,65.769599,14.364059,74.198335,0,-6.631016042780735
2010-04-14,sz.300062,34.3800,35.5500,34.3600,35.2000,34.9200,1287691,45128660.6500,3,8.048069,1,0.801800,18.111347,66.296961,14.479235,74.793282,0,0.8018327605956443
2010-04-15,sz.300062,35.2200,35.2200,33.2000,33.6300,35.2000,1851501,62765954.6100,3,11.571881,1,-4.460200,17.303540,63.339966,13.833428,71.457332,0,-4.460227272727268
2010-04-16,sz.300062,33.7100,34.6000,33.6300,34.1400,33.6300,1143538,39094077.9000,3,7.147112,1,1.516500,17.565948,64.300519,14.043212,72.540984,0,1.5165031222122982
2010-04-19,sz.300062,33.7400,34.9700,33.7000,33.8200,34.1400,1216656,41761440.3300,3,7.604100,1,-0.937300,17.401300,63.697819,13.911583,71.861045,0,-0.9373169302870576
2010-04-20,sz.300062,33.9000,34.3800,31.0200,33.2400,33.8200,933363,30566736.9300,3,5.833519,1,-1.715000,17.102874,62.605426,13.673004,70.628656,0,-1.714961561206385
2010-04-21,sz.300062,33.1200,34.3900,32.6100,34.3300,33.2400,987566,33330495.5600,3,6.172288,1,3.279200,17.663709,64.658372,14.121367,72.944698,0,3.2791817087845843
2010-04-22,sz.300062,34.1100,34.8700,33.7800,34.4200,34.3300,1346483,46512643.3400,3,8.415519,1,0.262200,17.710016,64.827881,14.158388,73.135931,0,0.2621613748907681
2010-04-23,sz.300062,34.2000,34.6000,33.0100,33.3000,34.4200,1262043,42521723.3600,3,7.887769,1,-3.253900,17.133746,62.718432,13.697685,70.756145,0,-3.2539221382917094
2010-04-26,sz.300062,33.0000,33.0000,31.5000,31.5000,33.3000,1351190,43110849.8300,3,8.444937,1,-5.405400,3.995496,58.022296,12.663430,5.177327,0,-5.405405405405395
2010-04-27,sz.300062,31.0500,31.5300,29.5200,30.1600,31.5000,1026188,31120697.1600,3,6.413675,1,-4.254000,3.825529,55.554046,12.124732,4.957085,0,-4.253968253968255
2010-04-28,sz.300062,29.5800,30.6900,29.5800,29.8000,30.1600,545155,16385422.4100,3,3.407219,1,-1.193600,3.779866,54.890934,11.980007,4.897915,0,-1.1936339522546358
2010-04-29,sz.300062,30.0000,30.4300,29.7000,29.7800,29.8000,463654,13957455.6300,3,2.897838,1,-0.067100,3.777329,54.854094,11.971966,4.894628,0,-0.06711409395973034
2010-04-30,sz.300062,29.7800,29.9500,27.6500,28.2200,29.7800,776736,22167541.4600,3,4.854600,1,-5.238400,3.579457,51.980609,11.344825,4.638227,0,-5.238415043653466
2010-05-04,sz.300062,27.7500,28.4200,27.0300,27.9000,28.2200,416511,11585402.0000,3,2.603194,1,-1.133900,3.538868,51.391176,11.216181,4.585632,0,-1.133947554925585
2010-05-05,sz.300062,27.6800,29.3800,27.6000,29.3600,27.9000,774929,22175614.4000,3,4.843306,1,5.233000,3.724056,54.080464,11.803121,4.825597,0,5.232974910394272
2010-05-06,sz.300062,29.2800,29.5500,28.2100,28.3000,29.3600,625723,18181881.3900,3,3.910769,1,-3.610400,3.589604,52.127967,11.376986,4.651376,0,-3.610354223433243
2010-05-07,sz.300062,27.2900,28.5800,27.1900,27.8800,28.3000,475362,13331913.8200,3,2.971013,1,-1.484100,3.536331,51.354337,11.208141,4.582345,0,-1.4840989399293347
2010-05-10,sz.300062,27.9100,28.2800,25.3000,26.2100,27.8800,638331,17053317.3300,3,3.989569,1,-5.990000,3.324506,48.278234,10.536778,4.307865,0,-5.989956958393106
2010-05-11,sz.300062,27.0000,27.1500,25.5100,25.6500,26.2100,546389,14405556.5300,3,3.414931,1,-2.136600,3.253475,47.246727,10.311650,4.215823,0,-2.136589088134311
2010-05-12,sz.300062,25.0300,25.9400,24.8000,25.2800,25.6500,466785,11835768.0900,3,2.917406,1,-1.442500,3.206544,46.565195,10.162905,4.155010,0,-1.4424951267056452
2010-05-13,sz.300062,25.5400,25.9100,24.6200,25.9100,25.2800,563541,14304514.8500,3,3.522131,1,2.492100,3.286454,47.725641,10.416174,4.258557,0,2.4920886075949333
2010-05-14,sz.300062,25.4300,26.1300,25.4300,25.9200,25.9100,374130,9664717.9000,3,2.338313,1,0.038600,3.287722,47.744061,10.420194,4.260200,0,0.03859513701274242
2010-05-17,sz.300062,25.6100,25.6800,24.5000,24.5100,25.9200,460675,11569020.1200,3,2.879219,1,-5.439800,3.108876,45.146872,9.853355,4.028453,0,-5.439814814814814
2010-05-18,sz.300062,24.8800,24.8800,23.6400,24.6100,24.5100,558770,13520219.9900,3,3.492312,1,0.408000,3.121560,45.331070,9.893556,4.044889,0,0.407996736026095
2010-05-19,sz.300062,24.4700,25.7500,24.0100,25.1600,24.6100,772961,19284428.2100,3,4.831006,1,2.234900,3.191323,46.344158,10.114663,4.135287,0,2.234863876472981
2010-05-20,sz.300062,24.8500,25.7900,24.8000,25.0400,25.1600,820804,20813899.2900,3,5.130025,1,-0.476900,3.176102,46.123120,10.066422,4.115564,0,-0.4769475357710662
2010-05-21,sz.300062,24.2000,26.2600,24.0900,26.0500,25.0400,741974,18899336.1300,3,4.637338,1,4.033500,3.304212,47.983518,10.472456,4.281567,0,4.033546325878601
2010-05-24,sz.300062,26.3000,27.0000,26.0000,26.8800,26.0500,1139127,30463531.9200,3,7.119544,1,3.186200,3.409490,49.512359,10.806127,4.417985,0,3.1861804222648615
2010-05-25,sz.300062,26.5900,26.9300,26.0000,26.4000,26.8800,745286,19700250.7100,3,4.658037,1,-1.785700,3.348606,48.628210,10.613160,4.339093,0,-1.7857142857142905
2010-05-26,sz.300062,26.1900,26.6800,26.1200,26.2800,26.4000,414750,10954185.1400,3,2.592188,1,-0.454500,3.333385,48.407173,10.564919,4.319370,0,-0.4545454545454408
2010-05-27,sz.300062,26.2800,27.0500,25.6500,26.9500,26.2800,984596,26161348.7400,3,6.153725,1,2.549500,3.418369,49.641298,10.834268,4.429491,0,2.5494672754946546
2010-05-28,sz.300062,27.0500,27.6500,26.4700,26.8100,26.9500,887115,24010750.3600,3,5.544469,1,-0.519500,3.400611,49.383421,10.777986,4.406480,0,-0.5194805194805197
2010-05-31,sz.300062,26.8100,27.4000,25.9200,25.9500,26.8100,842201,22734305.1800,3,5.263756,1,-3.207800,3.291527,47.799320,10.432254,4.265131,0,-3.207758299142105
2010-06-01,sz.300062,25.9800,26.4300,24.6000,25.1400,25.9500,779281,19645567.4500,3,4.870506,1,-3.121400,3.188786,46.307318,10.106623,4.132000,0,-3.121387283236987
2010-06-02,sz.300062,24.8200,25.5400,24.7000,25.5400,25.1400,415537,10460976.5700,3,2.597106,1,1.591100,3.239523,47.044109,10.267429,4.197744,0,1.5910898965791453
2010-06-03,sz.300062,25.7800,26.2700,25.3100,25.4000,25.5400,629168,16219310.2300,3,3.932300,1,-0.548200,3.221765,46.786232,10.211147,4.174733,0,-0.5481597494126911
2010-06-04,sz.300062,25.4000,26.7000,25.0100,26.7000,25.4000,737322,19195232.6600,3,4.608263,1,5.118100,3.386658,49.180803,10.733764,4.388401,0,5.1181102362204856
2010-06-07,sz.300062,26.0300,27.9000,26.0100,27.7300,26.7000,1611974,44161774.9200,3,10.074838,1,3.857700,3.517305,51.078040,11.147839,4.557691,0,3.8576779026217256
2010-06-08,sz.300062,27.7500,27.8400,27.1200,27.5500,27.7300,1048731,28800664.9600,3,6.554569,1,-0.649100,3.494473,50.746484,11.075476,4.528106,0,-0.6491164803461902
2010-06-09,sz.300062,27.6100,28.4000,27.2000,27.6500,27.5500,1336609,37220194.7100,3,8.353806,1,0.362978,3.507157,50.930682,11.115677,4.544542,0,0.3629764065335772
2010-06-10,sz.300062,27.5600,28.3000,27.5600,28.0000,27.6500,1091606,30608498.9900,3,6.822538,1,1.265800,3.551552,51.575374,11.256382,4.602068,0,1.2658227848101333
2010-06-11,sz.300062,28.2000,29.1200,27.8300,28.9400,28.0000,1505965,42883693.3500,3,9.412281,1,3.357100,3.670782,53.306833,11.634275,4.756566,0,3.3571428571428585
2010-06-17,sz.300062,28.9500,30.6000,28.3200,28.4800,28.9400,1961874,58041734.3200,3,12.261712,1,-1.589500,3.612436,52.459523,11.449349,4.680961,0,-1.5894955079474804
2010-06-18,sz.300062,28.0000,28.2000,25.9500,25.9700,28.4800,1218926,32883568.8500,3,7.618288,1,-8.813200,3.294064,47.836159,10.440294,4.268418,0,-8.813202247191022
2010-06-21,sz.300062,25.0000,26.9800,24.3100,26.6100,25.9700,3282561,83775324.5400,3,16.412805,1,2.464400,3.375243,49.015025,10.697583,4.373608,0,2.4643819792067756
2010-06-22,sz.300062,26.1900,26.9900,26.0200,26.3700,26.6100,1843828,48917413.1700,3,9.219140,1,-0.901900,3.344801,48.572951,10.601100,4.334162,0,-0.9019165727170209
2010-06-23,sz.300062,26.1100,26.7900,25.7000,26.3400,26.3700,1413251,37106278.1900,3,7.066255,1,-0.113800,3.340996,48.517691,10.589040,4.329231,0,-0.11376564277588708
2010-06-24,sz.300062,26.6000,26.7600,26.1400,26.3100,26.3400,1057035,27971684.4000,3,5.285175,1,-0.113900,3.337190,48.462432,10.576979,4.324300,0,-0.1138952164009166
2010-06-25,sz.300062,26.3100,26.3100,26.3100,26.3100,26.3100,0,0.0000,3,,0,0.000000,3.337190,48.462432,10.576979,4.324300,0,0.0
2010-06-28,sz.300062,25.5000,25.8000,24.6800,24.7900,26.3100,1144770,28980863.1300,3,5.723850,1,-5.777300,3.144392,45.662626,9.965918,4.074474,0,-5.77727099961991
2010-06-29,sz.300062,24.9200,24.9500,23.0000,23.1600,24.7900,1302710,30978418.3500,3,6.513550,1,-6.575200,2.937641,42.660202,9.310636,3.806568,0,-6.5752319483662784
2010-06-30,sz.300062,23.1500,23.5900,22.5200,23.3400,23.1600,755823,17445816.8900,3,3.779115,1,0.777200,2.960472,42.991758,9.382999,3.836153,0,0.7772020725388629
2010-07-01,sz.300062,23.4000,23.4000,22.4500,22.6000,23.3400,768162,17521671.0600,3,3.840810,1,-3.170500,2.866610,41.628695,9.085508,3.714526,0,-3.1705227077977627
2010-07-02,sz.300062,22.5500,22.5700,21.4100,22.3000,22.6000,854204,18866747.6900,3,4.271020,1,-1.327400,2.828557,41.076102,8.964904,3.665219,0,-1.3274336283185861
2010-07-05,sz.300062,22.0000,22.2700,21.1800,22.0000,22.3000,597085,13017164.7700,3,2.985425,1,-1.345300,2.790505,40.523508,8.844300,3.615911,0,-1.3452914798206317
2010-07-06,sz.300062,21.9700,22.7800,21.8800,22.7000,22.0000,837004,18887128.5600,3,4.185020,1,3.181800,2.879294,41.812893,9.125710,3.730962,0,3.1818181818181746
2010-07-07,sz.300062,22.7000,22.9600,22.5000,22.9300,22.7000,596337,13583215.4500,3,2.981685,1,1.013200,2.908467,42.236547,9.218173,3.768765,0,1.013215859030847
2010-07-08,sz.300062,23.1500,23.2800,22.1800,22.7200,22.9300,647764,14678794.8200,3,3.238820,1,-0.915800,2.881831,41.849732,9.133750,3.734250,0,-0.9158307893589179
2010-07-09,sz.300062,22.8000,23.5700,22.5300,23.3900,22.7200,854233,19785842.6500,3,4.271165,1,2.948900,2.966814,43.083857,9.403099,3.844370,0,2.948943661971848
2010-07-12,sz.300062,23.4500,23.6900,23.0800,23.3800,23.3900,600290,14062389.2200,3,3.001450,1,-0.042800,2.965546,43.065437,9.399079,3.842727,0,-0.04275331338179367
2010-07-13,sz.300062,23.4000,23.6500,22.6800,23.5300,23.3800,815356,18882202.0000,3,4.076780,1,0.641600,2.984572,43.341734,9.459381,3.867381,0,0.6415739948674171
2010-07-14,sz.300062,23.5000,23.7800,23.2900,23.5900,23.5300,754480,17759132.0400,3,3.772400,1,0.255000,2.992182,43.452253,9.483502,3.877242,0,0.2549936251593721
2010-07-15,sz.300062,23.3500,23.5700,22.8800,22.9000,23.5900,570558,13305208.4400,3,2.852790,1,-2.925000,2.904662,42.181288,9.206113,3.763834,0,-2.9249682068673177
2010-07-16,sz.300062,22.6300,23.0300,22.2600,22.9900,22.9000,500931,11349309.8900,3,2.504655,1,0.393014,2.916078,42.347066,9.242294,3.778627,0,0.3930131004366899
2010-07-19,sz.300062,22.7400,23.3800,22.5100,23.2800,22.9900,461376,10622173.3700,3,2.306880,1,1.261400,2.952862,42.881240,9.358878,3.826291,0,1.2614180078295067
2010-07-20,sz.300062,23.3000,24.0900,23.2300,23.9900,23.2800,957045,22724515.7800,3,4.785225,1,3.049800,3.042919,44.189044,9.644307,3.942986,0,3.0498281786941472
2010-07-21,sz.300062,24.1500,24.4800,23.8300,23.9600,23.9900,796690,19207626.0800,3,3.983450,1,-0.125100,3.039114,44.133784,9.632247,3.938055,0,-0.12505210504375475
