date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-04-27,sz.300072,50.6000,55.5100,50.0100,55.5100,32.0000,16754607,883431978.1200,3,83.773035,1,73.468740,23.789653,98.152422,16.603863,133.483058,0,
2010-04-28,sz.300072,53.7700,55.1200,49.9600,52.4000,55.5100,9303979,488278076.1800,3,46.519895,1,-5.602600,22.456816,92.653340,15.673616,126.004544,0,-5.6025941271842905
2010-04-29,sz.300072,53.4000,56.2900,53.4000,54.1500,52.4000,9312555,508870652.4200,3,46.562775,1,3.339700,23.206805,95.747678,16.197067,130.212711,0,3.3396946564885566
2010-04-30,sz.300072,54.1000,54.1300,49.0000,53.0000,54.1500,5223622,271492489.8200,3,26.118110,1,-2.123700,22.713955,93.714256,15.853085,127.447344,0,-2.123730378578026
2010-05-04,sz.300072,53.7100,57.9900,53.7100,56.5000,53.0000,6824715,378121530.9700,3,34.123575,1,6.603800,24.213933,99.902933,16.899986,135.863678,0,6.60377358490567
2010-05-05,sz.300072,55.2500,59.2900,55.0000,58.1900,56.5000,5285174,303369041.7000,3,26.425870,1,2.991200,24.938208,102.891180,17.405491,139.927565,0,2.9911504424778634
2010-05-06,sz.300072,58.2000,60.9800,57.7100,58.0600,58.1900,3992939,236160638.7000,3,19.964695,1,-0.223400,24.882495,102.661315,17.366606,139.614958,0,-0.2234060835194951
2010-05-07,sz.300072,56.6500,58.5800,52.6000,53.0000,58.0600,4786377,265768760.4400,3,23.931885,1,-8.715100,22.713955,93.714256,15.853085,127.447344,0,-8.715122287289013
2010-05-10,sz.300072,52.4000,53.0000,47.7000,47.7000,53.0000,4323013,213934131.6800,3,21.615065,1,-10.000000,20.442559,84.342830,14.267776,114.702609,0,-9.999999999999998
2010-05-11,sz.300072,49.7000,50.4900,47.5200,48.0100,47.7000,3024636,148135545.8200,3,15.123180,1,0.649900,20.575415,84.890970,14.360502,115.448056,0,0.6498951781970463
2010-05-12,sz.300072,45.6000,49.1400,45.3000,46.7100,48.0100,2161033,102113964.1000,3,10.805165,1,-2.707800,20.018280,82.592319,13.971653,112.321989,0,-2.7077692147469246
2010-05-13,sz.300072,47.0000,48.2400,45.5000,47.7900,46.7100,1844944,86737590.0600,3,9.224720,1,2.312100,20.481130,84.501968,14.294697,114.919029,0,2.3121387283236983
2010-05-14,sz.300072,47.6000,47.6000,45.8200,47.2100,47.7900,1896455,88494773.0600,3,9.482275,1,-1.213600,20.232562,83.476415,14.121210,113.524323,0,-1.213643021552624
2010-05-17,sz.300072,46.2300,47.9900,45.9000,46.1000,47.2100,2157559,100858623.1700,3,10.787795,1,-2.351200,19.756855,81.513721,13.789193,110.855142,0,-2.3511967803431455
2010-05-18,sz.300072,45.6600,46.7100,41.6500,44.4000,46.1000,2370030,103569577.5600,3,11.850150,1,-3.687600,19.028294,78.507792,13.280697,106.767209,0,-3.6876355748373113
2010-05-19,sz.300072,43.7800,47.6500,43.2100,46.0100,44.4000,2066384,94144737.5400,3,10.331920,1,3.626100,19.718284,81.354583,13.762272,110.638722,0,3.626126126126117
2010-05-20,sz.300072,45.0400,45.9600,44.0000,44.1500,46.0100,1458729,65839224.9000,3,7.293645,1,-4.042600,18.921153,78.065743,13.205919,106.166042,0,-4.042599434905458
2010-05-21,sz.300072,42.3300,47.4800,42.3200,47.0300,44.1500,1947665,88160850.0500,3,9.738325,1,6.523200,20.155421,83.158141,14.067369,113.091483,0,6.52321630804078
