date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-07-28,sz.300095,33.8900,39.9800,33.8800,37.0000,22.5600,14036303,501969355.5300,3,89.976301,1,64.007100,12.568251,62.738464,8.068128,51.800472,0,
2010-07-29,sz.300095,35.8500,37.0000,34.8800,36.0100,37.0000,8531385,305306580.4000,3,54.688365,1,-2.675700,12.231966,61.059786,7.852251,50.414459,0,-2.6756756756756817
2010-07-30,sz.300095,35.7000,36.5300,34.0500,34.1200,36.0100,5298201,186340926.5100,3,33.962827,1,-5.248500,11.589966,57.855038,7.440122,47.768435,0,-5.248542071646767
2010-08-02,sz.300095,33.6000,34.5800,32.8700,34.0700,34.1200,4074152,137684921.2900,3,26.116359,1,-0.146500,11.572982,57.770256,7.429220,47.698434,0,-0.1465416178194512
2010-08-03,sz.300095,33.8000,34.9200,33.6100,33.8700,34.0700,3223097,110675062.3100,3,20.660878,1,-0.587000,11.505045,57.431129,7.385608,47.418432,0,-0.5870267097152992
2010-08-04,sz.300095,33.7800,34.9300,33.7000,34.6900,33.8700,3231668,111581791.1300,3,20.715821,1,2.421000,11.783585,58.821549,7.564415,48.566442,0,2.4210215529967494
2010-08-05,sz.300095,34.6300,34.8800,33.8000,33.9000,34.6900,2872183,98819905.4500,3,18.411429,1,-2.277300,11.515236,57.481998,7.392150,47.460432,0,-2.277313346785814
2010-08-06,sz.300095,33.7600,34.1500,32.9800,34.0300,33.9000,2607787,87596718.7800,3,16.716583,1,0.383500,11.559394,57.702431,7.420497,47.642434,0,0.38348082595871524
2010-08-09,sz.300095,33.9900,34.8900,33.8300,34.7900,34.0300,2652771,91827311.9900,3,17.004942,1,2.233300,11.817553,58.991113,7.586221,48.706444,0,2.2333235380546546
2010-08-10,sz.300095,34.8500,35.0100,33.4600,33.4600,34.7900,2303886,78637604.5800,3,14.768500,1,-3.822900,11.365775,56.735919,7.296204,46.844427,0,-3.822937625754519
2010-08-11,sz.300095,33.5500,35.2300,33.5500,35.1200,33.4600,3543105,122694636.6900,3,22.712212,1,4.961100,11.929648,59.550672,7.658180,49.168448,0,4.961147638971886
2010-08-12,sz.300095,34.8900,35.3200,34.1000,34.2000,35.1200,2534786,88110781.6000,3,16.248628,1,-2.619600,11.617140,57.990688,7.457567,47.880436,0,-2.6195899772209374
2010-08-13,sz.300095,34.2200,34.7000,33.5800,34.5700,34.2000,1545963,52873217.9800,3,9.910019,1,1.081900,11.742823,58.618073,7.538248,48.398441,0,1.0818713450292394
2010-08-16,sz.300095,34.6100,34.9300,34.3000,34.8200,34.5700,2320162,80369486.4400,3,14.872833,1,0.723200,11.827743,59.041982,7.592763,48.748444,0,0.7231703789412736
2010-08-17,sz.300095,34.8800,35.2800,34.5900,35.0200,34.8200,2019861,70622843.9800,3,12.947827,1,0.574400,11.895680,59.381108,7.636374,49.028446,0,0.5743825387708235
2010-08-18,sz.300095,34.8800,35.0200,34.1100,34.2000,35.0200,1665939,57359700.2800,3,10.679096,1,-2.341500,11.617140,57.990688,7.457567,47.880436,0,-2.3415191319246187
2010-08-19,sz.300095,34.1300,34.3500,33.7700,33.9300,34.2000,1611192,54824803.5600,3,10.328154,1,-0.789500,11.525426,57.532867,7.398691,47.502433,0,-0.7894736842105399
2010-08-20,sz.300095,33.7600,34.1900,33.5100,33.6200,33.9300,1028598,34783158.1000,3,6.593577,1,-0.913600,11.420124,57.007221,7.331094,47.068429,0,-0.9136457412319499
2010-08-23,sz.300095,33.5500,33.6900,33.0600,33.1300,33.6200,1116904,37197546.7800,3,7.159641,1,-1.457500,11.253680,56.176360,7.224245,46.382422,0,-1.4574657941701208
2010-08-24,sz.300095,33.2300,33.9900,33.2000,33.9900,33.1300,1142436,38541885.7500,3,7.323308,1,2.595800,11.545807,57.634605,7.411775,47.586433,0,2.5958345910051195
2010-08-25,sz.300095,33.4600,33.4600,31.3300,31.6200,33.9900,2054908,66739046.4100,3,13.172487,1,-6.972600,10.457788,54.475402,6.876013,92.688509,0,-6.972639011473969
2010-08-26,sz.300095,31.6300,31.9600,30.5100,30.6900,31.6200,1363936,42093699.1400,3,8.743179,1,-2.941200,10.150206,52.873184,6.673777,89.962377,0,-2.941176470588236
2010-08-27,sz.300095,30.5000,30.9700,30.3000,30.9300,30.6900,831121,25550828.8900,3,5.327699,1,0.782000,10.229582,53.286660,6.725967,90.665895,0,0.782013685239491
2010-08-30,sz.300095,31.2800,31.6800,31.0000,31.4400,30.9300,1141687,35809260.7800,3,7.318506,1,1.648900,10.398256,54.165295,6.836870,92.160871,0,1.6488845780795458
2010-08-31,sz.300095,31.4000,31.4400,30.6800,31.1000,31.4400,1397745,43276208.4000,3,8.959904,1,-1.081400,10.285807,53.579538,6.762935,91.164220,0,-1.0814249363867656
2010-09-01,sz.300095,31.0800,31.4100,30.6000,30.8300,31.1000,1080714,33520672.6600,3,6.927654,1,-0.868200,10.196509,53.114378,6.704221,90.372762,0,-0.8681672025723564
2010-09-02,sz.300095,30.9400,31.4000,30.6400,31.1000,30.8300,1480573,45963890.7500,3,9.490853,1,0.875800,10.285807,53.579538,6.762935,91.164220,0,0.8757703535517525
2010-09-03,sz.300095,31.1000,31.9500,31.1000,31.6300,31.1000,1594690,50381192.7600,3,10.222372,1,1.704200,10.461096,54.492630,6.878187,92.717823,0,1.7041800643086802
2010-09-06,sz.300095,31.6600,31.8600,31.1000,31.1600,31.6300,1048054,32838146.6600,3,6.718295,1,-1.485900,10.305651,53.682907,6.775982,91.340100,0,-1.485931078090419
2010-09-07,sz.300095,31.1600,31.7000,31.1200,31.5900,31.1600,685925,21573707.6600,3,4.396955,1,1.380000,10.447866,54.423717,6.869489,92.600570,0,1.3799743260590525
2010-09-08,sz.300095,31.5900,31.5900,31.1700,31.3000,31.5900,757168,23672962.6000,3,4.853641,1,-0.918015,10.351954,53.924101,6.806426,91.750485,0,-0.9180120291231386
2010-09-09,sz.300095,31.3500,31.5500,30.4100,30.6400,31.3000,1051112,32679987.4400,3,6.737897,1,-2.108600,10.133670,52.787043,6.662904,89.815811,0,-2.1086261980830634
2010-09-10,sz.300095,30.6400,30.6400,30.6400,30.6400,30.6400,0,0.0000,3,,0,0.000000,10.133670,52.787043,6.662904,89.815811,0,0.0
2010-09-13,sz.300095,30.3100,30.8500,30.3100,30.7500,30.6400,837584,25642595.0100,3,5.369128,1,0.359000,10.170050,52.976553,6.686824,90.138256,0,0.35900783289817273
2010-09-14,sz.300095,30.8000,30.8800,30.3100,30.4000,30.7500,951027,28962774.7900,3,6.096327,1,-1.138200,10.054294,52.373568,6.610714,89.112292,0,-1.1382113821138296
2010-09-15,sz.300095,30.4000,30.6000,28.1900,28.2900,30.4000,1975178,57086635.4600,3,12.661397,1,-6.940800,9.356446,48.738429,6.151878,82.927196,0,-6.940789473684205
2010-09-16,sz.300095,28.3000,28.6900,28.1400,28.4900,28.2900,949737,26980642.7300,3,6.088058,1,0.707000,9.422593,49.082992,6.195370,83.513461,0,0.7069635913750316
2010-09-17,sz.300095,28.6000,28.6000,27.8700,27.9100,28.4900,600120,16946176.4100,3,3.846923,1,-2.035800,9.230768,48.083759,6.069244,81.813292,0,-2.0358020358020257
2010-09-20,sz.300095,28.0000,28.1800,26.5500,26.6000,27.9100,906813,24441948.8600,3,5.812904,1,-4.693700,8.797507,45.826872,5.784375,77.973256,0,-4.693658187029737
2010-09-21,sz.300095,26.7900,26.7900,25.8500,25.9700,26.6000,651080,16972677.0100,3,4.173590,1,-2.368400,8.589145,44.741499,5.647377,76.126521,0,-2.3684210526315863
2010-09-27,sz.300095,26.0400,26.4800,25.9000,26.4700,25.9700,502070,13189044.9000,3,3.218397,1,1.925300,8.754512,45.602906,5.756105,77.592184,0,1.9252984212552837
2010-09-28,sz.300095,26.4600,26.4600,25.9000,25.9400,26.4700,601277,15709313.8000,3,3.854340,1,-2.002300,8.579223,44.689814,5.640853,76.038581,0,-2.002266717038148
2010-09-29,sz.300095,25.9500,26.2600,25.9500,26.0100,25.9400,463809,12105225.6300,3,2.973135,1,0.269900,8.602374,44.810411,5.656075,76.243774,0,0.2698535080956077
2010-09-30,sz.300095,25.9600,26.6900,25.9400,26.5500,26.0100,544742,14382070.8600,3,3.491936,1,2.076100,8.780970,45.740731,5.773502,77.826690,0,2.076124567474036
2010-10-08,sz.300095,26.7100,27.2600,26.4200,27.0800,26.5500,652857,17571091.5200,3,4.184981,1,1.996200,8.956259,46.653823,5.888755,79.380292,0,1.9962335216572313
2010-10-11,sz.300095,27.0800,27.1500,26.6200,26.8100,27.0800,657799,17639159.9400,3,4.216660,1,-0.997000,8.866961,46.188663,5.830041,78.588834,0,-0.9970457902511054
2010-10-12,sz.300095,26.8200,27.1800,26.8000,26.8800,26.8100,633258,17061159.2600,3,4.059346,1,0.261100,8.890112,46.309260,5.845263,78.794027,0,0.26109660574411553
2010-10-13,sz.300095,26.8400,27.0000,26.3300,26.8600,26.8800,660701,17573385.8600,3,4.235263,1,-0.074400,8.883498,46.274804,5.840914,78.735401,0,-0.07440476190475609
2010-10-14,sz.300095,26.9200,27.2800,26.6100,26.6200,26.8600,713617,19195849.3000,3,4.574468,1,-0.893500,8.804122,45.861328,5.788724,78.031882,0,-0.8935219657483229
2010-10-15,sz.300095,26.4600,26.4600,25.9700,26.1400,26.6200,813042,21260376.5700,3,5.211808,1,-1.803200,8.645370,45.034377,5.684344,76.624846,0,-1.8031555221637907
2010-10-18,sz.300095,26.0000,26.0800,24.8100,25.3400,26.1400,1015075,25676184.3600,3,6.506891,1,-3.060400,8.380783,43.656125,5.510378,74.279786,0,-3.0604437643458327
2010-10-19,sz.300095,25.3100,27.2500,25.3100,27.0000,25.3400,1693789,45022006.8000,3,10.857622,1,6.550900,8.929800,46.515998,5.871358,79.145786,0,6.550907655880023
2010-10-20,sz.300095,26.7000,27.7300,26.3300,26.8200,27.0000,1113668,30113720.7900,3,7.138897,1,-0.666700,8.870268,46.205891,5.832216,78.618147,0,-0.666666666666671
2010-10-21,sz.300095,26.8100,26.8100,26.1100,26.4500,26.8200,563919,14878353.8200,3,3.614865,1,-1.379600,8.747897,45.568450,5.751756,77.533557,0,-1.3795674869500396
