date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-08-27,sz.300112,25.0000,25.6000,23.5100,25.1000,17.4300,11339598,277240333.2200,3,78.747208,1,44.004590,14.885075,68.098478,13.190455,269.679931,0,
2010-08-30,sz.300112,24.6200,25.4900,24.2100,24.8900,25.1000,6585671,163848992.6900,3,45.733826,1,-0.836700,14.760538,67.528730,13.080097,267.423644,0,-0.8366533864541892
2010-08-31,sz.300112,24.4200,26.8500,24.3000,25.9500,24.8900,6021445,153109260.1000,3,41.815590,1,4.258700,15.389151,70.404601,13.637144,278.812518,0,4.258738449176369
2010-09-01,sz.300112,25.6000,25.8800,24.0300,24.4800,25.9500,4797737,119650120.0700,3,33.317618,1,-5.664700,14.517396,66.416364,12.864635,263.018514,0,-5.664739884393056
2010-09-02,sz.300112,24.5900,26.2500,24.4000,26.0500,24.4800,4641641,118063486.9500,3,32.233618,1,6.413400,15.448454,70.675910,13.689695,279.886940,0,6.413398692810457
2010-09-03,sz.300112,26.1000,27.4900,25.6000,26.1200,26.0500,5177093,137533067.6900,3,35.952035,1,0.268700,15.489966,70.865826,13.726481,280.639035,0,0.26871401151631336
2010-09-06,sz.300112,26.0100,26.3800,24.8400,25.5500,26.1200,3258634,83200757.4600,3,22.629403,1,-2.182200,15.151939,69.319367,13.426937,274.514830,0,-2.1822358346094917
2010-09-07,sz.300112,25.2200,25.9900,25.2200,25.7200,25.5500,1800611,46257587.5800,3,12.504243,1,0.665400,15.252754,69.780592,13.516275,276.341347,0,0.6653620352250478
2010-09-08,sz.300112,25.6700,25.6700,25.2200,25.4100,25.7200,1550072,39377013.0800,3,10.764389,1,-1.205286,15.068914,68.939535,13.353365,273.010639,0,-1.2052877138413631
2010-09-09,sz.300112,25.4300,25.9700,24.9800,25.0800,25.4100,1643040,41865522.1900,3,11.410000,1,-1.298700,14.873214,68.044216,13.179945,269.465046,0,-1.2987012987013102
2010-09-10,sz.300112,25.0000,25.4000,24.5400,25.1400,25.0800,1389126,34699330.9100,3,9.646708,1,0.239200,14.908796,68.207001,13.211476,270.109699,0,0.23923444976077235
2010-09-13,sz.300112,25.1800,27.6500,25.1800,27.6500,25.1400,4357385,116838523.4800,3,30.259618,1,9.984100,16.397303,75.016849,14.530521,297.077693,0,9.984089101034211
2010-09-14,sz.300112,28.1800,28.2000,26.4700,26.6300,27.6500,4400071,119198899.2300,3,30.556049,1,-3.689000,15.792412,72.249500,13.994495,286.118588,0,-3.688969258589514
2010-09-15,sz.300112,26.6000,26.9700,25.6000,25.9300,26.6300,2305945,60384880.5700,3,16.013507,1,-2.628600,15.377290,70.350340,13.626633,278.597634,0,-2.6286143447239896
2010-09-16,sz.300112,25.8800,26.1200,25.1000,25.3900,25.9300,1534560,38972662.5200,3,10.656667,1,-2.082500,15.057054,68.885273,13.342855,272.795755,0,-2.0825298881604337
2010-09-17,sz.300112,25.4200,25.6800,25.0100,25.1200,25.3900,782955,19796829.0500,3,5.437188,1,-1.063400,14.896935,68.152739,13.200965,269.894815,0,-1.0634107916502544
2010-09-20,sz.300112,24.9500,25.2800,23.9200,24.0000,25.1200,1174034,28993303.1100,3,8.153014,1,-4.458600,14.232741,65.114082,12.612387,257.861288,0,-4.458598726114649
2010-09-21,sz.300112,24.0000,24.2600,23.4800,23.6500,24.0000,996098,23707324.2000,3,6.917347,1,-1.458300,14.025180,64.164502,12.428457,254.100811,0,-1.4583333333333393
