date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-02-15,sz.300176,21.8800,22.0000,20.2000,20.6000,16.2800,13973973,290738036.2700,3,77.633183,1,26.535620,13.534070,43.282416,4.768195,-158.322078,0,
2011-02-16,sz.300176,20.3200,22.5900,20.2000,22.0100,20.6000,9945338,214081014.1900,3,55.251878,1,6.844700,14.460431,46.244950,5.094562,-169.158686,0,6.8446601941747565
2011-02-17,sz.300176,21.7100,22.0000,21.0500,21.3600,22.0100,5859822,125753895.3200,3,32.554567,1,-2.953200,14.033385,44.879243,4.944109,-164.163086,0,-2.9532030895047745
2011-02-18,sz.300176,21.3000,21.6000,20.8200,21.4500,21.3600,3957278,83659315.0500,3,21.984878,1,0.421300,14.092514,45.068341,4.964941,-164.854785,0,0.4213483146067398
2011-02-21,sz.300176,21.2100,21.6900,21.1100,21.3800,21.4500,3285561,70362370.3200,3,18.253117,1,-0.326300,14.046525,44.921264,4.948738,-164.316797,0,-0.32634032634032417
2011-02-22,sz.300176,21.2100,21.3200,19.9400,19.9900,21.3800,4290592,88096595.9800,3,23.836622,1,-6.501400,13.133304,42.000752,4.627001,-153.633900,0,-6.501403180542564
2011-02-23,sz.300176,19.8900,20.1400,19.8100,20.0100,19.9900,2005423,40117084.1100,3,11.141239,1,0.100100,13.146443,42.042774,4.631630,-153.787610,0,0.10005002501252136
2011-02-24,sz.300176,20.0600,20.3300,19.9500,20.2100,20.0100,1455114,29363432.1400,3,8.083967,1,0.999500,13.277842,42.462991,4.677923,-155.324718,0,0.9995002498750516
2011-02-25,sz.300176,20.1900,20.3300,19.8600,20.1300,20.2100,1053518,21127114.8000,3,5.852878,1,-0.395800,13.225283,42.294904,4.659406,-154.709875,0,-0.39584364176151743
2011-02-28,sz.300176,20.1200,20.4800,20.0300,20.4500,20.1300,1315581,26693171.0600,3,7.308783,1,1.589700,13.435521,42.967252,4.733475,-157.169247,0,1.589667163437647
