date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-02-15,sz.300177,62.0000,65.0000,58.0200,58.0300,46.8000,7511100,456762858.6700,3,75.111000,1,23.995730,22.255229,61.603365,11.783985,772.983280,0,
2011-02-16,sz.300177,57.4000,59.4000,55.8100,58.9100,58.0300,3344919,192186386.0200,3,33.449190,1,1.516500,22.592720,62.537553,11.962684,784.705239,0,1.5164570049974069
2011-02-17,sz.300177,58.5100,59.8600,58.0600,58.5100,58.9100,1690369,99374940.5200,3,16.903690,1,-0.679000,22.439315,62.112922,11.881458,779.377076,0,-0.6790018672551357
2011-02-18,sz.300177,58.1400,60.5000,57.1200,60.2500,58.5100,2319883,136445975.4200,3,23.198830,1,2.973900,23.106627,63.960068,12.234794,802.554586,0,2.9738506238249807
2011-02-21,sz.300177,59.6900,61.6600,59.5200,59.9000,60.2500,1969742,119002381.6800,3,19.697420,1,-0.580900,22.972397,63.588515,12.163721,797.892443,0,-0.5809128630705374
2011-02-22,sz.300177,59.5800,60.0000,57.2100,57.3500,59.9000,1358369,79339748.1100,3,13.583690,1,-4.257100,21.994441,60.881492,11.645900,763.925402,0,-4.257095158597657
2011-02-23,sz.300177,56.2400,58.4600,56.2000,58.2900,57.3500,928911,53344420.9600,3,9.289110,1,1.639100,22.354942,61.879375,11.836783,776.446586,0,1.6390584132519592
2011-02-24,sz.300177,58.0000,58.3400,57.2100,57.5100,58.2900,666692,38472726.7900,3,6.666920,1,-1.338100,22.055803,61.051344,11.678390,766.056668,0,-1.3381369016984057
2011-02-25,sz.300177,57.3700,57.7000,56.1200,56.5200,57.5100,579295,32766355.3200,3,5.792950,1,-1.721400,21.676125,60.000382,11.477354,752.869464,0,-1.7214397496087552
2011-02-28,sz.300177,56.6000,57.2000,56.3000,57.1000,56.5200,377573,21476708.4000,3,3.775730,1,1.026200,21.898562,60.616097,11.595133,760.595300,0,1.0261854210898758
2011-03-01,sz.300177,56.9300,57.6800,56.5800,56.6100,57.1000,546407,31150376.9000,3,5.464070,1,-0.858140,21.710641,60.095924,11.495630,754.068300,0,-0.8581436077057858
2011-03-02,sz.300177,56.8000,58.2100,56.3300,57.8500,56.6100,926632,53297323.6700,3,9.266320,1,2.190400,22.186197,61.412281,11.747433,770.585606,0,2.1904257198374966
