date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-03-08,sz.300185,24.0000,24.8800,23.5100,24.3900,25.0000,24521080,593212862.0500,3,34.057056,1,-2.440002,7.931243,44.601241,7.788748,-109.244040,0,
2011-03-09,sz.300185,25.3000,26.0000,25.0100,25.7000,24.3900,32319618,821845559.4600,3,44.888358,1,5.371100,8.357235,46.996798,8.207085,-115.111596,0,5.371053710537099
2011-03-10,sz.300185,25.5000,26.2000,25.2600,25.5100,25.7000,18361513,471328915.6400,3,25.502101,1,-0.739300,8.295450,46.649350,8.146411,-114.260577,0,-0.7392996108949279
2011-03-11,sz.300185,25.5200,26.2800,25.3700,25.7300,25.5100,13693863,354309948.6900,3,19.019254,1,0.862400,8.366990,47.051658,8.216666,-115.245968,0,0.8624068992551859
2011-03-14,sz.300185,25.5000,25.7600,25.0100,25.4100,25.7300,11590798,293620629.7000,3,16.098331,1,-1.243700,8.262931,46.466484,8.114476,-113.812672,0,-1.243684415079671
2011-03-15,sz.300185,25.3500,25.4500,24.5500,25.2000,25.4100,9386753,234933388.1600,3,13.037157,1,-0.826400,8.194643,46.082463,8.047415,-112.872071,0,-0.8264462809917439
2011-03-16,sz.300185,25.2000,25.8400,24.9000,25.6600,25.2000,7746722,196458019.8500,3,10.759336,1,1.825400,8.344227,46.923651,8.194312,-114.932434,0,1.825396825396819
2011-03-17,sz.300185,25.4100,25.4100,24.0000,24.1500,25.6600,13498260,332532701.8800,3,18.747583,1,-5.884600,7.853199,44.162360,7.712106,-108.169068,0,-5.884645362431806
2011-03-18,sz.300185,24.4000,24.5500,24.1200,24.1700,24.1500,4488171,108863184.9000,3,6.233571,1,0.082800,7.859703,44.198934,7.718492,-108.258649,0,0.08281573498967187
2011-03-21,sz.300185,24.2600,24.4700,24.0000,24.3000,24.1700,3069910,74506904.8500,3,4.263764,1,0.537900,7.901977,44.436661,7.760007,-108.840926,0,0.5378568473314083
2011-03-22,sz.300185,24.3800,24.4000,23.5800,23.9000,24.3000,5466903,130411602.7100,3,7.592921,1,-1.646100,7.771903,43.705193,7.632270,-107.049305,0,-1.6460905349794275
2011-03-23,sz.300185,24.0900,24.2700,23.9800,24.1200,23.9000,2986899,72085995.3200,3,4.148471,1,0.920500,7.843444,44.107500,7.702525,-108.034696,0,0.9205020920502127
2011-03-24,sz.300185,24.1400,24.2800,23.9000,23.9000,24.1200,3425155,82437028.3800,3,4.757160,1,-0.912100,7.771903,43.705193,7.632270,-107.049305,0,-0.9121061359867455
2011-03-25,sz.300185,23.7700,24.1300,23.7700,23.9500,23.9000,3042304,72881167.3200,3,4.225422,1,0.209200,7.788162,43.796627,7.648237,-107.273258,0,0.20920502092049986
2011-03-28,sz.300185,24.0000,24.0500,23.5700,23.6400,23.9500,3885305,92270297.6500,3,5.396257,1,-1.294400,7.687355,43.229739,7.549241,-105.884752,0,-1.2943632567849583
2011-03-29,sz.300185,23.6000,23.7000,22.5400,22.6300,23.6400,5764957,132235792.3300,3,8.006885,1,-4.272400,7.358919,41.382783,7.226706,-101.360911,0,-4.27241962774958
2011-03-30,sz.300185,22.5300,22.6700,21.6300,21.9000,22.6300,3969517,87587568.8900,3,5.513218,1,-3.225800,7.121535,40.047855,6.993586,-98.091205,0,-3.2258064516129004
2011-03-31,sz.300185,22.1000,22.3800,21.9300,22.1500,21.9000,2167634,48084693.8800,3,3.010603,1,1.141600,7.202831,40.505022,7.073422,-99.210967,0,1.1415525114155223
2011-04-01,sz.300185,22.1100,22.4100,21.9900,22.3800,22.1500,1772676,39416082.7200,3,2.462050,1,1.038400,7.277623,40.925616,7.146871,-100.241149,0,1.0383747178329683
2011-04-06,sz.300185,22.2600,22.3400,21.8800,22.0000,22.3800,2468872,54365350.5900,3,3.428989,1,-1.697900,7.154053,40.230722,7.025521,-98.539110,0,-1.6979445933869464
2011-04-07,sz.300185,21.9500,22.2000,21.9000,22.0800,22.0000,1719395,37875914.4900,3,2.388049,1,0.363600,7.180068,40.377015,7.051068,-98.897434,0,0.363636363636366
2011-04-08,sz.300185,22.0000,22.2700,21.9600,22.2700,22.0800,2015668,44608701.3800,3,2.799539,1,0.860500,7.241853,40.724462,7.111743,-99.748453,0,0.8605072463768071
2011-04-11,sz.300185,22.2700,22.4700,21.7300,21.8500,22.2700,2865313,62971654.1500,3,3.979601,1,-1.885900,7.105275,39.956421,6.977619,-97.867252,0,-1.8859452177817593
