date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-04-07,sz.300200,21.8800,22.0800,20.7000,20.8300,21.8800,6074517,128651353.5100,3,28.253567,1,-4.798900,16.006814,56.555364,6.578133,67.513000,0,
2011-04-08,sz.300200,20.6800,21.3800,20.3500,21.0200,20.8300,2933354,61122761.8300,3,13.643507,1,0.912100,16.152819,57.071231,6.638135,68.128817,0,0.9121459433509393
2011-04-11,sz.300200,21.0000,21.0000,20.4700,20.4900,21.0200,1825860,37624613.4900,3,8.492372,1,-2.521400,15.745541,55.632233,6.470760,66.411011,0,-2.5214081826831602
2011-04-12,sz.300200,20.3100,20.7000,20.3000,20.7000,20.4900,892462,18303636.1500,3,4.150986,1,1.024900,15.906915,56.202402,6.537079,67.091651,0,1.024890190336758
2011-04-13,sz.300200,20.5700,20.9400,20.5100,20.8100,20.7000,1154330,24028049.5600,3,5.368977,1,0.531400,15.991445,56.501062,6.571817,67.448177,0,0.5314009661835817
2011-04-14,sz.300200,20.7900,20.9400,20.5100,20.5500,20.8100,830865,17134026.0000,3,3.864488,1,-1.249400,15.791648,55.795138,6.489708,66.605480,0,-1.2493993272465032
2011-04-15,sz.300200,20.5100,20.6500,20.4100,20.5100,20.5500,494232,10125914.7000,3,2.298753,1,-0.194600,15.760910,55.686535,6.477076,66.475834,0,-0.1946472019464629
2011-04-18,sz.300200,20.5100,20.8000,20.4000,20.7200,20.5100,787377,16242342.3600,3,3.662219,1,1.023900,15.922284,56.256704,6.543395,67.156474,0,1.0238907849829282
2011-04-19,sz.300200,20.6800,20.6800,20.0000,20.1300,20.7200,1225377,24844455.4700,3,5.699428,1,-2.847500,15.468899,54.654800,6.357072,65.244200,0,-2.8474903474903446
2011-04-20,sz.300200,20.2000,20.2700,20.0500,20.2200,20.1300,414229,8363029.2200,3,1.926647,1,0.447100,15.538059,54.899158,6.385494,65.535903,0,0.44709388971684305
2011-04-21,sz.300200,20.2400,20.3200,20.1500,20.1700,20.2200,488669,9875760.2500,3,2.272879,1,-0.247300,15.499637,54.763403,6.369704,65.373846,0,-0.2472799208704135
2011-04-22,sz.300200,20.1300,20.1900,20.0500,20.0600,20.1700,428541,8619880.5700,3,1.993214,1,-0.545400,15.415107,54.464743,6.334966,65.017320,0,-0.5453644025780968
2011-04-25,sz.300200,20.0600,20.1400,19.8100,19.8300,20.0600,488643,9718019.9800,3,2.272758,1,-1.146600,15.238364,53.840272,6.262332,64.271857,0,-1.1465603190428775
2011-04-26,sz.300200,19.7100,19.8500,19.3800,19.3800,19.8300,479900,9385771.1600,3,2.232093,1,-2.269300,3.032644,52.295157,5.855790,3.982055,0,-2.26928895612708
2011-04-27,sz.300200,19.3700,19.5700,18.9900,19.0000,19.3800,397400,7641012.5200,3,1.848372,1,-1.960800,2.973180,51.269762,5.740971,3.903975,0,-1.9607843137254832
2011-04-28,sz.300200,19.0400,19.2000,18.5600,18.5700,19.0000,382950,7203062.2000,3,1.781163,1,-2.263200,2.905893,50.109446,5.611044,3.815622,0,-2.2631578947368447
2011-04-29,sz.300200,18.6100,18.9300,18.5700,18.8300,18.5700,222525,4176729.7600,3,1.035000,1,1.400100,2.946578,50.811033,5.689604,3.869045,0,1.4001077005923346
2011-05-03,sz.300200,18.8500,18.9400,18.7200,18.9100,18.8300,186807,3517989.5600,3,0.868870,1,0.424900,2.959097,51.026905,5.713777,3.885483,0,0.4248539564524867
2011-05-04,sz.300200,18.9300,18.9300,18.4300,18.4400,18.9100,281662,5239715.2000,3,1.310056,1,-2.485500,2.885550,49.758653,5.571763,3.788911,0,-2.485457429931248
2011-05-05,sz.300200,18.4100,18.5800,18.0600,18.4300,18.4400,503991,9230379.9500,3,2.344144,1,-0.054200,2.883985,49.731669,5.568742,3.786856,0,-0.05422993492408823
2011-05-06,sz.300200,18.2200,18.4300,18.1100,18.3400,18.4300,244931,4474020.3900,3,1.139214,1,-0.488300,2.869902,49.488813,5.541548,3.768363,0,-0.48833423765599626
2011-05-09,sz.300200,18.3400,18.5200,18.3400,18.4200,18.3400,224617,4140367.3400,3,1.044730,1,0.436200,2.882420,49.704685,5.565720,3.784801,0,0.4362050163577047
2011-05-10,sz.300200,18.4300,18.5100,18.1900,18.4100,18.4200,184662,3384369.5700,3,0.858893,1,-0.054300,2.880855,49.677701,5.562699,3.782746,0,-0.054288816503811343
2011-05-11,sz.300200,18.3100,18.4800,18.3000,18.4200,18.4100,210227,3871976.8800,3,0.977800,1,0.054300,2.882420,49.704685,5.565720,3.784801,0,0.05431830526887449
2011-05-12,sz.300200,18.3000,18.4700,18.3000,18.3500,18.4200,193190,3551107.2400,3,0.898558,1,-0.380000,2.871466,49.515797,5.544569,3.770418,0,-0.3800217155266017
2011-05-13,sz.300200,18.3600,18.7500,18.3100,18.7100,18.3500,333871,6187931.7100,3,1.552888,1,1.961900,2.927800,50.487224,5.653345,3.844388,0,1.961852861035429
2011-05-16,sz.300200,18.7100,19.3800,18.7100,19.2700,18.7100,868579,16607139.0600,3,4.039902,1,2.993100,3.015431,51.998332,5.822553,3.959453,0,2.993051843933725
2011-05-17,sz.300200,19.1200,19.1700,18.7600,18.8200,19.2700,310390,5869044.3800,3,1.443674,1,-2.335200,2.945013,50.784049,5.686583,3.866990,0,-2.3352361183186288
2011-05-18,sz.300200,18.7900,18.9200,18.7000,18.7400,18.8200,244391,4597384.8500,3,1.136702,1,-0.425100,2.932495,50.568176,5.662410,3.850552,0,-0.4250797024442199
2011-05-19,sz.300200,18.7100,18.8000,18.5900,18.5900,18.7400,278100,5200264.0000,3,1.293488,1,-0.800400,2.909022,50.163415,5.617087,3.819731,0,-0.8004268943436421
2011-05-20,sz.300200,18.5500,18.6000,18.2700,18.2800,18.5900,238600,4388441.0000,3,1.109767,1,-1.667600,2.860513,49.326908,5.523418,3.756035,0,-1.6675632060247358
2011-05-23,sz.300200,18.1500,18.2500,17.8300,17.8300,18.2800,261900,4718175.2900,3,1.218140,1,-2.461700,2.790095,48.112624,5.387448,3.663572,0,-2.4617067833698214
2011-05-24,sz.300200,17.6600,18.1400,17.4100,18.0100,17.8300,305753,5447847.2100,3,1.422107,1,1.009500,2.818262,48.598338,5.441836,3.700557,0,1.00953449242851
2011-05-25,sz.300200,18.0000,18.0900,17.4600,17.4600,18.0100,194300,3442005.0000,3,0.903721,1,-3.053900,2.732196,47.114213,5.275650,3.587548,0,-3.0538589672404304
2011-05-26,sz.300200,17.5600,17.8000,17.4200,17.4600,17.4600,154150,2707442.0000,3,0.716977,1,0.000000,2.732196,47.114213,5.275650,3.587548,0,0.0
