date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-05-05,sz.300212,28.0100,28.8800,27.2000,27.7000,30.4600,3791838,105874835.3800,3,27.881162,1,-9.061059,14.415801,48.797870,7.056538,-135.396107,0,
2011-05-06,sz.300212,27.0000,27.6800,26.7800,27.1100,27.7000,1558103,42321493.9800,3,11.456640,1,-2.130000,14.108749,47.758493,6.906236,-132.512219,0,-2.1299638989169645
2011-05-09,sz.300212,27.0800,27.7500,27.0800,27.7400,27.1100,871022,23923591.9500,3,6.404574,1,2.323900,14.436618,48.868337,7.066728,-135.591625,0,2.323865732202135
2011-05-10,sz.300212,27.6700,27.7000,27.2600,27.5100,27.7400,526994,14465639.2000,3,3.874956,1,-0.829100,14.316920,48.463156,7.008136,-134.467397,0,-0.8291276135544257
2011-05-11,sz.300212,27.5000,27.6200,27.2800,27.3700,27.5100,437785,12012704.4300,3,3.219007,1,-0.508900,14.244060,48.216524,6.972471,-133.783084,0,-0.5089058524173073
2011-05-12,sz.300212,27.3000,28.1400,27.3000,27.4000,27.3700,1049959,29173977.7400,3,7.720287,1,0.109600,14.259673,48.269374,6.980113,-133.929723,0,0.1096090610156919
2011-05-13,sz.300212,27.3900,28.0000,27.2900,27.9000,27.4000,869697,24014315.5400,3,6.394831,1,1.824800,14.519886,49.150202,7.107488,-136.373696,0,1.8248175182481674
2011-05-16,sz.300212,27.8800,29.1800,27.7800,28.4200,27.9000,1274118,36463845.8500,3,9.368515,1,1.863800,14.790507,50.066263,7.239957,-138.915428,0,1.863799283154144
2011-05-17,sz.300212,28.4000,29.1700,28.0000,28.4400,28.4200,932104,26590937.3300,3,6.853706,1,0.070400,14.800916,50.101496,7.245052,-139.013187,0,0.07037297677692234
2011-05-18,sz.300212,28.1500,28.4200,27.5000,27.7000,28.4400,796223,22161292.8400,3,5.854581,1,-2.602000,14.415801,48.797870,7.056538,-135.396107,0,-2.6019690576652654
2011-05-19,sz.300212,27.7000,27.8400,27.2700,27.3800,27.7000,514784,14168069.1900,3,3.785176,1,-1.155200,14.249264,48.234141,6.975018,-133.831964,0,-1.1552346570397165
2011-05-20,sz.300212,27.3100,27.4900,27.2100,27.3100,27.3800,285680,7801588.5000,3,2.100588,1,-0.255700,14.212834,48.110825,6.957186,-133.489808,0,-0.2556610664718795
2011-05-23,sz.300212,27.1600,27.4900,26.5200,26.5200,27.3100,519668,14004026.8100,3,3.821088,1,-2.892700,13.801698,46.719116,6.755935,-129.628330,0,-2.892713291834492
2011-05-24,sz.300212,26.2000,27.5400,25.8800,27.2100,26.5200,634408,16975789.0300,3,4.664765,1,2.601800,14.160792,47.934659,6.931711,-133.001013,0,2.601809954751144
2011-05-25,sz.300212,26.9100,27.1500,26.1200,26.1500,27.2100,431100,11407703.3800,3,3.169853,1,-3.895600,13.609140,46.067304,6.661678,-127.819790,0,-3.895626607864766
2011-05-26,sz.300212,26.3000,26.6600,25.9000,25.9800,26.1500,187719,4910139.9600,3,1.380287,1,-0.650100,13.520668,45.767822,6.618370,-126.988839,0,-0.6500956022944426
2011-05-27,sz.300212,25.9400,26.3800,25.5800,25.7800,25.9800,203946,5306464.1000,3,1.499603,1,-0.769800,13.416583,45.415491,6.567421,-126.011250,0,-0.7698229407236301
2011-05-30,sz.300212,25.6900,26.1000,25.3800,25.6900,25.7800,256509,6600787.1400,3,1.886096,1,-0.349100,13.369744,45.256942,6.544493,-125.571335,0,-0.3491078355314148
2011-05-31,sz.300212,25.8000,26.0700,25.5200,26.0000,25.6900,191242,4943990.1300,3,1.406191,1,1.206700,13.531076,45.803055,6.623465,-127.086598,0,1.2066952121448038
2011-06-01,sz.300212,26.0000,26.4000,25.8300,26.3000,26.0000,209971,5490404.5400,3,1.543904,1,1.153800,13.687204,46.331552,6.699890,-128.552982,0,1.1538461538461497
2011-06-02,sz.300212,26.0200,26.3600,25.6900,26.3000,26.3000,315924,8223887.5000,3,2.322971,1,0.000000,13.687204,46.331552,6.699890,-128.552982,0,0.0
2011-06-03,sz.300212,26.2100,26.4900,26.2100,26.3400,26.3000,167900,4429181.5100,3,1.234559,1,0.152100,13.708021,46.402018,6.710080,-128.748500,0,0.1520912547528397
2011-06-07,sz.300212,26.3000,26.5700,26.3000,26.5500,26.3400,148180,3923703.2200,3,1.089559,1,0.797300,13.817311,46.771966,6.763577,-129.774969,0,0.7972665148063829
2011-06-08,sz.300212,26.3400,26.5500,26.0000,26.3900,26.5500,202822,5319139.0000,3,1.491338,1,-0.602600,13.734042,46.490101,6.722817,-128.992897,0,-0.6026365348399287
2011-06-09,sz.300212,26.3800,26.4800,25.9000,25.9300,26.3900,146189,3831763.1000,3,1.074919,1,-1.743100,13.494647,45.679739,6.605633,-126.744442,0,-1.7430845017051944
2011-06-10,sz.300212,26.0000,26.2700,25.7500,26.1500,25.9300,163311,4238771.5700,3,1.200816,1,0.848400,13.609140,46.067304,6.661678,-127.819790,0,0.8484381025838816
2011-06-13,sz.300212,25.9900,26.3200,25.4100,26.2700,26.1500,104680,2727708.0000,3,0.769706,1,0.458900,13.671591,46.278702,6.692247,-128.406344,0,0.4588910133843216
