date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-06-08,sz.300227,17.3000,17.5400,15.8000,16.4300,12.9800,12092468,201323408.7300,3,88.266190,1,26.579360,11.427511,48.779721,9.163825,-2808.801768,0,
2011-06-09,sz.300227,16.0500,16.6800,15.4400,15.5700,16.4300,6977082,111977025.3900,3,50.927606,1,-5.234300,10.829358,46.226431,8.684160,-2661.779886,0,-5.234327449786969
2011-06-10,sz.300227,15.3900,15.8500,15.2000,15.7200,15.5700,4371148,67915133.3700,3,31.906190,1,0.963400,10.933687,46.671772,8.767822,-2687.423237,0,0.9633911368015502
2011-06-13,sz.300227,15.4300,15.8600,15.3500,15.6400,15.7200,2516883,39228033.6600,3,18.371409,1,-0.508900,10.878044,46.434257,8.723202,-2673.746783,0,-0.5089058524173073
2011-06-14,sz.300227,15.5900,15.8000,15.5300,15.6000,15.6400,2590405,40554327.0700,3,18.908066,1,-0.255800,10.850223,46.315499,8.700893,-2666.908556,0,-0.2557544757033292
2011-06-15,sz.300227,15.6000,15.6500,15.1100,15.1900,15.6000,2244016,34506007.5400,3,16.379679,1,-2.628200,10.565057,45.098233,8.472215,-2596.816729,0,-2.62820512820513
2011-06-16,sz.300227,15.0500,15.3000,14.9800,15.1900,15.1900,1245517,18862217.3400,3,9.091365,1,0.000000,10.565057,45.098233,8.472215,-2596.816729,0,0.0
2011-06-17,sz.300227,15.2000,15.2100,14.8000,14.8200,15.1900,1165051,17466428.5500,3,8.504022,1,-2.435800,10.307712,43.999724,8.265848,-2533.563128,0,-2.4358130348913654
2011-06-20,sz.300227,14.7900,14.9000,14.5500,14.8900,14.8200,973267,14331508.4900,3,7.104139,1,0.472300,10.356399,44.207550,8.304890,-2545.530026,0,0.47233468286100866
2011-06-21,sz.300227,14.9500,15.3000,14.8200,15.2500,14.8900,1466643,22181770.9800,3,10.705423,1,2.417700,10.606789,45.276369,8.505680,-2607.074069,0,2.417730020147757
2011-06-22,sz.300227,15.1200,15.2000,14.8000,14.9100,15.2500,880781,13193747.0800,3,6.429058,1,-2.229500,10.370310,44.266929,8.316045,-2548.949139,0,-2.229508196721308
2011-06-23,sz.300227,14.8400,15.6600,14.7000,15.5400,14.9100,1895188,29028339.2600,3,13.833489,1,4.225400,10.808492,46.137363,8.667428,-2656.651216,0,4.225352112676051
2011-06-24,sz.300227,15.4100,16.2400,15.4100,15.9300,15.5400,2675987,42331529.9600,3,19.532752,1,2.509700,11.079747,47.295250,8.884950,-2723.323929,0,2.5096525096525157
2011-06-27,sz.300227,15.9300,16.2700,15.8100,15.9500,15.9300,1818657,29141977.8400,3,13.274869,1,0.125500,11.093658,47.354629,8.896105,-2726.743043,0,0.12554927809165228
2011-06-28,sz.300227,15.9500,16.2800,15.8300,16.1700,15.9500,1147329,18416960.8600,3,8.374664,1,1.379300,11.246674,48.007796,9.018810,-2764.353292,0,1.3793103448276112
2011-06-29,sz.300227,16.2000,16.2800,15.6500,15.6600,16.1700,1218110,19401353.8200,3,8.891314,1,-3.154000,10.891955,46.493636,8.734357,-2677.165897,0,-3.153988868274593
2011-06-30,sz.300227,15.7000,15.9900,15.6600,15.8000,15.6600,882018,13972613.2600,3,6.438088,1,0.894000,10.989329,46.909288,8.812442,-2701.099692,0,0.8939974457215838
2011-07-01,sz.300227,15.8300,16.3200,15.7600,16.1000,15.8000,1265364,20413476.7500,3,9.236234,1,1.898700,11.197987,47.799970,8.979767,-2752.386395,0,1.8987341772152
2011-07-04,sz.300227,16.1900,16.5300,16.1200,16.3900,16.1000,1391754,22779735.3600,3,10.158788,1,1.801200,11.399690,48.660963,9.141515,-2801.963541,0,1.801242236024847
2011-07-05,sz.300227,16.3000,16.4000,16.1100,16.2600,16.3900,1133509,18435984.4600,3,8.273788,1,-0.793200,11.309271,48.275001,9.069007,-2779.739303,0,-0.7931665649786424
2011-07-06,sz.300227,16.2700,17.1200,16.2000,16.7900,16.2600,2072832,34693912.7700,3,15.130161,1,3.259500,11.677901,49.848540,9.364614,-2870.345811,0,3.2595325953259424
