date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-09-27,sz.300266,29.8800,30.0000,28.0200,29.8700,26.0000,9636401,281067093.5800,3,86.039295,1,14.884620,11.137719,42.796277,6.989170,212.690773,0,
2011-09-28,sz.300266,29.2000,30.4800,27.5300,27.9500,29.8700,5569654,160343726.2500,3,49.729054,1,-6.427900,10.421803,40.045395,6.539917,199.019321,0,-6.427854034147984
2011-09-29,sz.300266,27.0000,27.6500,25.8000,26.3100,27.9500,3368450,89889797.0000,3,30.075446,1,-5.867600,9.810291,37.695683,6.156179,187.341622,0,-5.8676207513416845
2011-09-30,sz.300266,26.3100,26.6800,24.4500,24.8000,26.3100,2757954,69878974.8900,3,24.624589,1,-5.739300,9.247252,35.532229,5.802860,176.589594,0,-5.739262637780307
2011-10-10,sz.300266,25.0000,25.4400,24.6300,25.1100,24.8000,2036005,50978038.7800,3,18.178616,1,1.250000,9.362843,35.976382,5.875396,178.796964,0,1.2499999999999956
2011-10-11,sz.300266,25.8300,26.4900,24.8800,25.2500,25.1100,2597535,67051173.8100,3,23.192277,1,0.557500,9.415045,36.176967,5.908154,179.793841,0,0.5575467941059342
2011-10-12,sz.300266,25.0000,26.4000,23.7700,26.1000,25.2500,2967317,75531828.5400,3,26.493902,1,3.366300,9.731987,37.394805,6.107042,185.846307,0,3.3663366336633693
2011-10-13,sz.300266,26.2000,26.9000,25.9700,26.5800,26.1000,3028807,80154345.3300,3,27.042920,1,1.839100,9.910966,38.082526,6.219355,189.264170,0,1.8390804597701038
2011-10-14,sz.300266,26.6000,27.1300,26.1600,27.0800,26.5800,2640984,70627804.7100,3,23.580214,1,1.881100,10.097403,38.798902,6.336349,192.824444,0,1.8811136192625977
2011-10-17,sz.300266,27.2000,28.9600,27.0500,28.1900,27.0800,3826039,107346280.7500,3,34.161062,1,4.099000,10.511292,40.389255,6.596073,200.728253,0,4.098966026587902
