date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2012-03-19,sz.300299,22.2900,23.9700,22.0300,23.3600,16.0000,8980761,203975517.2800,3,65.986488,1,46.000000,12.845290,44.686888,12.133907,76.483072,0,
2012-03-20,sz.300299,22.5000,23.0000,21.4100,21.5600,23.3600,7631533,169036363.1800,3,56.072983,1,-7.705500,11.855499,41.243549,11.198931,70.589685,0,-7.705479452054798
2012-03-21,sz.300299,21.2800,21.4700,19.5600,19.9700,21.5600,5066533,103335154.7700,3,37.226547,1,-7.374800,10.981183,38.201933,10.373036,65.383859,0,-7.374768089053807
2012-03-22,sz.300299,19.8000,20.2600,19.7300,19.8200,19.9700,2762240,55250873.0200,3,20.295665,1,-0.751100,10.898701,37.914988,10.295121,64.892744,0,-0.7511266900350422
2012-03-23,sz.300299,19.7500,20.3600,19.3100,20.2100,19.8200,3357938,66635551.2100,3,24.672579,1,1.967700,11.113156,38.661044,10.497699,66.169644,0,1.9677093844601368
2012-03-26,sz.300299,19.9000,20.2400,19.5000,19.6700,20.2100,2156122,42840364.0200,3,15.842190,1,-2.671900,10.816218,37.628043,10.217207,64.401628,0,-2.671944581890151
2012-03-27,sz.300299,19.7500,19.8200,19.1000,19.2600,19.6700,1671740,32483390.6600,3,12.283174,1,-2.084400,10.590766,36.843727,10.004240,63.059246,0,-2.0843924758515486
2012-03-28,sz.300299,19.0800,19.0800,17.6000,17.7100,19.2600,2479360,45180799.2600,3,18.217193,1,-8.047800,9.738446,33.878629,9.199122,57.984384,0,-8.047767393561788
2012-03-29,sz.300299,17.5000,17.5200,16.9000,17.0700,17.7100,1647219,28437183.3700,3,12.103005,1,-3.613800,9.386520,32.654331,8.866686,55.888957,0,-3.613777526821005
2012-03-30,sz.300299,17.1600,17.2700,16.3800,16.5400,17.0700,1764567,29716047.3000,3,12.965224,1,-3.104900,9.095081,31.640459,8.591388,54.153682,0,-3.104862331575875
2012-04-05,sz.300299,16.5500,17.3000,16.5500,17.3000,16.5400,1646777,27913062.8600,3,12.099758,1,4.594900,9.512993,33.094313,8.986155,56.642001,0,4.594921402660224
2012-04-06,sz.300299,17.1500,17.3200,16.9500,17.2200,17.3000,1281325,21997296.4900,3,9.414585,1,-0.462400,9.469002,32.941276,8.944601,56.380073,0,-0.46242774566475076
2012-04-09,sz.300299,17.2100,17.2400,16.7900,16.7900,17.2200,905157,15388318.0100,3,6.650676,1,-2.497100,9.232552,32.118700,8.721246,54.972208,0,-2.4970963995354256
2012-04-10,sz.300299,16.6200,18.0500,16.5100,17.9500,16.7900,2443918,42366445.1500,3,17.956782,1,6.908900,9.870418,34.337741,9.323785,58.770169,0,6.908874329958303
2012-04-11,sz.300299,17.6000,17.8400,17.4000,17.6200,17.9500,1981198,34882044.4800,3,14.556929,1,-1.838400,9.688956,33.706462,9.152373,57.689715,0,-1.8384401114206028
2012-04-12,sz.300299,17.6100,17.8000,17.3300,17.7900,17.6200,1768896,31207157.9900,3,12.997032,1,0.964800,9.782436,34.031667,9.240677,58.246312,0,0.9648127128263129
2012-04-13,sz.300299,17.8300,18.0700,17.6100,17.8100,17.7900,1733485,30961259.4800,3,12.736848,1,0.112400,9.793434,34.069926,9.251065,58.311795,0,0.11242270938729426
2012-04-16,sz.300299,17.6000,17.6000,17.3500,17.4000,17.8100,986189,17212655.5200,3,7.246062,1,-2.302100,9.567982,33.285610,9.038098,56.969412,0,-2.3020774845592396
2012-04-17,sz.300299,17.4000,17.4000,17.4000,17.4000,17.4000,0,0.0000,3,,0,0.000000,9.567982,33.285610,9.038098,56.969412,0,0.0
2012-04-18,sz.300299,17.2300,17.8000,17.2200,17.7500,17.4000,1230936,21618439.1600,3,9.044350,1,2.011500,8.785309,33.955148,9.219899,144.304227,0,2.011494252873569
2012-04-19,sz.300299,17.6900,18.2900,17.6300,18.1400,17.7500,1782388,32154623.9100,3,13.096165,1,2.197200,8.978339,34.701205,9.422477,147.474855,0,2.1971830985915597
2012-04-20,sz.300299,18.1400,18.4500,17.8000,18.1900,18.1400,1484475,26887023.2600,3,10.907237,1,0.275600,9.003086,34.796853,9.448449,147.881346,0,0.2756339581036382
2012-04-23,sz.300299,18.0300,18.0300,16.3900,16.4400,18.1900,2060998,34968611.1900,3,15.143262,1,-9.620700,8.136929,31.449162,8.539445,133.654169,0,-9.620670698185819
