date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2012-05-11,sz.300317,13.0000,13.6700,13.0000,13.0300,11.0000,16034693,211350135.6500,3,57.266761,1,18.454540,7.559568,36.247917,3.345891,-26.270533,0,
2012-05-14,sz.300317,12.6900,12.8800,12.4200,12.4700,13.0300,12256288,154575594.8200,3,43.772457,1,-4.297800,7.234674,34.690063,3.202092,-25.141485,0,-4.29777436684573
2012-05-15,sz.300317,12.2900,12.7300,12.2300,12.5200,12.4700,7024593,87709653.2500,3,25.087832,1,0.401000,7.263683,34.829157,3.214931,-25.242293,0,0.400962309542896
2012-05-16,sz.300317,12.5700,12.7700,12.3700,12.4400,12.5200,5060897,63645085.8000,3,18.074632,1,-0.639000,7.217269,34.606606,3.194389,-25.081000,0,-0.6389776357827448
2012-05-17,sz.300317,12.6000,12.7200,12.3600,12.5300,12.4400,4607991,57646305.7800,3,16.457111,1,0.723500,7.269484,34.856976,3.217499,-25.262454,0,0.7234726688102988
2012-05-18,sz.300317,12.3500,12.3500,11.7500,11.7800,12.5300,7267503,87347314.1100,3,25.955368,1,-5.985600,6.834360,32.770565,3.024911,-23.750336,0,-5.985634477254587
2012-05-21,sz.300317,11.6500,11.8700,11.5000,11.6100,11.7800,3207225,37410629.9600,3,11.454375,1,-1.443100,6.735731,32.297645,2.981258,-23.407589,0,-1.4431239388794537
2012-05-22,sz.300317,11.7100,11.7900,11.6400,11.7300,11.6100,2856018,33450109.3600,3,10.200064,1,1.033600,6.805351,32.631471,3.012072,-23.649528,0,1.033591731266159
2012-05-23,sz.300317,11.6700,11.8300,11.5300,11.7700,11.7300,3389256,39666058.8800,3,12.104486,1,0.341000,6.828558,32.742746,3.022344,-23.730175,0,0.34100596760442414
2012-05-24,sz.300317,11.8000,12.1700,11.7500,11.9700,11.7700,4972849,59766423.7600,3,17.760175,1,1.699200,6.944591,33.299122,3.073700,-24.133406,0,1.6992353440951735
2012-05-25,sz.300317,11.8900,11.9600,11.4300,11.5000,11.9700,3364211,39204385.6300,3,12.015039,1,-3.926500,6.671913,31.991638,2.953012,-23.185812,0,-3.9264828738513002
2012-05-28,sz.300317,11.4000,11.5700,11.2100,11.5700,11.5000,2134472,24298086.1800,3,7.623114,1,0.608700,6.712525,32.186369,2.970987,-23.326943,0,0.6086956521739184
2012-05-29,sz.300317,11.5500,11.7500,11.4900,11.6800,11.5700,2103048,24511866.6600,3,7.510886,1,0.950700,6.776343,32.492376,2.999233,-23.548720,0,0.9507346585998278
2012-05-30,sz.300317,11.6800,11.9700,11.6100,11.7700,11.6800,2924115,34485627.9100,3,10.443268,1,0.770500,6.828558,32.742746,3.022344,-23.730175,0,0.7705479452054798
2012-05-31,sz.300317,11.6800,12.1200,11.6100,11.9800,11.7700,3710213,44349084.7800,3,13.250761,1,1.784200,6.950393,33.326941,3.076268,-24.153568,0,1.7841971112999122
2012-06-01,sz.300317,11.9200,12.1000,11.7500,11.8100,11.9800,2158863,25591766.2600,3,7.710225,1,-1.419000,6.851765,32.854021,3.032615,-23.810821,0,-1.4190317195325486
2012-06-04,sz.300317,11.5500,11.7000,11.3700,11.4000,11.8100,2411667,27766619.1700,3,8.613096,1,-3.471600,6.613896,31.713450,2.927334,-22.984196,0,-3.471634208298058
2012-06-05,sz.300317,11.4400,11.9700,11.4100,11.6500,11.4000,2866483,33614840.9500,3,10.237439,1,2.193000,6.758938,32.408920,2.991529,-23.488236,0,2.1929824561403466
2012-06-06,sz.300317,11.6700,11.9200,11.5300,11.6700,11.6500,2058474,24186476.4300,3,7.351693,1,0.171700,6.770541,32.464558,2.996665,-23.528559,0,0.17167381974247942
2012-06-07,sz.300317,11.8100,11.8600,11.4600,11.5300,11.6700,1710691,19889988.3700,3,6.109611,1,-1.199700,6.689318,32.075094,2.960715,-23.246297,0,-1.1996572407883543
2012-06-08,sz.300317,11.6600,11.6900,11.4400,11.4900,11.5300,1102912,12738185.9000,3,3.938971,1,-0.346900,6.666111,31.963819,2.950444,-23.165651,0,-0.3469210754553309
2012-06-11,sz.300317,11.4900,11.7400,11.4300,11.7200,11.4900,1538156,17869937.3000,3,5.493414,1,2.001700,6.799550,32.603652,3.009504,-23.629367,0,2.001740644038308
2012-06-12,sz.300317,11.6000,11.8700,11.5500,11.6600,11.7200,1815732,21330348.5200,3,6.484757,1,-0.511900,6.764740,32.436739,2.994097,-23.508397,0,-0.5119453924914752
2012-06-13,sz.300317,11.6800,11.9800,11.6000,11.9400,11.6600,2964156,35045975.7200,3,10.586271,1,2.401400,6.927186,33.215666,3.065997,-24.072921,0,2.401372212692965
2012-06-14,sz.300317,11.8700,11.9700,11.7500,11.7700,11.9400,2247228,26660260.4100,3,8.025814,1,-1.423800,6.828558,32.742746,3.022344,-23.730175,0,-1.4237855946398703
2012-06-15,sz.300317,11.7800,11.9000,11.6000,11.8100,11.7700,1721056,20267667.5500,3,6.146629,1,0.339800,6.851765,32.854021,3.032615,-23.810821,0,0.3398470688190436
2012-06-18,sz.300317,11.8700,12.1400,11.7900,12.0500,11.8100,3086426,36933070.8700,3,11.022950,1,2.032200,6.991004,33.521673,3.094243,-24.294699,0,2.0321761219305623
