date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2012-06-13,sz.300327,11.8000,12.0800,11.6100,12.0400,12.5000,10731633,126744531.5200,3,33.536353,1,-3.680001,6.494270,24.375251,4.341519,94.274600,0,
2012-06-14,sz.300327,11.8200,12.2300,11.8000,12.1400,12.0400,7509492,90049105.8200,3,23.467163,1,0.830600,6.548209,24.577704,4.377578,95.057612,0,0.8305647840531671
2012-06-15,sz.300327,12.1200,12.1300,11.8000,11.9000,12.1400,3615127,43196663.3500,3,11.297272,1,-1.976900,6.418755,24.091818,4.291037,93.178384,0,-1.976935749588138
2012-06-18,sz.300327,11.9000,11.9600,11.8400,11.8900,11.9000,2441656,29059131.3800,3,7.630175,1,-0.084000,6.413362,24.071573,4.287431,93.100083,0,-0.08403361344537785
2012-06-19,sz.300327,11.8500,11.8600,11.6200,11.6500,11.8900,3202222,37514030.8300,3,10.006944,1,-2.018500,6.283908,23.585688,4.200889,91.220855,0,-2.0185029436501245
2012-06-20,sz.300327,11.6700,12.1900,11.6500,11.9900,11.6500,5034135,60142678.4800,3,15.731672,1,2.918500,6.467301,24.274025,4.323490,93.883094,0,2.9184549356223055
2012-06-21,sz.300327,11.9200,11.9700,11.6800,11.8600,11.9900,2576046,30431280.3000,3,8.050144,1,-1.084200,6.397180,24.010837,4.276613,92.865179,0,-1.0842368640533895
2012-06-25,sz.300327,11.7500,11.8400,11.5600,11.5800,11.8600,2327381,27179269.9200,3,7.273066,1,-2.360900,6.246150,23.443971,4.175647,90.672747,0,-2.360876897133213
2012-06-26,sz.300327,11.4900,11.5200,11.1200,11.4000,11.5800,2348314,26560142.7400,3,7.338481,1,-1.554400,6.149060,23.079557,4.110741,89.263326,0,-1.5544041450777146
2012-06-27,sz.300327,11.4000,11.9800,11.3200,11.6300,11.4000,3960026,46560050.7100,3,12.375081,1,2.017500,6.273120,23.545197,4.193677,91.064253,0,2.017543859649118
