date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2012-08-01,sz.300343,35.0000,36.8000,31.5200,33.4100,28.1000,7957549,264477214.1600,3,79.575490,1,18.896790,8.800784,26.256394,2.995137,50.561854,0,
2012-08-02,sz.300343,31.8000,34.7700,31.5100,33.4300,33.4100,4906791,163411935.0700,3,49.067910,1,0.059900,8.806052,26.272111,2.996930,50.592122,0,0.05986231667165498
2012-08-03,sz.300343,32.9900,35.8000,32.4400,34.7000,33.4300,4830698,166036702.4500,3,48.306980,1,3.799000,9.140593,27.270184,3.110783,52.514108,0,3.7989829494466054
2012-08-06,sz.300343,34.4900,35.5000,34.1400,35.5000,34.7000,4022763,139989167.0700,3,40.227630,1,2.305500,9.351327,27.898892,3.182501,53.724808,0,2.3054755043227626
2012-08-07,sz.300343,35.2000,35.2000,32.8000,32.9700,35.5000,4512390,153228405.0500,3,45.123900,1,-7.126800,8.684880,25.910604,2.955692,49.895969,0,-7.1267605633802855
2012-08-08,sz.300343,32.0100,33.0500,32.0100,32.2600,32.9700,2380977,77178709.9200,3,23.809770,1,-2.153500,8.497854,25.352627,2.892042,48.821473,0,-2.1534728541097947
2012-08-09,sz.300343,32.0700,33.1200,32.0700,32.8100,32.2600,2188937,71621965.0200,3,21.889370,1,1.704900,8.642733,25.784863,2.941349,49.653829,0,1.7048977061376425
2012-08-10,sz.300343,32.7300,32.9800,31.5700,31.5700,32.8100,2214944,71122149.0200,3,22.149440,1,-3.779300,8.316096,24.810366,2.830185,47.777245,0,-3.779335568424269
2012-08-13,sz.300343,31.0700,31.1500,30.0800,30.4800,31.5700,1256138,38444197.6500,3,12.561380,1,-3.452600,8.028970,23.953753,2.732469,46.127666,0,-3.452644916059555
2012-08-14,sz.300343,30.4500,30.7800,29.6900,30.7500,30.4800,1463323,44160241.1000,3,14.633230,1,0.885800,8.100093,24.165941,2.756674,46.536277,0,0.8858267716535417
2012-08-15,sz.300343,30.4400,30.5600,30.0400,30.0500,30.7500,770794,23324320.9300,3,7.707940,1,-2.276400,7.915701,23.615822,2.693920,45.476915,0,-2.276422764227637
2012-08-16,sz.300343,29.9200,30.2400,29.7000,29.7400,30.0500,675617,20190964.4300,3,6.756170,1,-1.031600,7.834041,23.372198,2.666129,45.007769,0,-1.0316139767055033
2012-08-17,sz.300343,29.7300,30.4500,29.5700,30.2300,29.7400,826522,24887817.2300,3,8.265220,1,1.647600,7.963116,23.757282,2.710057,45.749322,0,1.647612642905183
2012-08-20,sz.300343,30.0300,30.7500,29.7100,30.5300,30.2300,877260,26700637.8600,3,8.772600,1,0.992400,8.042141,23.993047,2.736951,46.203335,0,0.9923916639100305
2012-08-21,sz.300343,30.3300,31.6400,30.2100,31.1000,30.5300,1558935,48247901.6200,3,15.589350,1,1.867000,8.192289,24.441001,2.788051,47.065958,0,1.8670160497870958
2012-08-22,sz.300343,31.5000,32.4400,31.2900,31.4400,31.1000,2019930,64312804.6300,3,20.199300,1,1.093200,8.281851,24.708202,2.818531,47.580506,0,1.0932475884244397
2012-08-23,sz.300343,31.2500,31.3800,30.8000,31.3000,31.4400,1248847,38836624.2300,3,12.488470,1,-0.445300,8.244973,24.598178,2.805980,47.368633,0,-0.4452926208651453
2012-08-24,sz.300343,31.2100,31.2800,29.9100,30.0000,31.3000,1060495,32491140.5400,3,10.604950,1,-4.153400,7.902530,23.576528,2.689438,45.401246,0,-4.153354632587858
2012-08-27,sz.300343,30.0000,30.4900,29.7000,29.7200,30.0000,903519,27205484.6400,3,9.035190,1,-0.933300,7.828773,23.356481,2.664336,44.977501,0,-0.9333333333333416
2012-08-28,sz.300343,29.4900,30.2000,28.8800,29.9200,29.7200,1465039,42998398.6500,3,14.650390,1,0.672900,7.881456,23.513657,2.682266,45.280176,0,0.6729475100942128
2012-08-29,sz.300343,29.7000,30.9500,29.3100,30.3500,29.9200,1444735,43873756.1300,3,14.447350,1,1.437200,7.994726,23.851588,2.720815,45.930927,0,1.4371657754010725
2012-08-30,sz.300343,30.3400,31.0600,28.7100,29.4200,30.3500,1547729,46166142.4100,3,15.477290,1,-3.064251,7.749748,23.120715,2.637442,44.523489,0,-3.064250411861613
2012-08-31,sz.300343,29.1100,29.8900,29.1100,29.7000,29.4200,705918,20818184.2700,3,7.059180,1,0.951700,7.823504,23.340763,2.662543,44.947234,0,0.9517335146159045
2012-09-03,sz.300343,29.4000,30.6400,29.4000,30.5900,29.7000,885103,26781116.5500,3,8.851030,1,2.996600,8.057946,24.040200,2.742330,46.294137,0,2.9966329966329974
2012-09-04,sz.300343,30.6600,31.4900,30.3000,30.3700,30.5900,1344581,41572261.1200,3,13.445810,1,-0.719200,7.999994,23.867305,2.722608,45.961195,0,-0.7191892775416764
2012-09-05,sz.300343,30.0000,30.9700,30.0000,30.5000,30.3700,885960,27136982.3900,3,8.859600,1,0.428100,8.034239,23.969470,2.734262,46.157933,0,0.4280540006585509
2012-09-06,sz.300343,30.4800,31.2200,30.4800,31.0200,30.5000,884876,27331700.7500,3,8.848760,1,1.704900,8.171216,24.378130,2.780879,46.944888,0,1.704918032786873
2012-09-07,sz.300343,31.2800,32.3900,31.2700,31.7800,31.0200,1675285,53193474.7900,3,16.752850,1,2.450000,8.371413,24.975402,2.849011,48.095053,0,2.4500322372662753
2012-09-10,sz.300343,32.4000,32.4000,31.7800,31.9000,31.7800,1080914,34577884.6100,3,10.809140,1,0.377600,8.403023,25.069708,2.859769,48.276658,0,0.37759597230961894
2012-09-11,sz.300343,31.9000,32.3500,31.6100,31.8100,31.9000,1146882,36744352.3400,3,11.468820,1,-0.282100,8.379316,24.998979,2.851701,48.140455,0,-0.28213166144200885
2012-09-12,sz.300343,31.8200,32.2800,31.2200,31.6700,31.8100,847760,26935274.6500,3,8.477600,1,-0.440100,8.342437,24.888955,2.839150,47.928582,0,-0.4401131719584894
2012-09-13,sz.300343,31.6700,31.8500,31.3000,31.3000,31.6700,691221,21798968.4900,3,6.912210,1,-1.168300,8.244973,24.598178,2.805980,47.368633,0,-1.1682980738869642
2012-09-14,sz.300343,31.4500,31.6400,30.7500,30.9300,31.3000,846742,26403717.0300,3,8.467420,1,-1.182100,8.147508,24.307401,2.772810,46.808685,0,-1.1821086261980862
2012-09-17,sz.300343,30.9900,31.2900,30.2500,30.2500,30.9300,664250,20524639.9000,3,6.642500,1,-2.198500,7.968384,23.772999,2.711850,45.779590,0,-2.1985127707727092
2012-09-18,sz.300343,30.2700,30.7900,30.0300,30.4000,30.2500,531381,16207366.9000,3,5.313810,1,0.495900,8.007897,23.890882,2.725297,46.006596,0,0.49586776859502635
2012-09-19,sz.300343,30.6000,30.7700,30.3000,30.5100,30.4000,390973,11924069.3200,3,3.909730,1,0.361800,8.036873,23.977329,2.735158,46.173067,0,0.36184210526317706
2012-09-20,sz.300343,30.5200,30.5800,28.5400,28.6400,30.5100,967394,28415295.1900,3,9.673940,1,-6.129100,7.544282,22.507726,2.567517,43.343056,0,-6.129137987545075
