date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2014-08-01,sz.300388,15.7600,17.4800,15.7600,17.4800,12.1400,53251,930755.0000,3,0.241392,1,43.986810,,25.632087,2.118380,,0,
2014-08-04,sz.300388,19.2300,19.2300,19.2300,19.2300,17.4800,12950,249028.0000,3,0.058704,1,10.011400,,28.198228,2.330461,,0,10.011441647597263
2014-08-05,sz.300388,21.1500,21.1500,21.1500,21.1500,19.2300,21400,452610.0000,3,0.097008,1,9.984400,,31.013652,2.563143,,0,9.98439937597504
2014-08-06,sz.300388,23.2700,23.2700,23.2700,23.2700,21.1500,35769,832344.0000,3,0.162144,1,10.023600,,34.122349,2.820064,,0,10.023640661938549
2014-08-07,sz.300388,25.6000,25.6000,25.6000,25.6000,23.2700,66197,1694643.0000,3,0.300077,1,10.012900,,37.538983,3.102434,,0,10.01289213579717
2014-08-08,sz.300388,28.1600,28.1600,28.1600,28.1600,25.6000,83939,2363722.0000,3,0.380503,1,10.000000,,41.292881,3.412677,,0,9.999999999999986
2014-08-11,sz.300388,30.9800,30.9800,30.9800,30.9800,28.1600,113270,3509104.0000,3,0.513463,1,10.014200,,45.428034,3.754429,,0,10.014204545454541
2014-08-12,sz.300388,34.0800,34.0800,34.0800,34.0800,30.9800,3058486,104233202.0000,3,13.864397,1,10.006500,,49.973771,4.130115,,0,10.00645577792123
2014-08-13,sz.300388,31.6800,32.5000,30.6700,30.6900,34.0800,13604612,423935600.0000,3,61.670952,1,-9.947200,,45.002788,3.719285,,0,-9.94718309859154
2014-08-14,sz.300388,30.3900,31.4000,30.0500,30.4200,30.6900,6758525,207182783.0000,3,30.637013,1,-0.879800,,44.606869,3.686564,,0,-0.8797653958944274
2014-08-15,sz.300388,30.3900,30.4800,29.6000,30.0100,30.4200,4154569,124156841.0000,3,18.833042,1,-1.347800,,44.005659,3.636876,,0,-1.347797501643655
2014-08-18,sz.300388,30.1200,30.6800,30.0200,30.4600,30.0100,3247103,98629036.0000,3,14.719415,1,1.499500,,44.665524,3.691411,,0,1.499500166611134
2014-08-19,sz.300388,30.5600,31.4400,30.3100,30.8800,30.4600,5052562,156837161.0000,3,22.903726,1,1.378900,,45.281398,3.742310,,0,1.3788575180564644
2014-08-20,sz.300388,30.7600,33.6300,30.5300,32.3300,30.8800,8287654,266296872.0000,3,37.568694,1,4.695600,,47.407629,3.918034,,0,4.695595854922274
2014-08-21,sz.300388,31.7100,32.2000,31.1700,31.3600,32.3300,5136569,161788091.0000,3,23.284538,1,-3.000300,,45.985254,3.800481,,0,-3.0003093102381695
2014-08-22,sz.300388,31.4100,31.7900,30.8000,31.3600,31.3600,3529114,110121592.0000,3,15.997797,1,0.000000,,45.985254,3.800481,,0,0.0
2014-08-25,sz.300388,31.4700,31.7400,31.0600,31.4000,31.3600,3061826,96328437.0000,3,13.879538,1,0.127500,,46.043908,3.805329,,0,0.12755102040815647
2014-08-26,sz.300388,31.3300,31.3300,29.9200,30.0500,31.4000,3364054,102808018.0000,3,15.249565,1,-4.299400,,44.064314,3.641724,,0,-4.299363057324834
2014-08-27,sz.300388,30.0500,30.4900,29.9200,30.2100,30.0500,1395053,42198250.0000,3,6.323903,1,0.532400,,44.298932,3.661114,,0,0.5324459234608891
2014-08-28,sz.300388,30.5800,30.9600,30.2100,30.4600,30.2100,2581679,78997114.0000,3,11.702987,1,0.827500,,44.665524,3.691411,,0,0.827540549486927
2014-08-29,sz.300388,30.2900,31.5600,30.0000,31.1500,30.4600,3547367,110100693.0000,3,16.080539,1,2.265300,,45.677317,3.775031,,0,2.2652659225213423
2014-09-01,sz.300388,31.2800,33.1700,31.1500,32.7100,31.1500,5396700,175273149.0000,3,24.463735,1,5.008000,,47.964848,3.964086,,0,5.008025682182993
2014-09-02,sz.300388,32.5200,33.3500,32.5200,32.8700,32.7100,5090188,167719555.0000,3,23.074288,1,0.489100,,48.199467,3.983476,,0,0.48914704983185064
2014-09-03,sz.300388,33.0000,33.1400,32.0500,32.8800,32.8700,4046749,131926802.0000,3,18.344284,1,0.030400,,48.214131,3.984688,,0,0.03042287800427701
2014-09-04,sz.300388,32.9900,35.6900,32.6200,34.6800,32.8800,6215247,212884167.0000,3,28.174284,1,5.474500,,50.853590,4.202828,,0,5.474452554744524
2014-09-05,sz.300388,34.3000,35.1500,34.1100,34.9200,34.6800,3739502,129619407.0000,3,16.951505,1,0.692000,,51.205518,4.231913,,0,0.6920415224913601
2014-09-09,sz.300388,34.8200,35.0200,34.2900,34.8400,34.9200,2426036,84235580.0000,3,10.997443,1,-0.229100,,51.088209,4.222218,,0,-0.22909507445589838
2014-09-10,sz.300388,35.2000,38.3200,35.2000,38.3200,34.8400,6600716,245137151.0000,3,29.921650,1,9.988500,,56.191165,4.643955,,0,9.988518943742818
2014-09-11,sz.300388,38.2000,41.0000,37.3000,39.6000,38.3200,8286216,319847824.0000,3,37.562176,1,3.340300,,58.068114,4.799077,,0,3.3402922755741082
2014-09-12,sz.300388,38.7600,39.0800,38.3000,38.8000,39.6000,3858009,149237594.0000,3,17.488708,1,-2.020200,,56.895020,4.702126,,0,-2.020202020202033
2014-09-15,sz.300388,38.4000,38.9900,37.6800,38.1000,38.8000,3687086,140539903.0000,3,16.713898,1,-1.804100,,55.868564,4.617294,,0,-1.8041237113401998
2014-09-16,sz.300388,38.0900,38.5400,36.2800,36.4300,38.1000,3978158,148349329.0000,3,18.033354,1,-4.383200,,53.419732,4.414908,,0,-4.383202099737538
2014-09-17,sz.300388,36.4600,37.6400,36.2600,37.1100,36.4300,2493681,92219646.0000,3,11.304084,1,1.866600,,54.416861,4.497317,,0,1.8665934669228612
2014-09-18,sz.300388,36.9000,37.7800,36.7600,37.2300,37.1100,1974041,73541275.0000,3,8.948509,1,0.323400,,54.592825,4.511859,,0,0.3233629749393563
2014-09-19,sz.300388,37.3000,37.6900,36.9300,37.1000,37.2300,1679336,62421347.0000,3,7.612584,1,-0.349200,,54.402197,4.496105,,0,-0.3491807681976766
2014-09-22,sz.300388,37.1000,37.1000,35.4600,35.7200,37.1000,2325517,83697307.0000,3,10.541782,1,-3.719700,,52.378612,4.328864,,0,-3.719676549865236
2014-09-23,sz.300388,35.5600,36.3900,35.5400,36.3000,35.7200,1607471,58034167.0000,3,7.286813,1,1.623700,,53.229104,4.399154,,0,1.6237402015677471
2014-09-24,sz.300388,36.5600,37.8000,36.5600,37.4500,36.3000,2715127,101482366.0000,3,12.307919,1,3.168000,,54.915426,4.538521,,0,3.1680440771350016
2014-09-25,sz.300388,37.1000,37.5000,36.7500,36.8200,37.4500,1975324,73237466.0000,3,8.954325,1,-1.682200,,53.991615,4.462172,,0,-1.6822429906542147
2014-09-26,sz.300388,36.8200,37.3900,36.6400,37.0300,36.8200,1153992,42729469.0000,3,5.231151,1,0.570300,,54.299552,4.487622,,0,0.5703422053231932
