date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2014-08-01,sz.300389,22.1200,26.5400,22.1200,26.5400,18.4300,32102,851482.0000,3,0.207511,1,44.004340,5.298531,14.540801,2.306369,-115.464431,0,
2014-08-04,sz.300389,29.1900,29.1900,29.1900,29.1900,26.5400,9300,271467.0000,3,0.060116,1,9.984900,5.827585,15.992689,2.536659,-126.993471,0,9.984928409947248
2014-08-05,sz.300389,32.1100,32.1100,32.1100,32.1100,29.1900,7800,250458.0000,3,0.050420,1,10.003400,6.410544,17.592506,2.790412,-139.697169,0,10.003425830763945
2014-08-06,sz.300389,35.3200,35.3200,35.3200,35.3200,32.1100,14050,496246.0000,3,0.090821,1,9.996900,7.051398,19.351209,3.069366,-153.662535,0,9.996885705387726
2014-08-07,sz.300389,38.8500,38.8500,38.8500,38.8500,35.3200,40249,1563673.0000,3,0.260175,1,9.994300,7.756139,21.285234,3.376129,-169.020088,0,9.994337485843708
2014-08-08,sz.300389,42.7400,42.7400,42.7400,42.7400,38.8500,63089,2696423.0000,3,0.407815,1,10.012900,8.532751,23.416497,3.714176,-185.943849,0,10.012870012870012
2014-08-11,sz.300389,47.0100,47.0100,47.0100,47.0100,42.7400,46590,2190195.0000,3,0.301164,1,9.990600,9.385228,25.755955,4.085246,-204.520832,0,9.990641085634056
2014-08-12,sz.300389,51.7100,51.7100,51.7100,51.7100,47.0100,378179,19555636.0000,3,2.444596,1,9.997900,10.323551,28.331003,4.493684,-224.968565,0,9.997872793022777
2014-08-13,sz.300389,56.8800,56.8800,56.8800,56.8800,51.7100,2991741,170170228.0000,3,19.338985,1,9.998100,11.355706,31.163555,4.942965,-247.461071,0,9.998066138077743
2014-08-14,sz.300389,60.9500,62.5700,59.0300,62.5700,56.8800,8610959,525337088.0000,3,55.662308,1,10.003500,12.491676,34.281006,5.437435,-272.215879,0,10.00351617440225
2014-08-15,sz.300389,63.5000,63.5000,58.0600,60.1100,62.5700,6912950,415888336.0000,3,44.686167,1,-3.931600,12.000554,32.933216,5.223657,-261.513449,0,-3.9315966117947965
2014-08-18,sz.300389,61.7300,66.1200,61.7300,65.3000,60.1100,5591955,358498320.0000,3,36.147091,1,8.634200,13.036702,35.776726,5.674677,-284.092966,0,8.634170687073706
2014-08-19,sz.300389,64.2100,66.8400,64.2100,65.1400,65.3000,3287615,214364883.0000,3,21.251551,1,-0.245000,13.004759,35.689064,5.660773,-283.396873,0,-0.245022970903519
2014-08-20,sz.300389,64.7500,70.3100,64.6300,66.5000,65.1400,3302240,221564876.0000,3,21.346089,1,2.087800,13.276274,36.434185,5.778959,-289.313664,0,2.087810868897755
2014-08-21,sz.300389,65.5600,70.2500,64.0000,68.8200,66.5000,3567649,241320233.0000,3,23.061726,1,3.488700,13.739446,37.705272,5.980571,-299.407013,0,3.4887218045112744
2014-08-22,sz.300389,67.5000,69.5900,66.5000,69.4400,68.8200,2718884,184205105.0000,3,17.575204,1,0.900900,13.863225,38.044959,6.034450,-302.104373,0,0.9009009009009139
2014-08-25,sz.300389,69.9000,75.9900,69.3000,73.9600,69.4400,3154313,229900873.0000,3,20.389871,1,6.509200,14.765612,40.521388,6.427245,-321.769001,0,6.509216589861744
2014-08-26,sz.300389,73.2000,74.9600,71.6600,74.6500,73.9600,2539851,186292775.0000,3,16.417912,1,0.932900,14.903366,40.899427,6.487207,-324.770902,0,0.9329367225527463
2014-08-27,sz.300389,74.2000,75.9400,72.6400,73.2300,74.6500,2142896,159001993.0000,3,13.851946,1,-1.902200,14.619873,40.121434,6.363807,-318.593077,0,-1.9022103148024105
